Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000,   1.000, 480.173, 333.780, 615.559
1950.000,   2.000, 325.558, 169.929, 460.128
1950.000,   3.000, 410.445, 273.457, 551.425
1950.000,   4.000, 512.893, 372.981, 652.430
1950.000,   5.000, 130.001, -10.897, 277.895
1950.000,   6.000, 101.316,  -6.236, 208.949
1950.000,   7.000,  94.046, -21.475, 198.991
1950.000,   8.000,   9.545, -82.033, 108.456
1950.000,   9.000,  29.898, -59.597, 138.608
1950.000,  10.000,  47.838, -50.606, 146.090
1950.000,  11.000,  20.520, -74.065, 119.476
1950.000,  12.000, 209.866,  77.138, 346.372
1951.000,   1.000, 170.508,  18.783, 301.146
1951.000,   2.000, 405.883, 276.651, 540.643
1951.000,   3.000, 316.508, 175.540, 472.521
1951.000,   4.000, 351.443, 209.965, 493.822
1951.000,   5.000, 176.524,  47.761, 325.813
1951.000,   6.000, 148.138,  35.327, 252.469
1951.000,   7.000, 125.488,  19.692, 237.696
1951.000,   8.000,  73.317, -26.345, 172.903
1951.000,   9.000,  33.622, -62.402, 132.167
1951.000,  10.000,  27.603, -76.106, 130.201
1951.000,  11.000,  53.247, -37.883, 151.974
1951.000,  12.000, 340.904, 189.219, 471.418
1952.000,   1.000, 465.238, 317.323, 619.416
1952.000,   2.000, 250.733, 122.018, 391.504
1952.000,   3.000, 344.086, 187.964, 484.341
1952.000,   4.000, 349.643, 206.664, 490.039
1952.000,   5.000, 140.229,  14.362, 293.224
1952.000,   6.000,  93.716, -28.831, 203.865
1952.000,   7.000, 102.115,  -3.609, 216.514
1952.000,   8.000,  55.471, -42.213, 167.737
1952.000,   9.000,  54.199, -39.155, 146.648
1952.000,  10.000, -27.527,-129.591,  76.256
1952.000,  11.000,  21.323, -80.480, 123.758
1952.000,  12.000,  40.720, -86.494, 177.182
1953.000,   1.000,  49.091, -81.652, 190.510
1953.000,   2.000,  90.931, -37.697, 220.393
1953.000,   3.000, 206.235,  63.007, 348.645
1953.000,   4.000, 115.282, -32.862, 261.861
1953.000,   5.000, 157.100,  10.109, 294.664
1953.000,   6.000, 142.046,  34.671, 257.290
1953.000,   7.000, 112.425,   0.146, 218.625
1953.000,   8.000,  48.813, -49.616, 141.234
1953.000,   9.000,  -4.255, -97.000,  82.244
1953.000,  10.000, -12.997,-114.562,  77.068
1953.000,  11.000,   1.019,-103.732, 106.986
1953.000,  12.000, -19.833,-159.872,  97.584
1954.000,   1.000, -67.774,-218.636,  53.779
1954.000,   2.000, 369.070, 237.212, 543.096
1954.000,   3.000, 300.932, 172.863, 474.892
1954.000,   4.000, 310.658, 161.569, 445.543
1954.000,   5.000, 136.364,  -1.617, 278.410
1954.000,   6.000, 128.136,  15.982, 240.562
1954.000,   7.000,  78.261, -36.948, 176.281
1954.000,   8.000,  19.436, -71.558, 122.986
1954.000,   9.000,  37.104, -65.667, 143.256
1954.000,  10.000, 120.900,  29.245, 220.170
1954.000,  11.000,  40.344, -59.312, 130.728
1954.000,  12.000,  93.642, -27.792, 226.209
1955.000,   1.000, 293.929, 159.182, 442.162
1955.000,   2.000, 187.487,  41.248, 325.964
1955.000,   3.000, 336.969, 206.427, 492.133
1955.000,   4.000, 218.996,  60.882, 354.956
1955.000,   5.000,  84.382, -60.436, 244.740
1955.000,   6.000,  77.976, -34.636, 186.357
1955.000,   7.000,  85.844, -26.774, 194.018
1955.000,   8.000,  10.705, -83.311, 108.953
1955.000,   9.000,  69.347, -27.105, 168.078
1955.000,  10.000,  71.581, -33.226, 172.854
1955.000,  11.000,  22.041, -76.969, 125.970
1955.000,  12.000, 110.546, -14.389, 229.208
1956.000,   1.000,   2.621,-134.678, 135.122
1956.000,   2.000,  61.245, -72.616, 202.413
1956.000,   3.000, 374.361, 235.055, 504.964
1956.000,   4.000, 324.762, 192.126, 476.218
1956.000,   5.000, 688.110, 556.497, 831.395
1956.000,   6.000, 159.583,  48.536, 265.023
1956.000,   7.000, 124.826,  14.969, 237.986
1956.000,   8.000, 144.710,  40.305, 246.982
1956.000,   9.000,  95.356,  -4.610, 190.744
1956.000,  10.000,  83.546, -15.601, 182.185
1956.000,  11.000,  11.873, -95.353, 120.895
1956.000,  12.000,  38.370,-100.304, 189.648
1957.000,   1.000,  83.406, -64.033, 239.777
1957.000,   2.000,  74.053, -71.292, 246.621
1957.000,   3.000,  74.586, -60.164, 209.023
1957.000,   4.000, 263.800, 114.899, 407.985
1957.000,   5.000, 233.050,  85.343, 372.685
1957.000,   6.000,  86.926, -29.584, 207.088
1957.000,   7.000, 193.672,  83.992, 311.825
1957.000,   8.000,  51.672, -35.091, 148.063
1957.000,   9.000,  74.268, -19.819, 181.000
1957.000,  10.000,  24.945, -77.389, 127.645
1957.000,  11.000,  35.784, -69.847, 136.084
1957.000,  12.000, 167.840,  27.023, 302.518
1958.000,   1.000,-182.224,-330.810, -40.961
1958.000,   2.000,  83.649, -47.980, 226.439
1958.000,   3.000, 136.518,  -5.254, 275.372
1958.000,   4.000,-106.885,-256.955,  35.005
1958.000,   5.000,  57.466, -77.998, 199.639
1958.000,   6.000,  81.736, -26.885, 192.454
1958.000,   7.000,  89.128, -15.030, 203.738
1958.000,   8.000,  48.629, -53.910, 155.621
1958.000,   9.000,  51.211, -47.785, 143.879
1958.000,  10.000,  41.076, -60.881, 142.088
1958.000,  11.000, -47.449,-145.123,  58.414
1958.000,  12.000, 137.235,   4.979, 277.913
1959.000,   1.000,  96.035, -35.302, 249.904
1959.000,   2.000, 174.626,  51.708, 301.247
1959.000,   3.000, 444.873, 323.371, 593.141
