Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,4777,4602,4957
1950,   2,4221,4046,4400
1950,   3,4356,4181,4535
1950,   4,5040,4836,5248
1950,   5,4875,4684,5081
1950,   6,5033,4827,5250
1950,   7,5236,5021,5436
1950,   8,5268,5075,5471
1950,   9,5256,5030,5434
1950,  10,5358,5159,5524
1950,  11,5333,5105,5524
1950,  12,5300,5105,5499
1951,   1,4583,4419,4787
1951,   2,4725,4562,4885
1951,   3,5321,5122,5485
1951,   4,5490,5302,5698
1951,   5,5686,5492,5936
1951,   6,5767,5579,5944
1951,   7,5862,5681,6034
1951,   8,5880,5691,6083
1951,   9,5939,5721,6130
1951,  10,5992,5817,6171
1951,  11,6012,5801,6178
1951,  12,6083,5914,6274
1952,   1,6242,6064,6419
1952,   2,5800,5636,5992
1952,   3,5965,5789,6156
1952,   4,6134,5936,6289
1952,   5,6110,5907,6314
1952,   6,6245,6035,6410
1952,   7,6265,6093,6437
1952,   8,6404,6208,6601
1952,   9,6389,6198,6571
1952,  10,6157,5973,6339
1952,  11,5975,5767,6186
1952,  12,5924,5745,6105
1953,   1,5847,5694,6014
1953,   2,5679,5510,5854
1953,   3,5825,5657,6014
1953,   4,5763,5546,5939
1953,   5,6085,5883,6295
1953,   6,6144,5973,6343
1953,   7,6241,6026,6415
1953,   8,6144,5924,6353
1953,   9,6061,5869,6273
1953,  10,5917,5753,6098
1953,  11,5987,5794,6170
1953,  12,5613,5424,5793
1954,   1,4810,4623,4965
1954,   2,4632,4479,4803
1954,   3,5729,5564,5925
1954,   4,5854,5666,6012
1954,   5,5760,5560,5938
1954,   6,5890,5709,6084
1954,   7,5960,5748,6151
1954,   8,5916,5716,6122
1954,   9,5940,5766,6107
1954,  10,6130,5960,6346
1954,  11,6091,5924,6280
1954,  12,5919,5742,6104
1955,   1,5838,5649,6003
1955,   2,5307,5157,5476
1955,   3,5836,5661,6033
1955,   4,5772,5587,5973
1955,   5,5755,5582,5935
1955,   6,5879,5693,6053
1955,   7,5902,5714,6084
1955,   8,5803,5611,5994
1955,   9,5652,5459,5841
1955,  10,5467,5269,5690
1955,  11,5317,5133,5554
1955,  12,5219,5022,5373
1956,   1,4189,3995,4361
1956,   2,3879,3719,4041
1956,   3,4969,4803,5154
1956,   4,5360,5153,5535
1956,   5,5911,5740,6093
1956,   6,5536,5381,5714
1956,   7,5550,5359,5734
1956,   8,5586,5389,5760
1956,   9,5497,5307,5685
1956,  10,5447,5294,5600
1956,  11,5189,5015,5365
1956,  12,5107,4943,5271
1957,   1,4376,4203,4543
1957,   2,4396,4224,4582
1957,   3,4925,4742,5085
1957,   4,5145,4947,5338
1957,   5,5145,4971,5332
1957,   6,5183,5002,5353
1957,   7,5468,5268,5652
1957,   8,5178,4983,5346
1957,   9,5291,5115,5474
1957,  10,5021,4831,5199
1957,  11,5100,4924,5245
1957,  12,5052,4844,5234
1958,   1,4016,3857,4194
1958,   2,3676,3527,3826
1958,   3,4739,4556,4921
1958,   4,4468,4293,4639
1958,   5,5040,4857,5229
1958,   6,4989,4798,5210
1958,   7,4981,4804,5168
1958,   8,4959,4740,5170
1958,   9,4994,4815,5169
1958,  10,4868,4698,5062
1958,  11,4710,4501,4901
1958,  12,4562,4389,4728
1959,   1,3565,3383,3728
1959,   2,3806,3629,3944
1959,   3,4661,4506,4841
1959,   4,4656,4443,4836
1959,   5,4865,4649,5047
1959,   6,4860,4689,5060
1959,   7,4907,4700,5083
1959,   8,4890,4702,5053
1959,   9,4888,4686,5052
1959,  10,4986,4810,5174
1959,  11,5051,4864,5222
1959,  12,5223,5048,5406
1960,   1,5031,4869,5227
1960,   2,4290,4119,4456
1960,   3,4706,4539,4869
