Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 197.6163, 189.5614, 206.4405
1950.0000,   2.0000, 206.8739, 197.8642, 215.3681
1950.0000,   3.0000, 194.5082, 186.3835, 203.1841
1950.0000,   4.0000, 158.9838, 150.1464, 167.8349
1950.0000,   5.0000, 158.9503, 149.4036, 168.1306
1950.0000,   6.0000, 158.9970, 150.0232, 168.0563
1950.0000,   7.0000, 155.8434, 147.1225, 164.6418
1950.0000,   8.0000, 159.0207, 149.7000, 168.3197
1950.0000,   9.0000, 161.0188, 151.6555, 170.0755
1950.0000,  10.0000, 203.7250, 194.4954, 213.1270
1950.0000,  11.0000, 226.5845, 216.8983, 235.8616
1950.0000,  12.0000, 211.5945, 202.6744, 220.3291
1951.0000,   1.0000, 192.6002, 184.3782, 200.9518
1951.0000,   2.0000, 169.5053, 161.1730, 177.9890
1951.0000,   3.0000, 175.7934, 167.0486, 184.3343
1951.0000,   4.0000, 226.6166, 217.9381, 235.4868
1951.0000,   5.0000, 228.5873, 219.3433, 237.9645
1951.0000,   6.0000, 228.7126, 219.4384, 238.0515
1951.0000,   7.0000, 226.6354, 217.5402, 235.5753
1951.0000,   8.0000, 231.6440, 222.4136, 240.8195
1951.0000,   9.0000, 234.7810, 225.3701, 243.7847
1951.0000,  10.0000, 237.6393, 228.1711, 247.4682
1951.0000,  11.0000, 234.5239, 224.8716, 243.9656
1951.0000,  12.0000, 211.9477, 202.8406, 220.6314
1952.0000,   1.0000, 194.6481, 186.2667, 202.9801
1952.0000,   2.0000, 197.8049, 189.3591, 206.2537
1952.0000,   3.0000, 206.8823, 198.2114, 215.2304
1952.0000,   4.0000, 231.5706, 222.7619, 240.1823
1952.0000,   5.0000, 234.6152, 225.3485, 244.0489
1952.0000,   6.0000, 234.6878, 225.6396, 243.8010
1952.0000,   7.0000, 214.4277, 205.6164, 223.7980
1952.0000,   8.0000, 228.5974, 219.2590, 237.8135
1952.0000,   9.0000, 243.4473, 234.1348, 252.7181
1952.0000,  10.0000, 240.6356, 230.9586, 249.5643
1952.0000,  11.0000, 243.5490, 234.1652, 252.7455
1952.0000,  12.0000, 223.3536, 214.4331, 232.2282
1953.0000,   1.0000, 217.6429, 209.2085, 225.8529
1953.0000,   2.0000, 214.5604, 206.3917, 223.0650
1953.0000,   3.0000, 209.5322, 201.0612, 217.9134
1953.0000,   4.0000, 248.4242, 239.3587, 257.1472
1953.0000,   5.0000, 243.4791, 234.0635, 252.7535
1953.0000,   6.0000, 240.3336, 231.2836, 249.7604
1953.0000,   7.0000, 243.6438, 234.4095, 252.3644
1953.0000,   8.0000, 237.3727, 228.3341, 246.3852
1953.0000,   9.0000, 237.3887, 228.6639, 246.9591
1953.0000,  10.0000, 234.5966, 225.4136, 244.1290
1953.0000,  11.0000, 228.2456, 218.9781, 237.7177
1953.0000,  12.0000, 217.9189, 209.1676, 226.6023
1954.0000,   1.0000, 209.5683, 201.1023, 218.2606
1954.0000,   2.0000, 203.6597, 195.5495, 212.2397
1954.0000,   3.0000, 211.6826, 203.1910, 219.8337
1954.0000,   4.0000, 163.7554, 155.0917, 172.5196
1954.0000,   5.0000, 177.9594, 168.9955, 187.3496
1954.0000,   6.0000, 175.8511, 166.7907, 185.2916
1954.0000,   7.0000, 183.6496, 174.7257, 192.4814
1954.0000,   8.0000, 231.7292, 222.5835, 240.9673
1954.0000,   9.0000, 234.5358, 225.3357, 244.2856
1954.0000,  10.0000, 228.5264, 219.3435, 238.0281
1954.0000,  11.0000, 223.5794, 214.3354, 233.0197
1954.0000,  12.0000, 217.4311, 208.6012, 226.6974
1955.0000,   1.0000, 211.7078, 203.3100, 219.7825
1955.0000,   2.0000, 214.3958, 206.0826, 223.1623
1955.0000,   3.0000, 211.5290, 203.4832, 219.8150
1955.0000,   4.0000, 226.5789, 217.6878, 235.3516
1955.0000,   5.0000, 223.5883, 214.4575, 232.5090
1955.0000,   6.0000, 189.7549, 180.7196, 198.9152
1955.0000,   7.0000, 180.6969, 171.8903, 189.5181
1955.0000,   8.0000, 194.8753, 185.7777, 203.9645
1955.0000,   9.0000, 220.5013, 211.3344, 229.7664
1955.0000,  10.0000, 240.4147, 230.6300, 249.8420
1955.0000,  11.0000, 234.5443, 225.2254, 244.3840
1955.0000,  12.0000, 220.5355, 211.2622, 229.3182
1956.0000,   1.0000, 210.0506, 201.5317, 218.6990
1956.0000,   2.0000, 206.5692, 198.0732, 214.8757
1956.0000,   3.0000, 197.4556, 189.5216, 206.3186
1956.0000,   4.0000, 223.6263, 214.7466, 232.5271
1956.0000,   5.0000, 223.3410, 214.4187, 232.3451
1956.0000,   6.0000, 240.2080, 230.9892, 249.8580
1956.0000,   7.0000, 220.3276, 211.6059, 229.6158
1956.0000,   8.0000, 231.5085, 222.2288, 240.4706
1956.0000,   9.0000, 237.3590, 227.7512, 246.5085
1956.0000,  10.0000, 237.4118, 227.9507, 246.5996
1956.0000,  11.0000, 240.4519, 231.0661, 249.5118
1956.0000,  12.0000, 220.8129, 211.6578, 229.5037
1957.0000,   1.0000, 203.4023, 195.0253, 211.7467
1957.0000,   2.0000, 211.6315, 202.7959, 220.2450
1957.0000,   3.0000, 214.5880, 206.4553, 222.8074
1957.0000,   4.0000, 226.2138, 217.4727, 235.1227
1957.0000,   5.0000, 237.1792, 227.5677, 246.2910
1957.0000,   6.0000, 237.3483, 228.5111, 246.5763
1957.0000,   7.0000, 214.3319, 205.1536, 223.4270
1957.0000,   8.0000, 234.8289, 225.1423, 244.0139
1957.0000,   9.0000, 240.5953, 231.1254, 249.7606
1957.0000,  10.0000, 243.2887, 234.0395, 252.5495
1957.0000,  11.0000, 231.6652, 222.0712, 240.7467
1957.0000,  12.0000, 206.4587, 197.8873, 215.4513
1958.0000,   1.0000, 206.5053, 198.2940, 214.8417
1958.0000,   2.0000, 200.6264, 192.1392, 209.0728
1958.0000,   3.0000, 200.4235, 191.9743, 208.7554
1958.0000,   4.0000, 160.7527, 151.8430, 170.0352
1958.0000,   5.0000, 217.4953, 208.4629, 226.6036
1958.0000,   6.0000, 226.4267, 217.3354, 235.8860
1958.0000,   7.0000, 211.5150, 202.3889, 220.6155
1958.0000,   8.0000, 206.5024, 197.1599, 215.7238
1958.0000,   9.0000, 180.7611, 171.3689, 190.1532
1958.0000,  10.0000, 175.7849, 165.9558, 185.4024
1958.0000,  11.0000, 167.0249, 157.6002, 176.2044
1958.0000,  12.0000, 176.0621, 167.3560, 185.1576
1959.0000,   1.0000, 155.7435, 147.1110, 163.6445
1959.0000,   2.0000, 175.6680, 167.3551, 184.4217
1959.0000,   3.0000, 166.9116, 158.4845, 175.6793
1959.0000,   4.0000, 186.7241, 177.9340, 195.7724
1959.0000,   5.0000, 197.6445, 188.2549, 206.8983
1959.0000,   6.0000, 200.7236, 191.5864, 210.1405
1959.0000,   7.0000, 175.8632, 166.7442, 185.0107
1959.0000,   8.0000, 209.5878, 200.4239, 219.1415
1959.0000,   9.0000, 200.6010, 191.2634, 210.0930
1959.0000,  10.0000, 209.4460, 199.9941, 219.1220
1959.0000,  11.0000, 211.4807, 201.9497, 220.8216
1959.0000,  12.0000, 197.2902, 188.6033, 206.1028
1960.0000,   1.0000, 180.6810, 172.5247, 189.0643
1960.0000,   2.0000, 177.7429, 169.4959, 186.1915
1960.0000,   3.0000, 175.6815, 167.6299, 184.3492
1960.0000,   4.0000, 192.7080, 184.1710, 201.9749
1960.0000,   5.0000, 192.5973, 183.0076, 201.7603
1960.0000,   6.0000, 186.6810, 176.6317, 196.0627
1960.0000,   7.0000, 166.6796, 157.7604, 175.8691
1960.0000,   8.0000, 209.5710, 200.5273, 218.7572
1960.0000,   9.0000, 234.4246, 225.0187, 243.2924
1960.0000,  10.0000, 226.4677, 217.4622, 236.3818
1960.0000,  11.0000, 243.2207, 234.1381, 252.4206
1960.0000,  12.0000, 209.6191, 200.6720, 218.2747
1961.0000,   1.0000, 206.5967, 197.9580, 214.5591
1961.0000,   2.0000, 209.3564, 200.9764, 217.8865
1961.0000,   3.0000, 211.5202, 203.2690, 219.9737
1961.0000,   4.0000, 228.1320, 219.7746, 236.7940
1961.0000,   5.0000, 194.3579, 185.7172, 203.9477
1961.0000,   6.0000, 192.6185, 183.1365, 201.8292
1961.0000,   7.0000, 209.4005, 200.8773, 218.8237
1961.0000,   8.0000, 231.4378, 221.9496, 240.5572
1961.0000,   9.0000, 226.5141, 217.6017, 235.8070
1961.0000,  10.0000, 237.2634, 227.9973, 246.9532
1961.0000,  11.0000, 203.3967, 194.1908, 212.9258
1961.0000,  12.0000, 214.3860, 205.4237, 223.0381
1962.0000,   1.0000, 206.4282, 198.3345, 214.8788
1962.0000,   2.0000, 200.4413, 191.8975, 209.3536
1962.0000,   3.0000, 209.4776, 201.0537, 218.0676
1962.0000,   4.0000, 223.4762, 214.7553, 232.0484
1962.0000,   5.0000, 243.4536, 234.2931, 252.6316
1962.0000,   6.0000, 240.3070, 231.0710, 249.4628
1962.0000,   7.0000, 234.4608, 225.4989, 243.5723
1962.0000,   8.0000, 240.5597, 231.2593, 250.1939
1962.0000,   9.0000, 214.5694, 205.2609, 223.9136
1962.0000,  10.0000, 220.3224, 211.2883, 229.9129
1962.0000,  11.0000, 186.4481, 177.3526, 195.8531
1962.0000,  12.0000, 206.5301, 197.5241, 215.2834
1963.0000,   1.0000, 206.4175, 198.0731, 215.0024
1963.0000,   2.0000, 206.4571, 198.4493, 215.1419
1963.0000,   3.0000, 209.2474, 200.6421, 217.6191
1963.0000,   4.0000, 214.3454, 205.3767, 223.1155
1963.0000,   5.0000, 223.5512, 213.7762, 232.3862
1963.0000,   6.0000, 220.6884, 211.6707, 229.7787
1963.0000,   7.0000, 203.7350, 194.5383, 212.7856
1963.0000,   8.0000, 206.6887, 197.5250, 215.7034
1963.0000,   9.0000, 180.8309, 171.3632, 190.1831
1963.0000,  10.0000, 160.7555, 150.8754, 170.1686
1963.0000,  11.0000, 169.6518, 160.0157, 179.2239
1963.0000,  12.0000, 169.7615, 160.9159, 179.0012
1964.0000,   1.0000, 155.5760, 147.2258, 164.3706
1964.0000,   2.0000, 160.7926, 152.3928, 169.5152
1964.0000,   3.0000, 175.9258, 167.6483, 184.1170
1964.0000,   4.0000, 183.7108, 175.2855, 192.6643
1964.0000,   5.0000, 209.5276, 200.7511, 218.6359
1964.0000,   6.0000, 194.9082, 185.8210, 203.8270
1964.0000,   7.0000, 192.5879, 183.4790, 201.1863
1964.0000,   8.0000, 172.8641, 163.6287, 182.2766
1964.0000,   9.0000, 158.6790, 149.4981, 168.2755
1964.0000,  10.0000, 133.1243, 123.2547, 142.0769
1964.0000,  11.0000, 115.9237, 106.7219, 125.9335
1964.0000,  12.0000, 149.9844, 140.6362, 158.6634
1965.0000,   1.0000, 183.7132, 175.3957, 191.9543
1965.0000,   2.0000, 189.6597, 181.2127, 198.5325
1965.0000,   3.0000, 194.4760, 186.0006, 202.6724
1965.0000,   4.0000, 194.7783, 185.7361, 203.5754
1965.0000,   5.0000, 220.5064, 211.3160, 229.4216
1965.0000,   6.0000, 231.7106, 221.9886, 240.8008
1965.0000,   7.0000, 226.4644, 217.6639, 235.4631
1965.0000,   8.0000, 226.6082, 217.5414, 235.9648
1965.0000,   9.0000, 223.5986, 214.2535, 232.9967
1965.0000,  10.0000, 206.6057, 196.8371, 216.4991
1965.0000,  11.0000, 194.4240, 184.8551, 204.1692
1965.0000,  12.0000, 197.6439, 188.4805, 206.6083
1966.0000,   1.0000, 192.5761, 184.4720, 201.0402
1966.0000,   2.0000, 197.5021, 189.0190, 205.8146
1966.0000,   3.0000, 194.6360, 186.0184, 202.8664
1966.0000,   4.0000, 228.4481, 219.6303, 237.0165
1966.0000,   5.0000, 243.5050, 234.0336, 252.8838
1966.0000,   6.0000, 240.4234, 231.5310, 249.8129
1966.0000,   7.0000, 220.3579, 211.5369, 229.4626
1966.0000,   8.0000, 240.4236, 231.0302, 249.4428
1966.0000,   9.0000, 231.4303, 222.4658, 240.6287
1966.0000,  10.0000, 192.6494, 183.6116, 202.4625
1966.0000,  11.0000, 206.3292, 196.7265, 215.3159
1966.0000,  12.0000, 211.2396, 202.2577, 220.3350
1967.0000,   1.0000, 200.6550, 192.0749, 209.0295
1967.0000,   2.0000, 200.7695, 192.3487, 209.6857
1967.0000,   3.0000, 200.4683, 192.2229, 209.1707
1967.0000,   4.0000, 231.4687, 222.6676, 240.3164
1967.0000,   5.0000, 214.5626, 205.2640, 223.7494
1967.0000,   6.0000, 243.4189, 234.1894, 252.5689
1967.0000,   7.0000, 237.3610, 228.4199, 246.4076
1967.0000,   8.0000, 231.4311, 222.4393, 240.6985
1967.0000,   9.0000, 228.2341, 219.2524, 238.0616
1967.0000,  10.0000, 228.4281, 218.6224, 237.7830
1967.0000,  11.0000, 234.5864, 225.3483, 244.3244
1967.0000,  12.0000, 214.5261, 205.6914, 223.4666
1968.0000,   1.0000, 194.5501, 185.8960, 202.7037
1968.0000,   2.0000, 192.5950, 184.0470, 201.1010
1968.0000,   3.0000, 197.6823, 189.0219, 206.1892
1968.0000,   4.0000, 231.4897, 222.6657, 240.2874
1968.0000,   5.0000, 245.3412, 236.0606, 254.8121
1968.0000,   6.0000, 228.3507, 219.3647, 237.3559
1968.0000,   7.0000, 226.5420, 217.6985, 235.4791
1968.0000,   8.0000, 248.3969, 238.9447, 257.6257
1968.0000,   9.0000, 248.5668, 239.1271, 257.7338
1968.0000,  10.0000, 254.1283, 244.5846, 263.9157
1968.0000,  11.0000, 260.4573, 251.2916, 269.5062
1968.0000,  12.0000, 226.3581, 217.0685, 235.1941
1969.0000,   1.0000, 203.4477, 195.0460, 211.7157
1969.0000,   2.0000, 209.6223, 201.3480, 218.2055
1969.0000,   3.0000, 211.6651, 203.3577, 220.3845
1969.0000,   4.0000, 231.2037, 222.0758, 239.5832
1969.0000,   5.0000, 214.3731, 205.5862, 223.3521
1969.0000,   6.0000, 206.3332, 197.3049, 215.4494
1969.0000,   7.0000, 214.0332, 205.1137, 222.8807
1969.0000,   8.0000, 234.2419, 224.9214, 243.6581
1969.0000,   9.0000, 234.5053, 224.9039, 243.8545
1969.0000,  10.0000, 237.6938, 228.2684, 246.9636
1969.0000,  11.0000, 237.2594, 227.9582, 246.7272
1969.0000,  12.0000, 220.5004, 211.6573, 229.2730
1970.0000,   1.0000, 203.4851, 194.9589, 212.0497
1970.0000,   2.0000, 203.6876, 195.0357, 212.2088
1970.0000,   3.0000, 203.6190, 194.9433, 212.2220
1970.0000,   4.0000, 226.4871, 217.4543, 235.3104
1970.0000,   5.0000, 245.4304, 236.0928, 254.7622
1970.0000,   6.0000, 237.2466, 227.6403, 246.1773
1970.0000,   7.0000, 223.4449, 214.4551, 232.3157
1970.0000,   8.0000, 203.5308, 194.0773, 212.9657
1970.0000,   9.0000, 226.5295, 216.9120, 235.5695
1970.0000,  10.0000, 245.3382, 235.6096, 254.7988
1970.0000,  11.0000, 245.2968, 235.8922, 254.4083
1970.0000,  12.0000, 237.6077, 228.4847, 246.3275
1971.0000,   1.0000, 200.5837, 191.9749, 209.2935
1971.0000,   2.0000, 192.6935, 184.2425, 201.0496
1971.0000,   3.0000, 163.6055, 155.3531, 172.2758
1971.0000,   4.0000, 206.5820, 197.5065, 215.3627
1971.0000,   5.0000, 231.3723, 222.1817, 240.6345
1971.0000,   6.0000, 194.5473, 185.4350, 203.9516
1971.0000,   7.0000, 234.3587, 225.5342, 243.3585
1971.0000,   8.0000, 231.4656, 221.9092, 240.6409
1971.0000,   9.0000, 231.4749, 221.6613, 240.8957
1971.0000,  10.0000, 234.4730, 225.2134, 243.7314
1971.0000,  11.0000, 234.4061, 225.0586, 244.1345
1971.0000,  12.0000, 223.4834, 214.6305, 232.2348
1972.0000,   1.0000, 200.7249, 191.8592, 209.0040
1972.0000,   2.0000, 197.5606, 189.0879, 206.0025
1972.0000,   3.0000, 189.5491, 181.0456, 198.0040
1972.0000,   4.0000, 223.5193, 214.8295, 232.1827
1972.0000,   5.0000, 243.4405, 233.8381, 252.4144
1972.0000,   6.0000, 245.1475, 235.8753, 254.0366
1972.0000,   7.0000, 240.4368, 231.7580, 249.5235
1972.0000,   8.0000, 231.4011, 221.8969, 240.9820
1972.0000,   9.0000, 228.6430, 219.1972, 237.7177
1972.0000,  10.0000, 237.1232, 227.9989, 246.6377
1972.0000,  11.0000, 237.2683, 227.7102, 246.7483
1972.0000,  12.0000, 160.8925, 152.2314, 169.4105
1973.0000,   1.0000,   8.0529,  -0.0635,  16.6914
1973.0000,   2.0000,  25.5642,  16.9079,  33.9583
1973.0000,   3.0000, 209.4217, 201.2415, 218.1028
1973.0000,   4.0000, 254.3447, 246.0232, 263.3298
1973.0000,   5.0000, 268.4715, 258.9847, 277.7348
1973.0000,   6.0000, 271.2279, 261.8176, 280.1721
1973.0000,   7.0000, 271.2239, 262.2180, 280.6482
1973.0000,   8.0000, 277.3277, 268.0550, 286.5125
1973.0000,   9.0000, 271.3472, 262.1007, 280.6752
1973.0000,  10.0000, 271.3356, 261.7919, 280.7769
1973.0000,  11.0000, 257.4713, 248.1252, 266.6695
1973.0000,  12.0000, 245.5224, 236.5633, 254.0827
1974.0000,   1.0000, 209.6125, 201.5397, 218.2347
1974.0000,   2.0000, 209.2591, 201.1081, 217.8026
1974.0000,   3.0000, 220.3515, 211.7303, 228.6056
1974.0000,   4.0000, 243.6266, 234.4423, 251.9181
1974.0000,   5.0000, 254.3059, 244.8354, 263.4574
1974.0000,   6.0000, 260.1005, 251.3020, 269.9289
1974.0000,   7.0000, 257.2152, 248.6423, 266.6479
1974.0000,   8.0000, 245.3894, 236.1112, 254.6297
1974.0000,   9.0000, 217.3176, 207.8994, 226.5232
1974.0000,  10.0000, 260.6143, 251.1489, 269.7789
1974.0000,  11.0000, 260.4079, 250.6859, 269.4619
1974.0000,  12.0000, 248.2081, 239.2556, 257.0588
1975.0000,   1.0000, 234.4247, 225.8751, 243.0158
1975.0000,   2.0000, 228.3229, 219.7821, 236.9053
1975.0000,   3.0000, 226.5148, 218.2252, 235.0352
1975.0000,   4.0000, 251.6152, 242.6033, 260.4764
1975.0000,   5.0000, 223.6329, 214.4117, 233.0672
1975.0000,   6.0000, 214.3610, 205.4355, 224.0259
1975.0000,   7.0000, 200.4424, 191.4885, 209.3585
1975.0000,   8.0000, 214.1860, 204.8948, 223.5924
1975.0000,   9.0000, 251.1204, 241.6999, 260.3530
1975.0000,  10.0000, 260.2391, 250.8165, 269.6342
1975.0000,  11.0000, 262.2431, 252.8433, 271.7220
