Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,1,32.134173,20.656985,43.460719
1950,2,32.587317,20.467109,44.161333
1950,3,21.459165,12.135077,31.142436
1950,4,8.383607,-0.298125,17.529044
1950,5,9.919152,-3.096296,22.85368
1950,6,36.16686,24.389048,47.970944
1950,7,66.014934,52.730093,79.745189
1950,8,102.577522,88.920455,116.709744
1950,9,139.000106,124.608664,154.617112
1950,10,116.485275,101.154845,131.625077
1950,11,177.807452,162.889043,192.701967
1950,12,76.638807,62.077442,90.977602
1951,1,29.0148,17.239419,40.515306
1951,2,12.282915,0.41306,24.552543
1951,3,16.608044,7.159506,26.609923
1951,4,3.528002,-5.21755,12.26351
1951,5,14.989433,2.282373,27.724385
1951,6,33.060272,21.474371,45.055044
1951,7,77.257189,63.129277,91.485273
1951,8,120.600585,106.922642,134.0411
1951,9,165.658667,151.224064,180.398429
1951,10,146.599626,131.455119,161.765528
1951,11,162.157383,147.582232,176.655385
1951,12,75.213603,60.857706,89.585276
1952,1,27.481126,15.709866,39.599238
1952,2,20.67585,8.891939,32.631924
1952,3,19.047344,9.86207,28.727517
1952,4,5.357802,-3.595703,13.89698
1952,5,26.615911,13.465487,39.506055
1952,6,33.747316,22.109949,45.490979
1952,7,96.742721,82.880978,110.119578
1952,8,114.374599,100.422103,128.233269
1952,9,162.082077,147.759301,176.907153
1952,10,221.415011,206.239894,236.17501
1952,11,115.929561,101.082167,130.745394
1952,12,73.090375,58.845157,87.601485
1953,1,32.086747,20.666229,43.620824
1953,2,30.60595,18.873,42.016467
1953,3,19.850576,9.947562,29.077825
1953,4,13.868374,5.260576,22.737156
1953,5,13.791597,1.170665,26.697898
1953,6,29.59987,17.577858,40.651761
1953,7,89.846358,76.314071,103.741395
1953,8,113.89042,99.134624,127.14456
1953,9,181.180001,166.786507,195.59468
1953,10,139.450156,124.614072,154.913011
1953,11,141.712674,127.506378,155.695258
1953,12,115.967904,101.792046,130.240167
1954,1,40.763115,28.77952,52.021722
1954,2,15.157546,3.558889,27.027628
1954,3,24.531299,14.652354,34.099023
1954,4,4.056159,-5.007952,13.048088
1954,5,31.373072,18.108286,43.620961
1954,6,34.334869,22.795734,46.058952
1954,7,82.99491,69.504784,96.569568
1954,8,125.27992,111.917339,139.473273
1954,9,133.341808,119.036767,148.20375
1954,10,146.918133,132.321802,162.389104
1954,11,130.411759,115.34264,144.564724
1954,12,89.214437,75.404492,103.308893
1955,1,39.200412,27.633876,50.584866
1955,2,17.506689,5.557558,29.433574
1955,3,20.113582,10.298957,29.439674
1955,4,2.798247,-5.920081,11.778397
1955,5,29.188388,17.021778,42.551957
1955,6,45.342957,33.800305,56.480701
1955,7,78.694466,65.744104,92.662043
1955,8,132.359871,119.227395,145.982129
1955,9,164.063464,150.02331,178.251697
1955,10,183.190935,167.723701,197.740281
1955,11,171.804427,156.893557,186.090981
1955,12,78.16785,63.794122,92.20067
1956,1,39.402613,27.537807,51.065831
1956,2,23.345739,11.630516,35.748061
1956,3,16.950795,7.525086,26.273745
1956,4,5.479985,-3.350168,14.142093
1956,5,13.471918,-0.096672,26.590226
1956,6,29.82995,17.924138,41.353633
1956,7,67.543591,54.057181,81.029967
1956,8,96.614259,82.349287,110.23322
1956,9,161.786761,147.339398,176.349774
1956,10,125.368249,111.437671,140.160195
1956,11,171.723021,156.955172,186.30533
1956,12,67.579141,53.438128,82.610541
1957,1,40.754586,29.056331,52.67393
1957,2,13.591982,1.509865,25.944741
1957,3,18.488438,8.770763,27.69109
1957,4,4.773267,-3.679742,14.204206
1957,5,25.276095,12.489509,38.025364
1957,6,28.297091,17.103418,40.451177
1957,7,72.708272,59.091077,86.414338
1957,8,131.888137,118.124955,145.2422
1957,9,147.453428,132.640899,161.994813
1957,10,176.592123,161.86136,191.879592
1957,11,135.570096,120.551079,149.250006
1957,12,72.545827,58.312762,86.229986
1958,1,38.991115,27.412729,50.650122
1958,2,33.096162,21.460627,44.493357
1958,3,15.657294,6.068243,25.069575
1958,4,5.086855,-3.777719,13.782355
1958,5,26.607918,13.5499,39.087325
1958,6,40.109692,28.482985,52.160055
1958,7,56.31577,42.145262,69.583654
1958,8,113.511436,100.61286,127.512813
1958,9,128.706676,113.741378,143.649142
1958,10,163.459341,148.800715,177.970529
1958,11,150.605117,136.032882,165.430388
1958,12,90.941371,77.088129,104.904299
1959,1,27.948342,16.628022,39.538851
1959,2,12.460744,0.292334,24.191885
1959,3,14.275558,5.022425,23.964101
1959,4,2.813963,-6.166769,11.618016
1959,5,6.526712,-6.276275,19.424797
1959,6,38.430618,26.28496,50.010899
1959,7,75.032184,61.526972,88.855637
1959,8,92.658574,79.314366,106.383185
1959,9,158.737171,144.866877,172.729139
1959,10,178.328442,164.31988,193.229873
1959,11,150.202223,135.424184,164.79579
1959,12,60.500541,45.720245,74.764486
1960,1,34.649841,23.254789,45.921898
1960,2,29.94271,18.114293,41.912538
1960,3,25.440407,15.7291,34.711995
1960,4,1.404405,-7.46525,10.362338
1960,5,5.887241,-6.416078,19.275437
1960,6,30.465449,18.712171,42.377093
1960,7,77.415156,63.948393,91.133704
1960,8,96.807938,83.231735,110.538305
1960,9,133.465056,118.863139,147.965262
1960,10,193.793109,178.441754,209.375894
1960,11,133.773637,119.854077,148.419548
1960,12,116.184587,103.356118,129.867088
1961,1,30.263998,18.792425,41.490077
1961,2,10.635145,-1.015411,22.899499
1961,3,16.805104,7.462531,26.314743
1961,4,1.959894,-7.359245,10.505875
1961,5,21.721878,8.50412,35.088391
1961,6,31.566101,19.422755,43.266806
1961,7,49.601197,36.335333,62.969178
1961,8,100.745593,86.987141,114.879584
1961,9,147.705781,132.222472,162.132232
1961,10,170.932297,156.262884,186.614194
1961,11,153.645234,138.67889,168.085609
1961,12,105.511697,91.270223,119.572435
1962,1,38.673683,26.987092,50.562616
1962,2,16.748605,5.58625,28.866394
1962,3,13.095049,3.517034,22.965089
1962,4,4.928443,-3.648477,13.78327
1962,5,10.516581,-2.253247,23.918368
1962,6,32.636807,20.794858,44.39391
1962,7,93.70964,80.013723,107.730538
1962,8,102.739809,88.852347,116.542588
1962,9,164.643627,150.141887,178.531294
1962,10,146.750985,131.342518,161.272996
1962,11,114.685321,100.938169,129.848565
1962,12,98.025597,83.954361,112.225362
1963,1,32.311225,20.578664,44.299859
1963,2,18.599909,7.134865,30.22217
1963,3,9.075024,-0.344237,18.893604
1963,4,3.079437,-5.695347,12.067169
1963,5,12.525763,0.253198,24.904693
1963,6,34.431959,22.954506,45.901573
1963,7,73.895606,60.069848,87.577204
1963,8,120.919023,107.496367,135.180464
1963,9,140.772769,126.362304,155.120713
1963,10,116.300904,101.249632,130.481077
1963,11,149.695233,135.565932,164.105732
1963,12,111.807103,97.294007,125.819787
1964,1,32.170356,20.655451,43.712511
1964,2,22.287663,10.917241,34.145561
1964,3,20.188785,10.806863,29.243489
1964,4,5.211971,-3.522503,14.009625
1964,5,24.853289,12.087538,37.330181
1964,6,33.604598,22.017384,44.95742
1964,7,84.686021,71.327383,99.029085
1964,8,126.397449,112.212574,140.485161
1964,9,153.024213,138.084584,167.291833
1964,10,160.017352,145.176267,174.793329
1964,11,124.881185,109.856948,139.017827
1964,12,83.684156,69.875,98.16852
1965,1,42.154509,30.345204,53.812226
1965,2,19.08815,7.627067,30.914963
1965,3,19.039901,9.427908,28.374812
1965,4,3.674582,-5.291782,12.587475
1965,5,9.65101,-2.983851,21.99034
1965,6,38.208134,26.939204,49.77451
1965,7,86.804775,72.621229,100.302001
1965,8,110.934668,97.321403,124.587967
1965,9,109.312606,94.750405,123.453895
1965,10,180.793522,165.206911,195.839219
1965,11,124.375098,109.971944,139.136393
1965,12,67.576788,53.469273,81.413453
1966,1,48.163767,36.227238,59.904855
1966,2,14.017897,2.516587,25.54883
1966,3,15.498455,6.126967,24.91316
1966,4,4.881002,-3.712593,13.752779
1966,5,29.046926,16.178269,41.422186
1966,6,25.691305,13.902332,37.733291
1966,7,93.688596,80.094025,107.750528
1966,8,108.920918,95.93843,122.169618
1966,9,170.290349,155.684129,185.26919
1966,10,165.258639,150.115779,179.757309
1966,11,109.307772,94.833628,124.510455
1966,12,82.812535,68.477059,96.879964
