Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 397.5610, 371.2885, 423.3505
1950.0000,   2.0000, 211.1937, 184.4072, 237.2823
1950.0000,   3.0000, 265.8378, 240.1994, 291.3597
1950.0000,   4.0000, 261.2875, 235.7981, 288.3296
1950.0000,   5.0000,  80.4040,  56.7477, 106.1414
1950.0000,   6.0000,  82.5491,  56.7447, 107.5525
1950.0000,   7.0000,  41.4751,  15.3732,  68.8289
1950.0000,   8.0000, -31.8273, -55.3098,  -7.9714
1950.0000,   9.0000, -23.4787, -49.3012,   3.3068
1950.0000,  10.0000,  -6.8737, -33.7129,  20.9076
1950.0000,  11.0000,  12.3837, -14.2831,  38.8726
1950.0000,  12.0000, 103.3056,  76.9527, 129.4285
1951.0000,   1.0000, 176.8609, 151.7997, 201.9510
1951.0000,   2.0000, 224.5102, 199.6566, 248.2099
1951.0000,   3.0000, 245.5790, 220.6063, 270.0599
1951.0000,   4.0000, 207.9539, 182.4682, 233.0848
1951.0000,   5.0000, 126.8288, 101.3936, 152.4696
1951.0000,   6.0000,  91.7504,  67.4453, 116.2270
1951.0000,   7.0000,  14.4033,  -9.6596,  38.0194
1951.0000,   8.0000, -64.8092, -86.1476, -42.1565
1951.0000,   9.0000, -92.0631,-116.2639, -68.6818
1951.0000,  10.0000, -46.1229, -72.0053, -20.1023
1951.0000,  11.0000,   0.6894, -23.8037,  26.8324
1951.0000,  12.0000,  84.0801,  57.7266, 109.1794
1952.0000,   1.0000, 297.5376, 273.0810, 323.1566
1952.0000,   2.0000, 134.1296, 110.2379, 157.6608
1952.0000,   3.0000, 210.7118, 185.4193, 234.9750
1952.0000,   4.0000, 188.2005, 165.4161, 212.3316
1952.0000,   5.0000, 117.8880,  92.7805, 143.1343
1952.0000,   6.0000,  29.5408,   9.3746,  51.8575
1952.0000,   7.0000, -27.0763, -49.0946,  -4.1824
1952.0000,   8.0000, -41.1563, -63.5941, -17.4877
1952.0000,   9.0000, -87.5861,-110.2626, -64.0392
1952.0000,  10.0000,-192.9845,-212.5444,-172.5671
1952.0000,  11.0000, -48.7166, -71.8228, -24.7254
1952.0000,  12.0000,  41.9135,  17.8294,  67.1650
1953.0000,   1.0000, 106.7019,  82.6915, 129.9745
1953.0000,   2.0000,  52.0640,  29.8620,  75.3527
1953.0000,   3.0000, 157.2897, 132.9327, 182.0151
1953.0000,   4.0000,  94.8688,  71.9174, 117.4272
1953.0000,   5.0000, 159.6578, 134.0284, 186.4219
1953.0000,   6.0000,  59.0558,  36.2273,  82.9530
1953.0000,   7.0000, -12.7639, -34.8638,  10.1415
1953.0000,   8.0000, -47.3620, -70.0738, -24.3096
1953.0000,   9.0000,-127.1842,-148.8353,-103.1795
1953.0000,  10.0000,-108.3014,-127.9241, -86.5328
1953.0000,  11.0000, -82.3330,-104.9087, -60.1043
1953.0000,  12.0000, -32.0881, -54.8384,  -8.1958
1954.0000,   1.0000,  82.7340,  58.0842, 106.0299
1954.0000,   2.0000, 162.1729, 139.0858, 184.4006
1954.0000,   3.0000, 222.5680, 197.8412, 247.4602
1954.0000,   4.0000, 254.0737, 228.9210, 278.8688
1954.0000,   5.0000,  36.3565,  14.2717,  60.6495
1954.0000,   6.0000,  57.4853,  34.6055,  80.2693
1954.0000,   7.0000, -21.4999, -43.7537,   2.3392
1954.0000,   8.0000, -38.0088, -62.8435, -14.1023
1954.0000,   9.0000, -72.1208, -93.9800, -49.6731
1954.0000,  10.0000, 174.7473, 149.3452, 200.0969
1954.0000,  11.0000, -41.0982, -65.4481, -17.6802
1954.0000,  12.0000,  26.6253,   1.9741,  50.8429
1955.0000,   1.0000, 114.3273,  90.6504, 139.1060
1955.0000,   2.0000, 117.1492,  94.3524, 139.9164
1955.0000,   3.0000, 250.1623, 225.4066, 275.5706
1955.0000,   4.0000, 153.5959, 128.8615, 178.2712
1955.0000,   5.0000,  39.9651,  17.0987,  63.4352
1955.0000,   6.0000,  15.8385,  -5.2815,  38.6353
1955.0000,   7.0000,  -1.9138, -24.3058,  20.4483
1955.0000,   8.0000, -37.5511, -61.9417, -14.0335
1955.0000,   9.0000, -99.8322,-121.6838, -76.6265
1955.0000,  10.0000, -10.4959, -36.8401,  16.2258
1955.0000,  11.0000, -30.1835, -55.4700,  -4.9933
1955.0000,  12.0000,  -7.9125, -30.8982,  14.5714
1956.0000,   1.0000,  -5.6476, -23.9459,  14.3152
1956.0000,   2.0000, 126.4881, 103.6536, 149.6084
1956.0000,   3.0000, 263.1405, 238.4896, 288.2960
1956.0000,   4.0000, 194.7583, 170.1557, 219.0652
1956.0000,   5.0000, 267.9714, 242.2504, 292.7478
1956.0000,   6.0000,  80.1049,  56.6563, 103.1076
1956.0000,   7.0000,  38.9447,  15.7155,  62.8432
1956.0000,   8.0000,  56.5388,  32.1638,  82.8357
1956.0000,   9.0000,-109.9689,-131.9011, -87.5039
1956.0000,  10.0000, -82.0928,-102.5388, -59.5602
1956.0000,  11.0000,-119.3015,-140.3033, -96.6551
1956.0000,  12.0000,  60.0731,  34.7296,  83.4884
1957.0000,   1.0000,  86.8392,  63.6457, 111.5928
1957.0000,   2.0000, 123.4285, 100.6551, 146.7168
1957.0000,   3.0000,  96.9985,  74.3752, 119.1999
1957.0000,   4.0000, 301.4089, 276.5563, 326.3846
1957.0000,   5.0000, 106.8636,  80.8750, 131.6155
1957.0000,   6.0000, 142.2052, 116.7866, 165.9709
1957.0000,   7.0000,  54.6118,  30.5760,  79.1172
1957.0000,   8.0000, -79.3559,-100.0794, -57.8713
1957.0000,   9.0000, -35.1809, -59.3049, -11.3700
1957.0000,  10.0000, -86.4639,-111.5663, -61.6542
1957.0000,  11.0000, -27.3279, -51.6846,  -4.2473
1957.0000,  12.0000, 125.1104, 100.9917, 151.4748
1958.0000,   1.0000,  50.5305,  27.8202,  73.7119
1958.0000,   2.0000,  26.0699,   5.5539,  46.6984
1958.0000,   3.0000,  81.2744,  59.4316, 102.5402
1958.0000,   4.0000, 110.2259,  87.4245, 134.3645
1958.0000,   5.0000,  49.3132,  26.2626,  73.5676
1958.0000,   6.0000, 108.1823,  82.4819, 134.0080
1958.0000,   7.0000,  87.9619,  62.3206, 112.3900
1958.0000,   8.0000,  -2.5419, -27.2938,  22.6702
1958.0000,   9.0000, -21.0232, -45.1798,   3.5408
1958.0000,  10.0000,-109.3510,-132.8620, -86.2847
1958.0000,  11.0000, -40.5984, -64.9794, -14.6959
1958.0000,  12.0000, -33.7492, -54.9450, -10.4996
1959.0000,   1.0000, 187.8112, 163.6910, 212.5458
1959.0000,   2.0000, 220.0627, 197.5123, 243.5526
1959.0000,   3.0000, 204.4217, 180.5409, 228.1468
1959.0000,   4.0000, 220.3565, 196.3063, 244.8630
1959.0000,   5.0000, 146.5374, 119.8089, 171.7565
1959.0000,   6.0000,  26.2493,   4.8509,  48.6627
1959.0000,   7.0000,  -4.3561, -26.9291,  18.6748
1959.0000,   8.0000, -14.7034, -37.6864,   8.0848
1959.0000,   9.0000, -89.5049,-111.6606, -66.9625
1959.0000,  10.0000, -13.0119, -38.8996,  12.1309
1959.0000,  11.0000, -16.2028, -40.4347,   7.8232
1959.0000,  12.0000, 116.7984,  92.0906, 142.3532
1960.0000,   1.0000, 147.7072, 123.5524, 171.4728
1960.0000,   2.0000, 127.7264, 104.0450, 151.4604
