Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 158.30, 136.04, 180.51
1950.00,   2.00,  86.92,  65.72, 108.62
1950.00,   3.00,  80.56,  59.55, 101.64
1950.00,   4.00,  89.92,  67.86, 111.33
1950.00,   5.00,  38.19,  20.81,  58.01
1950.00,   6.00,  82.49,  60.74, 103.51
1950.00,   7.00,  84.87,  62.95, 105.81
1950.00,   8.00,  62.11,  42.32,  82.29
1950.00,   9.00,  82.01,  61.37, 103.66
1950.00,  10.00,  69.89,  47.86,  90.72
1950.00,  11.00, 119.74,  97.66, 140.77
1950.00,  12.00,  68.01,  47.79,  88.68
1951.00,   1.00,  63.95,  43.47,  85.52
1951.00,   2.00,  83.04,  62.78, 103.53
1951.00,   3.00,  89.24,  67.55, 110.30
1951.00,   4.00,  80.90,  59.41, 101.70
1951.00,   5.00,  67.45,  46.68,  88.66
1951.00,   6.00,  90.65,  70.10, 112.09
1951.00,   7.00,  70.35,  50.18,  90.04
1951.00,   8.00,  47.75,  29.48,  67.66
1951.00,   9.00,  65.75,  45.92,  86.38
1951.00,  10.00,  71.39,  50.52,  94.39
1951.00,  11.00,  79.43,  58.41, 100.19
1951.00,  12.00,  86.39,  65.93, 106.89
1952.00,   1.00, 102.46,  80.57, 124.68
1952.00,   2.00,  46.06,  27.13,  66.24
1952.00,   3.00,  69.01,  48.37,  89.13
1952.00,   4.00,  69.79,  49.30,  90.44
1952.00,   5.00,  77.00,  56.02,  98.29
1952.00,   6.00,  46.58,  29.82,  65.67
1952.00,   7.00,  59.62,  40.35,  80.16
1952.00,   8.00,  64.56,  44.93,  84.64
1952.00,   9.00,  62.50,  42.65,  83.25
1952.00,  10.00,  22.57,   9.04,  39.71
1952.00,  11.00,  51.00,  32.06,  71.32
1952.00,  12.00,  52.22,  34.56,  71.44
1953.00,   1.00,  61.52,  41.14,  81.28
1953.00,   2.00,  33.19,  17.16,  51.32
1953.00,   3.00,  63.75,  44.16,  84.40
1953.00,   4.00,  47.72,  29.63,  67.43
1953.00,   5.00, 103.05,  82.09, 124.61
1953.00,   6.00,  66.51,  47.17,  86.37
1953.00,   7.00,  65.66,  46.35,  85.89
1953.00,   8.00,  57.33,  38.66,  77.06
1953.00,   9.00,  47.88,  29.36,  69.08
1953.00,  10.00,  25.83,  11.29,  43.79
1953.00,  11.00,  48.93,  30.24,  68.56
1953.00,  12.00,  43.57,  27.36,  62.27
1954.00,   1.00,  54.47,  34.15,  73.28
1954.00,   2.00,  71.03,  51.75,  90.78
1954.00,   3.00,  84.62,  63.01, 105.53
1954.00,   4.00, 103.81,  82.40, 125.11
1954.00,   5.00,  37.75,  21.32,  57.28
1954.00,   6.00,  68.27,  48.80,  87.99
1954.00,   7.00,  47.76,  30.26,  67.25
1954.00,   8.00,  75.58,  55.29,  97.03
1954.00,   9.00,  53.90,  34.60,  73.69
1954.00,  10.00, 176.64, 154.58, 198.99
1954.00,  11.00,  56.83,  37.80,  77.16
1954.00,  12.00,  56.03,  37.25,  76.37
1955.00,   1.00,  67.46,  47.63,  89.20
1955.00,   2.00,  53.17,  33.88,  72.95
1955.00,   3.00,  89.13,  68.53, 110.09
1955.00,   4.00,  69.19,  49.37,  89.20
1955.00,   5.00,  44.33,  26.53,  63.56
1955.00,   6.00,  44.08,  27.26,  62.82
1955.00,   7.00,  65.12,  45.86,  84.85
1955.00,   8.00,  83.26,  62.32, 104.55
1955.00,   9.00,  56.45,  37.57,  75.96
1955.00,  10.00, 110.16,  87.15, 131.90
1955.00,  11.00,  74.72,  53.43,  96.03
1955.00,  12.00,  37.24,  21.52,  55.51
1956.00,   1.00,  22.60,   9.52,  38.88
1956.00,   2.00,  54.07,  34.54,  73.32
1956.00,   3.00,  98.68,  77.54, 119.45
1956.00,   4.00,  86.61,  64.96, 107.80
1956.00,   5.00, 138.63, 116.65, 160.79
1956.00,   6.00,  76.23,  55.34,  96.01
1956.00,   7.00,  88.14,  67.88, 108.90
1956.00,   8.00, 125.10, 103.96, 147.17
1956.00,   9.00,  43.54,  26.12,  62.26
1956.00,  10.00,  36.58,  18.68,  56.03
1956.00,  11.00,  42.84,  25.20,  61.97
1956.00,  12.00,  61.67,  42.61,  80.54
1957.00,   1.00,  63.76,  43.60,  84.28
