Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 271.22, 253.15, 289.54
1950.00,   2.00, 156.35, 139.12, 174.16
1950.00,   3.00, 206.64, 189.18, 223.95
1950.00,   4.00, 180.02, 161.92, 198.28
1950.00,   5.00,  51.92,  35.11,  68.87
1950.00,   6.00,  36.41,  20.19,  53.11
1950.00,   7.00,  22.67,   8.25,  39.00
1950.00,   8.00,   7.92,   2.08,  20.05
1950.00,   9.00,  33.63,  17.68,  49.69
1950.00,  10.00,  40.25,  23.38,  57.19
1950.00,  11.00,  70.61,  53.46,  87.68
1950.00,  12.00, 112.03,  95.23, 129.74
1951.00,   1.00, 141.60, 124.59, 158.99
1951.00,   2.00, 153.45, 136.90, 171.66
1951.00,   3.00, 173.19, 156.14, 190.63
1951.00,   4.00, 130.72, 112.79, 147.47
1951.00,   5.00,  73.82,  56.62,  90.93
1951.00,   6.00,  34.43,  18.91,  50.19
1951.00,   7.00,  21.19,   7.79,  36.68
1951.00,   8.00,   6.97,   1.94,  17.83
1951.00,   9.00,   6.82,   1.83,  18.07
1951.00,  10.00,  28.64,  12.31,  46.16
1951.00,  11.00,  83.53,  67.19,  99.70
1951.00,  12.00,  72.61,  55.70,  89.80
1952.00,   1.00, 222.57, 205.47, 240.18
1952.00,   2.00, 108.82,  92.04, 125.70
1952.00,   3.00, 160.84, 142.39, 177.68
1952.00,   4.00, 124.15, 107.52, 141.75
1952.00,   5.00,  67.47,  51.42,  83.80
1952.00,   6.00,  15.99,   5.86,  29.64
1952.00,   7.00,   8.91,   2.60,  21.07
1952.00,   8.00,   7.83,   2.03,  19.62
1952.00,   9.00,  11.22,   2.90,  24.95
1952.00,  10.00,   4.97,   1.30,  13.34
1952.00,  11.00,  15.84,   4.79,  30.87
1952.00,  12.00,  62.57,  46.16,  80.40
1953.00,   1.00,  77.30,  61.29,  93.56
1953.00,   2.00,  49.25,  33.09,  66.25
1953.00,   3.00, 113.03,  95.82, 130.36
1953.00,   4.00,  60.88,  44.23,  77.14
1953.00,   5.00,  70.27,  54.01,  86.74
1953.00,   6.00,  22.25,   8.69,  37.56
1953.00,   7.00,  10.86,   3.11,  23.64
1953.00,   8.00,   7.93,   1.97,  20.81
1953.00,   9.00,   5.70,   1.49,  14.86
1953.00,  10.00,   4.43,   1.12,  11.74
1953.00,  11.00,   9.62,   2.75,  21.96
1953.00,  12.00,  40.34,  24.08,  57.42
1954.00,   1.00,  69.24,  52.07,  85.49
1954.00,   2.00, 106.37,  89.11, 123.94
1954.00,   3.00, 162.65, 144.86, 180.16
1954.00,   4.00, 154.23, 136.60, 171.34
1954.00,   5.00,  29.76,  14.66,  45.47
1954.00,   6.00,  23.56,  10.15,  39.13
1954.00,   7.00,  13.24,   3.83,  27.73
1954.00,   8.00,  10.58,   2.63,  25.18
1954.00,   9.00,   6.47,   1.73,  16.67
1954.00,  10.00, 145.08, 128.92, 161.15
1954.00,  11.00,  31.94,  15.86,  48.76
1954.00,  12.00,  59.74,  43.46,  75.94
1955.00,   1.00,  85.95,  69.19, 103.27
1955.00,   2.00,  81.66,  64.72,  98.52
1955.00,   3.00, 181.22, 163.90, 198.45
1955.00,   4.00,  87.14,  69.83, 104.30
