Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  23.4528,  -0.5140,  47.5806
1950.0000,   2.0000,  16.4918,  -6.7541,  40.8820
1950.0000,   3.0000,  59.7869,  36.1779,  84.1356
1950.0000,   4.0000, 134.2783, 111.3563, 157.5271
1950.0000,   5.0000,  75.0023,  50.9398,  97.4088
1950.0000,   6.0000,  92.5253,  69.1566, 114.7224
1950.0000,   7.0000,  83.5439,  60.4603, 107.5775
1950.0000,   8.0000,  12.0585, -11.5528,  35.5581
1950.0000,   9.0000,  13.3981,  -9.9274,  37.3040
1950.0000,  10.0000, -26.7467, -49.3913,  -2.7141
1950.0000,  11.0000, -50.4357, -75.1073, -25.5068
1950.0000,  12.0000, -42.4222, -67.4469, -19.4725
1951.0000,   1.0000,   3.7549, -18.9289,  26.1599
1951.0000,   2.0000,  32.4023,  10.2274,  54.8825
1951.0000,   3.0000,  71.5374,  48.7601,  94.3933
1951.0000,   4.0000, 215.8418, 193.2468, 237.6051
1951.0000,   5.0000,  90.6760,  66.7601, 113.4431
1951.0000,   6.0000,  63.1630,  41.2147,  84.6174
1951.0000,   7.0000,  98.5567,  77.0148, 120.2481
1951.0000,   8.0000,  24.2654,   2.4141,  47.6107
1951.0000,   9.0000,  -7.5094, -30.4290,  15.2410
1951.0000,  10.0000,  63.3962,  40.1653,  86.2884
1951.0000,  11.0000,  -6.5753, -29.9789,  16.0096
1951.0000,  12.0000, -35.5628, -58.1374, -12.2148
1952.0000,   1.0000,  15.1702,  -8.0535,  38.0622
1952.0000,   2.0000, -21.7422, -45.1846,   0.4714
1952.0000,   3.0000,  30.0599,   7.8371,  53.0906
1952.0000,   4.0000, 125.0688, 102.9399, 147.8967
1952.0000,   5.0000,  78.2898,  53.9668,  99.3484
1952.0000,   6.0000,  20.0198,  -2.3077,  41.0890
1952.0000,   7.0000,  59.6601,  38.8501,  82.2124
1952.0000,   8.0000,  -1.6324, -23.6517,  22.1848
1952.0000,   9.0000, -65.6764, -88.1648, -43.5135
1952.0000,  10.0000,-167.2093,-189.8493,-144.9261
1952.0000,  11.0000, -42.7758, -65.9292, -19.9765
1952.0000,  12.0000, -74.0941, -97.4740, -51.7035
1953.0000,   1.0000, -70.9995, -94.5289, -49.6675
