Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  88.38,  81.28,  95.48
1950.00,   2.00,  62.54,  55.51,  69.64
1950.00,   3.00,  68.84,  61.61,  76.36
1950.00,   4.00,  75.36,  68.08,  82.72
1950.00,   5.00,  37.61,  30.18,  45.06
1950.00,   6.00,  82.98,  75.14,  90.88
1950.00,   7.00,  90.82,  83.48,  98.30
1950.00,   8.00,  63.98,  56.31,  71.98
1950.00,   9.00,  68.06,  60.48,  75.74
1950.00,  10.00,  39.58,  31.74,  47.69
1950.00,  11.00,  78.16,  70.54,  86.01
1950.00,  12.00,  63.76,  56.68,  71.10
1951.00,   1.00,  57.30,  50.51,  64.28
1951.00,   2.00,  59.00,  51.92,  66.18
1951.00,   3.00,  79.88,  72.68,  86.79
1951.00,   4.00,  94.00,  86.69, 101.61
1951.00,   5.00,  48.86,  41.09,  56.82
1951.00,   6.00,  66.09,  58.20,  73.77
1951.00,   7.00, 103.15,  95.55, 110.59
1951.00,   8.00,  76.70,  69.23,  84.41
1951.00,   9.00,  86.94,  79.15,  94.60
1951.00,  10.00, 118.23, 110.40, 126.26
1951.00,  11.00,  78.98,  71.56,  86.53
1951.00,  12.00,  75.35,  67.62,  82.38
1952.00,   1.00,  66.41,  59.28,  73.57
1952.00,   2.00,  31.40,  24.83,  38.23
1952.00,   3.00,  66.88,  59.56,  73.71
1952.00,   4.00,  62.74,  55.15,  70.36
1952.00,   5.00,  74.90,  67.41,  82.53
1952.00,   6.00,  63.19,  55.70,  70.71
1952.00,   7.00, 128.41, 121.07, 136.23
1952.00,   8.00,  78.39,  70.97,  86.25
1952.00,   9.00,  50.30,  42.75,  57.82
1952.00,  10.00,  12.32,   6.16,  19.76
1952.00,  11.00,  83.54,  75.61,  91.12
1952.00,  12.00,  50.95,  43.80,  57.85
1953.00,   1.00,  52.51,  45.54,  59.43
1953.00,   2.00,  65.70,  58.46,  72.57
1953.00,   3.00,  65.53,  58.13,  72.43
1953.00,   4.00,  66.20,  58.58,  73.81
1953.00,   5.00,  78.50,  70.56,  85.97
1953.00,   6.00,  77.67,  69.72,  85.56
1953.00,   7.00,  72.88,  65.53,  80.48
1953.00,   8.00,  55.60,  47.89,  63.49
1953.00,   9.00,  72.54,  64.69,  80.26
1953.00,  10.00,  27.80,  20.25,  35.51
1953.00,  11.00,  41.80,  34.46,  48.95
1953.00,  12.00,  59.09,  51.91,  66.22
1954.00,   1.00,  41.97,  34.98,  48.72
1954.00,   2.00,  56.23,  49.55,  63.41
1954.00,   3.00,  65.80,  58.38,  72.97
1954.00,   4.00, 100.37,  93.04, 107.81
1954.00,   5.00,  58.58,  50.81,  66.19
1954.00,   6.00, 127.50, 119.79, 135.44
1954.00,   7.00,  60.34,  52.51,  67.79
1954.00,   8.00,  52.04,  44.32,  59.50
1954.00,   9.00, 115.30, 107.37, 123.45
1954.00,  10.00, 142.32, 133.88, 150.47
1954.00,  11.00,  48.02,  40.31,  55.63
1954.00,  12.00,  48.67,  41.60,  55.92
