Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 204.4305, 171.3519, 237.6777
1950.0000,   2.0000,  95.1020,  60.6131, 126.4335
1950.0000,   3.0000, 162.0684, 128.8512, 195.2472
1950.0000,   4.0000, 218.4865, 183.1910, 253.5285
1950.0000,   5.0000,  10.2578, -22.6043,  42.9433
1950.0000,   6.0000, -27.6404, -60.2698,   5.3117
1950.0000,   7.0000, -79.7288,-113.4806, -45.9276
1950.0000,   8.0000, -85.0387,-119.1634, -50.9421
1950.0000,   9.0000,-139.7176,-174.8441,-106.1081
1950.0000,  10.0000, -28.9344, -61.6540,   4.9433
1950.0000,  11.0000,  45.1395,  10.7549,  78.9454
1950.0000,  12.0000,  64.0264,  28.8219,  98.0299
1951.0000,   1.0000,  49.4294,  17.8271,  78.7149
1951.0000,   2.0000, 161.9494, 129.7622, 190.8708
1951.0000,   3.0000, 191.7720, 161.0612, 222.9747
1951.0000,   4.0000, 311.2336, 279.1035, 343.1880
1951.0000,   5.0000,  -3.3034, -35.2857,  29.4569
1951.0000,   6.0000, -37.2190, -67.3292,  -6.0202
1951.0000,   7.0000, -68.8991,-100.2737, -37.5461
1951.0000,   8.0000,-174.2160,-206.0281,-141.5603
1951.0000,   9.0000,-142.9177,-175.0322,-112.6812
1951.0000,  10.0000,-116.0563,-146.5582, -84.5124
1951.0000,  11.0000,  -7.9811, -40.4542,  24.0569
1951.0000,  12.0000,  38.2095,   5.8707,  70.8666
1952.0000,   1.0000, 116.6327,  85.7607, 146.4106
1952.0000,   2.0000,  94.0515,  64.4497, 122.5445
1952.0000,   3.0000, 167.5505, 138.4498, 197.0535
1952.0000,   4.0000, 218.4598, 187.1160, 249.4903
1952.0000,   5.0000, 111.8925,  80.6771, 142.8264
1952.0000,   6.0000,-108.1510,-138.8094, -77.6478
1952.0000,   7.0000,-156.1406,-186.6330,-125.8186
1952.0000,   8.0000,-145.6893,-175.1889,-115.4480
1952.0000,   9.0000,-104.5204,-135.9330, -75.5593
1952.0000,  10.0000,-183.0418,-212.7725,-152.1458
1952.0000,  11.0000, -63.4753, -94.4851, -32.6407
1952.0000,  12.0000, -26.6559, -56.8132,   4.3710
1953.0000,   1.0000, -32.5555, -62.8339,  -2.9509
1953.0000,   2.0000,   1.3342, -27.3742,  28.5935
1953.0000,   3.0000, 166.0728, 135.9764, 193.8257
1953.0000,   4.0000,  25.5700,  -4.9251,  56.6837
1953.0000,   5.0000, 177.0365, 146.5489, 206.6851
1953.0000,   6.0000, -78.4762,-108.6283, -47.6630
1953.0000,   7.0000,-115.5208,-145.7079, -85.8463
1953.0000,   8.0000, -96.7107,-125.5831, -67.3424
