Year,Month,Median,2.5 Percentile,97.5 Percentile
 1.9500e+03, 1.0000e+00, 9.3965e+01, 8.5492e+01, 1.0222e+02
 1.9500e+03, 2.0000e+00, 7.8181e+01, 6.8952e+01, 8.6659e+01
 1.9500e+03, 3.0000e+00, 5.2241e+01, 4.3593e+01, 5.9993e+01
 1.9500e+03, 4.0000e+00, 1.9161e+01, 1.1972e+01, 2.5799e+01
 1.9500e+03, 5.0000e+00, 5.3367e-01,-6.0406e+00, 7.7786e+00
 1.9500e+03, 6.0000e+00, 1.0963e+01, 3.2514e+00, 1.8549e+01
 1.9500e+03, 7.0000e+00, 3.8727e+01, 3.0176e+01, 4.7598e+01
 1.9500e+03, 8.0000e+00, 5.9069e+01, 5.0988e+01, 6.7006e+01
 1.9500e+03, 9.0000e+00, 8.5442e+01, 7.7183e+01, 9.3926e+01
 1.9500e+03, 1.0000e+01, 5.6997e+01, 4.8437e+01, 6.5809e+01
 1.9500e+03, 1.1000e+01, 9.4963e+01, 8.6321e+01, 1.0372e+02
 1.9500e+03, 1.2000e+01, 1.0203e+02, 9.2959e+01, 1.1056e+02
 1.9510e+03, 1.0000e+00, 7.9117e+01, 7.0541e+01, 8.7615e+01
 1.9510e+03, 2.0000e+00, 3.6948e+01, 2.8665e+01, 4.5378e+01
 1.9510e+03, 3.0000e+00, 4.1072e+01, 3.2485e+01, 4.9087e+01
 1.9510e+03, 4.0000e+00, 5.4616e+00,-1.1294e+00, 1.2250e+01
 1.9510e+03, 5.0000e+00, 1.9772e+00,-4.6349e+00, 8.7273e+00
 1.9510e+03, 6.0000e+00, 1.5631e+01, 7.4854e+00, 2.3570e+01
 1.9510e+03, 7.0000e+00, 4.7604e+01, 3.8734e+01, 5.6232e+01
 1.9510e+03, 8.0000e+00, 7.3657e+01, 6.5380e+01, 8.1820e+01
 1.9510e+03, 9.0000e+00, 9.7296e+01, 8.8906e+01, 1.0526e+02
 1.9510e+03, 1.0000e+01, 6.6103e+01, 5.7009e+01, 7.4681e+01
 1.9510e+03, 1.1000e+01, 1.0759e+02, 9.8183e+01, 1.1644e+02
 1.9510e+03, 1.2000e+01, 1.0841e+02, 9.9397e+01, 1.1762e+02
 1.9520e+03, 1.0000e+00, 7.4948e+01, 6.6484e+01, 8.3315e+01
 1.9520e+03, 2.0000e+00, 4.2978e+01, 3.4177e+01, 5.2070e+01
 1.9520e+03, 3.0000e+00, 3.9638e+01, 3.0931e+01, 4.7840e+01
 1.9520e+03, 4.0000e+00, 5.0062e+00,-1.4266e+00, 1.1590e+01
 1.9520e+03, 5.0000e+00, 6.9912e+00, 1.3330e-01, 1.3413e+01
 1.9520e+03, 6.0000e+00, 2.3731e+01, 1.5583e+01, 3.1051e+01
 1.9520e+03, 7.0000e+00, 5.6634e+01, 4.7959e+01, 6.4614e+01
 1.9520e+03, 8.0000e+00, 7.6168e+01, 6.7720e+01, 8.4540e+01
 1.9520e+03, 9.0000e+00, 8.9086e+01, 8.0527e+01, 9.7442e+01
 1.9520e+03, 1.0000e+01, 1.2249e+02, 1.1351e+02, 1.3113e+02
 1.9520e+03, 1.1000e+01, 6.7319e+01, 5.8885e+01, 7.5966e+01
 1.9520e+03, 1.2000e+01, 9.4106e+01, 8.5055e+01, 1.0351e+02
 1.9530e+03, 1.0000e+00, 8.5457e+01, 7.7172e+01, 9.3434e+01
 1.9530e+03, 2.0000e+00, 6.5996e+01, 5.7945e+01, 7.4445e+01
 1.9530e+03, 3.0000e+00, 3.4966e+01, 2.6687e+01, 4.3218e+01
 1.9530e+03, 4.0000e+00, 1.6999e+01, 1.0138e+01, 2.3874e+01
 1.9530e+03, 5.0000e+00, 1.1418e+01, 4.5489e+00, 1.8209e+01
 1.9530e+03, 6.0000e+00, 2.1844e+01, 1.4123e+01, 2.9261e+01
 1.9530e+03, 7.0000e+00, 6.4590e+01, 5.5787e+01, 7.2760e+01
 1.9530e+03, 8.0000e+00, 7.1130e+01, 6.3053e+01, 7.9438e+01
 1.9530e+03, 9.0000e+00, 1.0305e+02, 9.5053e+01, 1.1167e+02
 1.9530e+03, 1.0000e+01, 6.3871e+01, 5.4788e+01, 7.2388e+01
 1.9530e+03, 1.1000e+01, 7.1414e+01, 6.2734e+01, 8.0155e+01
 1.9530e+03, 1.2000e+01, 1.0742e+02, 9.8379e+01, 1.1639e+02
 1.9540e+03, 1.0000e+00, 1.1316e+02, 1.0485e+02, 1.2131e+02
 1.9540e+03, 2.0000e+00, 4.2746e+01, 3.4331e+01, 5.1290e+01
 1.9540e+03, 3.0000e+00, 5.5394e+01, 4.6994e+01, 6.3812e+01
 1.9540e+03, 4.0000e+00, 1.1161e+01, 4.3890e+00, 1.7474e+01
 1.9540e+03, 5.0000e+00, 1.3989e+01, 6.7822e+00, 2.0506e+01
 1.9540e+03, 6.0000e+00, 2.1276e+01, 1.3353e+01, 2.8752e+01
 1.9540e+03, 7.0000e+00, 6.1273e+01, 5.2521e+01, 6.9167e+01
 1.9540e+03, 8.0000e+00, 7.7190e+01, 6.8647e+01, 8.5674e+01
 1.9540e+03, 9.0000e+00, 7.2687e+01, 6.4348e+01, 8.0934e+01
 1.9540e+03, 1.0000e+01, 5.8214e+01, 4.9541e+01, 6.7013e+01
 1.9540e+03, 1.1000e+01, 7.2111e+01, 6.3173e+01, 8.0703e+01
 1.9540e+03, 1.2000e+01, 1.0782e+02, 9.8945e+01, 1.1733e+02
 1.9550e+03, 1.0000e+00, 1.1049e+02, 1.0178e+02, 1.1880e+02
 1.9550e+03, 2.0000e+00, 4.1220e+01, 3.2286e+01, 4.9854e+01
 1.9550e+03, 3.0000e+00, 5.6385e+01, 4.7474e+01, 6.4529e+01
 1.9550e+03, 4.0000e+00, 2.6660e+00,-4.0279e+00, 9.4648e+00
 1.9550e+03, 5.0000e+00, 6.6080e+00,-2.4985e-01, 1.3417e+01
 1.9550e+03, 6.0000e+00, 2.6309e+01, 1.8130e+01, 3.3959e+01
 1.9550e+03, 7.0000e+00, 6.2977e+01, 5.4499e+01, 7.1219e+01
 1.9550e+03, 8.0000e+00, 8.0971e+01, 7.2510e+01, 8.8849e+01
 1.9550e+03, 9.0000e+00, 9.6094e+01, 8.7663e+01, 1.0383e+02
 1.9550e+03, 1.0000e+01, 6.6072e+01, 5.7381e+01, 7.4978e+01
 1.9550e+03, 1.1000e+01, 1.1592e+02, 1.0740e+02, 1.2449e+02
 1.9550e+03, 1.2000e+01, 1.2777e+02, 1.1896e+02, 1.3649e+02
 1.9560e+03, 1.0000e+00, 8.7551e+01, 7.9375e+01, 9.5977e+01
 1.9560e+03, 2.0000e+00, 4.5722e+01, 3.6680e+01, 5.4253e+01
 1.9560e+03, 3.0000e+00, 4.9005e+01, 4.0667e+01, 5.7468e+01
 1.9560e+03, 4.0000e+00, 1.0244e+01, 3.4900e+00, 1.6919e+01
 1.9560e+03, 5.0000e+00, 3.9272e+00,-3.0163e+00, 1.0674e+01
 1.9560e+03, 6.0000e+00, 1.3854e+01, 6.1807e+00, 2.1493e+01
 1.9560e+03, 7.0000e+00, 4.6013e+01, 3.7735e+01, 5.4656e+01
 1.9560e+03, 8.0000e+00, 5.7427e+01, 4.9270e+01, 6.5499e+01
 1.9560e+03, 9.0000e+00, 8.9894e+01, 8.1807e+01, 9.8136e+01
 1.9560e+03, 1.0000e+01, 5.7944e+01, 4.9232e+01, 6.6763e+01
 1.9560e+03, 1.1000e+01, 8.2745e+01, 7.4369e+01, 9.1176e+01
 1.9560e+03, 1.2000e+01, 9.2232e+01, 8.3115e+01, 1.0136e+02
 1.9570e+03, 1.0000e+00, 1.0348e+02, 9.5316e+01, 1.1167e+02
 1.9570e+03, 2.0000e+00, 3.7141e+01, 2.8800e+01, 4.5484e+01
 1.9570e+03, 3.0000e+00, 3.4303e+01, 2.5918e+01, 4.2369e+01
 1.9570e+03, 4.0000e+00, 1.3705e+01, 6.8042e+00, 2.0375e+01
 1.9570e+03, 5.0000e+00, 1.1264e+01, 4.1358e+00, 1.7908e+01
 1.9570e+03, 6.0000e+00, 1.5927e+01, 8.2475e+00, 2.3957e+01
 1.9570e+03, 7.0000e+00, 5.5394e+01, 4.6695e+01, 6.3630e+01
 1.9570e+03, 8.0000e+00, 8.8298e+01, 7.9628e+01, 9.5867e+01
 1.9570e+03, 9.0000e+00, 7.9222e+01, 7.0927e+01, 8.7237e+01
 1.9570e+03, 1.0000e+01, 7.6852e+01, 6.8122e+01, 8.5491e+01
 1.9570e+03, 1.1000e+01, 8.8255e+01, 7.8969e+01, 9.6862e+01
 1.9570e+03, 1.2000e+01, 9.2199e+01, 8.3758e+01, 1.0166e+02
