Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0, 245.7, 222.0, 270.3
1950.0,   2.0, 143.3, 119.8, 167.0
1950.0,   3.0, 243.5, 219.5, 266.3
1950.0,   4.0, 342.7, 318.3, 367.0
1950.0,   5.0, 116.9,  93.2, 140.7
1950.0,   6.0,  74.0,  51.4,  96.8
1950.0,   7.0,  51.1,  31.1,  72.6
1950.0,   8.0,  41.3,  24.6,  61.2
1950.0,   9.0,  48.1,  29.8,  69.2
1950.0,  10.0,  68.7,  47.4,  91.5
1950.0,  11.0, 136.3, 112.9, 160.0
1950.0,  12.0, 193.5, 169.0, 217.7
1951.0,   1.0, 201.9, 178.3, 224.2
1951.0,   2.0, 198.2, 176.2, 222.0
1951.0,   3.0, 315.2, 290.7, 339.3
1951.0,   4.0, 366.7, 343.3, 391.5
1951.0,   5.0, 155.8, 131.9, 180.0
1951.0,   6.0,  89.2,  66.3, 112.4
1951.0,   7.0,  94.3,  71.4, 117.2
1951.0,   8.0,  43.2,  26.6,  63.6
1951.0,   9.0,  46.9,  29.2,  66.6
1951.0,  10.0,  42.4,  23.9,  64.3
1951.0,  11.0, 115.9,  92.6, 138.7
1951.0,  12.0, 135.2, 110.6, 158.6
1952.0,   1.0, 204.0, 180.8, 227.6
1952.0,   2.0, 172.4, 149.3, 196.0
1952.0,   3.0, 240.0, 217.0, 263.7
1952.0,   4.0, 294.0, 270.6, 318.5
1952.0,   5.0, 172.2, 148.3, 196.3
1952.0,   6.0,  85.3,  62.9, 109.6
1952.0,   7.0,  57.0,  36.4,  78.9
1952.0,   8.0,  40.7,  23.9,  60.0
1952.0,   9.0,  43.4,  26.2,  62.7
1952.0,  10.0,  50.8,  30.4,  73.2
1952.0,  11.0,  56.6,  36.5,  77.7
1952.0,  12.0, 158.1, 133.8, 180.9
1953.0,   1.0, 130.9, 108.3, 153.3
1953.0,   2.0, 133.2, 110.8, 156.2
1953.0,   3.0, 239.5, 215.6, 263.4
1953.0,   4.0, 176.8, 154.0, 199.6
1953.0,   5.0, 229.9, 205.9, 252.8
1953.0,   6.0,  86.9,  64.1, 110.5
1953.0,   7.0,  52.3,  32.8,  73.8
1953.0,   8.0,  56.5,  37.2,  77.4
1953.0,   9.0,  44.1,  26.7,  64.3
1953.0,  10.0,  32.9,  17.2,  52.2
1953.0,  11.0,  42.0,  24.7,  62.4
1953.0,  12.0, 113.4,  91.6, 137.1
1954.0,   1.0,  94.2,  72.1, 117.1
1954.0,   2.0, 237.7, 215.1, 260.8
1954.0,   3.0, 273.2, 249.7, 296.0
1954.0,   4.0, 335.7, 312.1, 359.0
1954.0,   5.0, 201.6, 178.0, 224.1
1954.0,   6.0,  86.0,  63.8, 109.3
1954.0,   7.0,  43.3,  25.5,  64.4
1954.0,   8.0,  36.9,  21.5,  54.9
1954.0,   9.0,  65.8,  45.5,  88.2
1954.0,  10.0,  94.1,  71.5, 116.5
1954.0,  11.0, 108.5,  86.2, 131.4
1954.0,  12.0, 135.4, 112.5, 159.6
1955.0,   1.0, 145.5, 123.7, 168.4
1955.0,   2.0, 100.3,  78.2, 123.5
1955.0,   3.0, 341.9, 318.0, 364.9
1955.0,   4.0, 295.8, 272.0, 319.5
1955.0,   5.0,  97.5,  74.7, 119.8
1955.0,   6.0,  56.9,  36.9,  78.7
1955.0,   7.0,  38.2,  21.2,  58.6
1955.0,   8.0,  43.1,  25.6,  63.4
1955.0,   9.0,  34.1,  19.7,  51.6
1955.0,  10.0, 193.0, 170.3, 215.7
1955.0,  11.0, 168.8, 144.9, 192.1
1955.0,  12.0, 111.4,  90.3, 135.1
1956.0,   1.0,  76.2,  54.2,  97.8
1956.0,   2.0, 101.4,  79.4, 123.7
1956.0,   3.0, 253.6, 230.2, 276.9
1956.0,   4.0, 368.1, 343.3, 391.3
1956.0,   5.0, 282.4, 258.5, 306.4
1956.0,   6.0, 113.4,  89.8, 136.6
1956.0,   7.0,  60.3,  39.8,  82.1
1956.0,   8.0,  50.5,  31.3,  71.6
1956.0,   9.0,  57.5,  38.0,  79.5
1956.0,  10.0,  46.3,  26.7,  67.2
1956.0,  11.0,  34.8,  19.2,  53.8
1956.0,  12.0, 126.2, 103.5, 149.1
1957.0,   1.0, 127.8, 105.4, 151.5
1957.0,   2.0, 122.6,  99.8, 145.4
1957.0,   3.0, 205.8, 182.7, 229.4
1957.0,   4.0, 191.6, 167.6, 214.7
1957.0,   5.0, 133.5, 109.8, 156.0
1957.0,   6.0,  83.6,  60.8, 105.6
1957.0,   7.0,  74.4,  52.6,  96.8
1957.0,   8.0,  38.6,  23.0,  56.5
1957.0,   9.0,  38.8,  22.4,  57.9
1957.0,  10.0,  27.7,  14.2,  45.9
1957.0,  11.0,  66.6,  45.8,  88.7
1957.0,  12.0, 153.5, 130.0, 176.7
1958.0,   1.0, 103.5,  80.1, 127.5
1958.0,   2.0,  77.9,  56.5,  99.2
1958.0,   3.0, 226.7, 203.8, 249.5
1958.0,   4.0, 221.1, 197.8, 245.3
1958.0,   5.0, 136.1, 113.8, 159.4
1958.0,   6.0,  98.3,  75.3, 122.2
1958.0,   7.0,  54.1,  32.9,  74.5
1958.0,   8.0,  42.0,  25.3,  61.3
1958.0,   9.0,  67.3,  46.1,  90.1
1958.0,  10.0,  66.3,  44.1,  88.7
1958.0,  11.0,  84.6,  63.2, 107.5
1958.0,  12.0,  86.1,  64.0, 109.3
1959.0,   1.0, 116.3,  93.4, 139.9
1959.0,   2.0, 116.4,  94.3, 139.5
1959.0,   3.0, 230.2, 206.5, 252.9
1959.0,   4.0, 405.0, 382.2, 430.7
1959.0,   5.0, 150.3, 126.2, 173.6
1959.0,   6.0,  58.0,  37.7,  79.6
1959.0,   7.0,  50.8,  32.4,  72.7
1959.0,   8.0,  37.9,  21.5,  56.4
1959.0,   9.0,  30.5,  17.3,  48.5
1959.0,  10.0, 112.4,  89.7, 135.8
1959.0,  11.0, 135.9, 113.0, 158.3
1959.0,  12.0, 225.3, 201.7, 249.5
1960.0,   1.0, 138.6, 115.1, 162.6
