Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, -19.4388, -47.2190,   7.6263
1950.0000,   2.0000, -36.1414, -60.7015, -10.9078
1950.0000,   3.0000,  -0.9246, -27.0347,  23.0890
1950.0000,   4.0000,  59.2086,  34.5346,  82.6212
1950.0000,   5.0000, 225.2354, 201.4638, 248.9557
1950.0000,   6.0000, 111.7240,  89.0555, 134.1045
1950.0000,   7.0000,  44.8126,  22.2145,  68.2748
1950.0000,   8.0000,  15.6631,  -8.9275,  40.2117
1950.0000,   9.0000, -23.8324, -49.3696,   1.0503
1950.0000,  10.0000, -26.9869, -51.3356,  -2.7292
1950.0000,  11.0000, -57.4443, -83.2841, -32.3218
1950.0000,  12.0000,-119.3553,-142.7590, -94.2568
1951.0000,   1.0000, -68.8944, -93.7271, -44.3872
1951.0000,   2.0000,  22.4409,  -1.3436,  46.3560
1951.0000,   3.0000,  21.0208,  -3.6565,  43.8259
1951.0000,   4.0000,  77.1925,  54.1512,  99.9011
1951.0000,   5.0000,  49.0622,  25.1752,  72.0313
1951.0000,   6.0000,  67.6485,  45.5862,  90.1921
1951.0000,   7.0000, -12.1816, -34.8823,  10.9673
1951.0000,   8.0000,  41.0055,  17.0256,  65.0046
1951.0000,   9.0000,  38.3918,  13.3783,  61.4256
1951.0000,  10.0000, -24.9619, -48.1497,  -1.1730
1951.0000,  11.0000, -92.7285,-117.2198, -69.5994
1951.0000,  12.0000, -79.4405,-103.2776, -56.2192
1952.0000,   1.0000, -45.7822, -70.5333, -20.0840
1952.0000,   2.0000, -58.9363, -82.5737, -35.9074
1952.0000,   3.0000, -24.7274, -48.2335,  -2.4742
1952.0000,   4.0000,  50.9559,  28.6343,  72.9304
1952.0000,   5.0000,   2.5649, -20.5224,  24.9552
1952.0000,   6.0000,  99.1796,  77.3144, 120.9127
1952.0000,   7.0000, 141.5783, 119.2635, 164.2163
1952.0000,   8.0000,  16.3449,  -7.4730,  38.5212
1952.0000,   9.0000, -73.8922, -98.3495, -50.6004
1952.0000,  10.0000,-164.0556,-187.1870,-140.8683
1952.0000,  11.0000,-106.3060,-130.5972, -82.6500
1952.0000,  12.0000, -92.7657,-116.3582, -69.1108
1953.0000,   1.0000, -51.0648, -74.7425, -26.2751
1953.0000,   2.0000, -21.7560, -44.7853,   1.5766
1953.0000,   3.0000,   0.3081, -23.5656,  22.8420
