Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000000,   1.000000,  67.245050,  51.865840,  84.204657
1950.000000,   2.000000,  35.728114,  20.270061,  50.587482
1950.000000,   3.000000,  12.926938,  -2.109247,  28.563223
1950.000000,   4.000000,  12.655983,   3.428071,  22.222697
1950.000000,   5.000000,  -3.229512,  -9.853121,   3.477014
1950.000000,   6.000000,  -4.603359,  -7.019200,  -2.215418
1950.000000,   7.000000,  -4.610115,  -7.949240,  -1.315290
1950.000000,   8.000000,  -3.038155, -14.722885,   9.628345
1950.000000,   9.000000,  10.367049,  -3.756806,  24.486116
1950.000000,  10.000000,  26.678698,  11.598310,  42.115360
1950.000000,  11.000000,  87.858332,  73.686090, 101.782461
1950.000000,  12.000000,  91.835342,  76.273827, 106.732845
1951.000000,   1.000000,  48.512114,  33.602077,  63.386726
1951.000000,   2.000000,   6.377152,  -7.504734,  20.824552
1951.000000,   3.000000,  13.286281,  -1.192976,  28.557298
1951.000000,   4.000000,   4.981438,  -4.260069,  14.305578
1951.000000,   5.000000,   1.284947,  -5.444384,   8.037966
1951.000000,   6.000000,  -4.047154,  -6.529429,  -1.745189
1951.000000,   7.000000,  -3.432462,  -6.733592,   0.013100
1951.000000,   8.000000,   1.106501, -11.131586,  13.218292
1951.000000,   9.000000,  32.042310,  17.884617,  45.657654
1951.000000,  10.000000,  46.408597,  31.868984,  61.473024
1951.000000,  11.000000,  96.989528,  82.713837, 111.135552
1951.000000,  12.000000,  77.987829,  63.570292,  93.001125
1952.000000,   1.000000,  48.126406,  32.691375,  62.991207
1952.000000,   2.000000,  35.287686,  21.988118,  49.348483
1952.000000,   3.000000,  21.194960,   6.663989,  35.894438
1952.000000,   4.000000,  10.756239,   1.879789,  19.792302
1952.000000,   5.000000,   6.024824,  -0.932784,  12.617652
1952.000000,   6.000000,  -4.214412,  -6.659922,  -1.817323
1952.000000,   7.000000,  -4.664252,  -8.015395,  -1.219759
1952.000000,   8.000000,   4.473970,  -6.712956,  16.474836
1952.000000,   9.000000,  37.492889,  24.395155,  50.940228
1952.000000,  10.000000,  98.610995,  84.512738, 112.035801
1952.000000,  11.000000,  87.461964,  73.713910, 101.410088
1952.000000,  12.000000,  83.776272,  69.571245,  97.695891
1953.000000,   1.000000,  59.301998,  44.340626,  74.528013
1953.000000,   2.000000,  31.956647,  17.597827,  46.115813
1953.000000,   3.000000,  21.662391,   6.987106,  35.997039
1953.000000,   4.000000,  15.363143,   6.158470,  24.752014
1953.000000,   5.000000,  -0.139769,  -6.618560,   6.621934
1953.000000,   6.000000,  -4.469043,  -6.783088,  -1.963151
1953.000000,   7.000000,  -3.327958,  -6.763231,  -0.034009
1953.000000,   8.000000,   3.007558,  -8.799639,  14.627323
1953.000000,   9.000000,  57.809063,  44.301931,  71.278658
1953.000000,  10.000000,  50.238993,  36.594766,  64.628944
1953.000000,  11.000000,  92.480226,  79.138695, 105.790318
1953.000000,  12.000000,  99.409004,  85.035049, 114.175235
1954.000000,   1.000000,  78.365987,  63.752826,  92.381466
1954.000000,   2.000000,  32.125301,  18.239957,  46.445502
1954.000000,   3.000000,  46.096916,  31.542422,  59.691594
1954.000000,   4.000000,  13.633836,   4.696795,  23.110089
1954.000000,   5.000000,   1.217074,  -5.486531,   8.144252
1954.000000,   6.000000,  -4.290135,  -6.758661,  -1.879800
1954.000000,   7.000000,  -3.474992,  -6.861574,   0.029549
1954.000000,   8.000000,  20.544936,   8.177940,  32.232056
1954.000000,   9.000000,  45.283256,  31.502975,  58.294547
1954.000000,  10.000000,  65.521155,  51.596584,  80.860102
1954.000000,  11.000000,  75.156384,  61.415869,  88.157670
1954.000000,  12.000000, 103.057253,  89.325619, 116.872489
1955.000000,   1.000000,  94.142839,  79.638253, 108.902872
1955.000000,   2.000000,  52.002087,  38.155897,  66.361061
1955.000000,   3.000000,  49.469720,  35.276402,  64.285423
1955.000000,   4.000000,   6.569144,  -2.748862,  15.820039
1955.000000,   5.000000,   4.899808,  -2.088197,  11.519538
1955.000000,   6.000000,  -3.824955,  -6.230379,  -1.454855
1955.000000,   7.000000,  -3.071316,  -6.425803,   0.415369
1955.000000,   8.000000,  13.403743,   1.485659,  25.479327
1955.000000,   9.000000,  64.792803,  51.572938,  78.056716
1955.000000,  10.000000,  55.939192,  41.560840,  70.924147
1955.000000,  11.000000,  99.944817,  86.547910, 113.740333
1955.000000,  12.000000, 115.967523, 101.858351, 130.159526
1956.000000,   1.000000,  70.264917,  55.972331,  84.714457
1956.000000,   2.000000,  58.977733,  44.985473,  72.629293
