Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  26.9042,   8.8353,  43.6857
1950.0000,   2.0000,   8.5637,  -7.4763,  25.1226
1950.0000,   3.0000,  50.3677,  33.9863,  67.2114
1950.0000,   4.0000, 108.0095,  92.2630, 122.8785
1950.0000,   5.0000, 273.3386, 258.7918, 288.8135
1950.0000,   6.0000, 196.0181, 182.1467, 209.6581
1950.0000,   7.0000, 149.3389, 135.8963, 162.7375
1950.0000,   8.0000, 123.0537, 107.2955, 138.7893
1950.0000,   9.0000,  75.4421,  58.3707,  92.1623
1950.0000,  10.0000,  77.6076,  59.8370,  94.9764
1950.0000,  11.0000,  38.0631,  21.3866,  54.5422
1950.0000,  12.0000, -28.9409, -45.3673, -12.1672
1951.0000,   1.0000,  -4.9957, -20.0642,  10.3240
1951.0000,   2.0000,  79.1740,  64.2901,  93.5918
1951.0000,   3.0000,  86.0868,  71.1186, 101.0875
1951.0000,   4.0000, 160.7852, 146.4950, 175.2789
1951.0000,   5.0000, 151.2801, 137.7549, 165.4432
1951.0000,   6.0000, 167.7418, 154.6126, 180.8017
1951.0000,   7.0000,  92.5652,  80.5839, 104.7793
1951.0000,   8.0000, 141.9306, 127.3769, 156.4817
1951.0000,   9.0000, 138.1930, 122.8826, 153.4950
1951.0000,  10.0000,  75.8921,  60.6079,  91.4119
1951.0000,  11.0000,   2.0540, -12.9077,  17.0976
1951.0000,  12.0000,  -0.3377, -15.6172,  14.2652
1952.0000,   1.0000,  18.9732,   4.0007,  33.4572
1952.0000,   2.0000,   0.4203, -14.1737,  14.7052
1952.0000,   3.0000,  39.9571,  25.7384,  55.0907
1952.0000,   4.0000, 115.8615, 102.2730, 129.5185
1952.0000,   5.0000,  95.0591,  81.6300, 107.8105
1952.0000,   6.0000, 160.4105, 147.4349, 173.0240
1952.0000,   7.0000, 194.4764, 182.2676, 206.6807
1952.0000,   8.0000, 115.3438, 101.3402, 128.5466
1952.0000,   9.0000,  22.0745,   7.7189,  37.2869
1952.0000,  10.0000, -65.8429, -80.2651, -51.8010
1952.0000,  11.0000, -18.2487, -32.9516,  -3.3210
1952.0000,  12.0000, -33.8568, -48.4880, -19.0514
1953.0000,   1.0000,   4.2779, -10.5894,  18.6327
1953.0000,   2.0000,  27.9297,  14.1367,  42.0511
1953.0000,   3.0000,  55.5547,  40.7701,  70.5836
1953.0000,   4.0000, 105.5385,  91.9858, 118.9201
1953.0000,   5.0000, 207.8276, 194.4788, 221.2225
1953.0000,   6.0000, 194.1455, 181.1145, 206.9082
1953.0000,   7.0000, 134.5622, 122.3515, 146.9124
1953.0000,   8.0000, 121.5526, 108.0260, 134.5476
1953.0000,   9.0000,  32.4615,  17.7298,  47.3217
1953.0000,  10.0000,  -6.7892, -21.0227,   7.4169
1953.0000,  11.0000, -26.1073, -40.8529, -11.4974
1953.0000,  12.0000, -15.6575, -29.2854,  -1.1309
1954.0000,   1.0000,  -6.7427, -21.5210,   8.0939
1954.0000,   2.0000,  20.5851,   6.5335,  34.4178
1954.0000,   3.0000,  16.9654,   2.7583,  31.4141
1954.0000,   4.0000, 159.1530, 144.8959, 173.1743
1954.0000,   5.0000, 230.9723, 217.4574, 244.5433
1954.0000,   6.0000, 159.3966, 146.8600, 171.9577
1954.0000,   7.0000,  72.5680,  60.8262,  84.7791
1954.0000,   8.0000,  54.1335,  40.4422,  67.1838
1954.0000,   9.0000,  63.5782,  49.3218,  78.2725
1954.0000,  10.0000,  20.5364,   5.6683,  34.6742
1954.0000,  11.0000, -16.6720, -30.4879,  -2.0661
1954.0000,  12.0000, -64.9633, -78.5172, -50.6169
1955.0000,   1.0000, -38.5253, -52.5512, -24.0939
1955.0000,   2.0000,   8.6895,  -4.9790,  22.6489
1955.0000,   3.0000,  44.8036,  30.4121,  59.0477
1955.0000,   4.0000, 135.4593, 122.2757, 148.9037
1955.0000,   5.0000, 122.1123, 108.5502, 135.4730
1955.0000,   6.0000,  84.1813,  71.6845,  96.6210
1955.0000,   7.0000, 104.4382,  92.0679, 116.9638
1955.0000,   8.0000, 101.8610,  88.0289, 114.7513
1955.0000,   9.0000,  42.9050,  28.0488,  57.8032
1955.0000,  10.0000,  59.4076,  44.6850,  74.0288
1955.0000,  11.0000,  19.4892,   4.7831,  33.4464
1955.0000,  12.0000, -43.4205, -56.9133, -29.4027
1956.0000,   1.0000, -11.8383, -25.8015,   2.7131
1956.0000,   2.0000, -23.1046, -36.7847,  -9.4985
1956.0000,   3.0000, -14.3909, -28.5195,  -0.2833
1956.0000,   4.0000,  68.0164,  54.9378,  81.4520
1956.0000,   5.0000, 182.9759, 169.7256, 196.2636
