Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  82.25,  69.50,  94.68
1950.00,   2.00,  35.52,  24.17,  47.39
1950.00,   3.00,  51.46,  38.89,  63.84
1950.00,   4.00,  73.11,  60.86,  84.95
1950.00,   5.00, 104.76,  92.68, 117.71
1950.00,   6.00, 111.45,  98.46, 124.15
1950.00,   7.00,  94.27,  81.98, 106.52
1950.00,   8.00,  85.87,  72.75,  98.93
1950.00,   9.00,  62.16,  49.39,  75.47
1950.00,  10.00,  68.58,  55.14,  81.24
1950.00,  11.00,  98.75,  85.74, 112.14
1950.00,  12.00,  47.07,  35.03,  59.05
1951.00,   1.00,  31.08,  20.78,  42.33
1951.00,   2.00,  69.98,  57.12,  82.52
1951.00,   3.00,  80.07,  68.00,  92.95
1951.00,   4.00,  64.04,  52.55,  75.83
1951.00,   5.00,  48.60,  37.55,  59.83
1951.00,   6.00, 103.09,  91.22, 115.44
1951.00,   7.00,  51.59,  40.28,  63.11
1951.00,   8.00, 114.65, 101.43, 127.42
1951.00,   9.00, 127.79, 114.21, 141.43
1951.00,  10.00,  79.09,  66.08,  91.86
1951.00,  11.00,  58.49,  45.97,  70.91
1951.00,  12.00,  48.35,  36.36,  59.94
1952.00,   1.00,  48.54,  36.85,  60.28
1952.00,   2.00,  21.85,  12.08,  32.39
1952.00,   3.00,  46.49,  34.20,  58.42
1952.00,   4.00,  45.68,  34.18,  57.03
1952.00,   5.00,  37.15,  26.21,  48.49
1952.00,   6.00, 106.80,  94.56, 118.65
1952.00,   7.00, 141.31, 129.31, 152.70
1952.00,   8.00,  87.51,  75.50,  99.29
1952.00,   9.00,  39.96,  27.14,  52.50
1952.00,  10.00,  20.40,  11.09,  31.16
1952.00,  11.00,  54.96,  42.75,  67.43
1952.00,  12.00,  34.41,  23.97,  45.75
1953.00,   1.00,  51.45,  39.47,  63.67
1953.00,   2.00,  50.42,  38.50,  62.34
1953.00,   3.00,  52.84,  40.40,  65.02
1953.00,   4.00,  52.59,  40.60,  63.99
