Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  42.4635,  26.8324,  59.0708
1950.0000,   2.0000,  40.0280,  24.6531,  56.0650
1950.0000,   3.0000,  40.4093,  28.9418,  52.1326
1950.0000,   4.0000,  51.0321,  37.9773,  66.2337
1950.0000,   5.0000,  92.2866,  74.7516, 109.0026
1950.0000,   6.0000, 158.4810, 141.6558, 175.4088
1950.0000,   7.0000, 170.3169, 151.3898, 187.5027
1950.0000,   8.0000, 163.3924, 147.3902, 178.7130
1950.0000,   9.0000, 128.5408, 112.9327, 143.6952
1950.0000,  10.0000,  78.5957,  66.1471,  91.2462
1950.0000,  11.0000,  49.0744,  34.0199,  63.8752
1950.0000,  12.0000,  32.0329,  14.0941,  50.0712
1951.0000,   1.0000,  40.3491,  24.5875,  56.6456
1951.0000,   2.0000,  35.0805,  18.6074,  52.3999
1951.0000,   3.0000,  35.9301,  24.6624,  47.3888
1951.0000,   4.0000,  48.9493,  34.0543,  62.9976
1951.0000,   5.0000, 101.4918,  83.7849, 118.6538
1951.0000,   6.0000, 155.9231, 140.2192, 173.5245
1951.0000,   7.0000, 180.2720, 163.3894, 197.0429
1951.0000,   8.0000, 168.4165, 152.3473, 184.1904
1951.0000,   9.0000, 148.8135, 134.0974, 164.3199
1951.0000,  10.0000,  80.7280,  68.0658,  93.5433
1951.0000,  11.0000,  41.8090,  27.4836,  56.2542
1951.0000,  12.0000,  35.9920,  18.8211,  52.4719
1952.0000,   1.0000,  39.0429,  23.8513,  56.3019
1952.0000,   2.0000,  37.4131,  21.1748,  53.0648
1952.0000,   3.0000,  36.3198,  25.3499,  47.3490
1952.0000,   4.0000,  49.2183,  34.8094,  62.9957
1952.0000,   5.0000, 122.8429, 107.1458, 138.7212
1952.0000,   6.0000, 162.3524, 143.9818, 177.9121
1952.0000,   7.0000, 206.4426, 187.3083, 222.9291
1952.0000,   8.0000, 163.3659, 149.0054, 179.7100
1952.0000,   9.0000, 142.3964, 127.4037, 157.9662
1952.0000,  10.0000,  87.9053,  75.6583, 100.5287
1952.0000,  11.0000,  40.9851,  27.5568,  55.8572
1952.0000,  12.0000,  26.7159,  10.6888,  43.4480
1953.0000,   1.0000,  41.5128,  25.7564,  56.0494
1953.0000,   2.0000,  41.9105,  26.5249,  58.1583
1953.0000,   3.0000,  36.3855,  23.2424,  48.0838
1953.0000,   4.0000,  70.2791,  56.7148,  86.2341
1953.0000,   5.0000, 136.0860, 118.9132, 152.8578
1953.0000,   6.0000, 149.8250, 131.8996, 165.2380
1953.0000,   7.0000, 195.1139, 176.4997, 213.0870
1953.0000,   8.0000, 167.5074, 151.2559, 183.5599
1953.0000,   9.0000, 148.1233, 132.4203, 163.1794
1953.0000,  10.0000,  84.5785,  71.5884,  97.4072
1953.0000,  11.0000,  43.0239,  29.3416,  57.4379
1953.0000,  12.0000,  39.2735,  21.7833,  55.2965
1954.0000,   1.0000,  45.2000,  30.8456,  60.3847
1954.0000,   2.0000,  33.2597,  17.6082,  49.1845
1954.0000,   3.0000,  38.8633,  27.2582,  49.4527
1954.0000,   4.0000,  49.9209,  35.3293,  63.7022
1954.0000,   5.0000, 137.7757, 120.4566, 154.9238
1954.0000,   6.0000, 149.5531, 133.0980, 166.3519
1954.0000,   7.0000, 188.7374, 171.4905, 206.3532
1954.0000,   8.0000, 175.9047, 160.8391, 190.9932
1954.0000,   9.0000, 128.1555, 113.1878, 144.0762
1954.0000,  10.0000,  84.2894,  71.0981,  97.7869
1954.0000,  11.0000,  37.4282,  23.3395,  51.7999
1954.0000,  12.0000,  33.3559,  16.3193,  50.4247
1955.0000,   1.0000,  45.3464,  29.6975,  61.1538
1955.0000,   2.0000,  37.6938,  22.7028,  52.8393
1955.0000,   3.0000,  37.8349,  25.5088,  50.0933
1955.0000,   4.0000,  49.8800,  36.1555,  63.4544
1955.0000,   5.0000, 156.6885, 138.6253, 172.8084
1955.0000,   6.0000, 156.3379, 139.8977, 172.8076
1955.0000,   7.0000, 200.2097, 183.3432, 216.5622
1955.0000,   8.0000, 187.1741, 170.9612, 202.8337
1955.0000,   9.0000, 138.0993, 122.8013, 153.3260
1955.0000,  10.0000,  86.1256,  73.0312,  98.9812
1955.0000,  11.0000,  43.7020,  29.4328,  58.8485
1955.0000,  12.0000,  33.3399,  17.0343,  49.8023
1956.0000,   1.0000,  40.6201,  25.1102,  55.6843
1956.0000,   2.0000,  37.3729,  19.9924,  53.6411
1956.0000,   3.0000,  37.7136,  26.6328,  48.9230
1956.0000,   4.0000,  48.4761,  34.4997,  62.6407
1956.0000,   5.0000, 109.6480,  93.1460, 126.2612
1956.0000,   6.0000, 159.9984, 142.8521, 176.3152
1956.0000,   7.0000, 174.3894, 156.1621, 191.9972
1956.0000,   8.0000, 161.8216, 146.1071, 177.5476
1956.0000,   9.0000, 139.7173, 123.0580, 155.6358
1956.0000,  10.0000,  81.5544,  69.5497,  94.2870
1956.0000,  11.0000,  51.8508,  36.6093,  65.8358
1956.0000,  12.0000,  24.3320,   7.9464,  42.6114
1957.0000,   1.0000,  45.0222,  29.3834,  61.8223
1957.0000,   2.0000,  34.2963,  18.0484,  51.1276
1957.0000,   3.0000,  35.5142,  23.9056,  46.7018
1957.0000,   4.0000,  48.5828,  34.7326,  63.1753
1957.0000,   5.0000, 128.9690, 112.8663, 146.4513
1957.0000,   6.0000, 157.2563, 139.8477, 175.6835
1957.0000,   7.0000, 181.4168, 164.6076, 199.3764
1957.0000,   8.0000, 176.6290, 160.0329, 190.6006
1957.0000,   9.0000, 132.2642, 117.3649, 149.2169
1957.0000,  10.0000,  82.1703,  69.4911,  95.1225
1957.0000,  11.0000,  41.9258,  27.4056,  56.3061
1957.0000,  12.0000,  30.2060,  13.4241,  46.4472
1958.0000,   1.0000,  47.7953,  31.8987,  65.3329
1958.0000,   2.0000,  42.1491,  26.2912,  58.6766
1958.0000,   3.0000,  35.2671,  24.2137,  46.6984
1958.0000,   4.0000,  50.2717,  36.7022,  64.3181
1958.0000,   5.0000, 146.3321, 129.2151, 161.0796
1958.0000,   6.0000, 149.2603, 133.4737, 165.0685
1958.0000,   7.0000, 178.1430, 161.5244, 195.2587
1958.0000,   8.0000, 172.0565, 155.4638, 188.0745
1958.0000,   9.0000, 133.9023, 117.9720, 148.7969
1958.0000,  10.0000,  84.3489,  71.4161,  98.2744
1958.0000,  11.0000,  47.9153,  33.7364,  61.6296
1958.0000,  12.0000,  35.7323,  18.5123,  52.1414
1959.0000,   1.0000,  38.6852,  24.4907,  54.5159
1959.0000,   2.0000,  35.9753,  19.5590,  52.5539
1959.0000,   3.0000,  37.3462,  25.7007,  48.3588
1959.0000,   4.0000,  47.7427,  32.5811,  62.1499
1959.0000,   5.0000,  74.3648,  58.0749,  90.7464
1959.0000,   6.0000, 165.1855, 148.1476, 181.7080
1959.0000,   7.0000, 190.0751, 172.0239, 207.7370
1959.0000,   8.0000, 171.1223, 154.1958, 186.2994
1959.0000,   9.0000, 144.3001, 127.9265, 159.9598
1959.0000,  10.0000,  86.1976,  73.8529,  98.0360
1959.0000,  11.0000,  40.7973,  25.9665,  55.9210
1959.0000,  12.0000,  24.4255,   8.1142,  40.5174
1960.0000,   1.0000,  42.1835,  26.5227,  57.3331
1960.0000,   2.0000,  41.1607,  25.0808,  54.8506
1960.0000,   3.0000,  39.3635,  28.2726,  51.2891
1960.0000,   4.0000,  48.2143,  33.6220,  61.4894
1960.0000,   5.0000, 107.3106,  91.6406, 124.6601
1960.0000,   6.0000, 152.4265, 135.0140, 169.2529
1960.0000,   7.0000, 189.2418, 171.3447, 206.2310
1960.0000,   8.0000, 165.7953, 150.6069, 181.9491
1960.0000,   9.0000, 140.8043, 126.6489, 156.9930
1960.0000,  10.0000,  84.7437,  72.1340,  97.0252
1960.0000,  11.0000,  40.7263,  26.1806,  54.6712
1960.0000,  12.0000,  44.3742,  27.9179,  59.8647
1961.0000,   1.0000,  39.6842,  24.2689,  56.5964
1961.0000,   2.0000,  33.9947,  18.5253,  50.2057
1961.0000,   3.0000,  35.6755,  24.1425,  46.9242
1961.0000,   4.0000,  49.4248,  34.8663,  63.0221
1961.0000,   5.0000, 108.7588,  91.6972, 124.8463
1961.0000,   6.0000, 147.9923, 131.7671, 165.0627
1961.0000,   7.0000, 183.8574, 166.3054, 200.9360
1961.0000,   8.0000, 165.4898, 150.6285, 180.2676
1961.0000,   9.0000, 150.5181, 134.1785, 166.2241
1961.0000,  10.0000,  82.3148,  68.7345,  95.5585
1961.0000,  11.0000,  44.0098,  30.4007,  58.4569
1961.0000,  12.0000,  35.8322,  18.4212,  52.7184
1962.0000,   1.0000,  45.3702,  28.2331,  60.1474
1962.0000,   2.0000,  35.8817,  19.4879,  51.3162
1962.0000,   3.0000,  35.1635,  23.6743,  46.8230
1962.0000,   4.0000,  49.3096,  34.4624,  64.4650
1962.0000,   5.0000, 105.2081,  87.1196, 123.4061
1962.0000,   6.0000, 153.3775, 136.3972, 170.7728
1962.0000,   7.0000, 189.5922, 173.1796, 208.0492
1962.0000,   8.0000, 161.4913, 145.5323, 176.6320
1962.0000,   9.0000, 143.6850, 127.9020, 159.7926
1962.0000,  10.0000,  80.7265,  67.6114,  93.8182
1962.0000,  11.0000,  33.9765,  19.5602,  47.9208
1962.0000,  12.0000,  39.3043,  23.6390,  57.5547
1963.0000,   1.0000,  40.1348,  24.3209,  56.2789
1963.0000,   2.0000,  35.0094,  19.0546,  51.6459
1963.0000,   3.0000,  35.8704,  24.1223,  47.0912
1963.0000,   4.0000,  48.4450,  34.1390,  63.0797
1963.0000,   5.0000,  75.7694,  60.1961,  92.9216
1963.0000,   6.0000, 151.6519, 135.1210, 168.0595
1963.0000,   7.0000, 203.3905, 185.8365, 220.1428
1963.0000,   8.0000, 172.0428, 156.3588, 188.8076
1963.0000,   9.0000, 132.3410, 116.3367, 148.5124
1963.0000,  10.0000,  81.1596,  68.1779,  93.6513
1963.0000,  11.0000,  44.1664,  29.5645,  58.1415
1963.0000,  12.0000,  38.7110,  23.1134,  53.9242
1964.0000,   1.0000,  39.7654,  24.8172,  54.6377
1964.0000,   2.0000,  37.2472,  21.2648,  52.8442
1964.0000,   3.0000,  37.1911,  25.5464,  48.7212
1964.0000,   4.0000,  48.6738,  34.5907,  62.7794
1964.0000,   5.0000, 123.0827, 106.9804, 140.1647
1964.0000,   6.0000, 139.6997, 123.0278, 156.7584
1964.0000,   7.0000, 203.2019, 185.7808, 219.4130
1964.0000,   8.0000, 160.9523, 146.9215, 177.3038
1964.0000,   9.0000, 134.7019, 118.4610, 150.6570
1964.0000,  10.0000,  77.0680,  63.5929,  90.6325
1964.0000,  11.0000,  43.9876,  30.4987,  58.5592
1964.0000,  12.0000,  31.3811,  15.6717,  48.0673
1965.0000,   1.0000,  44.7186,  28.5535,  60.8516
1965.0000,   2.0000,  40.0061,  23.0069,  55.8480
1965.0000,   3.0000,  38.1820,  26.3750,  50.3622
1965.0000,   4.0000,  48.7573,  34.4480,  63.2746
1965.0000,   5.0000,  85.9097,  69.5237, 103.3634
1965.0000,   6.0000, 154.0142, 135.7428, 168.5876
1965.0000,   7.0000, 186.6813, 171.2121, 205.0624
1965.0000,   8.0000, 160.8567, 144.2380, 177.0574
1965.0000,   9.0000, 121.1740, 105.3452, 136.6921
1965.0000,  10.0000,  82.4360,  69.1447,  95.4422
1965.0000,  11.0000,  40.7126,  26.9588,  55.8025
1965.0000,  12.0000,  25.5513,   9.9523,  42.9028
1966.0000,   1.0000,  50.2415,  33.7879,  65.1569
1966.0000,   2.0000,  36.9805,  20.7734,  53.6351
1966.0000,   3.0000,  36.1542,  24.4289,  47.2603
1966.0000,   4.0000,  49.4042,  36.0767,  62.7691
1966.0000,   5.0000, 125.5545, 109.6046, 142.6329
1966.0000,   6.0000, 141.9494, 124.5683, 158.1318
1966.0000,   7.0000, 204.8539, 187.6463, 223.5153
1966.0000,   8.0000, 163.3572, 147.8786, 179.7095
1966.0000,   9.0000, 144.7602, 129.8054, 161.3011
1966.0000,  10.0000,  79.0653,  67.2329,  91.0110
1966.0000,  11.0000,  36.0831,  21.0062,  50.2783
1966.0000,  12.0000,  34.4514,  16.2021,  50.1994
1967.0000,   1.0000,  42.6073,  27.7342,  58.1787
1967.0000,   2.0000,  42.8625,  26.6343,  58.4061
1967.0000,   3.0000,  36.4241,  24.4759,  47.6339
1967.0000,   4.0000,  47.5113,  33.1155,  61.7756
1967.0000,   5.0000, 120.3075, 103.5467, 137.2915
1967.0000,   6.0000, 148.7661, 131.8228, 165.5163
1967.0000,   7.0000, 169.4086, 153.7077, 187.7371
1967.0000,   8.0000, 175.0986, 159.5841, 191.5513
1967.0000,   9.0000, 134.7438, 117.0827, 149.2729
1967.0000,  10.0000,  76.4587,  63.9876,  89.9633
1967.0000,  11.0000,  38.1278,  24.4154,  52.2597
1967.0000,  12.0000,  27.9653,  12.5274,  45.5060
1968.0000,   1.0000,  44.1343,  29.0140,  60.3479
1968.0000,   2.0000,  40.1389,  25.8614,  56.5909
1968.0000,   3.0000,  36.6430,  24.5181,  49.3489
1968.0000,   4.0000,  48.0771,  33.7675,  62.7719
1968.0000,   5.0000, 119.2716, 103.4148, 136.9860
1968.0000,   6.0000, 145.1752, 129.0456, 162.4188
1968.0000,   7.0000, 192.0262, 174.7090, 209.7597
1968.0000,   8.0000, 171.4017, 155.1529, 187.2160
1968.0000,   9.0000, 129.9089, 113.7922, 144.9868
1968.0000,  10.0000,  88.1563,  75.2910, 101.0427
1968.0000,  11.0000,  38.1014,  24.0209,  52.1377
1968.0000,  12.0000,  40.0583,  22.9083,  57.0184
1969.0000,   1.0000,  42.3108,  25.9599,  58.3701
1969.0000,   2.0000,  38.2303,  23.2213,  53.9759
1969.0000,   3.0000,  38.9744,  27.6752,  50.1718
1969.0000,   4.0000,  48.0996,  34.2189,  62.3316
