Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,1156.4560, 992.8778,1382.0804
1950.0000,   2.0000, 494.4101, 280.4948, 683.3156
1950.0000,   3.0000,1013.7091, 891.8891,1227.9931
1950.0000,   4.0000,1222.9447,1101.7828,1414.0314
1950.0000,   5.0000, 123.2146,  47.8211, 415.1555
1950.0000,   6.0000,   9.4765, -91.3465, 121.3577
1950.0000,   7.0000,  -2.7883, -57.3583,  81.5637
1950.0000,   8.0000, -49.2624,-100.1712,  74.5070
1950.0000,   9.0000,  -1.1221, -46.7218,  81.1008
1950.0000,  10.0000,  56.5913,   7.8775, 165.2633
1950.0000,  11.0000, 355.1904, 205.6889, 548.6714
1950.0000,  12.0000, 635.5848, 434.0286, 789.1502
1951.0000,   1.0000, 600.7254, 492.5009, 773.9592
1951.0000,   2.0000, 805.3476, 601.1865, 968.4174
1951.0000,   3.0000, 969.0512, 780.5784,1164.6819
1951.0000,   4.0000, 717.6468, 548.7496, 843.9838
1951.0000,   5.0000,  92.2563,   4.1172, 212.8048
1951.0000,   6.0000,   2.0872, -54.9776,  59.7271
1951.0000,   7.0000, -57.5422,-107.1250,   8.0903
1951.0000,   8.0000, -78.4204,-116.5648,   7.8753
1951.0000,   9.0000, -56.8126, -91.7687, -12.5053
1951.0000,  10.0000,  83.9538,  20.3896, 176.1071
1951.0000,  11.0000, 214.7298, 136.9304, 356.4201
1951.0000,  12.0000, 167.5143,  93.8672, 263.1534
1952.0000,   1.0000, 609.7120, 419.9774, 825.2992
1952.0000,   2.0000, 276.3526, 159.8019, 439.9341
1952.0000,   3.0000, 784.0324, 586.0470, 946.6968
1952.0000,   4.0000, 436.4691, 315.9786, 581.0854
1952.0000,   5.0000, 177.2343,  71.2052, 297.7448
1952.0000,   6.0000, -64.5631,-112.2816,   7.1143
1952.0000,   7.0000, -81.6300,-127.3351,  20.0524
1952.0000,   8.0000, -53.1596, -94.2764,   7.3313
1952.0000,   9.0000, -69.8144, -98.4597,  13.3063
1952.0000,  10.0000, -21.8485, -54.6882,  41.5871
1952.0000,  11.0000,  99.0066,  34.1566, 179.6891
1952.0000,  12.0000, 159.0382,  56.1707, 288.1806
1953.0000,   1.0000, 160.9588,  21.9685, 238.2692
1953.0000,   2.0000,  82.1849,  -7.9474, 237.2905
1953.0000,   3.0000, 500.7571, 380.6473, 597.4789
1953.0000,   4.0000, 290.0745, 134.1910, 447.8959
1953.0000,   5.0000, 173.7845,  36.6271, 309.3249
1953.0000,   6.0000,  62.0260, -12.8734, 174.2020
1953.0000,   7.0000,  -2.7089, -92.8939, 129.1549
1953.0000,   8.0000, -43.9010,-103.3935, 123.0034
1953.0000,   9.0000, -56.2345, -90.2226,  17.5411
1953.0000,  10.0000, -18.6314, -58.1610,  45.5114
1953.0000,  11.0000,  81.5331,  -7.6718, 167.0898
1953.0000,  12.0000, 105.3883,  52.6613, 168.0916
1954.0000,   1.0000, 178.2047,  63.7154, 248.8520
1954.0000,   2.0000, 923.5604, 699.4133,1262.2693
1954.0000,   3.0000, 998.7775, 887.6265,1099.8150
1954.0000,   4.0000, 837.6410, 520.3965, 966.0769
1954.0000,   5.0000, 118.6181,  47.2088, 222.3565
1954.0000,   6.0000,  33.5987, -60.2911, 237.1844
1954.0000,   7.0000, -96.2017,-149.0928,  -8.3573
1954.0000,   8.0000, -81.3416,-121.5098, -17.0612
1954.0000,   9.0000, -32.9579, -71.8968,  44.5457
1954.0000,  10.0000, 659.5636, 371.8175, 768.7718
1954.0000,  11.0000,  65.4471,  14.7519, 168.2897
1954.0000,  12.0000, 220.3271,  56.4702, 339.2631
1955.0000,   1.0000, 218.1669,  29.6994, 365.9005
1955.0000,   2.0000, 201.6494,  75.0864, 412.3782
1955.0000,   3.0000, 749.7443, 393.5326, 945.4350
1955.0000,   4.0000, 415.3464, 304.6130, 553.4317
1955.0000,   5.0000,  -5.0729, -69.3574,  90.8021
1955.0000,   6.0000,  -1.0070, -85.7530, 146.6523
1955.0000,   7.0000,-118.5613,-152.5391, -70.7099
