Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000,   1.000, 362.186, 221.937, 541.678
1950.000,   2.000, 382.820, 254.783, 559.331
1950.000,   3.000, 483.467, 217.345, 698.068
1950.000,   4.000, 495.793, 414.895, 569.394
1950.000,   5.000, 216.508,  94.006, 370.873
1950.000,   6.000,  26.802, -29.763, 169.971
1950.000,   7.000, -22.515, -69.314,  33.593
1950.000,   8.000,  -2.586, -46.603,  54.797
1950.000,   9.000, -16.618, -65.925,  23.268
1950.000,  10.000,  33.290, -36.902, 161.150
1950.000,  11.000,  16.572, -60.439, 135.093
1950.000,  12.000, 305.132, 256.841, 369.088
1951.000,   1.000, 117.614,  17.628, 205.776
1951.000,   2.000, 214.801, 108.562, 334.999
1951.000,   3.000, 315.652, 244.505, 364.321
1951.000,   4.000, 229.879, 165.627, 301.212
1951.000,   5.000,  97.687, -10.509, 159.739
1951.000,   6.000,  -7.759, -60.938,  80.148
1951.000,   7.000, -20.687, -54.822,  19.267
1951.000,   8.000,  -4.433, -82.197,  57.423
1951.000,   9.000, -16.133, -55.438,  42.088
1951.000,  10.000, -16.764, -63.034,  44.024
1951.000,  11.000,  22.611, -55.343,  81.365
1951.000,  12.000,  50.887, -73.390, 144.089
1952.000,   1.000, -56.227,-109.160,   8.224
1952.000,   2.000, -64.608,-129.987,  15.738
1952.000,   3.000, 146.938, 102.622, 182.654
1952.000,   4.000, 255.499, 131.536, 382.656
1952.000,   5.000, -55.574,-159.461,  16.882
1952.000,   6.000, -71.747,-130.828,  -5.428
1952.000,   7.000, -25.608, -84.557,  28.565
1952.000,   8.000, -36.765, -97.916,  18.424
1952.000,   9.000,  -5.638, -25.994,  26.113
1952.000,  10.000, -29.635,-102.808,  10.569
1952.000,  11.000, -22.256, -78.039,  76.541
1952.000,  12.000,  73.291,  29.217,  97.046
1953.000,   1.000,-117.210,-171.367, -69.364
1953.000,   2.000,-154.396,-267.334, -40.876
1953.000,   3.000, 195.216, 109.793, 306.977
1953.000,   4.000, -16.854, -86.358, 118.867
1953.000,   5.000,  74.380,  -9.274, 140.987
1953.000,   6.000,  -0.970, -97.329, 176.534
1953.000,   7.000, -27.911, -60.190,  53.017
1953.000,   8.000, -47.574,-105.740,  13.541
1953.000,   9.000,  -8.687, -46.483,  18.716
1953.000,  10.000, -47.137, -85.261,  16.045
1953.000,  11.000, -18.642, -59.388,  29.247
1953.000,  12.000, -66.081,-171.273,  18.133
1954.000,   1.000, -58.827,-113.556, -12.176
1954.000,   2.000, 226.766,  92.531, 358.138
1954.000,   3.000, 252.052, 212.460, 299.569
1954.000,   4.000, 235.126, 183.862, 301.287
1954.000,   5.000, -43.804,-176.753, 102.025
1954.000,   6.000,  26.827, -71.241,  97.999
1954.000,   7.000, -50.722,-111.425,  -1.429
1954.000,   8.000, -24.051, -62.154,  27.312
1954.000,   9.000,  -4.369, -39.527,  31.337
1954.000,  10.000,   4.453, -61.199,  69.809
1954.000,  11.000,  30.103, -18.947,  93.881
1954.000,  12.000,  50.870, -30.310, 171.711
1955.000,   1.000, -25.078,-156.931, 168.556
1955.000,   2.000, -40.369,-113.695,  62.995
1955.000,   3.000, 206.995,  39.798, 295.798
1955.000,   4.000, 217.330, 154.186, 289.851
1955.000,   5.000,  22.634, -30.741,  73.238
1955.000,   6.000,  14.978,-122.153,  82.321
1955.000,   7.000, -26.531, -83.031,  10.254
1955.000,   8.000, -59.306,-111.988,  40.747
1955.000,   9.000,  -6.045, -55.108,  19.305
1955.000,  10.000,  10.181, -40.926, 164.543
1955.000,  11.000,  94.869,  55.478, 170.929
1955.000,  12.000, 115.981,  40.991, 243.377
1956.000,   1.000,  31.326, -93.108, 138.696
1956.000,   2.000, 114.433,   9.089, 250.141
1956.000,   3.000, 357.654, 294.554, 407.900
1956.000,   4.000, 315.721, 190.012, 448.244
1956.000,   5.000, 245.396, 202.896, 343.040
1956.000,   6.000,  99.313,  14.008, 165.177
1956.000,   7.000,  17.944, -53.330,  81.428
1956.000,   8.000,  16.806, -11.578,  73.973
1956.000,   9.000, -11.811, -43.861,  22.953
1956.000,  10.000,  72.712, -17.564, 176.769
1956.000,  11.000, 133.683,  11.350, 214.224
1956.000,  12.000, 214.818, 147.271, 289.453
1957.000,   1.000,  61.956, -53.450, 188.571
1957.000,   2.000,  61.330,   9.952, 118.323
1957.000,   3.000, 206.374,  16.754, 410.944
1957.000,   4.000, 414.532, 333.788, 488.183
1957.000,   5.000, 193.851,  94.265, 231.579
1957.000,   6.000, 127.604,  20.407, 258.887
1957.000,   7.000, -19.921, -51.178,  44.060
1957.000,   8.000,  11.838, -47.866,  67.609
1957.000,   9.000,   2.146, -30.487,  47.224
1957.000,  10.000,  75.569, -44.045, 114.510
1957.000,  11.000,  87.513,  18.839, 161.911
1957.000,  12.000, 190.776, 101.835, 279.919
1958.000,   1.000, 172.368,  57.289, 244.194
1958.000,   2.000, 352.246, 280.607, 390.285
1958.000,   3.000, 305.425, 247.802, 361.596
1958.000,   4.000, 325.031, 173.980, 493.181
1958.000,   5.000, 126.490,  27.168, 221.736
1958.000,   6.000,  70.559,  -2.496, 158.390
1958.000,   7.000,  -8.124, -44.104,  49.533
1958.000,   8.000,  77.319,   2.019, 143.975
1958.000,   9.000,  11.636, -24.627,  54.255
1958.000,  10.000, 103.466,  12.348, 180.192
1958.000,  11.000,  90.534,  25.860, 174.136
1958.000,  12.000, 233.660, 192.698, 288.812
1959.000,   1.000, 208.536,  90.604, 296.068
1959.000,   2.000, 243.801, 139.071, 359.961
1959.000,   3.000, 509.793, 455.816, 639.161
1959.000,   4.000, 395.792, 329.870, 480.195
1959.000,   5.000, 214.298, 124.706, 314.978
1959.000,   6.000,  61.065, -69.681, 226.003
1959.000,   7.000, -13.522, -48.754,  46.957
1959.000,   8.000,  -5.331, -71.892,  34.793
1959.000,   9.000,  10.109, -32.823,  44.546
1959.000,  10.000,  90.750,  28.136, 202.406
1959.000,  11.000, 124.503,  19.834, 218.936
1959.000,  12.000, 265.664, 201.528, 318.796
1960.000,   1.000,  86.679,  28.397, 133.285
1960.000,   2.000, 202.142, 156.246, 294.725
1960.000,   3.000, 345.048, 295.326, 398.293
1960.000,   4.000, 436.264, 329.553, 537.179
1960.000,   5.000, 169.299,  51.237, 247.709
1960.000,   6.000,  64.514, -60.762, 155.840
1960.000,   7.000, -28.261,-108.491,  53.238
1960.000,   8.000,   2.912, -52.497,  71.235
1960.000,   9.000,  -3.938, -53.679,  59.868
1960.000,  10.000, -43.618, -94.952,  31.408
1960.000,  11.000,   9.402, -27.898, 101.056
1960.000,  12.000, 105.470,  49.203, 142.396
1961.000,   1.000,  26.479, -75.594, 170.662
1961.000,   2.000,  78.013,  28.959, 148.098
1961.000,   3.000, 222.516, 181.415, 317.683
1961.000,   4.000, 323.899,  94.422, 443.697
1961.000,   5.000,  95.875,  -6.029, 222.001
1961.000,   6.000,  23.351, -68.943, 105.725
1961.000,   7.000,  -8.234, -34.036,  39.661
1961.000,   8.000, -43.707, -85.087,  55.590
1961.000,   9.000,   8.953, -26.609,  39.830
1961.000,  10.000,  86.427,  54.566, 129.082
1961.000,  11.000,  44.416, -20.847,  94.981
1961.000,  12.000, 112.678, -49.858, 323.554
1962.000,   1.000, 118.590,  76.507, 225.410
1962.000,   2.000, 254.778, 174.121, 293.647
1962.000,   3.000, 371.500, 313.961, 522.222
1962.000,   4.000, 215.115, 129.398, 310.820
1962.000,   5.000,   1.209,-111.269,  57.210
1962.000,   6.000,  28.398, -74.961,  81.731
1962.000,   7.000, -12.616, -47.475,  33.219
1962.000,   8.000,  28.397, -10.873,  85.325
1962.000,   9.000,  -6.489, -33.838,  33.740
1962.000,  10.000,  28.849, -41.532,  67.205
1962.000,  11.000, 158.110,  96.953, 216.480
1962.000,  12.000, 329.568, 273.282, 377.056
1963.000,   1.000, 192.095,  92.289, 252.868
1963.000,   2.000, 124.364,  -2.715, 216.763
1963.000,   3.000, 373.446, 325.517, 467.263
1963.000,   4.000, 373.059, 268.644, 460.032
1963.000,   5.000, 153.422, 103.695, 225.121
