Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,4731,4588,4858
1950,   2,4121,3998,4303
1950,   3,4214,4061,4318
1950,   4,5043,4931,5172
1950,   5,4941,4798,5082
1950,   6,4980,4871,5161
1950,   7,5270,5132,5458
1950,   8,5282,5185,5374
1950,   9,5339,5210,5446
1950,  10,5477,5402,5574
1950,  11,5290,5210,5450
1950,  12,5308,5170,5412
1951,   1,4584,4521,4655
1951,   2,4532,4406,4630
1951,   3,4987,4855,5085
1951,   4,5333,5181,5524
1951,   5,5441,5361,5562
1951,   6,5595,5373,5718
1951,   7,5551,5467,5638
1951,   8,5699,5584,5756
1951,   9,5521,5476,5676
1951,  10,5677,5586,5758
1951,  11,5636,5533,5773
1951,  12,5555,5442,5673
1952,   1,5444,5265,5670
1952,   2,5201,4924,5397
1952,   3,5254,5150,5487
1952,   4,5609,5442,5740
1952,   5,5623,5467,5777
1952,   6,5800,5609,6027
1952,   7,5838,5690,5942
1952,   8,5967,5878,6071
1952,   9,5925,5695,6037
1952,  10,5699,5623,5794
1952,  11,5635,5474,5725
1952,  12,5537,5425,5670
1953,   1,5278,5052,5513
1953,   2,5313,5000,5532
1953,   3,5184,4988,5367
1953,   4,5349,5243,5539
1953,   5,5724,5585,5823
1953,   6,5695,5572,5746
1953,   7,5710,5666,5824
1953,   8,5703,5653,5822
1953,   9,5708,5571,5815
1953,  10,5710,5635,5748
1953,  11,5696,5623,5750
1953,  12,5368,5256,5420
1954,   1,4699,4617,4767
1954,   2,4589,4525,4720
1954,   3,5251,5160,5357
1954,   4,5470,5332,5716
1954,   5,5537,5376,5611
1954,   6,5630,5532,5782
1954,   7,5637,5494,5763
1954,   8,5745,5651,5910
1954,   9,5657,5571,5717
1954,  10,5873,5663,5995
1954,  11,5690,5554,5877
1954,  12,5531,5379,5659
1955,   1,5235,5022,5435
1955,   2,4928,4729,5098
1955,   3,5292,5068,5585
1955,   4,5385,5287,5455
1955,   5,5549,5335,5649
1955,   6,5572,5513,5672
1955,   7,5609,5492,5680
1955,   8,5529,5423,5755
1955,   9,5464,5385,5618
1955,  10,5396,5345,5483
1955,  11,5350,5259,5411
1955,  12,5190,5105,5343
1956,   1,4327,4227,4376
1956,   2,3981,3899,4077
1956,   3,4803,4709,4863
1956,   4,5284,5167,5440
1956,   5,5876,5726,6001
1956,   6,5365,5297,5514
1956,   7,5556,5497,5593
1956,   8,5515,5379,5678
1956,   9,5472,5423,5541
1956,  10,5297,5178,5437
1956,  11,5150,5112,5230
1956,  12,5147,5107,5231
1957,   1,4467,4281,4610
1957,   2,4336,4230,4386
1957,   3,4735,4592,4845
1957,   4,5070,5018,5129
1957,   5,5252,5088,5321
1957,   6,5250,5114,5326
1957,   7,5402,5317,5558
1957,   8,5244,5107,5333
1957,   9,5311,5229,5409
1957,  10,5194,5086,5309
1957,  11,5308,5239,5358
1957,  12,5203,5098,5292
1958,   1,4215,4142,4388
1958,   2,3896,3692,3947
1958,   3,4744,4660,4794
1958,   4,4820,4641,5052
1958,   5,5225,5092,5287
1958,   6,5178,5095,5242
1958,   7,5141,5085,5252
1958,   8,5221,5163,5360
1958,   9,5133,5046,5240
1958,  10,5075,4902,5208
1958,  11,5032,4900,5115
1958,  12,4775,4641,4921
1959,   1,3940,3752,4097
1959,   2,3884,3771,4013
1959,   3,4658,4516,4744
1959,   4,5066,4952,5216
1959,   5,5222,5107,5343
1959,   6,5131,5043,5200
1959,   7,5057,4923,5147
1959,   8,5167,5063,5256
1959,   9,5018,4914,5122
1959,  10,5271,5148,5424
1959,  11,5233,5112,5302
1959,  12,5283,5219,5388
1960,   1,4785,4686,4873
1960,   2,4246,4175,4321
1960,   3,4501,4430,4616
1960,   4,5555,5414,5632
1960,   5,5402,5275,5536
1960,   6,5485,5424,5630
1960,   7,5558,5465,5660
1960,   8,5658,5578,5746
1960,   9,5538,5450,5633
1960,  10,5436,5376,5555
1960,  11,5421,5301,5492
1960,  12,5120,5007,5232
1961,   1,4821,4682,4890
1961,   2,4769,4646,4933
1961,   3,4889,4826,5008
1961,   4,5294,5142,5338
1961,   5,5313,5222,5485
1961,   6,5307,5201,5435
1961,   7,5417,5354,5507
1961,   8,5372,5298,5431
1961,   9,5359,5286,5399
1961,  10,5341,5222,5476
1961,  11,5206,5121,5280
1961,  12,5098,5047,5179
1962,   1,4503,4425,4685
1962,   2,4127,4045,4204
1962,   3,4863,4817,4978
1962,   4,5014,4938,5115
1962,   5,5320,5265,5368
1962,   6,5411,5310,5469
1962,   7,5355,5137,5464
1962,   8,5330,5195,5418
1962,   9,5406,5328,5469
1962,  10,5216,5128,5312
1962,  11,5286,5247,5351
1962,  12,4883,4777,5010
1963,   1,4260,4183,4304
1963,   2,3785,3722,3835
1963,   3,4735,4636,4854
1963,   4,4996,4896,5083
1963,   5,4977,4911,5104
1963,   6,5065,4875,5157
1963,   7,5138,5030,5258
1963,   8,5142,4890,5228
1963,   9,5084,4939,5271
1963,  10,5100,5024,5258
1963,  11,5016,4889,5118
1963,  12,4703,4623,4823
1964,   1,4242,4152,4324
1964,   2,3953,3705,4072
1964,   3,4371,4272,4504
1964,   4,4787,4610,4884
1964,   5,4891,4785,5002
1964,   6,4968,4820,5166
1964,   7,5010,4857,5228
1964,   8,5178,4975,5242
1964,   9,4952,4896,5085
1964,  10,4799,4673,4969
1964,  11,4885,4743,4969
1964,  12,4776,4664,4942
1965,   1,4294,4191,4347
