Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 108.87,  99.98, 117.64
1950.00,   2.00,  85.00,  76.53,  93.84
1950.00,   3.00,  60.00,  50.62,  68.70
1950.00,   4.00,  89.58,  80.74,  99.60
1950.00,   5.00,  28.72,  20.09,  37.50
1950.00,   6.00,  62.30,  52.35,  71.60
1950.00,   7.00, 101.63,  92.55, 111.60
1950.00,   8.00,  56.70,  47.91,  65.71
1950.00,   9.00,  68.51,  59.99,  77.57
1950.00,  10.00,  69.53,  60.96,  78.45
1950.00,  11.00, 102.63,  93.31, 111.54
1950.00,  12.00,  58.78,  49.93,  67.75
1951.00,   1.00,  68.06,  59.26,  76.85
1951.00,   2.00,  61.59,  52.79,  70.77
1951.00,   3.00,  72.82,  63.95,  81.68
1951.00,   4.00,  61.70,  51.89,  71.16
1951.00,   5.00,  55.75,  45.82,  65.24
1951.00,   6.00,  82.29,  72.30,  91.52
1951.00,   7.00,  62.07,  52.72,  70.59
1951.00,   8.00,  46.24,  36.94,  55.22
1951.00,   9.00,  52.81,  43.34,  61.70
1951.00,  10.00,  81.97,  73.29,  91.13
1951.00,  11.00,  70.43,  61.90,  79.45
1951.00,  12.00,  87.62,  78.18,  96.98
1952.00,   1.00,  65.19,  56.39,  73.63
1952.00,   2.00,  33.54,  24.88,  42.07
1952.00,   3.00,  60.32,  51.99,  68.80
1952.00,   4.00,  57.47,  48.45,  67.15
1952.00,   5.00,  73.44,  63.85,  82.54
1952.00,   6.00,  31.78,  22.43,  40.93
1952.00,   7.00,  67.79,  59.12,  76.98
1952.00,   8.00,  66.67,  57.59,  75.84
1952.00,   9.00,  40.03,  31.30,  48.60
1952.00,  10.00,  28.59,  20.86,  37.02
1952.00,  11.00,  53.35,  44.78,  62.48
1952.00,  12.00,  47.10,  38.11,  56.38
1953.00,   1.00,  51.34,  42.19,  60.02
1953.00,   2.00,  25.35,  16.92,  33.74
1953.00,   3.00,  66.58,  57.99,  75.31
1953.00,   4.00,  64.27,  55.01,  74.25
1953.00,   5.00,  76.70,  67.38,  86.56
1953.00,   6.00,  85.12,  75.34,  94.43
1953.00,   7.00,  72.82,  63.35,  82.17
1953.00,   8.00,  46.57,  37.82,  55.52
1953.00,   9.00,  53.54,  44.21,  62.65
1953.00,  10.00,  21.25,  13.27,  29.58
1953.00,  11.00,  21.28,  13.54,  30.07
1953.00,  12.00,  45.02,  36.41,  54.43
1954.00,   1.00,  48.76,  40.88,  57.57
1954.00,   2.00, 100.57,  91.91, 108.51
1954.00,   3.00, 105.40,  96.67, 113.94
1954.00,   4.00,  81.93,  73.01,  91.39
1954.00,   5.00,  17.98,  10.02,  26.77
1954.00,   6.00,  71.53,  61.52,  80.55
1954.00,   7.00,  27.98,  19.28,  36.33
1954.00,   8.00,  46.32,  37.68,  55.49
1954.00,   9.00,  51.53,  41.95,  60.62
1954.00,  10.00, 185.00, 176.33, 194.13
1954.00,  11.00,  35.94,  27.49,  44.55
1954.00,  12.00,  42.40,  33.35,  51.63
1955.00,   1.00,  43.17,  34.41,  52.12
1955.00,   2.00,  55.28,  46.86,  64.01
1955.00,   3.00,  53.82,  45.47,  62.55
