Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000,   1.000, 301.982, 269.881, 334.453
1950.000,   2.000,  43.971,  11.010,  74.871
1950.000,   3.000, 104.482,  75.655, 132.518
1950.000,   4.000, 152.358, 118.545, 188.117
1950.000,   5.000, -93.853,-124.423, -62.297
1950.000,   6.000, -49.218, -80.823, -16.513
1950.000,   7.000, -43.057, -88.253,   4.121
1950.000,   8.000, -61.557, -95.026, -32.320
1950.000,   9.000, -32.046, -61.605,  -3.089
1950.000,  10.000, -13.052, -48.215,  19.944
1950.000,  11.000,  -2.020, -44.249,  43.156
1950.000,  12.000,  24.386, -34.805,  82.462
1951.000,   1.000,  40.992,  11.502,  71.295
1951.000,   2.000, 117.030,  86.551, 147.497
1951.000,   3.000, 159.335, 131.901, 186.661
1951.000,   4.000,  88.159,  55.260, 121.798
1951.000,   5.000,  -2.626, -32.254,  27.390
1951.000,   6.000,  -8.745, -38.914,  25.544
1951.000,   7.000, -62.436,-106.885, -15.565
1951.000,   8.000, -83.207,-117.047, -52.681
1951.000,   9.000, -83.733,-109.666, -59.648
1951.000,  10.000, -29.251, -64.489,   0.294
1951.000,  11.000,   7.851, -34.286,  52.451
1951.000,  12.000,  48.506,  -7.913, 106.464
1952.000,   1.000, 257.528, 227.116, 285.813
1952.000,   2.000,  36.433,   7.661,  64.971
1952.000,   3.000,  89.953,  62.826, 116.369
1952.000,   4.000,  74.374,  41.691, 107.938
1952.000,   5.000, -19.382, -49.159,  11.903
1952.000,   6.000, -62.216, -89.510, -28.669
1952.000,   7.000, -88.791,-134.050, -44.260
1952.000,   8.000, -34.573, -70.054,  -6.305
1952.000,   9.000, -73.619,-100.296, -49.033
1952.000,  10.000,-185.491,-219.173,-157.548
1952.000,  11.000, -43.270, -86.344,   3.970
1952.000,  12.000,  17.380, -34.369,  72.398
1953.000,   1.000,  62.597,  31.800,  90.259
1953.000,   2.000, -25.697, -52.520,   3.316
1953.000,   3.000,  78.082,  52.905, 102.709
1953.000,   4.000,  12.652, -16.268,  45.452
1953.000,   5.000, 101.936,  73.443, 132.390
1953.000,   6.000,  17.342, -10.614,  51.087
1953.000,   7.000, -51.323, -95.918,  -5.999
1953.000,   8.000, -43.980, -80.355, -14.145
1953.000,   9.000,-111.280,-135.325, -87.012
1953.000,  10.000, -79.322,-113.618, -50.853
1953.000,  11.000, -43.662, -86.095,   2.045
1953.000,  12.000,-104.659,-155.367, -47.745
1954.000,   1.000, -27.495, -56.047,   0.300
1954.000,   2.000,  58.929,  29.409,  89.026
1954.000,   3.000, 163.503, 134.829, 188.176
1954.000,   4.000, 199.316, 169.329, 232.325
1954.000,   5.000, -72.073,-100.276, -40.445
1954.000,   6.000,  -8.676, -36.878,  23.949
1954.000,   7.000, -56.253, -98.460, -12.279
1954.000,   8.000, -37.336, -74.065,  -8.664
1954.000,   9.000, -54.707, -79.773, -30.518
1954.000,  10.000, 188.803, 157.533, 215.662
1954.000,  11.000, -56.103, -98.400,  -7.110
1954.000,  12.000, -22.075, -72.779,  33.515
1955.000,   1.000,  29.462,   0.202,  56.180
1955.000,   2.000,  17.683, -11.993,  47.361
1955.000,   3.000, 139.898, 111.045, 164.401
1955.000,   4.000,  36.466,   6.134,  70.412
1955.000,   5.000, -89.884,-120.452, -58.607
1955.000,   6.000, -66.596, -93.274, -35.363
1955.000,   7.000, -57.782, -99.559, -16.409
1955.000,   8.000, -47.505, -84.199, -16.175
1955.000,   9.000, -94.084,-119.580, -68.652
1955.000,  10.000, -39.733, -68.119, -13.086
1955.000,  11.000, -91.651,-132.644, -41.489
1955.000,  12.000, -88.776,-139.809, -33.861
1956.000,   1.000,-159.971,-189.058,-132.129
1956.000,   2.000, -27.636, -57.613,   2.847
1956.000,   3.000, 189.657, 163.273, 214.649
1956.000,   4.000, 131.698, 101.228, 166.857
1956.000,   5.000, 216.598, 187.428, 246.794
1956.000,   6.000,  -4.219, -33.525,  26.997
1956.000,   7.000, -28.766, -69.811,  10.320
1956.000,   8.000,  32.284,  -5.490,  61.392
1956.000,   9.000,-138.882,-164.543,-114.258
1956.000,  10.000, -87.868,-117.669, -61.852
1956.000,  11.000,-160.480,-202.134,-111.133
1956.000,  12.000,  -9.668, -60.435,  47.670
1957.000,   1.000, -35.954, -65.472,  -5.529
1957.000,   2.000,  17.589, -10.313,  46.410
1957.000,   3.000,   0.573, -25.019,  28.103
1957.000,   4.000, 231.882, 201.416, 265.329
1957.000,   5.000,   9.501, -19.190,  39.065
1957.000,   6.000,  56.203,  27.301,  90.753
1957.000,   7.000, -13.220, -56.706,  25.736
1957.000,   8.000,-119.586,-155.755, -90.002
1957.000,   9.000, -46.909, -70.648, -21.495
1957.000,  10.000, -98.142,-129.113, -71.981
1957.000,  11.000, -63.872,-105.382, -15.619
1957.000,  12.000,  74.919,  22.951, 131.082
1958.000,   1.000,-105.204,-133.530, -75.239
1958.000,   2.000,-127.889,-154.734, -98.853
1958.000,   3.000,   4.339, -21.422,  29.996
1958.000,   4.000,  36.593,   6.863,  69.470
1958.000,   5.000,   7.654, -18.728,  36.544
1958.000,   6.000,  76.167,  48.718, 109.224
1958.000,   7.000,  43.248,  -3.223,  83.400
1958.000,   8.000,  -5.574, -37.146,  22.522
1958.000,   9.000, -14.672, -39.242,   9.077
1958.000,  10.000, -98.842,-128.510, -71.941
1958.000,  11.000, -72.691,-113.130, -23.938
1958.000,  12.000,-100.189,-152.433, -43.169
1959.000,   1.000,  60.164,  30.194,  90.626
1959.000,   2.000,  90.295,  62.865, 121.422
1959.000,   3.000, 102.649,  76.328, 127.281
1959.000,   4.000, 137.840, 107.085, 170.947
1959.000,   5.000,  35.526,   9.697,  63.617
1959.000,   6.000, -63.581, -88.726, -29.702
1959.000,   7.000, -70.068,-117.275, -28.343
1959.000,   8.000, -23.196, -54.693,   4.381
1959.000,   9.000, -79.032,-103.276, -54.603
1959.000,  10.000,   3.855, -27.440,  31.041
1959.000,  11.000, -19.279, -63.021,  27.278
1959.000,  12.000, 117.005,  64.983, 172.381
1960.000,   1.000,  74.465,  45.119, 103.117
1960.000,   2.000,  -8.236, -35.323,  22.630
1960.000,   3.000, -16.841, -42.197,   7.376
1960.000,   4.000, 143.015, 111.763, 173.862
1960.000,   5.000,  81.112,  53.384, 108.649
1960.000,   6.000,  81.934,  56.427, 115.103
1960.000,   7.000,  -7.227, -53.914,  38.026
1960.000,   8.000,   5.067, -26.506,  33.235
1960.000,   9.000, -68.692, -94.542, -44.248
1960.000,  10.000,-121.857,-153.304, -95.258
1960.000,  11.000, -70.307,-113.656, -25.595
1960.000,  12.000,-129.799,-178.807, -72.306
1961.000,   1.000, -38.762, -66.622,  -8.485
1961.000,   2.000, 101.689,  74.433, 131.674
1961.000,   3.000, 118.562,  90.316, 141.952
1961.000,   4.000, 270.492, 241.230, 301.116
1961.000,   5.000, -24.283, -53.178,   3.085
1961.000,   6.000,  -8.471, -36.494,  23.134
1961.000,   7.000, -23.500, -69.289,  21.937
1961.000,   8.000, -35.325, -65.878,  -7.619
1961.000,   9.000, -80.703,-105.960, -53.698
1961.000,  10.000,-130.365,-160.905,-103.769
1961.000,  11.000, -75.635,-117.135, -29.572
1961.000,  12.000, -89.339,-141.243, -29.786
1962.000,   1.000,  -5.544, -34.493,  27.039
1962.000,   2.000, -21.929, -50.145,   7.616
1962.000,   3.000, 102.313,  75.436, 127.496
1962.000,   4.000,  17.489, -12.339,  45.197
1962.000,   5.000, -12.156, -40.707,  14.412
1962.000,   6.000,  39.436,  10.600,  72.340
1962.000,   7.000, -30.145, -76.362,  15.967
1962.000,   8.000, -15.930, -47.471,  11.962
1962.000,   9.000, -29.116, -54.739,  -4.807
1962.000,  10.000, -41.947, -75.118, -16.123
1962.000,  11.000,   4.498, -36.078,  49.037
1962.000,  12.000, -89.139,-140.835, -31.316
1963.000,   1.000, -85.458,-113.471, -54.590
1963.000,   2.000, -99.586,-125.453, -71.225
1963.000,   3.000, 206.116, 179.501, 231.618
1963.000,   4.000,  73.456,  43.045, 101.741
1963.000,   5.000, -16.906, -45.786,  11.167
1963.000,   6.000, -45.502, -71.984, -16.114
1963.000,   7.000, -30.893, -78.408,  15.308
1963.000,   8.000, -42.520, -73.345, -14.659
1963.000,   9.000, -50.978, -74.527, -28.128
1963.000,  10.000, -37.959, -67.693, -12.288
1963.000,  11.000, -58.514,-102.275, -13.721
1963.000,  12.000,-101.512,-153.318, -42.802
1964.000,   1.000,  36.062,   7.729,  68.440
1964.000,   2.000, -15.185, -40.639,  12.542
1964.000,   3.000, 121.380,  95.197, 145.927
1964.000,   4.000, 142.464, 113.062, 170.306
1964.000,   5.000, -38.889, -65.419,  -9.807
1964.000,   6.000, -17.225, -42.973,  13.018
1964.000,   7.000, -54.349, -97.515, -10.234
1964.000,   8.000,   7.490, -26.329,  34.431
1964.000,   9.000, -75.381,-100.662, -51.523
1964.000,  10.000, -96.778,-127.728, -73.208
1964.000,  11.000, -56.259, -99.901, -12.576
1964.000,  12.000,  24.396, -27.872,  82.277
1965.000,   1.000,  58.094,  29.513,  88.394
