Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000,   1.000, 198.008, 189.618, 206.252
1950.000,   2.000, 206.864, 198.427, 215.694
1950.000,   3.000, 194.892, 186.432, 203.346
1950.000,   4.000, 159.126, 150.143, 167.923
1950.000,   5.000, 158.799, 149.817, 168.356
1950.000,   6.000, 159.133, 149.748, 168.729
1950.000,   7.000, 155.940, 146.670, 165.068
1950.000,   8.000, 159.113, 149.692, 168.235
1950.000,   9.000, 161.049, 151.520, 170.821
1950.000,  10.000, 203.532, 194.365, 212.969
1950.000,  11.000, 226.617, 217.199, 236.334
1950.000,  12.000, 211.598, 202.803, 220.632
1951.000,   1.000, 192.719, 183.994, 201.295
1951.000,   2.000, 169.779, 161.323, 178.289
1951.000,   3.000, 175.840, 167.679, 184.184
1951.000,   4.000, 227.012, 217.921, 235.482
1951.000,   5.000, 228.574, 219.355, 237.932
1951.000,   6.000, 228.797, 219.656, 237.930
1951.000,   7.000, 226.444, 217.051, 236.018
1951.000,   8.000, 231.740, 221.910, 240.787
1951.000,   9.000, 234.373, 225.012, 243.637
1951.000,  10.000, 237.746, 228.404, 246.655
1951.000,  11.000, 234.676, 225.136, 243.479
1951.000,  12.000, 211.999, 203.368, 220.385
1952.000,   1.000, 194.398, 185.836, 202.886
1952.000,   2.000, 197.632, 189.809, 205.656
1952.000,   3.000, 206.524, 198.085, 214.968
1952.000,   4.000, 231.393, 222.977, 239.895
1952.000,   5.000, 234.579, 225.926, 243.906
1952.000,   6.000, 234.315, 225.317, 243.943
1952.000,   7.000, 214.446, 205.617, 223.016
1952.000,   8.000, 228.719, 219.168, 237.851
1952.000,   9.000, 243.643, 234.682, 252.870
1952.000,  10.000, 240.349, 230.562, 249.807
1952.000,  11.000, 243.543, 234.282, 252.881
1952.000,  12.000, 223.220, 214.416, 232.035
1953.000,   1.000, 217.367, 209.103, 225.689
1953.000,   2.000, 214.375, 206.100, 223.252
1953.000,   3.000, 209.500, 201.061, 218.240
1953.000,   4.000, 248.473, 239.550, 256.819
1953.000,   5.000, 243.407, 234.267, 252.407
1953.000,   6.000, 240.174, 231.130, 249.382
1953.000,   7.000, 243.400, 234.232, 252.116
1953.000,   8.000, 237.231, 228.004, 246.580
1953.000,   9.000, 237.434, 227.756, 246.769
1953.000,  10.000, 234.343, 225.042, 243.908
1953.000,  11.000, 228.213, 218.961, 237.201
1953.000,  12.000, 217.837, 208.608, 226.813
1954.000,   1.000, 209.477, 201.365, 218.009
1954.000,   2.000, 203.860, 195.426, 212.097
1954.000,   3.000, 211.626, 203.555, 220.244
1954.000,   4.000, 163.782, 155.073, 172.296
1954.000,   5.000, 177.871, 168.930, 187.420
1954.000,   6.000, 176.009, 166.450, 184.904
1954.000,   7.000, 183.757, 174.600, 192.827
1954.000,   8.000, 231.804, 222.510, 241.191
1954.000,   9.000, 234.523, 225.608, 243.750
1954.000,  10.000, 228.685, 219.143, 238.069
1954.000,  11.000, 223.545, 214.316, 232.939
1954.000,  12.000, 217.510, 208.322, 226.286
1955.000,   1.000, 211.482, 203.152, 219.900
1955.000,   2.000, 214.432, 205.942, 222.793
1955.000,   3.000, 211.588, 203.165, 220.147
1955.000,   4.000, 226.322, 217.982, 235.157
1955.000,   5.000, 223.654, 214.144, 232.804
1955.000,   6.000, 189.715, 180.609, 198.468
1955.000,   7.000, 180.589, 171.471, 189.876
1955.000,   8.000, 194.758, 185.890, 204.202
1955.000,   9.000, 220.461, 211.027, 230.010
1955.000,  10.000, 240.669, 231.219, 250.217
1955.000,  11.000, 234.456, 225.447, 244.050
1955.000,  12.000, 220.532, 211.765, 229.928
1956.000,   1.000, 210.132, 201.615, 218.722
1956.000,   2.000, 206.705, 198.081, 215.190
1956.000,   3.000, 197.606, 188.698, 205.661
1956.000,   4.000, 223.440, 214.390, 232.661
1956.000,   5.000, 223.437, 214.056, 232.717
1956.000,   6.000, 240.273, 231.064, 249.229
1956.000,   7.000, 220.481, 211.689, 229.363
1956.000,   8.000, 231.402, 222.248, 241.004
1956.000,   9.000, 237.596, 228.421, 247.443
1956.000,  10.000, 237.700, 228.213, 247.098
1956.000,  11.000, 240.576, 231.415, 250.106
1956.000,  12.000, 220.820, 211.793, 229.395
1957.000,   1.000, 203.777, 195.545, 212.024
1957.000,   2.000, 211.525, 203.121, 219.967
1957.000,   3.000, 214.846, 206.822, 223.217
1957.000,   4.000, 226.515, 217.866, 235.184
1957.000,   5.000, 237.523, 228.270, 246.897
1957.000,   6.000, 237.747, 228.389, 246.455
1957.000,   7.000, 214.477, 205.563, 223.762
1957.000,   8.000, 234.805, 226.008, 244.418
1957.000,   9.000, 240.571, 230.989, 249.757
1957.000,  10.000, 243.584, 234.138, 252.486
1957.000,  11.000, 231.955, 222.550, 241.197
1957.000,  12.000, 206.478, 198.034, 215.704
1958.000,   1.000, 206.606, 198.311, 215.042
1958.000,   2.000, 200.741, 192.406, 209.503
1958.000,   3.000, 200.738, 192.664, 209.163
1958.000,   4.000, 161.119, 152.196, 170.256
1958.000,   5.000, 217.754, 208.740, 226.846
1958.000,   6.000, 226.779, 217.386, 236.046
1958.000,   7.000, 211.507, 202.746, 221.102
1958.000,   8.000, 206.808, 197.243, 216.197
1958.000,   9.000, 180.821, 171.231, 190.339
1958.000,  10.000, 175.805, 165.982, 185.164
1958.000,  11.000, 167.358, 157.600, 176.490
1958.000,  12.000, 175.974, 167.413, 185.170
1959.000,   1.000, 155.878, 147.488, 163.571
1959.000,   2.000, 175.846, 167.530, 184.370
1959.000,   3.000, 166.870, 158.636, 175.460
1959.000,   4.000, 186.978, 177.956, 196.019
1959.000,   5.000, 197.533, 188.592, 206.877
1959.000,   6.000, 201.108, 191.922, 210.155
1959.000,   7.000, 176.200, 167.520, 184.688
1959.000,   8.000, 209.961, 199.937, 219.199
1959.000,   9.000, 200.763, 192.117, 210.065
1959.000,  10.000, 209.881, 200.556, 219.136
1959.000,  11.000, 211.600, 202.365, 220.753
1959.000,  12.000, 197.518, 188.783, 206.521
1960.000,   1.000, 180.616, 172.252, 188.903
1960.000,   2.000, 177.763, 169.464, 186.257
1960.000,   3.000, 176.034, 167.525, 184.193
1960.000,   4.000, 192.600, 183.819, 201.647
1960.000,   5.000, 192.919, 183.365, 201.485
1960.000,   6.000, 186.813, 177.129, 195.891
1960.000,   7.000, 166.824, 157.391, 175.588
1960.000,   8.000, 209.629, 200.183, 219.243
1960.000,   9.000, 234.533, 225.107, 243.607
1960.000,  10.000, 226.569, 216.784, 236.173
1960.000,  11.000, 243.474, 234.099, 252.828
1960.000,  12.000, 209.767, 200.649, 218.544
1961.000,   1.000, 206.426, 198.507, 214.702
1961.000,   2.000, 209.607, 201.045, 217.810
1961.000,   3.000, 211.321, 203.439, 219.817
1961.000,   4.000, 228.216, 219.150, 237.291
1961.000,   5.000, 194.540, 185.117, 203.056
1961.000,   6.000, 192.548, 183.487, 201.463
1961.000,   7.000, 209.543, 200.426, 218.408
1961.000,   8.000, 231.326, 222.260, 240.990
1961.000,   9.000, 226.313, 216.989, 236.169
1961.000,  10.000, 237.342, 228.240, 246.233
1961.000,  11.000, 203.917, 193.871, 212.735
1961.000,  12.000, 214.367, 205.194, 223.395
1962.000,   1.000, 206.684, 197.592, 215.187
1962.000,   2.000, 200.873, 192.513, 209.002
1962.000,   3.000, 209.425, 201.051, 217.881
1962.000,   4.000, 223.529, 215.201, 232.763
1962.000,   5.000, 243.579, 234.332, 252.699
1962.000,   6.000, 240.453, 230.979, 249.603
1962.000,   7.000, 234.718, 225.654, 243.694
1962.000,   8.000, 240.569, 231.178, 250.063
1962.000,   9.000, 214.803, 205.707, 223.444
1962.000,  10.000, 220.459, 211.422, 230.007
1962.000,  11.000, 186.717, 177.012, 196.384
1962.000,  12.000, 206.724, 197.906, 215.669
1963.000,   1.000, 206.541, 198.152, 214.793
1963.000,   2.000, 206.670, 198.274, 215.141
1963.000,   3.000, 209.264, 200.612, 217.746
1963.000,   4.000, 214.507, 205.499, 222.969
1963.000,   5.000, 223.939, 214.773, 232.923
1963.000,   6.000, 220.703, 211.442, 229.531
1963.000,   7.000, 203.728, 194.994, 212.763
1963.000,   8.000, 206.713, 197.676, 216.691
1963.000,   9.000, 180.819, 171.474, 190.012
1963.000,  10.000, 161.083, 151.804, 170.555
1963.000,  11.000, 169.935, 160.000, 179.070
1963.000,  12.000, 170.019, 161.010, 178.652
1964.000,   1.000, 155.871, 147.166, 164.437
1964.000,   2.000, 161.121, 152.832, 169.408
1964.000,   3.000, 176.120, 167.967, 184.505
1964.000,   4.000, 184.069, 174.582, 193.322
1964.000,   5.000, 209.898, 200.809, 219.422
1964.000,   6.000, 194.485, 185.092, 204.262
1964.000,   7.000, 192.928, 184.118, 202.047
1964.000,   8.000, 173.117, 164.103, 182.619
1964.000,   9.000, 159.098, 150.061, 168.428
1964.000,  10.000, 132.943, 123.495, 141.711
1964.000,  11.000, 116.131, 106.803, 125.632
1964.000,  12.000, 149.745, 140.829, 158.962
1965.000,   1.000, 183.828, 174.893, 192.092
1965.000,   2.000, 189.731, 181.189, 197.954
1965.000,   3.000, 194.754, 186.483, 203.938
1965.000,   4.000, 194.939, 186.283, 203.224
1965.000,   5.000, 220.931, 211.637, 230.085
1965.000,   6.000, 231.518, 222.470, 241.184
1965.000,   7.000, 226.726, 217.578, 235.818
1965.000,   8.000, 226.515, 217.504, 236.422
1965.000,   9.000, 224.090, 214.564, 233.533
1965.000,  10.000, 206.560, 197.232, 216.204
1965.000,  11.000, 194.584, 185.054, 203.803
1965.000,  12.000, 197.726, 188.947, 206.700
1966.000,   1.000, 192.533, 184.177, 201.170
1966.000,   2.000, 197.743, 188.931, 206.183
1966.000,   3.000, 194.577, 186.546, 202.850
