Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000000,   1.000000,  40.317070,  25.678670,  55.167396
1950.000000,   2.000000,  36.355498,  20.931669,  51.969661
1950.000000,   3.000000,  22.720604,  11.533562,  33.856220
1950.000000,   4.000000,  10.589173,   0.583389,  20.566318
1950.000000,   5.000000,  21.207790,   3.655434,  38.772665
1950.000000,   6.000000,  39.854335,  24.573391,  56.002246
1950.000000,   7.000000,  80.975217,  58.926262, 101.038908
1950.000000,   8.000000, 118.997751,  99.836611, 138.844057
1950.000000,   9.000000, 156.865445, 135.429646, 180.523880
1950.000000,  10.000000, 138.889964, 114.219550, 164.353453
1950.000000,  11.000000, 179.046003, 158.302813, 200.633438
1950.000000,  12.000000,  91.221128,  70.197104, 114.112359
1951.000000,   1.000000,  39.184466,  23.667745,  53.819443
1951.000000,   2.000000,  19.722473,   3.474385,  35.262605
1951.000000,   3.000000,  19.186683,   7.861880,  30.090186
1951.000000,   4.000000,   5.919840,  -4.408821,  16.014360
1951.000000,   5.000000,  15.757752,   0.011565,  31.139777
1951.000000,   6.000000,  36.227687,  18.837515,  52.353811
1951.000000,   7.000000,  77.171118,  59.296555,  96.115672
1951.000000,   8.000000, 116.019164,  97.318219, 133.385136
1951.000000,   9.000000, 152.946823, 130.675083, 174.694526
1951.000000,  10.000000, 144.396555, 122.018752, 168.752897
1951.000000,  11.000000, 153.833221, 131.695517, 175.163994
1951.000000,  12.000000,  76.651273,  56.049939,  96.911838
1952.000000,   1.000000,  24.251186,   8.981741,  39.125433
1952.000000,   2.000000,  13.707921,  -2.700749,  28.767241
1952.000000,   3.000000,  16.327441,   4.508103,  26.492052
1952.000000,   4.000000,   3.740015,  -6.746277,  13.397416
1952.000000,   5.000000,  19.687489,   2.258592,  36.198653
1952.000000,   6.000000,  29.961532,  13.526305,  46.040514
1952.000000,   7.000000,  86.511652,  65.482460, 106.210226
1952.000000,   8.000000, 105.021224,  84.334808, 123.868138
1952.000000,   9.000000, 148.821465, 125.237006, 172.644884
1952.000000,  10.000000, 210.315908, 189.231440, 233.001470
1952.000000,  11.000000, 118.353726,  95.504206, 140.828901
1952.000000,  12.000000,  70.881662,  46.526160,  89.384495
1953.000000,   1.000000,  28.376266,  14.003533,  43.767781
1953.000000,   2.000000,  22.254472,   5.862608,  38.561812
1953.000000,   3.000000,  16.101069,   4.705563,  26.638756
1953.000000,   4.000000,   9.157850,  -1.410287,  18.806480
1953.000000,   5.000000,   9.784704,  -8.369110,  26.832391
1953.000000,   6.000000,  24.745313,  10.064677,  39.529649
1953.000000,   7.000000,  76.604615,  57.424182,  96.888605
1953.000000,   8.000000, 103.700286,  83.418122, 125.238835
1953.000000,   9.000000, 171.619684, 151.052820, 191.970501
1953.000000,  10.000000, 140.219749, 118.906237, 162.752693
1953.000000,  11.000000, 131.446868, 112.467447, 151.587100
1953.000000,  12.000000, 113.866964,  92.796834, 134.674494
1954.000000,   1.000000,  41.325071,  27.028252,  56.783814
1954.000000,   2.000000,  20.220431,   5.392991,  34.918252
1954.000000,   3.000000,  21.776345,  10.533392,  32.672169
1954.000000,   4.000000,   3.654899,  -6.326287,  13.702107
1954.000000,   5.000000,  24.919141,   7.011279,  41.773458
1954.000000,   6.000000,  35.411318,  19.902431,  51.175671
1954.000000,   7.000000,  81.337523,  60.987359, 100.752215
1954.000000,   8.000000, 125.796274, 107.216260, 143.259383
1954.000000,   9.000000, 129.499606, 110.772713, 151.360501
1954.000000,  10.000000, 155.289291, 129.860207, 176.780699
1954.000000,  11.000000, 123.486574, 100.468370, 143.407605
1954.000000,  12.000000,  86.041611,  63.677854, 108.192011
1955.000000,   1.000000,  28.499509,  13.574496,  42.558223
1955.000000,   2.000000,  16.829939,   1.391346,  31.576643
1955.000000,   3.000000,  19.120519,   8.069521,  29.921692
1955.000000,   4.000000,   3.308995,  -6.917405,  13.156839
1955.000000,   5.000000,  25.907941,   8.302600,  43.914682
1955.000000,   6.000000,  41.241966,  25.516618,  57.184002
1955.000000,   7.000000,  77.824150,  56.452426,  96.597537
1955.000000,   8.000000, 127.193916, 107.179308, 149.062477
1955.000000,   9.000000, 158.545470, 137.819433, 177.196219
1955.000000,  10.000000, 186.644020, 164.595878, 209.191212
1955.000000,  11.000000, 177.212976, 156.721705, 198.265183
1955.000000,  12.000000,  88.017489,  67.637279, 110.150918
1956.000000,   1.000000,  58.406827,  44.808858,  72.707354
1956.000000,   2.000000,  31.584099,  15.174347,  47.610077
1956.000000,   3.000000,  16.841534,   6.407289,  27.868540
1956.000000,   4.000000,   6.033880,  -3.919979,  16.475107
1956.000000,   5.000000,  11.990951,  -5.510166,  29.380005
1956.000000,   6.000000,  30.939535,  16.710362,  46.216045
1956.000000,   7.000000,  75.161683,  57.532210,  94.716810
1956.000000,   8.000000,  99.735863,  78.289998, 121.424205
1956.000000,   9.000000, 170.127187, 150.090907, 188.589723
1956.000000,  10.000000, 125.054943, 102.332768, 147.090733
1956.000000,  11.000000, 186.452731, 166.750833, 205.655388
1956.000000,  12.000000,  81.361427,  59.167768, 101.216900
1957.000000,   1.000000,  41.006457,  24.526545,  56.316418
1957.000000,   2.000000,  14.538109,  -1.001666,  30.056147
1957.000000,   3.000000,  19.134662,   8.366278,  30.194944
1957.000000,   4.000000,   5.637942,  -4.320867,  15.503390
1957.000000,   5.000000,  26.949941,  10.523356,  43.127976
1957.000000,   6.000000,  33.962198,  18.079549,  50.199759
1957.000000,   7.000000,  72.383325,  52.158412,  90.904844
1957.000000,   8.000000, 141.493511, 123.463966, 159.257357
1957.000000,   9.000000, 157.870011, 137.458340, 180.355248
1957.000000,  10.000000, 200.284934, 178.759034, 224.464253
1957.000000,  11.000000, 147.764209, 128.190316, 169.032051
1957.000000,  12.000000,  89.480414,  68.638250, 113.471162
1958.000000,   1.000000,  42.935913,  26.920605,  58.833873
