Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,5687,5521,5858
1950,   2,5811,5644,5973
1950,   3,5730,5558,5913
1950,   4,6072,5897,6234
1950,   5,6300,6127,6500
1950,   6,6237,6051,6428
1950,   7,6019,5827,6185
1950,   8,5820,5655,5997
1950,   9,5685,5492,5863
1950,  10,5618,5431,5794
1950,  11,5695,5531,5869
1950,  12,5975,5815,6156
1951,   1,5782,5585,5954
1951,   2,5713,5555,5884
1951,   3,5892,5727,6040
1951,   4,6510,6353,6656
1951,   5,6613,6433,6779
1951,   6,6571,6364,6747
1951,   7,6359,6183,6537
1951,   8,6149,5982,6306
1951,   9,6054,5861,6236
1951,  10,5915,5745,6079
1951,  11,6067,5910,6249
1951,  12,6201,6003,6369
1952,   1,6357,6201,6511
1952,   2,6477,6315,6630
1952,   3,6701,6547,6856
1952,   4,6954,6779,7128
1952,   5,7096,6915,7270
1952,   6,6802,6624,6963
1952,   7,6593,6431,6757
1952,   8,6449,6240,6631
1952,   9,6452,6296,6614
1952,  10,6179,6019,6372
1952,  11,5985,5814,6144
1952,  12,5955,5773,6118
1953,   1,5922,5762,6097
1953,   2,6172,6012,6330
1953,   3,6152,5973,6324
1953,   4,6231,6057,6395
1953,   5,6352,6187,6548
1953,   6,6246,6092,6421
1953,   7,6284,6109,6440
1953,   8,6190,6044,6341
1953,   9,6146,5979,6305
1953,  10,5784,5630,5950
1953,  11,5703,5533,5861
1953,  12,6088,5953,6243
1954,   1,5600,5439,5757
1954,   2,5555,5385,5717
1954,   3,5930,5760,6088
1954,   4,6191,6021,6382
1954,   5,6515,6325,6682
1954,   6,6364,6193,6551
1954,   7,6073,5888,6248
1954,   8,6132,5981,6310
1954,   9,5944,5787,6122
1954,  10,6346,6177,6501
1954,  11,6330,6158,6493
1954,  12,6209,6036,6365
1955,   1,6336,6178,6488
1955,   2,6067,5897,6222
1955,   3,6514,6355,6667
1955,   4,6648,6490,6822
1955,   5,6754,6545,6937
1955,   6,6493,6324,6669
1955,   7,6214,6044,6389
1955,   8,6153,5981,6331
1955,   9,5860,5691,6021
1955,  10,5921,5747,6079
1955,  11,6046,5877,6194
1955,  12,5782,5633,5947
1956,   1,5574,5441,5717
1956,   2,5215,5066,5365
1956,   3,5318,5142,5479
1956,   4,5773,5584,5950
1956,   5,6280,6094,6437
1956,   6,6170,5975,6340
1956,   7,6081,5899,6237
1956,   8,6079,5920,6259
1956,   9,6075,5911,6256
1956,  10,5670,5494,5828
1956,  11,5740,5570,5910
1956,  12,5564,5401,5724
1957,   1,5430,5268,5593
1957,   2,5224,5079,5401
1957,   3,5355,5201,5529
