Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 161.47, 153.78, 169.17
1950.00,   2.00, 107.18, 100.15, 114.09
1950.00,   3.00,  81.72,  74.48,  89.01
1950.00,   4.00, 101.61,  94.04, 108.73
1950.00,   5.00,  34.63,  27.05,  42.56
1950.00,   6.00,  83.34,  75.98,  90.33
1950.00,   7.00,  89.50,  82.19,  96.45
1950.00,   8.00,  65.09,  56.97,  72.40
1950.00,   9.00,  94.53,  86.55, 102.63
1950.00,  10.00,  70.74,  63.14,  78.81
1950.00,  11.00, 122.80, 115.14, 130.40
1950.00,  12.00,  58.24,  50.57,  66.01
1951.00,   1.00,  63.27,  55.93,  71.13
1951.00,   2.00,  73.85,  66.92,  81.12
1951.00,   3.00,  95.77,  88.81, 103.16
1951.00,   4.00,  78.85,  71.38,  86.24
1951.00,   5.00,  68.93,  61.38,  76.91
1951.00,   6.00,  96.32,  89.57, 104.02
1951.00,   7.00,  71.42,  63.97,  78.43
1951.00,   8.00,  38.55,  30.37,  45.81
1951.00,   9.00,  61.95,  53.90,  70.08
1951.00,  10.00,  71.37,  63.62,  79.48
1951.00,  11.00,  90.50,  82.93,  98.32
1951.00,  12.00, 101.29,  93.57, 109.14
1952.00,   1.00,  99.85,  92.33, 107.99
1952.00,   2.00,  52.37,  45.43,  59.10
1952.00,   3.00,  77.71,  70.62,  84.70
1952.00,   4.00,  75.30,  68.02,  82.29
1952.00,   5.00,  89.00,  80.76,  96.29
1952.00,   6.00,  35.24,  28.40,  42.61
1952.00,   7.00,  57.10,  50.29,  64.14
1952.00,   8.00,  68.55,  60.43,  75.67
1952.00,   9.00,  70.37,  62.58,  78.77
1952.00,  10.00,  23.74,  16.78,  31.63
1952.00,  11.00,  58.39,  50.41,  65.89
1952.00,  12.00,  58.02,  50.19,  65.76
1953.00,   1.00,  70.78,  63.27,  78.73
1953.00,   2.00,  31.83,  24.79,  38.92
1953.00,   3.00,  72.92,  65.81,  79.81
1953.00,   4.00,  62.36,  55.06,  70.08
1953.00,   5.00,  99.69,  91.68, 107.22
1953.00,   6.00,  53.76,  46.88,  61.17
1953.00,   7.00,  60.19,  53.06,  67.22
1953.00,   8.00,  59.38,  51.71,  66.36
1953.00,   9.00,  51.98,  44.06,  60.67
1953.00,  10.00,  17.89,  10.94,  25.15
1953.00,  11.00,  39.23,  31.64,  46.85
1953.00,  12.00,  54.58,  47.16,  62.13
1954.00,   1.00,  65.05,  57.52,  72.82
1954.00,   2.00,  75.95,  69.15,  82.91
1954.00,   3.00, 110.63, 103.17, 117.91
1954.00,   4.00, 106.66,  99.10, 114.48
1954.00,   5.00,  29.56,  21.83,  37.25
1954.00,   6.00,  71.55,  64.53,  79.00
1954.00,   7.00,  48.54,  40.86,  56.11
1954.00,   8.00,  82.61,  74.27,  90.37
1954.00,   9.00,  46.51,  38.73,  54.46
1954.00,  10.00, 193.14, 185.85, 201.01
1954.00,  11.00,  46.29,  38.78,  53.71
1954.00,  12.00,  53.75,  46.26,  61.67
1955.00,   1.00,  54.79,  47.33,  62.48
1955.00,   2.00,  56.75,  49.86,  64.15
1955.00,   3.00,  90.79,  83.22,  98.27
1955.00,   4.00,  72.40,  65.27,  80.12
1955.00,   5.00,  49.53,  41.16,  57.12
1955.00,   6.00,  44.52,  37.66,  52.11
1955.00,   7.00,  61.51,  54.44,  69.42
1955.00,   8.00,  92.27,  83.41,  99.97
1955.00,   9.00,  44.16,  36.41,  52.23
1955.00,  10.00, 128.30, 120.85, 135.88
1955.00,  11.00,  84.05,  76.20,  91.25
1955.00,  12.00,  28.95,  21.65,  36.37
1956.00,   1.00,  38.81,  30.97,  46.26
1956.00,   2.00,  72.11,  65.59,  79.28
1956.00,   3.00,  91.72,  84.72,  98.55
1956.00,   4.00,  87.25,  79.99,  94.46
1956.00,   5.00, 123.32, 115.32, 130.80
1956.00,   6.00,  69.31,  62.12,  76.69
1956.00,   7.00,  83.16,  75.84,  90.36
1956.00,   8.00, 134.99, 127.13, 142.65
1956.00,   9.00,  38.93,  31.07,  46.80
1956.00,  10.00,  18.82,  11.80,  26.65
1956.00,  11.00,  48.73,  40.75,  56.11
1956.00,  12.00,  62.33,  54.76,  69.60
1957.00,   1.00,  62.00,  54.64,  69.62
1957.00,   2.00,  50.08,  43.26,  56.92
1957.00,   3.00,  34.63,  27.87,  41.71
1957.00,   4.00, 129.70, 122.47, 136.86
1957.00,   5.00,  79.68,  72.09,  87.46
1957.00,   6.00, 126.28, 119.11, 133.44
1957.00,   7.00,  70.64,  63.14,  77.89
1957.00,   8.00,  48.10,  40.22,  55.34
1957.00,   9.00,  97.82,  89.25, 105.63
1957.00,  10.00,  71.36,  64.11,  79.33
1957.00,  11.00,  59.96,  52.50,  67.34
1957.00,  12.00,  88.31,  80.77,  96.79
1958.00,   1.00,  43.08,  35.55,  50.58
1958.00,   2.00,  25.51,  19.05,  31.95
1958.00,   3.00,  19.28,  13.07,  25.47
1958.00,   4.00,  61.22,  53.93,  68.65
1958.00,   5.00,  45.38,  37.02,  52.67
1958.00,   6.00, 110.76, 104.00, 118.85
1958.00,   7.00, 117.89, 110.87, 125.53
1958.00,   8.00,  91.33,  83.73,  98.91
1958.00,   9.00,  93.12,  84.93, 101.13
1958.00,  10.00,  38.70,  31.32,  46.64
1958.00,  11.00,  89.93,  82.45,  97.37
1958.00,  12.00,  20.20,  13.93,  27.44
1959.00,   1.00, 106.79,  99.32, 114.42
1959.00,   2.00,  80.36,  73.71,  87.65
1959.00,   3.00,  69.67,  62.56,  77.29
1959.00,   4.00,  96.35,  88.96, 103.59
1959.00,   5.00,  76.31,  67.79,  83.30
1959.00,   6.00,  46.48,  39.70,  53.68
1959.00,   7.00,  73.40,  65.51,  79.98
1959.00,   8.00,  64.41,  56.35,  71.96
1959.00,   9.00,  68.40,  60.70,  76.25
1959.00,  10.00, 119.63, 112.16, 127.23
1959.00,  11.00,  78.37,  70.54,  85.78
1959.00,  12.00,  71.18,  63.52,  78.84
1960.00,   1.00,  77.39,  69.89,  85.17
1960.00,   2.00,  66.69,  59.62,  73.68
1960.00,   3.00,  32.59,  25.58,  39.56
1960.00,   4.00,  54.86,  47.54,  62.81
1960.00,   5.00,  88.65,  80.32,  96.37
1960.00,   6.00,  93.09,  86.07, 100.07
1960.00,   7.00,  65.36,  57.78,  72.25
1960.00,   8.00,  62.23,  54.29,  69.45
1960.00,   9.00,  28.96,  21.82,  37.02
1960.00,  10.00,  39.12,  31.44,  47.00
1960.00,  11.00,  42.45,  34.90,  49.99
1960.00,  12.00,  24.23,  16.30,  31.46
1961.00,   1.00,  16.98,   9.84,  24.61
1961.00,   2.00,  78.76,  72.10,  85.39
1961.00,   3.00,  80.84,  73.52,  88.38
1961.00,   4.00, 144.39, 137.05, 152.10
1961.00,   5.00,  48.75,  40.63,  56.38
1961.00,   6.00,  85.17,  78.59,  92.84
1961.00,   7.00,  81.81,  74.54,  89.15
1961.00,   8.00,  89.15,  80.97,  96.68
1961.00,   9.00,  79.51,  71.43,  87.73
1961.00,  10.00,  39.51,  32.09,  47.14
1961.00,  11.00,  60.97,  53.25,  68.85
1961.00,  12.00,  45.55,  38.34,  53.34
1962.00,   1.00,  70.69,  62.98,  78.39
1962.00,   2.00,  55.74,  48.21,  62.68
1962.00,   3.00,  36.05,  29.09,  42.64
1962.00,   4.00,  32.04,  25.18,  39.28
1962.00,   5.00,  46.39,  38.46,  54.25
1962.00,   6.00,  65.58,  58.82,  72.95
1962.00,   7.00,  71.49,  64.26,  78.65
1962.00,   8.00,  60.88,  52.63,  68.32
1962.00,   9.00,  83.06,  75.42,  90.97
1962.00,  10.00,  67.22,  59.94,  75.39
1962.00,  11.00,  49.54,  41.92,  57.48
1962.00,  12.00,  52.60,  45.20,  60.23
1963.00,   1.00,  28.18,  21.11,  35.89
1963.00,   2.00,  21.55,  15.40,  27.62
1963.00,   3.00,  78.57,  71.38,  85.56
1963.00,   4.00,  64.24,  57.13,  71.88
1963.00,   5.00,  52.66,  44.29,  60.02
1963.00,   6.00,  43.24,  36.22,  50.06
1963.00,   7.00,  64.31,  57.65,  71.49
1963.00,   8.00,  51.69,  43.93,  59.25
1963.00,   9.00,  26.83,  19.35,  34.54
1963.00,  10.00,  11.11,   5.01,  18.12
1963.00,  11.00,  58.35,  50.78,  65.87
1963.00,  12.00,  33.89,  26.64,  41.45
1964.00,   1.00,  49.37,  41.75,  56.85
1964.00,   2.00,  29.21,  23.08,  36.06
1964.00,   3.00, 106.43,  99.26, 113.73
1964.00,   4.00, 110.87, 103.95, 118.36
1964.00,   5.00,  54.41,  46.60,  62.28
1964.00,   6.00,  56.78,  49.92,  63.92
1964.00,   7.00,  56.12,  48.68,  63.28
1964.00,   8.00, 113.36, 105.33, 120.90
1964.00,   9.00,  34.24,  26.63,  42.04
1964.00,  10.00,  24.87,  17.75,  32.74
1964.00,  11.00,  26.45,  19.08,  34.13
1964.00,  12.00,  68.39,  60.57,  76.17
1965.00,   1.00, 101.11,  93.23, 108.79
1965.00,   2.00,  73.74,  66.51,  81.04
1965.00,   3.00,  66.31,  59.28,  73.54
1965.00,   4.00,  59.00,  51.95,  66.60
1965.00,   5.00,  52.48,  44.47,  60.05
1965.00,   6.00,  50.85,  43.96,  57.94
1965.00,   7.00,  52.20,  44.87,  59.47
1965.00,   8.00,  89.88,  81.68,  97.36
1965.00,   9.00,  69.58,  61.79,  78.03
1965.00,  10.00,  92.82,  85.25, 100.92
