Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 295.88, 271.31, 322.68
1950.00,   2.00, 149.07, 119.71, 173.63
1950.00,   3.00, 215.83, 192.43, 240.25
1950.00,   4.00, 171.31, 145.26, 195.45
1950.00,   5.00,  40.59,  18.88,  63.55
1950.00,   6.00,  25.95,   8.22,  49.99
1950.00,   7.00,  13.25,   3.52,  36.39
1950.00,   8.00,   7.13,   1.85,  19.44
1950.00,   9.00,  12.34,   2.79,  33.44
1950.00,  10.00,  22.08,   5.22,  46.55
1950.00,  11.00,  63.33,  37.46,  87.49
1950.00,  12.00, 126.71, 102.98, 153.43
1951.00,   1.00, 154.48, 132.34, 181.13
1951.00,   2.00, 189.06, 165.69, 211.59
1951.00,   3.00, 187.10, 162.27, 210.63
1951.00,   4.00, 148.77, 120.39, 176.31
1951.00,   5.00,  79.54,  52.34, 104.58
1951.00,   6.00,  32.89,  10.67,  57.60
1951.00,   7.00,  24.93,   7.12,  48.35
1951.00,   8.00,   8.58,   1.95,  25.71
1951.00,   9.00,  11.54,   2.62,  30.42
1951.00,  10.00,  25.40,   5.75,  47.76
1951.00,  11.00,  85.41,  63.08, 107.61
1951.00,  12.00,  89.96,  63.74, 111.88
1952.00,   1.00, 288.27, 255.55, 324.31
1952.00,   2.00, 140.81, 115.11, 170.75
1952.00,   3.00, 188.90, 163.02, 216.44
1952.00,   4.00, 153.16, 129.06, 180.21
1952.00,   5.00,  77.99,  47.63, 107.46
1952.00,   6.00,  31.30,  10.97,  62.27
1952.00,   7.00,  14.77,   3.94,  35.33
1952.00,   8.00,  16.07,   2.92,  38.83
1952.00,   9.00,  14.36,   3.13,  37.02
1952.00,  10.00,   7.63,   1.74,  24.11
1952.00,  11.00,  23.77,   6.52,  47.26
1952.00,  12.00,  71.62,  48.14,  95.61
1953.00,   1.00, 103.39,  73.88, 134.62
1953.00,   2.00,  65.51,  44.58,  90.05
1953.00,   3.00, 133.70, 108.23, 166.07
1953.00,   4.00,  60.96,  36.33,  84.21
1953.00,   5.00,  91.56,  70.50, 118.40
1953.00,   6.00,  47.63,  22.48,  72.48
1953.00,   7.00,  22.15,   6.93,  43.31
1953.00,   8.00,  16.02,   3.87,  43.17
1953.00,   9.00,   8.03,   2.01,  22.31
1953.00,  10.00,   7.70,   1.64,  22.28
1953.00,  11.00,  18.61,   5.24,  39.61
1953.00,  12.00,  30.89,  11.43,  52.34
1954.00,   1.00,  58.71,  35.46,  81.37
1954.00,   2.00, 110.07,  86.59, 133.32
1954.00,   3.00, 157.06, 132.15, 179.00
1954.00,   4.00, 173.33, 146.26, 196.73
1954.00,   5.00,  35.39,  14.62,  56.70
1954.00,   6.00,  22.68,   6.09,  41.89
1954.00,   7.00,  15.38,   3.62,  35.57
1954.00,   8.00,   9.81,   2.41,  29.21
1954.00,   9.00,  11.32,   2.42,  31.09
1954.00,  10.00, 155.70, 128.31, 179.20
1954.00,  11.00,  54.23,  26.60,  78.14
1954.00,  12.00,  79.34,  56.22, 109.02
1955.00,   1.00, 132.32, 104.38, 165.50
1955.00,   2.00, 105.48,  82.45, 126.25
1955.00,   3.00, 207.44, 172.67, 234.06
1955.00,   4.00, 108.60,  86.51, 130.51
1955.00,   5.00,  27.00,   9.68,  51.40
1955.00,   6.00,  19.24,   5.89,  43.38
1955.00,   7.00,  13.91,   3.70,  35.04
1955.00,   8.00,  10.64,   2.40,  30.00
1955.00,   9.00,   8.70,   1.98,  24.29
1955.00,  10.00,  30.32,   9.02,  54.47
1955.00,  11.00,  45.58,  21.67,  71.76
1955.00,  12.00,  29.08,   9.60,  52.75
1956.00,   1.00,   6.41,   1.77,  16.27
1956.00,   2.00,  71.04,  43.88,  96.26
1956.00,   3.00, 179.29, 157.38, 201.34
1956.00,   4.00, 110.10,  85.72, 134.42
1956.00,   5.00, 158.74, 135.08, 184.13
1956.00,   6.00,  38.10,  17.96,  60.75
1956.00,   7.00,  14.16,   3.69,  34.41
1956.00,   8.00,  21.79,   4.58,  47.53
1956.00,   9.00,   7.73,   1.91,  23.22
1956.00,  10.00,  11.17,   2.49,  31.32
1956.00,  11.00,   8.27,   2.19,  21.59
1956.00,  12.00,  51.64,  27.61,  72.68
1957.00,   1.00,  58.80,  34.15,  88.71
1957.00,   2.00,  86.03,  64.87, 107.43
1957.00,   3.00,  65.13,  41.65,  86.75
1957.00,   4.00, 185.01, 161.90, 204.86
1957.00,   5.00,  41.55,  22.78,  65.45
1957.00,   6.00,  37.10,  12.71,  61.36
1957.00,   7.00,  44.79,  22.07,  67.11
1957.00,   8.00,   5.67,   1.60,  14.36
1957.00,   9.00,   9.95,   2.33,  26.68
1957.00,  10.00,   8.23,   1.68,  22.81
1957.00,  11.00,  25.00,   7.17,  45.04
1957.00,  12.00,  99.33,  76.58, 121.92
1958.00,   1.00,  30.46,  10.93,  52.49
1958.00,   2.00,  19.54,   7.70,  38.22
1958.00,   3.00,  49.44,  31.88,  68.93
1958.00,   4.00,  33.66,  14.65,  57.31
1958.00,   5.00,  17.34,   6.96,  34.26
1958.00,   6.00,  22.34,   7.05,  44.23
1958.00,   7.00,  16.57,   4.04,  39.08
1958.00,   8.00,   9.06,   2.19,  23.27
1958.00,   9.00,   8.63,   2.16,  25.22
1958.00,  10.00,   5.56,   1.45,  16.38
1958.00,  11.00,  11.59,   2.94,  29.06
1958.00,  12.00,  15.64,   4.38,  32.33
1959.00,   1.00,  91.81,  66.96, 115.45
