Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  38.1883,  12.0294,  68.5237
1950.0000,   2.0000,  25.6038,  -3.7011,  54.6012
1950.0000,   3.0000,  65.7255,  41.3505,  89.9379
1950.0000,   4.0000, 140.9841, 114.8404, 166.3395
1950.0000,   5.0000,  81.0631,  59.4067, 104.9697
1950.0000,   6.0000,  78.6015,  53.6183, 102.0417
1950.0000,   7.0000,  70.9914,  44.2357,  96.0055
1950.0000,   8.0000,  -0.0108, -23.0374,  26.8266
1950.0000,   9.0000,  -0.8943, -25.4367,  33.3621
1950.0000,  10.0000, -28.4143, -64.1306,  -1.1459
1950.0000,  11.0000, -47.8658, -79.9283, -18.5151
1950.0000,  12.0000, -34.3199, -58.1400,  -9.0862
1951.0000,   1.0000,  17.3827,  -7.1943,  47.5191
1951.0000,   2.0000,  42.3824,  15.4957,  70.1924
1951.0000,   3.0000,  78.0474,  55.5389, 101.7326
1951.0000,   4.0000, 220.8660, 194.1172, 246.3769
1951.0000,   5.0000,  95.2156,  74.6402, 117.8005
1951.0000,   6.0000,  55.1275,  31.6729,  82.3202
1951.0000,   7.0000,  82.1782,  55.5181, 105.2259
1951.0000,   8.0000,  11.8090, -10.2958,  37.7892
1951.0000,   9.0000, -20.0358, -42.9044,  14.7129
1951.0000,  10.0000,  62.3818,  27.1361,  88.2585
1951.0000,  11.0000,  -7.2178, -39.1383,  21.5577
1951.0000,  12.0000, -28.5826, -52.4613,  -3.9921
1952.0000,   1.0000,  31.1998,   5.7949,  58.4307
1952.0000,   2.0000, -11.3614, -37.5942,  15.2453
1952.0000,   3.0000,  37.0888,  14.8654,  59.9189
1952.0000,   4.0000, 129.3676, 103.3002, 155.1382
1952.0000,   5.0000,  84.3582,  61.4232, 106.3900
1952.0000,   6.0000,   8.7164, -14.5710,  36.9074
1952.0000,   7.0000,  45.6653,  17.9293,  69.6309
1952.0000,   8.0000, -12.8612, -35.5526,  13.9347
1952.0000,   9.0000, -79.4440,-102.8067, -46.4748
1952.0000,  10.0000,-166.7304,-203.0817,-141.4325
1952.0000,  11.0000, -44.9216, -77.2090, -18.1431
1952.0000,  12.0000, -66.2565, -89.0970, -41.1289
1953.0000,   1.0000, -54.2934, -80.2176, -26.5504
1953.0000,   2.0000, -12.1285, -37.8270,  15.3305
1953.0000,   3.0000,  42.4734,  20.6700,  64.9469
1953.0000,   4.0000,  81.6252,  53.9374, 108.4237
1953.0000,   5.0000,  80.8904,  59.6305, 101.8278
1953.0000,   6.0000,  50.7237,  26.6035,  76.3897
1953.0000,   7.0000,   7.3357, -19.5580,  31.6787
1953.0000,   8.0000, -29.6744, -52.9605,  -4.4125
1953.0000,   9.0000, -71.4669, -94.3706, -38.1735
1953.0000,  10.0000, -80.2104,-117.4677, -55.7513
1953.0000,  11.0000,-116.4307,-147.9294, -89.7469
1953.0000,  12.0000,-108.1737,-130.8543, -83.8646
1954.0000,   1.0000, -73.4331, -98.1694, -45.6118
1954.0000,   2.0000,  30.3745,   2.0275,  60.2055
1954.0000,   3.0000,  11.5849, -10.7859,  34.3698
1954.0000,   4.0000, 128.7312, 101.8419, 151.8622
1954.0000,   5.0000,  69.6297,  49.1329,  92.1782
1954.0000,   6.0000,  99.2700,  75.4582, 126.0612
1954.0000,   7.0000,   8.0018, -18.3997,  31.2894
1954.0000,   8.0000, -42.6458, -64.7426, -18.6438
1954.0000,   9.0000,  14.9499,  -8.1868,  49.5135
1954.0000,  10.0000, 101.8837,  64.7839, 127.7811
1954.0000,  11.0000, -70.8907,-102.1198, -45.0004
1954.0000,  12.0000, -96.9232,-120.6076, -74.4154
1955.0000,   1.0000, -58.7864, -84.3519, -30.9144
1955.0000,   2.0000, -33.2774, -61.0900,  -4.8844
1955.0000,   3.0000,  -3.8116, -27.2411,  17.1936
1955.0000,   4.0000,  92.6999,  64.9169, 117.6090
1955.0000,   5.0000,  34.2584,  13.6518,  55.7907
1955.0000,   6.0000, -13.6667, -36.0687,  10.5061
1955.0000,   7.0000, -51.4443, -79.5566, -28.4234
1955.0000,   8.0000, -96.9606,-119.4667, -70.9725
1955.0000,   9.0000,-151.1765,-174.2005,-118.1822
1955.0000,  10.0000, -45.3851, -82.4903, -19.0768
1955.0000,  11.0000, -83.6177,-114.5220, -58.2580
1955.0000,  12.0000,-107.3134,-131.6461, -83.6742
1956.0000,   1.0000, -36.0147, -62.2649,  -9.2187
1956.0000,   2.0000,  -3.6617, -31.7762,  25.0496
1956.0000,   3.0000,  17.4161,  -5.0447,  39.9861
1956.0000,   4.0000, 100.2807,  73.3578, 124.6576
1956.0000,   5.0000, 133.5247, 112.4670, 155.0428
1956.0000,   6.0000,  19.4512,  -3.0236,  45.1493
1956.0000,   7.0000,  25.9952,  -2.9525,  49.0006
1956.0000,   8.0000,   4.8536, -17.9507,  31.8831
1956.0000,   9.0000, -84.8136,-108.8886, -50.8569
1956.0000,  10.0000, -78.7313,-115.5797, -55.0299
1956.0000,  11.0000, -89.3633,-119.0795, -62.5793
1956.0000,  12.0000, -84.7109,-107.3502, -61.2861
1957.0000,   1.0000, -65.4735, -91.4443, -38.6885
1957.0000,   2.0000, -17.6739, -45.4174,  10.0787
1957.0000,   3.0000, -12.0215, -34.4375,  10.4278
1957.0000,   4.0000,  74.1156,  47.6796,  98.8375
1957.0000,   5.0000,  83.3621,  60.7447, 104.2179
1957.0000,   6.0000,  58.6022,  33.3672,  84.7826
1957.0000,   7.0000,  25.2552,  -0.8761,  48.5616
1957.0000,   8.0000, -76.7744,-100.8753, -51.1018
1957.0000,   9.0000, -42.4436, -66.0847,  -9.0805
1957.0000,  10.0000, -51.7262, -88.0481, -26.0017
1957.0000,  11.0000, -26.8903, -57.1753,  -1.9992
1957.0000,  12.0000, -35.5485, -58.2553, -10.3243
1958.0000,   1.0000, -19.0485, -45.5384,   9.5718
1958.0000,   2.0000, -25.7574, -53.4780,   0.2521
1958.0000,   3.0000, -16.3749, -37.6109,   5.5965
1958.0000,   4.0000,  21.6771,  -4.7842,  45.8913
1958.0000,   5.0000, -16.6928, -39.7047,   5.0604
1958.0000,   6.0000,   7.0232, -15.7934,  31.0611
1958.0000,   7.0000,   5.9689, -20.7603,  28.8932
1958.0000,   8.0000, -57.2708, -80.1228, -31.7819
1958.0000,   9.0000, -30.7807, -54.2693,   0.8269
1958.0000,  10.0000, -65.8366,-101.8618, -40.6847
1958.0000,  11.0000, -91.9399,-121.7762, -67.1294
1958.0000,  12.0000,-116.0666,-138.1112, -94.1105
1959.0000,   1.0000, -17.5940, -42.8643,   9.0383
1959.0000,   2.0000,  20.8103,  -6.0855,  48.8333
1959.0000,   3.0000,  48.7450,  26.2084,  70.8749
1959.0000,   4.0000, 176.0875, 149.1721, 200.4358
