Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  92.74,  86.84,  98.99
1950.00,   2.00,  61.68,  55.86,  67.73
1950.00,   3.00,  67.68,  61.71,  73.23
1950.00,   4.00,  78.23,  71.00,  84.61
1950.00,   5.00,  42.61,  36.21,  48.76
1950.00,   6.00,  78.49,  72.15,  84.91
1950.00,   7.00,  91.86,  85.25,  97.84
1950.00,   8.00,  62.27,  55.58,  68.58
1950.00,   9.00,  66.82,  59.85,  73.46
1950.00,  10.00,  39.87,  33.62,  46.51
1950.00,  11.00,  79.42,  73.24,  85.96
1950.00,  12.00,  60.01,  54.12,  65.47
1951.00,   1.00,  57.90,  51.77,  64.14
1951.00,   2.00,  59.17,  53.40,  65.01
1951.00,   3.00,  80.01,  74.07,  85.54
1951.00,   4.00,  92.60,  85.65,  99.09
1951.00,   5.00,  50.27,  44.00,  56.90
1951.00,   6.00,  74.32,  68.22,  80.67
1951.00,   7.00,  95.17,  88.82, 101.16
1951.00,   8.00,  77.28,  71.19,  84.44
1951.00,   9.00,  90.13,  83.23,  96.71
1951.00,  10.00, 118.59, 111.85, 125.79
1951.00,  11.00,  72.99,  66.46,  79.20
1951.00,  12.00,  71.42,  65.82,  77.63
1952.00,   1.00,  64.67,  58.87,  71.19
1952.00,   2.00,  30.54,  24.88,  36.90
1952.00,   3.00,  63.39,  57.68,  69.27
1952.00,   4.00,  54.93,  48.33,  61.44
1952.00,   5.00,  72.82,  66.68,  79.26
1952.00,   6.00,  59.92,  53.92,  65.97
1952.00,   7.00, 122.46, 116.19, 128.57
1952.00,   8.00,  79.88,  73.20,  86.45
1952.00,   9.00,  50.72,  44.19,  57.01
1952.00,  10.00,  12.27,   6.53,  18.51
1952.00,  11.00,  83.79,  77.37,  89.97
1952.00,  12.00,  50.09,  44.57,  55.92
1953.00,   1.00,  55.91,  49.87,  62.17
1953.00,   2.00,  64.39,  58.55,  70.30
1953.00,   3.00,  65.41,  59.29,  71.29
1953.00,   4.00,  69.54,  62.88,  76.19
1953.00,   5.00,  70.91,  64.28,  77.21
1953.00,   6.00,  78.53,  72.44,  84.91
1953.00,   7.00,  72.63,  66.15,  78.73
1953.00,   8.00,  55.68,  49.23,  62.23
1953.00,   9.00,  73.63,  66.40,  79.95
1953.00,  10.00,  26.65,  20.58,  33.91
1953.00,  11.00,  40.30,  34.23,  46.43
1953.00,  12.00,  58.89,  53.17,  64.58
1954.00,   1.00,  44.92,  39.04,  51.30
1954.00,   2.00,  60.32,  54.09,  66.57
1954.00,   3.00,  66.22,  60.39,  71.87
1954.00,   4.00, 100.69,  93.65, 107.30
1954.00,   5.00,  59.38,  53.27,  65.97
1954.00,   6.00, 123.95, 117.39, 130.15
1954.00,   7.00,  54.90,  48.53,  60.95
1954.00,   8.00,  49.33,  43.12,  55.92
1954.00,   9.00, 119.08, 112.28, 125.87
1954.00,  10.00, 143.58, 137.08, 150.67
1954.00,  11.00,  46.03,  39.70,  52.45
1954.00,  12.00,  46.27,  40.62,  52.23
1955.00,   1.00,  47.47,  41.79,  53.92
1955.00,   2.00,  41.43,  35.71,  47.52
1955.00,   3.00,  54.53,  48.42,  59.86
1955.00,   4.00,  57.79,  50.68,  64.12
