Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0,  74.2,  65.3,  83.3
1950.0,   2.0,  47.5,  38.6,  56.3
1950.0,   3.0,  83.5,  74.0,  92.7
1950.0,   4.0, 138.7, 129.2, 149.0
1950.0,   5.0, 109.3,  99.0, 119.9
1950.0,   6.0,  59.1,  50.1,  68.1
1950.0,   7.0,  41.8,  33.5,  50.7
1950.0,   8.0,  29.8,  22.5,  37.9
1950.0,   9.0,  33.8,  26.0,  42.0
1950.0,  10.0,  25.4,  17.6,  33.6
1950.0,  11.0,  31.7,  23.6,  40.7
1950.0,  12.0,  46.8,  38.0,  56.5
1951.0,   1.0,  52.2,  43.8,  61.2
1951.0,   2.0,  50.7,  42.1,  59.7
1951.0,   3.0,  85.8,  76.3,  95.3
1951.0,   4.0, 178.8, 168.6, 188.9
1951.0,   5.0,  94.8,  83.8, 104.9
1951.0,   6.0,  47.0,  38.5,  55.7
1951.0,   7.0,  51.0,  42.4,  59.7
1951.0,   8.0,  32.9,  25.6,  40.9
1951.0,   9.0,  31.3,  24.1,  39.8
1951.0,  10.0,  59.8,  51.0,  68.6
1951.0,  11.0,  80.6,  71.5,  89.7
1951.0,  12.0,  58.6,  50.4,  68.1
1952.0,   1.0,  73.1,  64.3,  82.2
1952.0,   2.0,  55.7,  46.9,  64.0
1952.0,   3.0,  73.2,  64.5,  82.6
1952.0,   4.0, 146.6, 136.5, 157.1
1952.0,   5.0,  74.9,  65.4,  85.1
1952.0,   6.0,  47.0,  38.7,  55.6
1952.0,   7.0,  42.5,  34.2,  50.9
1952.0,   8.0,  31.1,  23.7,  38.8
1952.0,   9.0,  25.1,  18.6,  33.0
1952.0,  10.0,  17.7,  11.3,  24.9
1952.0,  11.0,  29.8,  21.8,  38.2
1952.0,  12.0,  49.4,  40.4,  58.3
1953.0,   1.0,  39.7,  31.4,  48.6
1953.0,   2.0,  40.0,  31.5,  48.6
1953.0,   3.0,  87.5,  78.1,  96.3
1953.0,   4.0, 100.8,  91.7, 111.3
1953.0,   5.0,  86.8,  77.2,  96.5
1953.0,   6.0,  53.5,  44.8,  62.0
1953.0,   7.0,  36.7,  28.5,  45.5
1953.0,   8.0,  28.7,  21.7,  36.3
1953.0,   9.0,  23.8,  17.6,  31.0
1953.0,  10.0,  21.1,  14.4,  29.1
1953.0,  11.0,  19.3,  12.9,  26.3
1953.0,  12.0,  31.3,  23.5,  39.9
1954.0,   1.0,  33.1,  25.3,  41.8
1954.0,   2.0,  53.9,  44.8,  62.8
1954.0,   3.0,  79.2,  69.9,  88.6
1954.0,   4.0, 116.5, 107.3, 127.2
1954.0,   5.0,  92.3,  82.2, 102.2
1954.0,   6.0,  69.3,  60.9,  78.3
