Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000,   1.000, 213.606, 177.528, 248.479
1950.000,   2.000, 101.044,  67.281, 139.621
1950.000,   3.000, 177.944, 135.371, 222.074
1950.000,   4.000, 242.059, 207.411, 281.163
1950.000,   5.000,  35.113,  -2.471,  71.037
1950.000,   6.000,  -3.587, -44.060,  38.241
1950.000,   7.000, -59.683,-105.463, -24.821
1950.000,   8.000, -74.845,-138.000, -26.228
1950.000,   9.000,-149.526,-195.210,-103.748
1950.000,  10.000, -70.838,-103.707, -23.467
1950.000,  11.000,   2.213, -33.905,  34.941
1950.000,  12.000,  27.236, -19.459,  72.240
1951.000,   1.000,  56.296,  23.668,  88.160
1951.000,   2.000, 170.247, 139.532, 205.399
1951.000,   3.000, 205.620, 166.443, 246.925
1951.000,   4.000, 333.836, 301.737, 371.549
1951.000,   5.000,  23.112, -15.460,  57.329
1951.000,   6.000, -11.886, -50.945,  27.579
1951.000,   7.000, -49.220, -91.858, -14.826
1951.000,   8.000,-162.597,-226.392,-114.704
1951.000,   9.000,-154.339,-198.443,-110.325
1951.000,  10.000,-155.094,-189.202,-109.947
1951.000,  11.000, -52.367, -84.714, -21.612
1951.000,  12.000,   1.672, -43.128,  46.006
1952.000,   1.000, 122.855,  91.783, 153.755
1952.000,   2.000, 103.159,  72.264, 139.177
1952.000,   3.000, 181.997, 142.898, 224.089
1952.000,   4.000, 239.735, 208.160, 277.090
1952.000,   5.000, 139.227, 103.307, 173.840
1952.000,   6.000, -82.459,-121.118, -47.103
1952.000,   7.000,-136.092,-178.591,-104.765
1952.000,   8.000,-134.471,-195.461, -88.077
1952.000,   9.000,-116.859,-157.932, -75.937
1952.000,  10.000,-222.008,-253.801,-176.006
1952.000,  11.000,-107.378,-138.848, -75.679
1952.000,  12.000, -62.687,-107.498, -20.256
1953.000,   1.000, -27.969, -58.190,   2.301
1953.000,   2.000,  12.038, -19.544,  47.170
1953.000,   3.000, 179.262, 141.266, 219.062
1953.000,   4.000,  46.250,  16.345,  81.583
1953.000,   5.000, 205.522, 168.522, 238.801
1953.000,   6.000, -52.617, -88.496, -18.701
1953.000,   7.000, -96.214,-138.946, -64.971
1953.000,   8.000, -85.129,-145.349, -42.421
1953.000,   9.000,-123.963,-164.354, -79.976
1953.000,  10.000,-174.222,-204.995,-125.535
1953.000,  11.000,-128.880,-162.540, -96.799
1953.000,  12.000, -42.601, -84.829,  -1.826
1954.000,   1.000, -56.199, -86.334, -25.622
1954.000,   2.000, 190.325, 160.555, 224.526
1954.000,   3.000, 160.947, 122.861, 199.724
1954.000,   4.000, 283.273, 251.858, 316.159
1954.000,   5.000,  87.441,  50.842, 119.793
1954.000,   6.000, -12.754, -46.712,  21.654
1954.000,   7.000,-175.445,-216.276,-141.980
1954.000,   8.000, -84.990,-145.579, -41.865
1954.000,   9.000, -73.335,-111.206, -30.202
1954.000,  10.000,  25.904,  -6.754,  74.376
1954.000,  11.000,   9.424, -23.653,  41.424
1954.000,  12.000, -40.419, -84.235,   0.506
1955.000,   1.000,   1.225, -29.830,  31.874
1955.000,   2.000,  34.913,   3.769,  67.908
1955.000,   3.000, 289.495, 252.597, 328.967
1955.000,   4.000, 210.074, 179.534, 245.016
1955.000,   5.000, -21.434, -58.676,  13.484
1955.000,   6.000,-110.449,-146.471, -76.258
1955.000,   7.000,-155.682,-198.711,-123.791
1955.000,   8.000, -67.366,-129.656, -24.740
1955.000,   9.000,-184.151,-220.977,-142.468
1955.000,  10.000, 127.223,  96.893, 176.633
1955.000,  11.000,-105.189,-140.617, -74.570
1955.000,  12.000,-179.978,-223.268,-139.404
1956.000,   1.000,-112.703,-141.199, -82.107
1956.000,   2.000, -54.586, -86.993, -24.586
1956.000,   3.000, 125.963,  87.253, 166.047
1956.000,   4.000, 303.256, 272.944, 336.939
1956.000,   5.000, 246.694, 208.922, 280.806
1956.000,   6.000, -49.299, -84.447, -13.558
1956.000,   7.000,-106.230,-147.720, -71.649
1956.000,   8.000, -39.184, -98.211,   8.284
1956.000,   9.000,-133.596,-171.618, -89.347
1956.000,  10.000,-154.157,-185.268,-103.140
1956.000,  11.000,-170.585,-205.941,-141.368
1956.000,  12.000, -77.227,-119.778, -35.741
1957.000,   1.000, -34.832, -65.490,  -3.279
1957.000,   2.000,   7.967, -22.431,  38.639
1957.000,   3.000,  66.013,  27.354, 105.445
1957.000,   4.000, 124.764,  94.081, 159.361
1957.000,   5.000,  88.186,  50.769, 123.071
1957.000,   6.000,  71.463,  37.256, 107.159
1957.000,   7.000,  -7.902, -49.433,  25.583
1957.000,   8.000,-137.737,-194.123, -90.512
1957.000,   9.000, -70.859,-106.973, -25.947
1957.000,  10.000,-183.806,-213.664,-136.211
1957.000,  11.000, -55.676, -89.596, -26.751
1957.000,  12.000,  10.011, -34.670,  52.864
1958.000,   1.000, -49.831, -80.874, -20.707
1958.000,   2.000, -25.570, -55.194,   6.014
1958.000,   3.000,  87.212,  47.957, 124.842
1958.000,   4.000, 105.409,  73.937, 139.182
1958.000,   5.000,  26.517,  -9.202,  62.748
1958.000,   6.000,   2.888, -30.723,  38.524
1958.000,   7.000, -46.238, -87.269, -11.369
1958.000,   8.000, -67.839,-126.860, -21.843
1958.000,   9.000, -23.034, -57.839,  21.501
1958.000,  10.000,-122.576,-152.163, -76.619
1958.000,  11.000, -61.894, -96.553, -33.043
1958.000,  12.000,-134.932,-181.058, -93.765
1959.000,   1.000,  83.677,  51.874, 112.343
1959.000,   2.000, 112.707,  83.563, 144.867
1959.000,   3.000, 214.697, 174.100, 253.412
1959.000,   4.000, 287.362, 255.792, 321.018
1959.000,   5.000,  14.045, -21.948,  49.802
1959.000,   6.000,-103.684,-139.835, -69.484
1959.000,   7.000,-114.818,-156.966, -83.141
1959.000,   8.000,-128.344,-188.802, -86.471
1959.000,   9.000,-172.119,-208.244,-127.707
1959.000,  10.000, -32.514, -64.081,  10.065
1959.000,  11.000, -22.148, -55.886,   8.458
1959.000,  12.000,  95.737,  48.632, 137.648
1960.000,   1.000,  80.780,  48.690, 111.882
1960.000,   2.000, 165.723, 137.291, 199.498
1960.000,   3.000, -24.669, -66.283,  10.847
1960.000,   4.000, 414.868, 384.660, 450.178
1960.000,   5.000, 155.698, 117.195, 188.372
1960.000,   6.000, -52.397, -89.280, -19.915
1960.000,   7.000,-163.995,-205.026,-131.507
1960.000,   8.000,-161.363,-220.542,-121.013
1960.000,   9.000,-167.947,-203.884,-123.432
1960.000,  10.000, -37.298, -65.481,   5.573
1960.000,  11.000, -52.808, -84.685, -23.827
1960.000,  12.000,-161.374,-206.739,-120.663
1961.000,   1.000,-128.732,-161.674, -97.734
1961.000,   2.000,  56.735,  29.935,  91.332
1961.000,   3.000, 208.172, 168.227, 245.654
1961.000,   4.000, 300.000, 269.773, 334.593
1961.000,   5.000, 186.075, 145.810, 218.641
1961.000,   6.000,  26.742,  -9.193,  61.817
1961.000,   7.000, -72.108,-115.357, -41.558
1961.000,   8.000,-110.694,-170.736, -69.226
1961.000,   9.000,-150.456,-185.524,-106.376
1961.000,  10.000,-164.125,-195.006,-121.552
1961.000,  11.000, -87.579,-122.592, -57.133
1961.000,  12.000, -88.645,-136.474, -47.996
1962.000,   1.000, -69.089,-100.241, -37.498
1962.000,   2.000,  -8.451, -39.279,  22.785
1962.000,   3.000, 141.388, 102.732, 175.953
1962.000,   4.000, 332.295, 301.269, 366.147
1962.000,   5.000, 186.546, 148.758, 217.967
1962.000,   6.000,  28.283,  -9.330,  60.198
1962.000,   7.000, -40.465, -83.550,  -9.377
1962.000,   8.000, -24.544, -85.521,  17.958
1962.000,   9.000, -88.006,-123.887, -45.185
1962.000,  10.000, -64.833, -95.858, -22.751
1962.000,  11.000, -78.730,-112.675, -47.760
1962.000,  12.000,-110.540,-157.900, -69.498
1963.000,   1.000,-148.645,-180.222,-117.074
1963.000,   2.000,-134.267,-164.804,-102.565
1963.000,   3.000, 175.659, 136.557, 214.506
1963.000,   4.000, 334.126, 303.200, 368.118
1963.000,   5.000, 277.846, 239.799, 308.786
1963.000,   6.000,  37.773,   0.758,  69.608
1963.000,   7.000, -50.969, -90.925, -18.995
1963.000,   8.000, -54.201,-115.056, -10.394
1963.000,   9.000,-206.706,-242.004,-161.972
1963.000,  10.000,-230.682,-261.231,-187.242
1963.000,  11.000, -93.490,-127.539, -63.654
1963.000,  12.000,-174.640,-224.547,-132.833
1964.000,   1.000,-188.376,-220.168,-154.415
1964.000,   2.000,-163.994,-195.775,-132.399
1964.000,   3.000, 176.199, 137.629, 214.882
1964.000,   4.000, 312.243, 281.401, 345.239
1964.000,   5.000, 232.077, 194.125, 262.534
1964.000,   6.000,  73.812,  35.953, 106.783
1964.000,   7.000, -20.169, -58.271,  10.281
1964.000,   8.000, -71.035,-132.103, -27.685
1964.000,   9.000,-210.210,-244.870,-161.511
1964.000,  10.000,-228.737,-260.159,-184.879
1964.000,  11.000,-205.603,-239.288,-175.134
1964.000,  12.000,-152.968,-204.456,-109.772
1965.000,   1.000, -32.780, -63.837,   0.539
1965.000,   2.000, 157.267, 124.561, 187.552
1965.000,   3.000, 145.999, 107.913, 183.779
1965.000,   4.000, 283.476, 253.806, 316.109
1965.000,   5.000, 223.857, 187.609, 254.014
1965.000,   6.000, 125.238,  84.078, 154.655
1965.000,   7.000,  -0.939, -37.319,  30.588
1965.000,   8.000, -28.517, -87.913,  14.073
1965.000,   9.000, -42.440, -76.948,   6.894
1965.000,  10.000, -45.635, -76.291,  -2.606
1965.000,  11.000,  23.137, -10.922,  54.318
1965.000,  12.000, -52.841,-102.747, -12.462
1966.000,   1.000, -67.797, -98.217, -34.127
1966.000,   2.000,  40.156,   8.613,  70.272
1966.000,   3.000, 153.836, 117.340, 191.446
1966.000,   4.000,  23.463,  -4.403,  56.892
1966.000,   5.000, 136.449,  98.686, 167.931
1966.000,   6.000, 104.635,  65.456, 134.041
1966.000,   7.000, -60.761, -96.641, -30.430
1966.000,   8.000, -38.472, -97.882,   3.696
1966.000,   9.000,-121.175,-155.642, -72.709
1966.000,  10.000,-157.080,-191.864,-115.981
1966.000,  11.000, -26.282, -61.459,   5.553
1966.000,  12.000,  26.883, -21.513,  65.650
1967.000,   1.000,  16.933, -12.190,  50.993
1967.000,   2.000, -56.616, -87.182, -24.060
