Year,Month,Median,2.5 Percentile,97.5 Percentile
 1.9500e+03, 1.0000e+00, 9.3560e+01, 8.4216e+01, 1.0221e+02
 1.9500e+03, 2.0000e+00, 7.7866e+01, 6.8416e+01, 8.6931e+01
 1.9500e+03, 3.0000e+00, 5.3288e+01, 4.4808e+01, 6.2261e+01
 1.9500e+03, 4.0000e+00, 1.9245e+01, 1.1779e+01, 2.6409e+01
 1.9500e+03, 5.0000e+00, 9.1800e-01,-6.1112e+00, 8.2561e+00
 1.9500e+03, 6.0000e+00, 1.1337e+01, 2.9624e+00, 1.9327e+01
 1.9500e+03, 7.0000e+00, 3.9121e+01, 2.9999e+01, 4.8066e+01
 1.9500e+03, 8.0000e+00, 5.9241e+01, 5.0952e+01, 6.7941e+01
 1.9500e+03, 9.0000e+00, 8.5962e+01, 7.6331e+01, 9.4890e+01
 1.9500e+03, 1.0000e+01, 5.7889e+01, 4.7979e+01, 6.7556e+01
 1.9500e+03, 1.1000e+01, 9.5910e+01, 8.6617e+01, 1.0515e+02
 1.9500e+03, 1.2000e+01, 1.0178e+02, 9.1604e+01, 1.1143e+02
 1.9510e+03, 1.0000e+00, 7.9106e+01, 7.0160e+01, 8.7710e+01
 1.9510e+03, 2.0000e+00, 3.7632e+01, 2.8293e+01, 4.6149e+01
 1.9510e+03, 3.0000e+00, 4.1684e+01, 3.2855e+01, 5.0571e+01
 1.9510e+03, 4.0000e+00, 6.3118e+00,-8.7184e-01, 1.3663e+01
 1.9510e+03, 5.0000e+00, 2.2015e+00,-4.9740e+00, 8.8585e+00
 1.9510e+03, 6.0000e+00, 1.5831e+01, 7.7523e+00, 2.3507e+01
 1.9510e+03, 7.0000e+00, 4.7371e+01, 3.8039e+01, 5.5864e+01
 1.9510e+03, 8.0000e+00, 7.3311e+01, 6.4783e+01, 8.2025e+01
 1.9510e+03, 9.0000e+00, 9.6801e+01, 8.7575e+01, 1.0561e+02
 1.9510e+03, 1.0000e+01, 6.6773e+01, 5.7463e+01, 7.5526e+01
 1.9510e+03, 1.1000e+01, 1.0731e+02, 9.7545e+01, 1.1655e+02
 1.9510e+03, 1.2000e+01, 1.0753e+02, 9.7851e+01, 1.1703e+02
 1.9520e+03, 1.0000e+00, 7.4480e+01, 6.5735e+01, 8.3545e+01
 1.9520e+03, 2.0000e+00, 4.2598e+01, 3.3089e+01, 5.1342e+01
 1.9520e+03, 3.0000e+00, 3.9806e+01, 3.0677e+01, 4.8006e+01
 1.9520e+03, 4.0000e+00, 5.3439e+00,-1.5892e+00, 1.2449e+01
 1.9520e+03, 5.0000e+00, 6.6223e+00,-4.7228e-01, 1.3013e+01
 1.9520e+03, 6.0000e+00, 2.3434e+01, 1.5282e+01, 3.1703e+01
 1.9520e+03, 7.0000e+00, 5.6577e+01, 4.6683e+01, 6.5508e+01
 1.9520e+03, 8.0000e+00, 7.5510e+01, 6.6873e+01, 8.3600e+01
 1.9520e+03, 9.0000e+00, 8.8656e+01, 7.9577e+01, 9.7650e+01
 1.9520e+03, 1.0000e+01, 1.2278e+02, 1.1301e+02, 1.3210e+02
 1.9520e+03, 1.1000e+01, 6.7803e+01, 5.8457e+01, 7.6953e+01
 1.9520e+03, 1.2000e+01, 9.3778e+01, 8.3651e+01, 1.0345e+02
 1.9530e+03, 1.0000e+00, 8.4250e+01, 7.5465e+01, 9.2713e+01
 1.9530e+03, 2.0000e+00, 6.5459e+01, 5.5623e+01, 7.4846e+01
 1.9530e+03, 3.0000e+00, 3.5207e+01, 2.6448e+01, 4.4214e+01
 1.9530e+03, 4.0000e+00, 1.7172e+01, 1.0091e+01, 2.4025e+01
 1.9530e+03, 5.0000e+00, 1.0954e+01, 3.4970e+00, 1.7910e+01
 1.9530e+03, 6.0000e+00, 2.1713e+01, 1.3242e+01, 2.9406e+01
 1.9530e+03, 7.0000e+00, 6.3824e+01, 5.4849e+01, 7.2879e+01
 1.9530e+03, 8.0000e+00, 7.0523e+01, 6.1869e+01, 7.8443e+01
 1.9530e+03, 9.0000e+00, 1.0269e+02, 9.3780e+01, 1.1171e+02
 1.9530e+03, 1.0000e+01, 6.4292e+01, 5.4651e+01, 7.3639e+01
 1.9530e+03, 1.1000e+01, 7.1762e+01, 6.2625e+01, 8.1223e+01
 1.9530e+03, 1.2000e+01, 1.0662e+02, 9.6935e+01, 1.1580e+02
 1.9540e+03, 1.0000e+00, 1.1239e+02, 1.0395e+02, 1.2064e+02
 1.9540e+03, 2.0000e+00, 4.2669e+01, 3.3069e+01, 5.1544e+01
 1.9540e+03, 3.0000e+00, 5.5730e+01, 4.6337e+01, 6.4827e+01
 1.9540e+03, 4.0000e+00, 1.1511e+01, 5.0220e+00, 1.8553e+01
 1.9540e+03, 5.0000e+00, 1.3381e+01, 5.9758e+00, 2.0104e+01
 1.9540e+03, 6.0000e+00, 2.1173e+01, 1.3087e+01, 2.9377e+01
 1.9540e+03, 7.0000e+00, 6.1309e+01, 5.2096e+01, 7.0285e+01
 1.9540e+03, 8.0000e+00, 7.7310e+01, 6.8924e+01, 8.5508e+01
 1.9540e+03, 9.0000e+00, 7.2767e+01, 6.3702e+01, 8.1236e+01
 1.9540e+03, 1.0000e+01, 5.9528e+01, 4.9665e+01, 6.8418e+01
 1.9540e+03, 1.1000e+01, 7.2458e+01, 6.3468e+01, 8.0798e+01
 1.9540e+03, 1.2000e+01, 1.0720e+02, 9.7793e+01, 1.1670e+02
 1.9550e+03, 1.0000e+00, 1.0971e+02, 1.0034e+02, 1.1852e+02
 1.9550e+03, 2.0000e+00, 4.1117e+01, 3.1952e+01, 4.9682e+01
 1.9550e+03, 3.0000e+00, 5.7174e+01, 4.8371e+01, 6.5427e+01
 1.9550e+03, 4.0000e+00, 2.9850e+00,-3.7165e+00, 1.0833e+01
 1.9550e+03, 5.0000e+00, 6.3801e+00,-4.4949e-01, 1.3546e+01
 1.9550e+03, 6.0000e+00, 2.6045e+01, 1.7396e+01, 3.4365e+01
 1.9550e+03, 7.0000e+00, 6.2569e+01, 5.3367e+01, 7.1553e+01
 1.9550e+03, 8.0000e+00, 8.0530e+01, 7.1865e+01, 8.9072e+01
 1.9550e+03, 9.0000e+00, 9.6213e+01, 8.7043e+01, 1.0476e+02
 1.9550e+03, 1.0000e+01, 6.7028e+01, 5.7571e+01, 7.6381e+01
 1.9550e+03, 1.1000e+01, 1.1640e+02, 1.0670e+02, 1.2531e+02
 1.9550e+03, 1.2000e+01, 1.2696e+02, 1.1728e+02, 1.3700e+02
 1.9560e+03, 1.0000e+00, 8.7567e+01, 7.9157e+01, 9.6584e+01
 1.9560e+03, 2.0000e+00, 4.6481e+01, 3.7136e+01, 5.5841e+01
 1.9560e+03, 3.0000e+00, 5.0246e+01, 4.1226e+01, 5.8939e+01
 1.9560e+03, 4.0000e+00, 1.1065e+01, 3.9442e+00, 1.7921e+01
 1.9560e+03, 5.0000e+00, 4.0721e+00,-2.9409e+00, 1.0929e+01
 1.9560e+03, 6.0000e+00, 1.4165e+01, 6.0532e+00, 2.2356e+01
 1.9560e+03, 7.0000e+00, 4.6632e+01, 3.7462e+01, 5.5453e+01
 1.9560e+03, 8.0000e+00, 5.7481e+01, 4.8787e+01, 6.5969e+01
 1.9560e+03, 9.0000e+00, 9.0172e+01, 8.1445e+01, 9.8390e+01
 1.9560e+03, 1.0000e+01, 5.9154e+01, 5.0107e+01, 6.8069e+01
 1.9560e+03, 1.1000e+01, 8.3770e+01, 7.4725e+01, 9.3649e+01
 1.9560e+03, 1.2000e+01, 9.2023e+01, 8.2930e+01, 1.0153e+02
 1.9570e+03, 1.0000e+00, 1.0291e+02, 9.4324e+01, 1.1181e+02
 1.9570e+03, 2.0000e+00, 3.7272e+01, 2.7907e+01, 4.6879e+01
 1.9570e+03, 3.0000e+00, 3.5098e+01, 2.6777e+01, 4.3442e+01
 1.9570e+03, 4.0000e+00, 1.4084e+01, 7.3275e+00, 2.1472e+01
 1.9570e+03, 5.0000e+00, 1.1398e+01, 3.8962e+00, 1.8237e+01
 1.9570e+03, 6.0000e+00, 1.6641e+01, 8.5457e+00, 2.4446e+01
 1.9570e+03, 7.0000e+00, 5.5708e+01, 4.6611e+01, 6.4758e+01
 1.9570e+03, 8.0000e+00, 8.7962e+01, 7.8954e+01, 9.6534e+01
 1.9570e+03, 9.0000e+00, 7.9650e+01, 7.0792e+01, 8.8470e+01
 1.9570e+03, 1.0000e+01, 7.8299e+01, 6.9743e+01, 8.7400e+01
 1.9570e+03, 1.1000e+01, 8.9210e+01, 7.9941e+01, 9.8012e+01
 1.9570e+03, 1.2000e+01, 9.2443e+01, 8.2268e+01, 1.0293e+02
 1.9580e+03, 1.0000e+00, 1.0563e+02, 9.6884e+01, 1.1443e+02
 1.9580e+03, 2.0000e+00, 7.2939e+01, 6.3597e+01, 8.2719e+01
 1.9580e+03, 3.0000e+00, 2.1980e+01, 1.3270e+01, 3.1725e+01
 1.9580e+03, 4.0000e+00, 1.0708e+01, 3.7313e+00, 1.7700e+01
 1.9580e+03, 5.0000e+00, 1.1128e+01, 3.7147e+00, 1.7664e+01
 1.9580e+03, 6.0000e+00, 3.4250e+01, 2.5762e+01, 4.2498e+01
 1.9580e+03, 7.0000e+00, 3.3080e+01, 2.3847e+01, 4.2537e+01
 1.9580e+03, 8.0000e+00, 7.3043e+01, 6.4357e+01, 8.1343e+01
 1.9580e+03, 9.0000e+00, 7.1698e+01, 6.3435e+01, 8.0706e+01
 1.9580e+03, 1.0000e+01, 8.4522e+01, 7.5164e+01, 9.3848e+01
 1.9580e+03, 1.1000e+01, 9.2579e+01, 8.2955e+01, 1.0191e+02
 1.9580e+03, 1.2000e+01, 1.3617e+02, 1.2652e+02, 1.4570e+02
 1.9590e+03, 1.0000e+00, 9.1144e+01, 8.2317e+01, 1.0007e+02
 1.9590e+03, 2.0000e+00, 5.7973e+01, 4.8650e+01, 6.6392e+01
 1.9590e+03, 3.0000e+00, 3.9797e+01, 3.0793e+01, 4.8733e+01
 1.9590e+03, 4.0000e+00, 7.7317e+00, 8.3819e-01, 1.4602e+01
 1.9590e+03, 5.0000e+00, 3.4249e-01,-6.8279e+00, 7.6887e+00
 1.9590e+03, 6.0000e+00, 7.6760e+00,-4.0450e-01, 1.5681e+01
 1.9590e+03, 7.0000e+00, 3.0125e+01, 2.1189e+01, 3.9250e+01
 1.9590e+03, 8.0000e+00, 5.4213e+01, 4.6313e+01, 6.3261e+01
 1.9590e+03, 9.0000e+00, 9.6412e+01, 8.7550e+01, 1.0531e+02
 1.9590e+03, 1.0000e+01, 9.8608e+01, 8.9846e+01, 1.0766e+02
 1.9590e+03, 1.1000e+01, 1.0001e+02, 9.0761e+01, 1.0948e+02
 1.9590e+03, 1.2000e+01, 8.6834e+01, 7.7304e+01, 9.7264e+01
 1.9600e+03, 1.0000e+00, 8.9321e+01, 8.1084e+01, 9.7519e+01
 1.9600e+03, 2.0000e+00, 5.1418e+01, 4.2030e+01, 5.9930e+01
 1.9600e+03, 3.0000e+00, 5.7698e+01, 4.9142e+01, 6.6319e+01
 1.9600e+03, 4.0000e+00, 5.4379e+00,-1.7677e+00, 1.2302e+01
 1.9600e+03, 5.0000e+00,-1.6008e+00,-8.3882e+00, 5.9170e+00
