Year,Month,Median,2.5 Percentile,97.5 Percentile
 1950,    1, 6169, 5966, 6363
 1950,    2, 6367, 6164, 6551
 1950,    3, 6590, 6383, 6789
 1950,    4, 7298, 7094, 7512
 1950,    5, 7472, 7262, 7673
 1950,    6, 7465, 7239, 7712
 1950,    7, 7250, 7048, 7481
 1950,    8, 7039, 6845, 7249
 1950,    9, 6873, 6677, 7072
 1950,   10, 6596, 6390, 6792
 1950,   11, 6645, 6475, 6841
 1950,   12, 6702, 6497, 6903
 1951,    1, 6918, 6736, 7126
 1951,    2, 6452, 6261, 6640
 1951,    3, 7326, 7155, 7520
 1951,    4, 7872, 7676, 8062
 1951,    5, 8207, 8003, 8416
 1951,    6, 8216, 8009, 8443
 1951,    7, 8147, 7914, 8404
 1951,    8, 7809, 7589, 8012
 1951,    9, 7470, 7272, 7661
 1951,   10, 7130, 6921, 7316
 1951,   11, 6993, 6806, 7193
 1951,   12, 6980, 6789, 7184
 1952,    1, 7126, 6933, 7332
 1952,    2, 7389, 7182, 7572
 1952,    3, 7615, 7429, 7827
 1952,    4, 8159, 7955, 8358
 1952,    5, 8435, 8239, 8632
 1952,    6, 8505, 8286, 8721
 1952,    7, 8370, 8179, 8578
 1952,    8, 7930, 7734, 8135
 1952,    9, 7626, 7428, 7820
 1952,   10, 7502, 7339, 7692
 1952,   11, 7078, 6892, 7275
 1952,   12, 7244, 7053, 7402
 1953,    1, 7143, 6973, 7330
 1953,    2, 7248, 7049, 7426
 1953,    3, 7271, 7099, 7441
 1953,    4, 7830, 7626, 8059
 1953,    5, 7731, 7530, 7935
 1953,    6, 7883, 7702, 8099
 1953,    7, 7677, 7480, 7868
 1953,    8, 7486, 7308, 7661
 1953,    9, 7365, 7188, 7558
 1953,   10, 6908, 6718, 7100
 1953,   11, 6668, 6478, 6906
 1953,   12, 6756, 6586, 6945
 1954,    1, 6503, 6318, 6677
 1954,    2, 6504, 6317, 6707
 1954,    3, 7185, 7003, 7380
 1954,    4, 7546, 7356, 7753
 1954,    5, 7930, 7721, 8152
 1954,    6, 7863, 7671, 8076
 1954,    7, 7674, 7476, 7886
 1954,    8, 7382, 7205, 7590
 1954,    9, 7114, 6923, 7331
 1954,   10, 6977, 6768, 7204
 1954,   11, 6979, 6787, 7146
 1954,   12, 7235, 7056, 7431
 1955,    1, 7130, 6957, 7327
 1955,    2, 6949, 6767, 7162
 1955,    3, 7514, 7312, 7709
 1955,    4, 8058, 7863, 8256
 1955,    5, 8339, 8143, 8547
 1955,    6, 8098, 7864, 8302
 1955,    7, 7759, 7572, 7976
 1955,    8, 7435, 7242, 7638
 1955,    9, 7218, 7020, 7398
 1955,   10, 7275, 7076, 7458
 1955,   11, 7354, 7155, 7533
 1955,   12, 7107, 6907, 7303
 1956,    1, 6783, 6589, 6964
 1956,    2, 6743, 6553, 6939
 1956,    3, 6719, 6530, 6890
 1956,    4, 7219, 7016, 7406
 1956,    5, 7638, 7436, 7845
 1956,    6, 7934, 7729, 8141
 1956,    7, 7744, 7562, 7934
 1956,    8, 7382, 7192, 7581
 1956,    9, 7413, 7237, 7631
 1956,   10, 6821, 6626, 7014
 1956,   11, 6901, 6708, 7088
 1956,   12, 6650, 6440, 6843
 1957,    1, 6547, 6356, 6748
 1957,    2, 6438, 6231, 6620
 1957,    3, 6613, 6437, 6792
 1957,    4, 6928, 6717, 7124
 1957,    5, 7099, 6885, 7295
 1957,    6, 7006, 6773, 7264
 1957,    7, 6956, 6755, 7166
 1957,    8, 6940, 6738, 7129
 1957,    9, 6661, 6468, 6865
 1957,   10, 6538, 6362, 6735
 1957,   11, 6120, 5927, 6302
 1957,   12, 6196, 5999, 6399
 1958,    1, 6333, 6162, 6512
 1958,    2, 6104, 5907, 6295
 1958,    3, 6242, 6044, 6422
 1958,    4, 6697, 6485, 6905
 1958,    5, 6713, 6504, 6909
 1958,    6, 6686, 6485, 6886
