Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0, 141.9, 138.2, 146.0
1950.0,   2.0, 124.9, 121.6, 128.1
1950.0,   3.0, 110.0, 107.2, 112.9
1950.0,   4.0,  98.1,  95.3, 100.9
1950.0,   5.0, 253.1, 247.0, 259.5
1950.0,   6.0,  65.1,  56.9,  73.3
1950.0,   7.0,  66.2,  59.9,  72.2
1950.0,   8.0,  60.0,  55.2,  65.0
1950.0,   9.0, 197.9, 193.3, 202.2
1950.0,  10.0, 101.0,  96.6, 105.3
1950.0,  11.0, 194.0, 189.3, 198.8
1950.0,  12.0, 187.9, 183.0, 192.3
1951.0,   1.0, 134.9, 131.1, 138.8
1951.0,   2.0, 105.0, 101.6, 108.5
1951.0,   3.0,  86.0,  83.1,  88.8
1951.0,   4.0,  72.0,  69.2,  74.7
1951.0,   5.0, 132.1, 125.8, 138.1
1951.0,   6.0,  84.1,  75.6,  91.7
1951.0,   7.0, 101.0,  94.3, 107.3
1951.0,   8.0, 133.0, 128.1, 137.8
1951.0,   9.0, 112.9, 108.8, 117.5
1951.0,  10.0, 214.8, 210.6, 219.1
1951.0,  11.0, 212.9, 207.9, 217.8
1951.0,  12.0, 266.9, 262.5, 271.4
1952.0,   1.0, 178.9, 175.0, 182.6
1952.0,   2.0, 138.0, 134.7, 141.3
1952.0,   3.0, 106.9, 104.2, 109.7
1952.0,   4.0,  55.0,  52.1,  58.0
1952.0,   5.0,  26.8,  20.9,  33.0
1952.0,   6.0,  59.0,  50.5,  67.4
1952.0,   7.0,  58.1,  51.8,  64.1
1952.0,   8.0,  44.0,  39.1,  49.0
1952.0,   9.0,  36.1,  31.7,  40.7
1952.0,  10.0,  35.0,  30.9,  39.4
1952.0,  11.0,  24.8,  20.3,  29.8
1952.0,  12.0,  96.1,  91.4, 100.5
1953.0,   1.0, 172.8, 168.9, 176.8
1953.0,   2.0, 109.0, 105.6, 112.1
1953.0,   3.0,  89.9,  87.1,  92.7
1953.0,   4.0,  90.9,  88.1,  93.8
1953.0,   5.0, 151.0, 144.6, 157.0
1953.0,   6.0, 264.1, 255.4, 272.3
1953.0,   7.0, 263.7, 257.3, 270.3
1953.0,   8.0,  36.1,  30.9,  40.9
1953.0,   9.0,  39.0,  34.7,  43.7
1953.0,  10.0,  91.0,  86.6,  95.3
1953.0,  11.0, 223.8, 218.8, 228.8
1953.0,  12.0, 148.9, 144.4, 153.5
1954.0,   1.0, 211.8, 208.1, 215.8
1954.0,   2.0, 157.9, 154.6, 161.2
1954.0,   3.0, 124.9, 122.2, 127.8
1954.0,   4.0, 110.0, 107.0, 112.7
1954.0,   5.0, 210.8, 205.0, 216.7
1954.0,   6.0,  73.2,  64.6,  81.2
1954.0,   7.0,  36.1,  29.8,  42.7
1954.0,   8.0, 168.8, 163.8, 173.8
1954.0,   9.0, 167.9, 163.3, 172.8
1954.0,  10.0, 168.8, 164.6, 173.1
1954.0,  11.0, 180.9, 176.0, 185.5
1954.0,  12.0, 213.8, 209.4, 218.5
1955.0,   1.0, 144.0, 140.0, 147.7
1955.0,   2.0, 127.0, 123.6, 130.2
1955.0,   3.0, 112.9, 110.1, 115.7
1955.0,   4.0, 115.0, 112.2, 117.8
1955.0,   5.0, 275.8, 269.5, 281.9
1955.0,   6.0, 307.8, 299.6, 316.0
1955.0,   7.0, 275.6, 269.7, 281.9
1955.0,   8.0, 159.0, 154.2, 164.1
1955.0,   9.0, 121.0, 116.7, 125.7
1955.0,  10.0, 107.9, 103.8, 112.4
1955.0,  11.0, 125.1, 120.0, 129.7
1955.0,  12.0, 132.9, 128.4, 137.5
1956.0,   1.0, 123.0, 119.1, 127.0
1956.0,   2.0, 111.0, 107.6, 114.2
1956.0,   3.0,  97.9,  95.0, 100.8
1956.0,   4.0,  92.9,  90.1,  95.8
1956.0,   5.0, 135.1, 129.0, 141.1
1956.0,   6.0, 412.8, 404.6, 421.3
1956.0,   7.0, 321.0, 314.8, 327.2
1956.0,   8.0, 195.9, 190.7, 200.9
1956.0,   9.0, 136.0, 131.7, 140.5
1956.0,  10.0, 124.9, 120.5, 129.4
1956.0,  11.0, 122.9, 118.3, 127.9
1956.0,  12.0, 131.0, 126.3, 135.4
1957.0,   1.0, 106.8, 103.2, 110.9
1957.0,   2.0,  88.9,  85.7,  92.1
1957.0,   3.0,  82.0,  79.1,  84.7
1957.0,   4.0,  91.9,  89.0,  94.9
1957.0,   5.0, 266.8, 260.6, 273.2
1957.0,   6.0, 308.7, 299.8, 317.1
1957.0,   7.0,  75.0,  68.6,  81.1
1957.0,   8.0, 187.9, 182.9, 192.7
1957.0,   9.0, 125.0, 120.6, 129.3
1957.0,  10.0, 119.9, 115.7, 124.1
1957.0,  11.0, 155.9, 151.0, 160.8
1957.0,  12.0, 128.8, 124.2, 133.6
1958.0,   1.0, 109.9, 106.1, 113.9
1958.0,   2.0, 107.9, 104.6, 111.4
1958.0,   3.0, 100.9,  98.2, 103.7
1958.0,   4.0, 107.9, 105.0, 110.7
1958.0,   5.0, 250.8, 244.5, 257.0
1958.0,   6.0, 321.6, 313.0, 330.2
1958.0,   7.0, 233.9, 227.6, 240.3
1958.0,   8.0, 166.9, 161.9, 172.0
1958.0,   9.0, 151.9, 147.3, 156.3
1958.0,  10.0, 203.8, 199.5, 208.2
1958.0,  11.0, 245.9, 241.0, 250.9
1958.0,  12.0, 193.8, 189.5, 198.4
1959.0,   1.0, 158.0, 154.0, 161.7
1959.0,   2.0, 139.9, 136.6, 143.1
1959.0,   3.0, 107.9, 105.1, 110.8
1959.0,   4.0, 101.8,  99.1, 104.9
1959.0,   5.0, 145.1, 138.8, 151.4
1959.0,   6.0, 344.9, 336.3, 353.6
1959.0,   7.0, 362.7, 356.5, 369.4
1959.0,   8.0, 258.9, 254.0, 263.9
1959.0,   9.0, 190.0, 185.3, 194.4
1959.0,  10.0, 173.0, 168.3, 177.2
1959.0,  11.0, 147.9, 142.8, 152.9
1959.0,  12.0, 136.0, 131.5, 140.4
1960.0,   1.0, 115.0, 111.0, 118.9
1960.0,   2.0, 111.8, 108.5, 115.2
1960.0,   3.0,  93.0,  90.1,  95.9
1960.0,   4.0,  91.0,  88.2,  93.8
1960.0,   5.0, 167.0, 161.2, 173.2
1960.0,   6.0, 278.9, 270.1, 287.1
1960.0,   7.0, 219.1, 212.8, 225.0
1960.0,   8.0, 138.0, 132.8, 142.8
1960.0,   9.0,  99.0,  94.7, 103.4
1960.0,  10.0,  77.0,  72.7,  81.1
1960.0,  11.0,  99.0,  94.0, 103.9
1960.0,  12.0, 109.8, 105.3, 114.5
1961.0,   1.0, 109.0, 104.9, 112.6
1961.0,   2.0, 104.0, 100.7, 107.3
1961.0,   3.0,  97.0,  94.1,  99.8
1961.0,   4.0,  98.0,  95.1, 100.8
1961.0,   5.0, 265.7, 259.6, 271.7
1961.0,   6.0, 372.6, 364.2, 381.6
1961.0,   7.0, 221.8, 215.4, 227.9
1961.0,   8.0, 137.8, 132.8, 142.8
1961.0,   9.0, 100.0,  95.6, 104.4
1961.0,  10.0, 114.0, 109.8, 118.1
1961.0,  11.0, 133.9, 128.9, 138.8
1961.0,  12.0, 115.0, 110.6, 119.6
1962.0,   1.0, 111.9, 108.1, 115.6
1962.0,   2.0, 113.9, 110.7, 117.3
1962.0,   3.0,  98.0,  95.1, 101.0
