Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  27.8463,   9.7393,  44.1662
1950.0000,   2.0000,   7.9554,  -8.4738,  23.5099
1950.0000,   3.0000,  52.2694,  37.4393,  69.7557
1950.0000,   4.0000, 103.9457,  88.8769, 117.6291
1950.0000,   5.0000, 275.2169, 261.8187, 288.8737
1950.0000,   6.0000, 196.0313, 183.9666, 208.7567
1950.0000,   7.0000, 148.1778, 136.3576, 160.8974
1950.0000,   8.0000, 118.0291, 104.0797, 131.9227
1950.0000,   9.0000,  74.8349,  60.6499,  90.0410
1950.0000,  10.0000,  83.2245,  66.5342,  99.8662
1950.0000,  11.0000,  37.5484,  21.1207,  53.8746
1950.0000,  12.0000, -25.4947, -41.5323, -10.1732
1951.0000,   1.0000,  -3.6730, -18.1285,  11.4485
1951.0000,   2.0000,  78.2152,  63.6964,  93.5951
1951.0000,   3.0000,  87.9062,  73.1658, 102.8737
1951.0000,   4.0000, 157.1079, 143.5249, 170.2771
1951.0000,   5.0000, 150.4436, 137.6987, 162.6496
1951.0000,   6.0000, 168.8136, 156.9954, 180.5295
1951.0000,   7.0000,  93.6608,  82.8192, 105.8470
1951.0000,   8.0000, 136.9923, 123.9687, 150.4732
1951.0000,   9.0000, 138.4923, 125.1492, 152.8886
1951.0000,  10.0000,  79.5531,  65.0390,  94.5625
1951.0000,  11.0000,   3.1786, -11.7926,  17.6199
1951.0000,  12.0000,   0.5183, -14.7962,  15.4648
1952.0000,   1.0000,  21.1088,   6.6412,  36.1605
1952.0000,   2.0000,   0.4756, -12.7797,  14.1005
1952.0000,   3.0000,  41.5997,  27.2020,  54.4434
1952.0000,   4.0000, 112.8856,  99.0884, 125.4600
1952.0000,   5.0000,  94.7343,  83.2553, 106.6516
1952.0000,   6.0000, 157.1198, 146.0053, 169.3475
1952.0000,   7.0000, 198.0233, 186.3652, 210.3898
1952.0000,   8.0000, 112.5552,  99.6389, 125.3279
1952.0000,   9.0000,  23.0767,   8.9609,  36.2643
1952.0000,  10.0000, -64.1433, -77.4919, -48.6019
1952.0000,  11.0000, -17.5420, -32.0820,  -3.1314
1952.0000,  12.0000, -32.8959, -46.7917, -19.0444
1953.0000,   1.0000,   7.4238,  -7.1453,  22.8504
1953.0000,   2.0000,  28.0911,  14.2509,  40.5003
1953.0000,   3.0000,  56.5727,  43.1427,  71.4432
1953.0000,   4.0000, 102.2417,  88.0664, 114.9131
1953.0000,   5.0000, 205.0619, 191.5798, 217.0021
1953.0000,   6.0000, 196.2123, 184.6613, 207.9717
1953.0000,   7.0000, 134.3691, 123.3037, 146.0298
1953.0000,   8.0000, 120.6000, 107.2397, 132.9673
1953.0000,   9.0000,  35.2571,  21.8777,  49.2991
1953.0000,  10.0000,  -7.4995, -22.4432,   8.2000
1953.0000,  11.0000, -25.0955, -38.8413, -10.1674
1953.0000,  12.0000, -14.7180, -29.4205,  -0.6339
1954.0000,   1.0000,  -4.0453, -17.8452,  10.6511
1954.0000,   2.0000,  21.1421,   7.2217,  34.3380
1954.0000,   3.0000,  17.4463,   3.8047,  32.1746
1954.0000,   4.0000, 155.5361, 142.5116, 168.6299
1954.0000,   5.0000, 228.6441, 216.1177, 241.1455
1954.0000,   6.0000, 158.1737, 147.1352, 170.9500
1954.0000,   7.0000,  75.5838,  64.3501,  87.4942
1954.0000,   8.0000,  54.0776,  41.1619,  67.4003
