Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,1090.22, 925.84,1316.79
1950.00,   2.00, 449.27, 236.34, 639.13
1950.00,   3.00, 993.13, 871.57,1210.92
1950.00,   4.00,1187.71,1064.49,1375.59
1950.00,   5.00, 185.62, 110.80, 471.64
1950.00,   6.00, 105.49,   5.79, 223.15
1950.00,   7.00,  66.32,  16.24, 146.68
1950.00,   8.00,  56.83,  12.19, 184.16
1950.00,   9.00,  57.88,  16.94, 142.09
1950.00,  10.00,  66.10,  16.31, 174.21
1950.00,  11.00, 301.72, 151.07, 496.42
1950.00,  12.00, 607.83, 402.52, 771.89
1951.00,   1.00, 573.05, 465.59, 748.82
1951.00,   2.00, 776.93, 570.43, 942.07
1951.00,   3.00, 931.24, 742.85,1125.59
1951.00,   4.00, 707.75, 539.09, 829.81
1951.00,   5.00, 138.53,  47.41, 260.28
1951.00,   6.00,  74.79,  18.94, 133.33
1951.00,   7.00,  60.05,  13.45, 122.22
1951.00,   8.00,  45.66,  11.58, 121.27
1951.00,   9.00,  38.54,  10.86,  79.86
1951.00,  10.00,  83.66,  18.70, 172.27
1951.00,  11.00, 185.87, 105.15, 320.93
1951.00,  12.00, 116.08,  45.40, 212.46
1952.00,   1.00, 582.94, 395.15, 799.53
1952.00,   2.00, 280.57, 161.53, 444.61
1952.00,   3.00, 758.88, 557.89, 921.78
1952.00,   4.00, 428.73, 310.83, 571.76
1952.00,   5.00, 226.50, 125.96, 345.74
1952.00,   6.00,  65.14,  22.84, 132.55
1952.00,   7.00,  57.24,  14.60, 157.40
1952.00,   8.00,  42.31,  10.41, 102.41
1952.00,   9.00,  31.09,   9.63, 114.34
1952.00,  10.00,  37.34,   8.48, 101.85
1952.00,  11.00,  86.37,  25.03, 166.85
1952.00,  12.00, 139.89,  30.79, 264.56
1953.00,   1.00, 153.67,  16.93, 228.49
1953.00,   2.00,  98.30,  12.15, 252.91
1953.00,   3.00, 471.11, 348.68, 571.29
1953.00,   4.00, 297.04, 142.00, 452.02
1953.00,   5.00, 236.27,  97.56, 377.42
1953.00,   6.00, 125.27,  53.61, 234.68
1953.00,   7.00, 119.48,  33.91, 249.37
1953.00,   8.00,  75.11,  22.16, 244.39
1953.00,   9.00,  37.40,  12.08, 110.88
1953.00,  10.00,  43.17,  10.34, 107.98
1953.00,  11.00, 102.72,  15.34, 189.93
1953.00,  12.00,  99.60,  46.86, 163.90
1954.00,   1.00, 175.80,  59.53, 241.52
1954.00,   2.00, 856.77, 631.73,1190.99
1954.00,   3.00, 933.54, 820.77,1034.32
1954.00,   4.00, 806.24, 486.34, 938.94
1954.00,   5.00, 237.87, 171.06, 343.05
1954.00,   6.00, 112.65,  18.87, 315.09
1954.00,   7.00,  63.53,  19.21, 149.25
1954.00,   8.00,  47.56,  12.49, 110.27
1954.00,   9.00,  42.80,  11.27, 118.22
1954.00,  10.00, 558.08, 276.08, 669.16
1954.00,  11.00,  66.39,  18.11, 165.58
1954.00,  12.00, 212.45,  45.16, 328.98
1955.00,   1.00, 222.22,  34.44, 368.88
1955.00,   2.00, 183.97,  59.37, 395.42
1955.00,   3.00, 733.78, 383.08, 932.26
1955.00,   4.00, 410.05, 295.37, 548.75
1955.00,   5.00, 112.87,  50.84, 204.01
1955.00,   6.00, 104.02,  24.34, 257.98
1955.00,   7.00,  39.01,  11.63,  91.77
1955.00,   8.00,  61.57,  13.99, 154.79
1955.00,   9.00,  36.76,  12.49, 152.36
1955.00,  10.00,  76.07,  21.54, 328.43
1955.00,  11.00, 239.67,  33.14, 322.31
1955.00,  12.00, 205.79, 128.82, 299.67
1956.00,   1.00, 138.41,  73.79, 252.62
1956.00,   2.00, 199.96,  89.44, 292.85
1956.00,   3.00,1014.14, 831.51,1302.18
1956.00,   4.00, 800.17, 649.33, 959.20
1956.00,   5.00,1250.61,1032.36,1459.61
1956.00,   6.00, 138.65,  32.33, 280.49
1956.00,   7.00,  67.04,  15.26, 164.98
1956.00,   8.00, 146.11,  64.15, 254.33
1956.00,   9.00,  51.49,  13.56, 150.57
1956.00,  10.00,  44.23,  10.80, 125.58
1956.00,  11.00,  58.02,  17.71, 132.12
1956.00,  12.00, 407.50, 282.23, 575.65
1957.00,   1.00, 284.70, 111.97, 410.94
1957.00,   2.00, 247.62,  66.70, 379.60
1957.00,   3.00, 600.67, 435.59, 794.16
1957.00,   4.00, 745.19, 569.34, 956.80
1957.00,   5.00, 499.98, 349.37, 631.50
1957.00,   6.00, 137.50,  33.04, 320.23
1957.00,   7.00, 229.04,  28.07, 390.75
1957.00,   8.00,  51.71,  14.33, 124.92
1957.00,   9.00,  42.98,  14.47, 114.41
1957.00,  10.00, 168.59,  39.57, 319.97
1957.00,  11.00, 346.11, 222.11, 454.77
1957.00,  12.00, 626.19, 533.05, 747.80
1958.00,   1.00, 235.22,  26.41, 398.69
1958.00,   2.00, 202.13,  97.00, 548.08
1958.00,   3.00, 438.06, 326.40, 557.79
1958.00,   4.00, 367.94, 235.36, 495.00
1958.00,   5.00, 124.17,  42.60, 195.45
1958.00,   6.00,  83.73,  22.19, 224.03
1958.00,   7.00,  63.63,   9.37, 179.07
1958.00,   8.00,  52.70,  14.49, 129.68
1958.00,   9.00,  47.30,  13.16, 147.08
1958.00,  10.00,  62.14,  13.24, 145.46
1958.00,  11.00, 173.87,  50.37, 390.34
1958.00,  12.00,  74.00,  13.55, 184.25
1959.00,   1.00, 304.68, 129.07, 431.40
1959.00,   2.00, 326.63, 175.33, 439.06
1959.00,   3.00,1116.80, 934.63,1349.42
1959.00,   4.00,1286.53,1194.69,1385.38
1959.00,   5.00, 377.53, 250.24, 500.23
1959.00,   6.00, 131.83,  35.05, 237.49
1959.00,   7.00,  53.94,  15.00, 120.30
1959.00,   8.00,  56.75,  21.36, 119.85
1959.00,   9.00,  49.78,  15.75, 132.62
1959.00,  10.00, 235.30,  38.34, 398.62
1959.00,  11.00, 375.09, 148.01, 500.73
1959.00,  12.00, 664.49, 569.99, 810.11
1960.00,   1.00, 190.38, 101.93, 298.25
1960.00,   2.00, 305.75, 230.64, 414.14
1960.00,   3.00, 486.15, 327.42, 593.19
1960.00,   4.00,1452.43,1269.77,1610.82
1960.00,   5.00, 534.26, 368.07, 618.41
1960.00,   6.00, 243.26, 105.46, 458.95
1960.00,   7.00,  43.52,  12.07, 131.75
1960.00,   8.00,  41.62,  11.76, 128.31
1960.00,   9.00,  36.65,  10.81,  98.63
1960.00,  10.00,  42.11,  10.96,  92.47
1960.00,  11.00,  57.96,  17.19, 142.76
1960.00,  12.00,  38.50,   7.96, 100.77
