Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0,  71.7,  60.1,  83.7
1950.0,   2.0,  72.6,  61.2,  84.4
1950.0,   3.0,  74.2,  62.4,  86.1
1950.0,   4.0,  84.6,  73.0,  96.6
1950.0,   5.0,  74.3,  61.7,  86.6
1950.0,   6.0, 111.2,  98.8, 124.7
1950.0,   7.0, 115.3, 102.2, 128.2
1950.0,   8.0, 113.6, 100.6, 126.6
1950.0,   9.0, 106.2,  93.1, 118.4
1950.0,  10.0,  84.4,  70.8,  96.2
1950.0,  11.0,  68.6,  56.4,  80.5
1950.0,  12.0,  87.8,  75.1,  99.4
1951.0,   1.0,  75.5,  63.9,  87.3
1951.0,   2.0,  77.5,  65.6,  89.2
1951.0,   3.0,  76.4,  64.5,  88.3
1951.0,   4.0,  84.3,  73.0,  96.5
1951.0,   5.0,  90.5,  78.6, 103.2
1951.0,   6.0, 107.7,  95.4, 120.0
1951.0,   7.0, 107.5,  94.5, 121.5
1951.0,   8.0, 109.5,  95.5, 122.8
1951.0,   9.0, 111.4,  98.3, 124.4
1951.0,  10.0,  90.3,  78.4, 102.1
1951.0,  11.0,  69.1,  57.0,  81.4
1951.0,  12.0,  60.0,  48.1,  71.8
1952.0,   1.0,  67.5,  56.4,  79.0
1952.0,   2.0,  62.9,  51.4,  73.9
1952.0,   3.0,  76.2,  65.0,  88.3
1952.0,   4.0,  77.3,  65.4,  89.7
1952.0,   5.0,  89.6,  77.5, 101.4
1952.0,   6.0, 111.5,  98.5, 124.4
1952.0,   7.0, 115.5, 102.1, 128.7
1952.0,   8.0, 115.0, 101.8, 128.4
1952.0,   9.0,  96.4,  83.6, 109.3
1952.0,  10.0,  78.4,  66.0,  90.3
1952.0,  11.0,  81.5,  69.4,  94.2
1952.0,  12.0,  96.5,  83.8, 108.2
1953.0,   1.0,  70.5,  59.1,  82.9
1953.0,   2.0,  68.6,  57.0,  80.0
1953.0,   3.0,  79.5,  68.2,  91.4
1953.0,   4.0,  79.1,  67.0,  91.3
1953.0,   5.0,  89.4,  77.3, 101.6
1953.0,   6.0, 100.6,  88.5, 114.0
1953.0,   7.0, 102.0,  89.3, 115.0
1953.0,   8.0, 119.4, 106.8, 133.2
1953.0,   9.0, 126.5, 113.7, 139.0
1953.0,  10.0,  78.5,  66.4,  91.1
