Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000000,   1.000000,  73.226302,  59.466923,  87.684560
1950.000000,   2.000000,  43.448972,  30.890964,  56.201925
1950.000000,   3.000000,  29.328477,  15.939671,  42.479636
1950.000000,   4.000000,  11.792179,   3.864309,  20.242703
1950.000000,   5.000000,  -2.036702,  -8.541722,   4.301016
1950.000000,   6.000000,  -5.445613, -11.229694,   0.234938
1950.000000,   7.000000,   1.362573,  -8.040900,  11.774268
1950.000000,   8.000000,  30.086084,  16.522649,  43.387385
1950.000000,   9.000000,  36.890829,  23.995067,  50.942069
1950.000000,  10.000000,  37.882298,  23.831001,  52.328160
1950.000000,  11.000000, 109.535581,  94.051318, 124.862668
1950.000000,  12.000000,  97.670529,  82.944949, 113.073881
1951.000000,   1.000000,  49.936458,  35.809436,  63.533699
1951.000000,   2.000000,  24.840611,  13.076943,  36.297861
1951.000000,   3.000000,  24.526647,  11.524416,  36.681156
1951.000000,   4.000000,   0.144482,  -7.496503,   8.316344
1951.000000,   5.000000,  -1.734217,  -7.452855,   4.887070
1951.000000,   6.000000,  -1.118083,  -6.378529,   4.482801
1951.000000,   7.000000,  -2.411112, -11.704502,   6.857210
1951.000000,   8.000000,  23.725161,  11.854872,  36.317457
1951.000000,   9.000000,  70.577100,  57.611148,  83.989218
1951.000000,  10.000000,  55.568131,  41.868152,  69.401572
1951.000000,  11.000000, 102.297299,  89.241500, 116.449121
1951.000000,  12.000000,  96.972420,  83.033364, 111.997753
1952.000000,   1.000000,  46.815146,  33.812972,  59.514742
1952.000000,   2.000000,  36.770338,  24.822185,  48.480185
1952.000000,   3.000000,  29.849045,  17.207909,  42.309188
1952.000000,   4.000000,  -0.460035,  -8.292560,   7.731474
1952.000000,   5.000000,  -0.557094,  -6.478589,   5.522580
1952.000000,   6.000000,  -3.454316,  -8.785133,   1.824821
1952.000000,   7.000000,   8.906440,  -0.814250,  18.687699
1952.000000,   8.000000,  39.345179,  26.754642,  51.267621
1952.000000,   9.000000,  72.680868,  61.146781,  84.834486
1952.000000,  10.000000, 131.019930, 118.131147, 143.303323
1952.000000,  11.000000,  90.707062,  78.075049, 104.491443
1952.000000,  12.000000,  87.798181,  73.753156, 101.275582
1953.000000,   1.000000,  80.381691,  68.238562,  93.611390
1953.000000,   2.000000,  49.739868,  38.020343,  61.415033
1953.000000,   3.000000,  31.851731,  19.890184,  44.467656
1953.000000,   4.000000,  16.888742,   8.757406,  24.582067
1953.000000,   5.000000,   0.759713,  -5.658933,   7.273972
1953.000000,   6.000000,  -2.673794,  -7.926883,   2.819223
1953.000000,   7.000000,  19.794022,  10.889452,  29.434262
1953.000000,   8.000000,  37.731056,  26.475960,  49.650449
1953.000000,   9.000000,  91.799229,  78.417803, 103.279718
1953.000000,  10.000000,  61.499123,  47.662042,  73.637028
1953.000000,  11.000000, 103.658798,  90.865098, 116.379762
1953.000000,  12.000000, 128.459019, 113.864708, 141.393041
1954.000000,   1.000000, 100.367262,  87.922262, 112.437481
1954.000000,   2.000000,  34.966071,  22.512205,  47.056694
1954.000000,   3.000000,  58.565962,  46.512595,  70.817115
1954.000000,   4.000000,  13.500602,   5.632488,  21.216345
1954.000000,   5.000000,   1.274359,  -4.918466,   7.388487
1954.000000,   6.000000,  -2.774105,  -8.445995,   2.503504
1954.000000,   7.000000,   5.538067,  -4.069025,  15.174932
1954.000000,   8.000000,  41.108662,  28.656928,  53.570367
1954.000000,   9.000000,  56.873055,  44.450433,  68.605175
1954.000000,  10.000000,  64.719658,  51.515007,  77.652469
