Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000,   1.000,  93.652,  78.091, 109.959
1950.000,   2.000,  65.364,  51.537,  80.324
1950.000,   3.000, 121.737, 107.048, 136.669
1950.000,   4.000, 205.103, 192.372, 218.232
1950.000,   5.000, 154.244, 141.232, 167.067
1950.000,   6.000, 143.130, 131.538, 155.030
1950.000,   7.000, 132.211, 119.327, 144.678
1950.000,   8.000,  62.051,  47.728,  77.204
1950.000,   9.000,  63.874,  47.081,  78.095
1950.000,  10.000,  27.673,  12.104,  42.674
1950.000,  11.000,   1.489, -14.313,  18.681
1950.000,  12.000,   9.510,  -6.761,  24.635
1951.000,   1.000,  60.168,  46.107,  74.796
1951.000,   2.000,  85.150,  72.708,  97.391
1951.000,   3.000, 141.320, 127.925, 155.944
1951.000,   4.000, 271.283, 257.819, 284.062
1951.000,   5.000, 146.896, 133.768, 159.194
1951.000,   6.000, 122.681, 111.928, 132.690
1951.000,   7.000, 148.664, 137.080, 160.243
1951.000,   8.000,  86.281,  73.645,  99.473
1951.000,   9.000,  51.569,  37.703,  65.123
1951.000,  10.000, 122.812, 109.259, 136.916
1951.000,  11.000,  51.232,  36.543,  65.670
1951.000,  12.000,  33.250,  17.916,  48.299
1952.000,   1.000,  91.137,  77.009, 105.497
1952.000,   2.000,  49.565,  36.950,  61.619
1952.000,   3.000, 106.862,  93.301, 120.415
1952.000,   4.000, 202.012, 189.964, 214.410
1952.000,   5.000, 148.168, 136.575, 159.868
1952.000,   6.000, 110.216, 100.111, 120.292
1952.000,   7.000, 155.840, 145.578, 167.519
1952.000,   8.000,  71.596,  58.532,  84.500
1952.000,   9.000,   3.451, -10.161,  16.087
1952.000,  10.000,-100.827,-114.083, -87.924
1952.000,  11.000,  22.830,   9.145,  36.337
1952.000,  12.000,  11.731,  -3.061,  26.958
1953.000,   1.000,  15.274,   1.055,  29.182
1953.000,   2.000,  54.775,  41.584,  66.822
1953.000,   3.000, 120.943, 107.710, 133.700
1953.000,   4.000, 153.258, 141.750, 166.662
1953.000,   5.000, 156.784, 145.291, 168.074
1953.000,   6.000, 134.551, 123.949, 145.708
1953.000,   7.000,  89.197,  78.485, 100.753
1953.000,   8.000,  46.823,  33.378,  58.807
1953.000,   9.000,   5.816,  -6.681,  18.851
1953.000,  10.000, -13.171, -25.855,  -0.140
1953.000,  11.000, -43.981, -57.162, -30.088
1953.000,  12.000, -37.926, -51.733, -22.559
1954.000,   1.000, -22.024, -35.285,  -8.363
1954.000,   2.000,  79.385,  65.572,  92.288
1954.000,   3.000,  86.801,  74.006, 100.337
1954.000,   4.000, 203.408, 191.378, 217.646
1954.000,   5.000, 150.619, 139.126, 161.956
1954.000,   6.000, 196.240, 185.640, 206.497
1954.000,   7.000,  92.183,  80.987, 103.836
1954.000,   8.000,  36.685,  23.799,  49.403
1954.000,   9.000,  95.224,  82.798, 107.793
1954.000,  10.000, 180.875, 167.655, 194.654
1954.000,  11.000,  17.457,   3.478,  31.876
1954.000,  12.000, -13.612, -27.723,   0.440
1955.000,   1.000,  14.566,   1.553,  27.810
1955.000,   2.000,  32.402,  19.889,  44.579
1955.000,   3.000,  80.406,  66.881,  93.394
1955.000,   4.000, 173.565, 161.707, 186.247
1955.000,   5.000, 120.322, 107.789, 132.146
1955.000,   6.000,  82.679,  72.748,  93.611
1955.000,   7.000,  51.782,  40.353,  62.664
1955.000,   8.000,  10.840,  -1.973,  23.660
1955.000,   9.000, -30.118, -43.319, -17.476
1955.000,  10.000,  55.315,  41.082,  68.877
1955.000,  11.000, -10.497, -25.001,   4.291
1955.000,  12.000, -38.644, -52.919, -24.501
1956.000,   1.000,   3.104,  -9.597,  15.891
1956.000,   2.000,  38.120,  26.014,  49.601
1956.000,   3.000,  81.926,  69.906,  95.147
1956.000,   4.000, 167.955, 156.034, 180.070
1956.000,   5.000, 217.616, 206.322, 229.028
1956.000,   6.000, 120.175, 108.956, 130.556
1956.000,   7.000, 133.168, 121.455, 144.005
1956.000,   8.000, 106.008,  92.580, 119.105
1956.000,   9.000,  16.661,   3.374,  29.668
1956.000,  10.000,   5.057,  -8.821,  18.528
1956.000,  11.000,  -9.317, -22.786,   3.611
1956.000,  12.000, -12.580, -26.594,   1.662
1957.000,   1.000, -11.470, -25.290,   1.586
1957.000,   2.000,  36.777,  24.004,  50.356
1957.000,   3.000,  62.319,  50.030,  75.830
1957.000,   4.000, 148.708, 137.072, 160.592
1957.000,   5.000, 170.789, 158.261, 182.805
1957.000,   6.000, 158.986, 147.571, 169.825
1957.000,   7.000, 132.585, 120.604, 143.585
