Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,4338,4203,4427
1950,   2,3744,3572,3936
1950,   3,4037,3818,4146
1950,   4,4676,4534,4789
1950,   5,4833,4713,4941
1950,   6,4913,4763,5154
1950,   7,5234,5039,5434
1950,   8,5258,5178,5350
1950,   9,5294,5204,5407
1950,  10,5464,5405,5581
1950,  11,5200,5056,5342
1950,  12,5094,5040,5141
1951,   1,4312,4268,4364
1951,   2,4228,4186,4292
1951,   3,4711,4611,4830
1951,   4,5156,5019,5290
1951,   5,5373,5308,5510
1951,   6,5536,5341,5647
1951,   7,5508,5455,5637
1951,   8,5683,5555,5761
1951,   9,5506,5438,5687
1951,  10,5683,5609,5759
1951,  11,5597,5466,5665
1951,  12,5637,5508,5796
1952,   1,5136,4993,5275
1952,   2,5109,4848,5282
1952,   3,5008,4940,5255
1952,   4,5576,5398,5645
1952,   5,5560,5377,5722
1952,   6,5773,5586,5973
1952,   7,5784,5650,5916
1952,   8,5936,5847,6066
1952,   9,5895,5663,6031
1952,  10,5672,5569,5745
1952,  11,5604,5484,5687
1952,  12,5520,5397,5674
1953,   1,5237,5064,5465
1953,   2,5183,4919,5435
1953,   3,5096,4926,5231
1953,   4,5374,5188,5478
1953,   5,5652,5584,5719
1953,   6,5599,5482,5664
1953,   7,5677,5570,5734
1953,   8,5679,5583,5818
1953,   9,5668,5520,5797
1953,  10,5719,5676,5777
1953,  11,5653,5551,5734
1953,  12,5349,5228,5410
1954,   1,4464,4347,4555
1954,   2,4346,4134,4492
1954,   3,4998,4911,5109
1954,   4,5263,5086,5475
1954,   5,5440,5302,5498
1954,   6,5599,5440,5733
1954,   7,5621,5426,5754
1954,   8,5720,5652,5870
1954,   9,5646,5554,5727
1954,  10,5692,5584,5756
1954,  11,5671,5518,5853
1954,  12,5564,5332,5672
1955,   1,5126,4922,5240
1955,   2,4824,4671,4988
1955,   3,5122,4908,5303
1955,   4,5289,5241,5387
1955,   5,5517,5333,5615
1955,   6,5497,5399,5611
1955,   7,5582,5500,5635
1955,   8,5469,5348,5715
1955,   9,5425,5343,5597
1955,  10,5358,5223,5464
1955,  11,5232,5098,5310
1955,  12,5186,5043,5329
1956,   1,3951,3891,3996
1956,   2,3964,3885,4071
1956,   3,4632,4503,4690
1956,   4,5163,5020,5280
1956,   5,5336,5278,5382
1956,   6,5272,5229,5406
1956,   7,5526,5473,5574
1956,   8,5446,5251,5559
1956,   9,5432,5365,5513
1956,  10,5298,5202,5429
1956,  11,5105,5054,5167
1956,  12,5042,4954,5105
1957,   1,4248,4070,4389
1957,   2,4309,4131,4391
1957,   3,4537,4484,4692
1957,   4,4908,4818,4954
1957,   5,5074,4871,5133
1957,   6,5131,4963,5202
1957,   7,5337,5265,5411
1957,   8,5201,5046,5306
1957,   9,5281,5168,5364
1957,  10,5135,5066,5184
1957,  11,5147,5085,5212
1957,  12,5016,4935,5103
1958,   1,3886,3849,3961
1958,   2,3841,3656,3971
1958,   3,4683,4551,4772
1958,   4,4834,4674,5067
1958,   5,5211,5064,5270
1958,   6,5106,5039,5179
1958,   7,5151,5054,5212
1958,   8,5183,5131,5325
1958,   9,5110,5015,5198
