Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 250.8375, 224.2714, 279.3656
1950.0000,   2.0000, 138.7985, 111.6961, 166.6831
1950.0000,   3.0000, 260.0036, 230.6335, 288.9014
1950.0000,   4.0000, 368.5595, 340.7319, 395.6501
1950.0000,   5.0000, 154.6750, 127.9125, 180.7358
1950.0000,   6.0000, 120.0905,  96.1670, 147.6599
1950.0000,   7.0000,  77.6430,  54.2538, 102.1877
1950.0000,   8.0000,  62.1810,  42.7307,  85.0144
1950.0000,   9.0000,   4.3401, -16.3720,  25.8357
1950.0000,  10.0000,  77.7267,  53.3088, 104.0458
1950.0000,  11.0000, 145.8103, 120.2793, 173.4854
1950.0000,  12.0000, 139.5733, 111.0332, 166.5840
1951.0000,   1.0000, 188.6461, 161.0387, 215.6271
1951.0000,   2.0000, 235.9690, 209.7932, 260.4762
1951.0000,   3.0000, 371.4597, 342.9583, 399.2065
1951.0000,   4.0000, 469.5366, 443.8961, 496.0019
1951.0000,   5.0000, 191.2724, 164.1673, 217.5901
1951.0000,   6.0000, 157.6649, 131.4932, 183.1526
1951.0000,   7.0000, 155.3329, 127.8719, 184.2051
1951.0000,   8.0000,  24.8994,   4.3959,  47.0047
1951.0000,   9.0000,  20.4622,  -3.4331,  42.4109
1951.0000,  10.0000,  20.2451,  -1.4520,  45.2135
1951.0000,  11.0000,  85.4655,  60.3815, 113.1000
1951.0000,  12.0000, 123.1025,  97.5164, 150.6817
1952.0000,   1.0000, 203.0742, 174.4037, 230.7433
1952.0000,   2.0000, 189.4945, 161.3676, 217.2365
1952.0000,   3.0000, 270.1434, 244.6560, 297.3445
1952.0000,   4.0000, 352.6754, 326.4065, 381.0305
1952.0000,   5.0000, 271.3398, 247.7808, 296.0098
1952.0000,   6.0000,  92.9157,  67.9492, 119.6937
1952.0000,   7.0000,  69.9552,  44.6465,  95.3107
1952.0000,   8.0000,  29.1782,   9.6483,  53.1072
1952.0000,   9.0000,  23.1740,   2.4633,  49.2404
1952.0000,  10.0000, -30.3341, -53.1358,  -7.9476
1952.0000,  11.0000,  54.5713,  29.7657,  76.2498
