Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 105.01,  98.73, 111.06
1950.00,   2.00,  80.88,  75.35,  86.49
1950.00,   3.00,  75.38,  68.96,  81.84
1950.00,   4.00,  48.29,  41.47,  54.62
1950.00,   5.00,  39.83,  32.98,  45.75
1950.00,   6.00,  56.96,  49.85,  63.46
1950.00,   7.00,  66.44,  59.44,  73.87
1950.00,   8.00,  79.49,  73.30,  85.87
1950.00,   9.00,  44.27,  38.06,  50.26
1950.00,  10.00,  69.83,  63.67,  75.87
1950.00,  11.00, 110.98, 104.58, 118.09
1950.00,  12.00,  55.84,  49.86,  61.94
1951.00,   1.00,  70.26,  63.68,  76.24
1951.00,   2.00,  77.03,  71.42,  82.43
1951.00,   3.00,  97.91,  91.71, 104.18
1951.00,   4.00, 103.99,  97.29, 110.40
1951.00,   5.00,  38.32,  30.95,  44.92
1951.00,   6.00,  84.95,  78.14,  91.90
1951.00,   7.00, 106.66,  99.35, 113.79
1951.00,   8.00,  52.85,  46.77,  59.34
1951.00,   9.00,  66.41,  60.51,  72.37
1951.00,  10.00,  40.76,  34.56,  46.96
1951.00,  11.00,  78.66,  72.33,  85.53
1951.00,  12.00,  95.25,  89.36, 101.57
1952.00,   1.00,  67.02,  60.42,  73.62
1952.00,   2.00,  55.04,  49.59,  60.75
1952.00,   3.00,  61.56,  55.27,  68.15
1952.00,   4.00,  63.26,  56.56,  69.70
1952.00,   5.00, 102.31,  95.42, 108.26
1952.00,   6.00,  25.25,  18.67,  31.81
1952.00,   7.00,  67.11,  60.08,  74.67
1952.00,   8.00,  61.01,  55.23,  67.37
1952.00,   9.00,  64.60,  58.64,  71.40
1952.00,  10.00,  43.18,  36.89,  49.44
1952.00,  11.00,  62.30,  56.19,  68.93
1952.00,  12.00,  69.16,  63.08,  75.39
1953.00,   1.00,  63.55,  56.68,  69.71
1953.00,   2.00,  43.63,  38.01,  49.58
1953.00,   3.00,  90.13,  84.30,  96.58
1953.00,   4.00,  56.90,  50.06,  62.73
1953.00,   5.00, 117.70, 110.56, 124.14
1953.00,   6.00,  43.88,  36.97,  50.58
1953.00,   7.00,  60.69,  53.61,  68.09
1953.00,   8.00,  63.92,  57.81,  70.29
1953.00,   9.00,  85.35,  79.27,  91.20
1953.00,  10.00,  19.12,  13.44,  24.97
1953.00,  11.00,  45.22,  38.94,  51.85
1953.00,  12.00,  59.50,  53.62,  65.67
1954.00,   1.00,  62.24,  55.50,  68.49
1954.00,   2.00,  84.62,  78.84,  90.62
1954.00,   3.00,  87.02,  80.88,  93.33
1954.00,   4.00, 105.45,  98.40, 111.86
1954.00,   5.00,  46.82,  40.16,  52.98
1954.00,   6.00,  76.02,  68.92,  83.01
1954.00,   7.00,  27.60,  20.54,  34.73
1954.00,   8.00,  84.73,  78.58,  91.37
1954.00,   9.00,  78.11,  72.28,  84.44
1954.00,  10.00,  87.02,  81.23,  93.71
1954.00,  11.00,  71.62,  65.67,  78.54
1954.00,  12.00,  86.45,  80.26,  92.69
1955.00,   1.00,  39.30,  33.16,  45.56
1955.00,   2.00,  52.25,  46.75,  57.49
1955.00,   3.00, 102.13,  95.77, 108.67
1955.00,   4.00,  56.08,  48.88,  62.30
1955.00,   5.00,  53.89,  47.08,  60.12
1955.00,   6.00,  22.99,  16.35,  29.74
1955.00,   7.00,  42.74,  35.56,  49.91
1955.00,   8.00, 108.18, 101.87, 114.53
1955.00,   9.00,  46.00,  39.92,  51.89
1955.00,  10.00, 207.59, 201.27, 213.94
1955.00,  11.00,  38.73,  32.57,  45.70
1955.00,  12.00,  36.42,  30.47,  42.45
1956.00,   1.00,  42.71,  36.21,  48.99
1956.00,   2.00,  62.64,  57.28,  68.31
1956.00,   3.00,  79.11,  73.14,  85.23
1956.00,   4.00,  92.47,  85.65,  99.00
1956.00,   5.00, 104.88,  97.89, 111.15
1956.00,   6.00,  35.70,  28.81,  42.68
1956.00,   7.00,  71.18,  64.10,  78.43
1956.00,   8.00, 104.66,  98.01, 110.94
1956.00,   9.00,  66.90,  60.91,  72.90
1956.00,  10.00,  24.47,  18.53,  30.79
1956.00,  11.00,  46.12,  39.62,  52.96
1956.00,  12.00,  55.24,  49.27,  61.45
1957.00,   1.00,  69.67,  63.22,  76.11
1957.00,   2.00,  43.86,  38.34,  49.36
1957.00,   3.00,  33.80,  27.80,  40.08
1957.00,   4.00,  70.57,  63.51,  77.52
