Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0, 239.6, 214.5, 266.6
1950.0,   2.0, 136.1, 110.6, 162.6
1950.0,   3.0, 237.8, 209.5, 267.1
1950.0,   4.0, 339.6, 313.0, 365.2
1950.0,   5.0, 115.9,  90.5, 140.6
1950.0,   6.0,  74.4,  53.4,  99.5
1950.0,   7.0,  50.4,  28.5,  73.2
1950.0,   8.0,  42.0,  25.9,  61.2
1950.0,   9.0,  45.7,  27.6,  65.4
1950.0,  10.0,  65.8,  43.6,  89.6
1950.0,  11.0, 130.9, 106.0, 158.1
1950.0,  12.0, 185.9, 159.9, 211.8
1951.0,   1.0, 197.8, 170.9, 223.0
1951.0,   2.0, 196.6, 171.2, 219.3
1951.0,   3.0, 314.9, 289.4, 342.0
1951.0,   4.0, 371.9, 346.5, 396.5
1951.0,   5.0, 155.1, 129.6, 178.8
1951.0,   6.0,  88.4,  64.1, 112.2
1951.0,   7.0,  96.4,  70.9, 123.7
1951.0,   8.0,  45.2,  27.7,  65.6
1951.0,   9.0,  51.0,  29.5,  71.3
1951.0,  10.0,  46.4,  26.3,  68.6
1951.0,  11.0, 114.3,  89.3, 141.1
1951.0,  12.0, 135.1, 110.4, 162.2
1952.0,   1.0, 210.4, 184.5, 236.2
1952.0,   2.0, 177.3, 149.5, 203.1
1952.0,   3.0, 248.7, 224.5, 271.9
1952.0,   4.0, 294.7, 270.7, 322.0
1952.0,   5.0, 175.3, 152.1, 200.7
1952.0,   6.0,  91.2,  66.9, 115.1
1952.0,   7.0,  58.9,  37.6,  82.3
1952.0,   8.0,  43.9,  26.2,  65.4
1952.0,   9.0,  47.2,  28.6,  70.9
1952.0,  10.0,  49.4,  28.0,  69.8
1952.0,  11.0,  59.5,  36.2,  80.4
1952.0,  12.0, 150.4, 128.0, 176.1
1953.0,   1.0, 133.2, 110.6, 157.7
1953.0,   2.0, 136.1, 110.1, 162.5
1953.0,   3.0, 241.5, 215.1, 265.8
1953.0,   4.0, 171.4, 149.1, 198.2
1953.0,   5.0, 234.3, 213.0, 259.4
1953.0,   6.0,  91.5,  69.7, 114.8
1953.0,   7.0,  54.5,  32.3,  75.6
1953.0,   8.0,  56.8,  35.5,  79.7
1953.0,   9.0,  42.9,  24.9,  63.1
1953.0,  10.0,  34.9,  19.1,  55.9
1953.0,  11.0,  44.2,  23.3,  67.5
1953.0,  12.0, 108.3,  83.9, 134.5
1954.0,   1.0,  89.7,  66.8, 114.3
1954.0,   2.0, 235.9, 212.9, 264.5
