Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.000000,   1.000000,  66.883298,  50.819965,  83.321026
1950.000000,   2.000000,  36.545428,  21.905295,  51.837811
1950.000000,   3.000000,  12.130507,  -3.543431,  26.663417
1950.000000,   4.000000,  12.233868,   3.045858,  22.066915
1950.000000,   5.000000,  -3.410957, -10.352466,   3.603243
1950.000000,   6.000000,  -4.702899,  -7.030209,  -2.336651
1950.000000,   7.000000,  -4.789051,  -8.426926,  -1.214648
1950.000000,   8.000000,  -6.025837, -18.498347,   6.075947
1950.000000,   9.000000,   6.667704,  -7.602985,  20.837956
1950.000000,  10.000000,  25.049633,  10.196161,  40.460279
1950.000000,  11.000000,  83.952862,  69.512756,  97.495535
1950.000000,  12.000000,  92.369873,  77.914431, 107.660991
1951.000000,   1.000000,  48.222750,  33.323144,  64.408178
1951.000000,   2.000000,   4.354702,  -9.878920,  18.886076
1951.000000,   3.000000,  11.787202,  -2.689233,  26.241162
1951.000000,   4.000000,   4.104288,  -5.043135,  13.531998
1951.000000,   5.000000,   0.529623,  -6.118764,   7.680600
1951.000000,   6.000000,  -4.077885,  -6.556634,  -1.831530
1951.000000,   7.000000,  -3.436599,  -6.815806,  -0.212457
1951.000000,   8.000000,  -0.069930, -12.117572,  11.490878
1951.000000,   9.000000,  30.999653,  17.603677,  44.560289
1951.000000,  10.000000,  45.086695,  30.684487,  60.053367
1951.000000,  11.000000,  95.777931,  82.487497, 109.553389
1951.000000,  12.000000,  76.326719,  62.167190,  91.394088
1952.000000,   1.000000,  49.450610,  34.545412,  64.585498
1952.000000,   2.000000,  38.760983,  25.386359,  52.037297
1952.000000,   3.000000,  23.579922,  10.179574,  37.941800
1952.000000,   4.000000,  11.282462,   1.963263,  20.176491
1952.000000,   5.000000,   6.144438,  -0.907141,  12.912736
1952.000000,   6.000000,  -4.234712,  -6.574220,  -1.797004
1952.000000,   7.000000,  -4.420643,  -7.845205,  -1.187500
1952.000000,   8.000000,   6.094554,  -6.452838,  17.549406
1952.000000,   9.000000,  37.538408,  24.371118,  51.473957
1952.000000,  10.000000,  98.780040,  84.634791, 113.085931
1952.000000,  11.000000,  88.035121,  74.631617, 102.040530
1952.000000,  12.000000,  84.755841,  70.339822,  98.714499
1953.000000,   1.000000,  61.402918,  47.196587,  76.300491
1953.000000,   2.000000,  32.711101,  19.693542,  45.552583
1953.000000,   3.000000,  21.060364,   7.142333,  34.683209
1953.000000,   4.000000,  14.888191,   6.012006,  24.370626
1953.000000,   5.000000,  -0.415208,  -6.692062,   6.682106
1953.000000,   6.000000,  -4.392375,  -6.770268,  -2.076368
1953.000000,   7.000000,  -3.295836,  -6.721120,   0.078616
1953.000000,   8.000000,   4.135235,  -7.567029,  15.839884
1953.000000,   9.000000,  60.471401,  47.697938,  74.740277
1953.000000,  10.000000,  47.977061,  33.361207,  62.708223
1953.000000,  11.000000,  93.127138,  79.618107, 105.785655
1953.000000,  12.000000, 100.346055,  86.626351, 114.826082
1954.000000,   1.000000,  79.330393,  64.871423,  93.322520
1954.000000,   2.000000,  34.332138,  20.916157,  47.842560
1954.000000,   3.000000,  49.125397,  34.791409,  62.869571
1954.000000,   4.000000,  14.769615,   5.479207,  23.899219
1954.000000,   5.000000,   1.464548,  -5.170781,   8.393870
1954.000000,   6.000000,  -4.315087,  -6.898168,  -2.029035
1954.000000,   7.000000,  -3.404071,  -6.889285,  -0.016229
1954.000000,   8.000000,  24.659105,  12.910173,  35.952117
1954.000000,   9.000000,  46.518358,  34.754375,  59.622641
1954.000000,  10.000000,  68.297621,  53.588394,  82.915927
1954.000000,  11.000000,  74.674488,  62.212873,  89.147423
1954.000000,  12.000000, 103.486466,  90.171619, 116.842584
