Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,1785,1712,1858
1950,   2,1873,1801,1948
1950,   3,1867,1799,1940
1950,   4,1868,1791,1940
1950,   5,1914,1836,1998
1950,   6,2957,2870,3035
1950,   7,3482,3395,3571
1950,   8,3578,3490,3667
1950,   9,3556,3465,3647
1950,  10,3499,3409,3588
1950,  11,3418,3328,3507
1950,  12,3170,3095,3248
1951,   1,2316,2243,2392
1951,   2,2259,2183,2328
1951,   3,2264,2192,2334
1951,   4,2927,2850,3002
1951,   5,3439,3360,3518
1951,   6,3470,3388,3553
1951,   7,3517,3433,3603
1951,   8,3441,3347,3528
1951,   9,3496,3411,3586
1951,  10,3495,3404,3588
1951,  11,3426,3343,3514
1951,  12,2905,2823,2984
1952,   1,2376,2302,2448
1952,   2,2318,2244,2389
1952,   3,2285,2214,2357
1952,   4,2329,2253,2401
1952,   5,3041,2958,3119
1952,   6,2209,2128,2289
1952,   7,1886,1802,1975
1952,   8,3302,3211,3391
1952,   9,3302,3211,3390
1952,  10,3231,3145,3320
1952,  11,3025,2937,3110
1952,  12,2119,2041,2199
1953,   1,2088,2012,2160
1953,   2,2031,1956,2105
1953,   3,1975,1905,2043
1953,   4,2197,2123,2267
1953,   5,2613,2536,2695
1953,   6,2771,2691,2853
1953,   7,3022,2937,3112
1953,   8,3391,3303,3481
1953,   9,3371,3279,3462
1953,  10,3220,3135,3315
1953,  11,2853,2763,2940
1953,  12,2259,2182,2334
1954,   1,2093,2020,2168
1954,   2,2037,1970,2111
1954,   3,2035,1962,2105
1954,   4,2003,1931,2074
1954,   5,2146,2064,2225
1954,   6,2176,2092,2259
1954,   7,2840,2754,2927
1954,   8,3298,3209,3388
1954,   9,3200,3110,3288
1954,  10,2727,2638,2817
1954,  11,2153,2068,2240
1954,  12,1849,1772,1920
1955,   1,1764,1691,1839
1955,   2,1755,1682,1826
1955,   3,1726,1658,1794
1955,   4,1699,1627,1773
1955,   5,2044,1964,2125
1955,   6,2121,2041,2204
1955,   7,1984,1898,2068
1955,   8,1850,1761,1935
1955,   9,1167,1072,1257
1955,  10,1426,1336,1513
1955,  11,2375,2288,2461
1955,  12,2176,2100,2252
1956,   1,2095,2021,2166
1956,   2,2099,2025,2167
1956,   3,2074,2001,2148
1956,   4,2163,2091,2233
1956,   5,1942,1866,2023
1956,   6,1741,1659,1822
1956,   7,1747,1659,1827
1956,   8,2055,1962,2147
1956,   9,2039,1948,2134
1956,  10,2076,1986,2167
1956,  11,1991,1905,2075
1956,  12,1952,1874,2032
1957,   1,1905,1835,1976
1957,   2,1870,1797,1940
1957,   3,1610,1540,1683
1957,   4,1605,1532,1678
1957,   5,1500,1423,1580
1957,   6,1548,1465,1631
1957,   7,1559,1476,1649
1957,   8,1825,1733,1908
1957,   9,1923,1833,2015
1957,  10,1910,1823,1998
1957,  11,1876,1793,1964
1957,  12,1847,1771,1924
1958,   1,2010,1936,2083
1958,   2,2010,1937,2079
1958,   3,1951,1880,2023
1958,   4,1742,1670,1814
1958,   5,1769,1693,1851
1958,   6,1771,1689,1855
1958,   7,1620,1531,1705
1958,   8,1610,1517,1696
1958,   9,1616,1523,1710
1958,  10,1874,1781,1964
1958,  11,1950,1867,2039
1958,  12,1880,1801,1958
1959,   1,1879,1805,1954
1959,   2,1905,1836,1975
1959,   3,1847,1774,1919
1959,   4,1986,1912,2064
1959,   5,1972,1895,2050
1959,   6,1938,1857,2019
1959,   7,1901,1817,1983
1959,   8,1938,1851,2030
1959,   9,2117,2027,2204
1959,  10,3172,3084,3260
1959,  11,3356,3265,3443
1959,  12,2521,2445,2599
1960,   1,2098,2030,2172
1960,   2,2047,1974,2117
1960,   3,1957,1885,2027
1960,   4,1875,1801,1950
1960,   5,1941,1860,2022
1960,   6,3148,3062,3231
1960,   7,3260,3169,3342
1960,   8,2978,2886,3066
1960,   9,2926,2835,3018
1960,  10,2612,2518,2699
1960,  11,2064,1977,2152
1960,  12,1941,1865,2021
1961,   1,1899,1827,1972
1961,   2,1894,1823,1967
1961,   3,1868,1798,1940
1961,   4,1874,1803,1945
1961,   5,1942,1862,2021
1961,   6,1968,1886,2049
1961,   7,1863,1780,1948
1961,   8,1630,1541,1720
1961,   9,1631,1539,1723
1961,  10,1648,1556,1741
1961,  11,1849,1764,1934
1961,  12,1836,1759,1915
1962,   1,1828,1752,1903
1962,   2,1844,1770,1915
1962,   3,1819,1751,1888
1962,   4,1794,1720,1864
1962,   5,1701,1620,1778
1962,   6,1714,1627,1795
1962,   7,1786,1699,1876
1962,   8,1715,1622,1800
1962,   9,1600,1510,1693
1962,  10,1817,1730,1911
1962,  11,1938,1854,2024
1962,  12,1845,1766,1926
1963,   1,1761,1689,1836
1963,   2,1848,1772,1916
1963,   3,1708,1637,1778
1963,   4,1611,1538,1684
1963,   5,1737,1658,1816
1963,   6,1710,1630,1796
1963,   7,1790,1703,1874
1963,   8,1775,1690,1864
1963,   9,2049,1957,2141
1963,  10,1817,1729,1908
1963,  11,1872,1787,1962
1963,  12,1602,1527,1677
1964,   1,1674,1601,1750
1964,   2,1928,1859,2005
1964,   3,1927,1856,1998
1964,   4,1923,1844,2002
1964,   5,1980,1903,2058
1964,   6,2067,1987,2146
1964,   7,2302,2218,2386
1964,   8,2825,2738,2920
1964,   9,3017,2932,3107
1964,  10,3146,3058,3234
1964,  11,3269,3183,3352
1964,  12,2623,2544,2702
1965,   1,2430,2358,2502
1965,   2,2369,2295,2441
1965,   3,2341,2271,2412
1965,   4,2330,2255,2402
1965,   5,2663,2586,2741
1965,   6,2788,2704,2867
1965,   7,3180,3094,3265
1965,   8,3215,3126,3306
1965,   9,3068,2973,3161
1965,  10,2884,2792,2975
1965,  11,2882,2796,2969
1965,  12,2400,2324,2479
1966,   1,2169,2097,2247
1966,   2,2175,2100,2246
1966,   3,2178,2105,2250
1966,   4,2282,2204,2354
1966,   5,2252,2175,2330
1966,   6,2239,2156,2322
1966,   7,2715,2626,2802
1966,   8,2717,2624,2802
1966,   9,2923,2835,3015
1966,  10,2547,2455,2634
1966,  11,2274,2192,2361
1966,  12,2118,2041,2195
1967,   1,2004,1933,2080
1967,   2,2034,1960,2106
1967,   3,2005,1936,2073
1967,   4,2009,1933,2080
1967,   5,2411,2328,2489
1967,   6,2546,2463,2627
1967,   7,2556,2468,2643
1967,   8,2615,2525,2702
1967,   9,2466,2374,2559
1967,  10,2010,1919,2099
1967,  11,2038,1951,2123
1967,  12,1980,1903,2056
1968,   1,1952,1879,2029
1968,   2,1943,1875,2018
1968,   3,1900,1830,1966
1968,   4,1946,1877,2020
1968,   5,1973,1897,2049
1968,   6,1963,1879,2045
1968,   7,2803,2717,2890
1968,   8,3427,3336,3513
1968,   9,3453,3363,3549
1968,  10,3497,3411,3587
1968,  11,3476,3389,3559
1968,  12,2956,2877,3032
1969,   1,2336,2262,2407
1969,   2,2597,2524,2665
1969,   3,2668,2597,2740
1969,   4,2908,2833,2980
1969,   5,3265,3187,3342
1969,   6,3291,3207,3371
1969,   7,3291,3205,3375
1969,   8,3311,3220,3397
1969,   9,2964,2872,3056
1969,  10,1950,1863,2038
1969,  11,1899,1810,1985
1969,  12,1932,1852,2015
1970,   1,1931,1858,2008
1970,   2,2338,2267,2410
1970,   3,1976,1906,2047
1970,   4,1809,1732,1880
1970,   5,1807,1730,1884
1970,   6,1837,1756,1922
1970,   7,1828,1742,1915
1970,   8,2723,2627,2815
1970,   9,2261,2170,2351
1970,  10,1845,1754,1936
1970,  11,2431,2344,2525
1970,  12,2850,2769,2927
1971,   1,2619,2549,2691
1971,   2,2337,2266,2406
1971,   3,2373,2298,2445
1971,   4,2683,2608,2756
1971,   5,3045,2969,3121
1971,   6,3183,3099,3264
1971,   7,3232,3146,3318
1971,   8,3000,2911,3086
1971,   9,3058,2965,3154
1971,  10,3200,3108,3285
1971,  11,3170,3079,3257
1971,  12,2791,2711,2869
1972,   1,2272,2199,2342
1972,   2,2066,1993,2138
1972,   3,2108,2038,2176
1972,   4,2114,2040,2187
1972,   5,3130,3045,3210
1972,   6,3276,3201,3357
1972,   7,3235,3153,3317
1972,   8,3187,3099,3277
1972,   9,3243,3153,3336
1972,  10,3134,3044,3224
1972,  11,3270,3182,3351
1972,  12,2435,2360,2512
1973,   1,2123,2046,2193
1973,   2,1614,1542,1685
1973,   3,1504,1437,1575
