Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  82.39,  73.31,  91.12
1950.00,   2.00,  35.39,  26.79,  44.21
1950.00,   3.00,  52.07,  42.96,  61.00
1950.00,   4.00,  67.96,  58.70,  76.76
1950.00,   5.00,  91.59,  81.73, 101.54
1950.00,   6.00, 107.19,  97.35, 116.94
1950.00,   7.00,  86.34,  76.95,  96.35
1950.00,   8.00,  73.85,  65.06,  83.35
1950.00,   9.00,  54.97,  45.41,  64.35
1950.00,  10.00,  72.63,  62.58,  82.25
1950.00,  11.00,  93.92,  84.15, 103.69
1950.00,  12.00,  50.47,  41.39,  59.30
1951.00,   1.00,  30.80,  22.59,  39.75
1951.00,   2.00,  64.68,  55.25,  73.46
1951.00,   3.00,  78.70,  68.80,  87.78
1951.00,   4.00,  56.54,  47.89,  65.50
1951.00,   5.00,  44.03,  35.02,  52.80
1951.00,   6.00, 102.97,  92.48, 111.97
1951.00,   7.00,  51.07,  42.46,  60.74
1951.00,   8.00, 106.45,  96.41, 116.17
1951.00,   9.00, 125.17, 115.53, 134.62
1951.00,  10.00,  78.06,  68.47,  88.07
1951.00,  11.00,  56.45,  47.30,  65.76
1951.00,  12.00,  45.82,  37.20,  54.72
1952.00,   1.00,  51.13,  42.24,  59.91
1952.00,   2.00,  24.77,  16.88,  32.96
1952.00,   3.00,  48.39,  38.65,  58.30
1952.00,   4.00,  41.81,  33.10,  50.51
1952.00,   5.00,  41.74,  32.97,  50.59
1952.00,   6.00, 101.71,  91.99, 111.53
1952.00,   7.00, 138.97, 129.95, 149.13
1952.00,   8.00,  83.99,  74.61,  93.98
1952.00,   9.00,  38.89,  29.63,  47.86
1952.00,  10.00,  22.00,  13.68,  30.58
1952.00,  11.00,  55.20,  46.04,  64.91
1952.00,  12.00,  35.88,  27.47,  44.71
1953.00,   1.00,  56.05,  47.55,  64.63
1953.00,   2.00,  49.89,  41.63,  58.51
1953.00,   3.00,  52.33,  42.74,  61.01
1953.00,   4.00,  51.19,  41.74,  59.87
1953.00,   5.00, 107.27,  98.05, 116.63
1953.00,   6.00, 108.84,  99.31, 118.48
1953.00,   7.00,  82.41,  72.64,  91.35
1953.00,   8.00,  86.49,  76.92,  96.00
1953.00,   9.00,  76.56,  66.94,  86.24
1953.00,  10.00,  21.88,  13.44,  30.80
1953.00,  11.00,  51.12,  41.45,  60.27
1953.00,  12.00,  63.78,  55.09,  72.67
1954.00,   1.00,  60.88,  51.82,  69.65
1954.00,   2.00,  40.19,  31.62,  49.21
1954.00,   3.00,  47.56,  38.33,  56.77
1954.00,   4.00,  83.98,  74.79,  93.20
1954.00,   5.00,  97.05,  87.51, 105.83
1954.00,   6.00,  75.79,  66.93,  85.65
1954.00,   7.00,  37.83,  28.98,  47.97
1954.00,   8.00,  56.89,  46.71,  67.12
1954.00,   9.00,  89.68,  80.18,  99.92
1954.00,  10.00,  60.30,  51.04,  70.14
1954.00,  11.00,  36.69,  28.02,  46.28
1954.00,  12.00,  23.67,  15.88,  31.63
1955.00,   1.00,  44.48,  35.92,  53.38
1955.00,   2.00,  48.94,  40.00,  57.71
1955.00,   3.00,  72.81,  64.01,  81.79
1955.00,   4.00,  42.62,  33.74,  51.33
1955.00,   5.00,  61.25,  51.70,  70.17
1955.00,   6.00,  45.17,  35.86,  54.59
1955.00,   7.00,  82.02,  73.20,  91.87
1955.00,   8.00,  85.75,  76.89,  94.90
1955.00,   9.00,  88.75,  79.29,  98.26
1955.00,  10.00,  88.16,  77.81,  97.29
1955.00,  11.00,  87.84,  77.79,  97.37
1955.00,  12.00,  54.52,  45.84,  63.12
1956.00,   1.00,  42.96,  34.54,  51.80
1956.00,   2.00,  25.64,  17.71,  33.87
1956.00,   3.00,  22.90,  14.14,  31.63
1956.00,   4.00,  38.62,  29.67,  47.30
1956.00,   5.00,  83.76,  74.58,  92.66
1956.00,   6.00,  66.67,  57.24,  75.98
1956.00,   7.00,  70.63,  61.18,  80.11
1956.00,   8.00,  73.75,  64.00,  83.07
1956.00,   9.00,  70.21,  60.97,  79.59
1956.00,  10.00,  31.20,  21.95,  39.78
1956.00,  11.00,  68.51,  58.87,  77.46
1956.00,  12.00,  68.21,  59.88,  77.70
1957.00,   1.00,  33.59,  26.17,  42.07
1957.00,   2.00,  39.96,  31.46,  48.71
1957.00,   3.00,  39.44,  30.62,  48.31
1957.00,   4.00,  60.12,  50.92,  68.58
1957.00,   5.00,  46.14,  37.02,  55.05
1957.00,   6.00,  93.03,  84.15, 101.85
1957.00,   7.00,  55.32,  46.31,  65.13
1957.00,   8.00,  43.77,  35.34,  53.12
1957.00,   9.00, 111.14, 101.83, 121.20
1957.00,  10.00,  27.18,  18.42,  36.43
1957.00,  11.00,  91.50,  82.22, 101.11
1957.00,  12.00,  39.65,  31.37,  48.28
1958.00,   1.00,  42.85,  34.11,  51.56
1958.00,   2.00,  24.38,  16.47,  32.05
1958.00,   3.00,  18.22,  10.35,  26.42
1958.00,   4.00,  32.77,  23.97,  41.51
1958.00,   5.00,  42.79,  33.93,  51.62
1958.00,   6.00,  90.05,  81.07,  99.30
1958.00,   7.00,  87.80,  78.55,  97.14
1958.00,   8.00,  98.00,  88.39, 107.52
1958.00,   9.00,  80.44,  71.28,  90.43
1958.00,  10.00,  42.84,  32.92,  52.17
1958.00,  11.00,  93.91,  84.16, 103.09
1958.00,  12.00,  46.90,  38.15,  55.44
1959.00,   1.00,  32.94,  24.54,  41.96
1959.00,   2.00,  26.58,  18.42,  34.73
1959.00,   3.00,  31.31,  22.64,  40.44
1959.00,   4.00,  34.26,  25.98,  42.36
1959.00,   5.00, 107.37,  98.66, 116.00
1959.00,   6.00,  64.44,  55.08,  73.92
1959.00,   7.00,  57.41,  48.06,  66.66
1959.00,   8.00, 146.13, 136.73, 155.42
1959.00,   9.00, 122.07, 113.12, 132.20
1959.00,  10.00,  83.30,  73.06,  92.92
1959.00,  11.00,  50.99,  41.89,  60.39
1959.00,  12.00,  37.41,  29.05,  46.35
1960.00,   1.00,  47.64,  38.72,  56.50
1960.00,   2.00,  29.82,  21.14,  38.16
1960.00,   3.00,  25.27,  17.24,  34.20
1960.00,   4.00, 104.13,  95.07, 113.17
1960.00,   5.00,  85.85,  76.31,  94.75
1960.00,   6.00,  62.85,  53.68,  72.71
1960.00,   7.00,  64.77,  55.39,  74.46
1960.00,   8.00,  73.70,  63.65,  82.56
1960.00,   9.00,  71.91,  62.20,  81.32
1960.00,  10.00,  56.81,  47.00,  66.71
1960.00,  11.00,  80.67,  71.33,  89.96
1960.00,  12.00,  36.39,  27.94,  45.19
1961.00,   1.00,  24.99,  17.28,  33.49
1961.00,   2.00,  44.02,  35.43,  53.12
1961.00,   3.00,  51.04,  42.23,  60.00
1961.00,   4.00,  42.22,  33.44,  50.98
1961.00,   5.00,  68.26,  58.88,  76.70
