Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  11.82,   5.41,  20.41
1950.00,   2.00,   8.85,   3.84,  15.93
1950.00,   3.00,  12.71,   5.97,  20.07
1950.00,   4.00,  48.31,  37.99,  57.92
1950.00,   5.00, 180.50, 169.45, 191.52
1950.00,   6.00,  84.18,  74.62,  93.34
1950.00,   7.00,  57.07,  47.83,  66.29
1950.00,   8.00,  37.94,  29.70,  46.35
1950.00,   9.00,  26.31,  18.65,  35.52
1950.00,  10.00,  35.67,  27.00,  44.48
1950.00,  11.00,  27.31,  19.52,  35.86
1950.00,  12.00,  16.42,   8.86,  24.97
1951.00,   1.00,  13.86,   6.82,  22.23
1951.00,   2.00,  18.08,  10.03,  26.19
1951.00,   3.00,  21.02,  12.84,  29.93
1951.00,   4.00, 104.60,  94.60, 114.83
1951.00,   5.00, 106.89,  97.13, 117.18
1951.00,   6.00,  61.69,  53.25,  70.47
1951.00,   7.00,  39.08,  30.88,  47.43
1951.00,   8.00,  30.24,  21.85,  38.62
1951.00,   9.00,  44.47,  35.77,  53.17
1951.00,  10.00,  46.71,  37.74,  55.37
1951.00,  11.00,  42.34,  33.61,  51.08
1951.00,  12.00,  30.99,  22.26,  39.72
1952.00,   1.00,  19.75,  11.39,  28.29
1952.00,   2.00,  14.31,   6.94,  22.52
1952.00,   3.00,  16.72,   9.14,  24.50
1952.00,   4.00,  82.17,  71.97,  92.09
1952.00,   5.00,  59.11,  49.77,  68.96
1952.00,   6.00,  51.26,  42.47,  60.51
1952.00,   7.00,  54.53,  46.12,  64.01
1952.00,   8.00,  34.24,  26.21,  43.03
1952.00,   9.00,  21.81,  14.10,  29.92
1952.00,  10.00,  12.66,   6.79,  19.83
1952.00,  11.00,  15.36,   8.73,  22.45
1952.00,  12.00,  15.63,   8.92,  23.26
1953.00,   1.00,  13.02,   6.78,  20.54
1953.00,   2.00,  10.41,   4.14,  18.32
1953.00,   3.00,  25.31,  16.68,  33.99
1953.00,   4.00,  65.67,  55.95,  75.25
1953.00,   5.00,  97.42,  87.05, 106.90
1953.00,   6.00,  83.13,  74.21,  92.10
1953.00,   7.00,  48.62,  40.33,  57.81
1953.00,   8.00,  38.07,  30.11,  46.40
1953.00,   9.00,  19.29,  11.63,  27.46
1953.00,  10.00,  18.42,  11.22,  27.08
1953.00,  11.00,  17.28,   9.65,  25.07
1953.00,  12.00,  21.58,  13.46,  30.29
1954.00,   1.00,  14.30,   7.15,  22.64
1954.00,   2.00,  14.98,   7.38,  23.33
1954.00,   3.00,  19.24,  10.74,  27.60
1954.00,   4.00,  86.51,  76.02,  96.14
1954.00,   5.00, 133.20, 123.89, 143.19
1954.00,   6.00,  77.96,  69.44,  87.47
1954.00,   7.00,  34.16,  25.90,  43.20
1954.00,   8.00,  21.75,  14.47,  29.37
1954.00,   9.00,  22.34,  14.81,  31.06
1954.00,  10.00,  28.52,  20.11,  37.38
1954.00,  11.00,  22.47,  14.23,  30.33
1954.00,  12.00,  15.31,   8.25,  22.69
1955.00,   1.00,  13.54,   6.94,  21.13
1955.00,   2.00,  13.57,   6.53,  22.09
1955.00,   3.00,  14.82,   7.45,  22.76
1955.00,   4.00,  92.69,  82.77, 103.06
1955.00,   5.00,  62.20,  52.27,  71.93
1955.00,   6.00,  36.89,  28.42,  45.75
1955.00,   7.00,  23.52,  15.76,  31.79
1955.00,   8.00,  25.73,  18.23,  34.22
1955.00,   9.00,  21.53,  13.73,  29.29
1955.00,  10.00,  27.44,  19.18,  35.93
1955.00,  11.00,  30.07,  21.27,  38.56
1955.00,  12.00,  17.69,   9.95,  25.28
1956.00,   1.00,  16.43,   8.68,  25.32
1956.00,   2.00,  11.79,   4.73,  19.90
1956.00,   3.00,   9.87,   4.39,  16.62
1956.00,   4.00,  54.39,  44.52,  64.44
1956.00,   5.00,  93.07,  83.80, 103.88
1956.00,   6.00,  54.95,  46.03,  63.98
1956.00,   7.00,  44.31,  35.88,  53.52
1956.00,   8.00,  24.76,  16.98,  32.91
1956.00,   9.00,  22.33,  14.72,  31.08
1956.00,  10.00,  17.32,   9.75,  25.28
1956.00,  11.00,  17.20,   9.90,  24.99
1956.00,  12.00,  12.88,   6.46,  20.23
1957.00,   1.00,   8.26,   3.50,  14.85
1957.00,   2.00,   9.12,   3.76,  15.96
1957.00,   3.00,  13.91,   7.02,  21.83
1957.00,   4.00,  73.88,  63.54,  83.89
1957.00,   5.00,  79.75,  69.59,  89.80
1957.00,   6.00,  55.09,  46.36,  64.23
1957.00,   7.00,  39.46,  31.34,  48.29
1957.00,   8.00,  22.04,  14.54,  30.34
1957.00,   9.00,  25.31,  17.51,  33.68
1957.00,  10.00,  19.13,  11.76,  26.82
1957.00,  11.00,  26.88,  18.62,  35.50
1957.00,  12.00,  18.84,  11.37,  26.77
1958.00,   1.00,  16.72,   9.13,  25.67
1958.00,   2.00,  13.32,   6.56,  21.28
1958.00,   3.00,  14.90,   7.79,  23.29
1958.00,   4.00,  48.09,  38.10,  57.58
1958.00,   5.00,  45.06,  35.77,  55.06
1958.00,   6.00,  44.15,  35.90,  52.98
1958.00,   7.00,  45.23,  36.93,  54.19
1958.00,   8.00,  24.33,  17.26,  32.53
1958.00,   9.00,  34.36,  26.56,  43.78
1958.00,  10.00,  22.42,  14.06,  30.92
1958.00,  11.00,  28.49,  20.41,  37.60
1958.00,  12.00,  19.00,  11.41,  27.35
1959.00,   1.00,  13.72,   6.83,  22.13
1959.00,   2.00,  12.32,   5.61,  19.66
1959.00,   3.00,  14.97,   7.62,  22.99
1959.00,   4.00,  48.98,  39.03,  58.43
1959.00,   5.00,  93.16,  83.10, 103.00
1959.00,   6.00,  55.95,  47.25,  64.47
1959.00,   7.00,  29.61,  20.92,  38.66
1959.00,   8.00,  32.31,  24.34,  40.48
1959.00,   9.00,  35.10,  26.75,  43.38
1959.00,  10.00,  40.82,  32.00,  49.72
1959.00,  11.00,  25.98,  17.81,  34.67
1959.00,  12.00,  19.26,  11.44,  27.67
1960.00,   1.00,  15.77,   8.28,  23.89
1960.00,   2.00,   9.69,   4.06,  17.04
1960.00,   3.00,   9.74,   4.26,  16.74
1960.00,   4.00,  88.09,  77.97,  97.69
1960.00,   5.00, 125.40, 115.92, 136.02
1960.00,   6.00,  53.74,  45.30,  62.92
1960.00,   7.00,  34.85,  26.41,  43.40
1960.00,   8.00,  23.62,  15.99,  31.45
1960.00,   9.00,  18.68,  11.73,  27.22
1960.00,  10.00,  15.55,   9.14,  23.32
1960.00,  11.00,  31.12,  22.45,  39.89
1960.00,  12.00,  18.29,  11.04,  26.45
1961.00,   1.00,  13.85,   6.68,  22.05
1961.00,   2.00,  13.31,   6.36,  21.04
1961.00,   3.00,  20.52,  12.04,  29.21
1961.00,   4.00,  58.92,  49.00,  69.19
1961.00,   5.00,  75.87,  66.32,  85.62
1961.00,   6.00,  42.81,  34.23,  51.34
1961.00,   7.00,  23.59,  16.02,  31.38
1961.00,   8.00,  16.80,  10.29,  23.88
1961.00,   9.00,  25.66,  17.10,  33.91
1961.00,  10.00,  32.44,  24.16,  41.21
1961.00,  11.00,  31.16,  22.66,  39.93
1961.00,  12.00,  22.92,  15.27,  31.58
1962.00,   1.00,  12.27,   5.77,  20.32
1962.00,   2.00,  12.23,   5.78,  20.15
1962.00,   3.00,  15.94,   8.49,  24.52
1962.00,   4.00,  46.29,  36.69,  55.89
