Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  88.7386,  22.3443, 148.7958
1950.0000,   2.0000,-104.3035,-168.8785, -46.2784
1950.0000,   3.0000, 150.5199,  58.7116, 219.9856
1950.0000,   4.0000,  77.7494,  -8.1334, 173.3957
1950.0000,   5.0000,   3.4178, -74.8461,  99.1240
1950.0000,   6.0000, -13.2951, -72.2150,  60.9391
1950.0000,   7.0000, -16.0116, -78.9569,  57.1311
1950.0000,   8.0000,  13.4795, -65.6510,  95.9151
1950.0000,   9.0000, -24.2410,-111.7259,  56.3398
1950.0000,  10.0000, -36.9766,-132.8916,  33.9615
1950.0000,  11.0000, -23.7049, -93.0462,  40.0497
1950.0000,  12.0000,   7.4303, -75.6795,  79.3764
1951.0000,   1.0000, -18.8181, -85.0450,  40.0980
1951.0000,   2.0000, 124.2407,  59.1009, 181.6597
1951.0000,   3.0000,  42.7612, -48.4115, 111.3769
1951.0000,   4.0000,  61.0928, -24.3096, 157.1426
1951.0000,   5.0000,  40.4092, -36.4921, 136.5421
1951.0000,   6.0000,  -5.4553, -62.9102,  70.5430
1951.0000,   7.0000, -11.6896, -73.6442,  60.5207
1951.0000,   8.0000,   9.7514, -70.2487,  89.8427
1951.0000,   9.0000, -37.4711,-124.4078,  43.8590
1951.0000,  10.0000, -16.0609,-112.0621,  52.4922
1951.0000,  11.0000, -27.7846, -95.7806,  35.5690
1951.0000,  12.0000, 107.1289,  24.5001, 179.3994
1952.0000,   1.0000, -72.3582,-139.3393, -13.9524
1952.0000,   2.0000,  89.4995,  25.6325, 145.9425
1952.0000,   3.0000, -10.8695,-101.6783,  55.5730
1952.0000,   4.0000,  65.3469, -20.6299, 161.1039
1952.0000,   5.0000,  65.8568, -12.6558, 161.3836
1952.0000,   6.0000, -22.7858, -80.0047,  51.2126
1952.0000,   7.0000, -40.5930,-103.1859,  31.7930
1952.0000,   8.0000,   9.7541, -68.7033,  90.9674
1952.0000,   9.0000, -41.8309,-127.9588,  39.1807
1952.0000,  10.0000, -98.6668,-195.1494, -30.0963
1952.0000,  11.0000, -53.7227,-120.7929,   9.5815
1952.0000,  12.0000,  15.9925, -65.9955,  88.0582
1953.0000,   1.0000,  31.9474, -35.4053,  90.4093
1953.0000,   2.0000,  -8.8217, -72.0583,  47.6364
1953.0000,   3.0000,  22.1913, -68.0844,  89.4884
1953.0000,   4.0000,  39.8788, -44.8493, 135.3232
1953.0000,   5.0000,  61.5394, -15.8053, 157.3320
1953.0000,   6.0000,  -9.8350, -66.6586,  63.7879
1953.0000,   7.0000, -15.6602, -78.6589,  56.0780
1953.0000,   8.0000,   5.7735, -72.7709,  86.4156
1953.0000,   9.0000, -54.5843,-140.8924,  25.1679
1953.0000,  10.0000, -44.9801,-140.2574,  22.9602
1953.0000,  11.0000, -79.1796,-146.8643, -16.5322
1953.0000,  12.0000, -25.6785,-107.6847,  46.1504
1954.0000,   1.0000,-158.9056,-225.3570,-100.3397
1954.0000,   2.0000, 220.5379, 157.1851, 275.8403
1954.0000,   3.0000,  59.3272, -30.3860, 125.4340
1954.0000,   4.0000,  66.2233, -19.7160, 159.5395
1954.0000,   5.0000,   8.4546, -69.1387, 102.4324
1954.0000,   6.0000,  11.3784, -45.3950,  85.9316
1954.0000,   7.0000, -28.3195, -91.1626,  44.4694
1954.0000,   8.0000,  -2.5681, -81.3834,  76.5396
1954.0000,   9.0000, -11.8772, -98.4905,  69.3146
1954.0000,  10.0000,  20.3377, -75.3107,  88.8850
1954.0000,  11.0000, -65.7755,-132.9285,  -4.2230
1954.0000,  12.0000,  44.7784, -36.8609, 116.7780
1955.0000,   1.0000, -51.3872,-117.4869,   5.1333
1955.0000,   2.0000,  78.5079,  15.4667, 133.2255
1955.0000,   3.0000,  13.8225, -75.1533,  80.0546
1955.0000,   4.0000,  19.1601, -66.4023, 110.2399
1955.0000,   5.0000,  21.0120, -56.3422, 115.5332
1955.0000,   6.0000, -22.5832, -78.3182,  50.8075
1955.0000,   7.0000, -32.0073, -94.7179,  41.2714
1955.0000,   8.0000, -22.9769,-101.9385,  56.3206
1955.0000,   9.0000, -46.4063,-132.4704,  33.9659
1955.0000,  10.0000, -57.8667,-153.4160,   9.3170
1955.0000,  11.0000, -86.9883,-154.3345, -25.6684
1955.0000,  12.0000,  23.6167, -57.0359,  94.5493
1956.0000,   1.0000,-307.8421,-373.5632,-250.6543
1956.0000,   2.0000, 138.1046,  76.1921, 192.8949
1956.0000,   3.0000, 171.1094,  81.6285, 238.2778
1956.0000,   4.0000, 130.6026,  45.5732, 221.5128
1956.0000,   5.0000,  41.6700, -35.8672, 136.7574
1956.0000,   6.0000,  -9.4687, -65.1663,  62.2595
1956.0000,   7.0000,  -7.6017, -69.5250,  65.0706
1956.0000,   8.0000,  22.3774, -55.4595, 101.2748
1956.0000,   9.0000, -59.0110,-144.3632,  20.1674
1956.0000,  10.0000, -61.8129,-156.3524,   6.0637
1956.0000,  11.0000, -95.9099,-162.4266, -34.5927
1956.0000,  12.0000,  15.7369, -64.9398,  85.4190
1957.0000,   1.0000,-104.7090,-170.4766, -48.3609
1957.0000,   2.0000, 133.7056,  70.8165, 187.6926
1957.0000,   3.0000,   1.0297, -87.2051,  67.4383
1957.0000,   4.0000,  87.8806,   3.1379, 177.8347
1957.0000,   5.0000,  45.7057, -30.9206, 140.5896
1957.0000,   6.0000, -39.7524, -95.7154,  32.1567
1957.0000,   7.0000,  17.8893, -44.5756,  88.1119
1957.0000,   8.0000, -19.3218, -96.2601,  60.3433
1957.0000,   9.0000, -24.9577,-110.3452,  54.2474
1957.0000,  10.0000, -58.4393,-152.3815,   9.8989
1957.0000,  11.0000, -70.4334,-137.0352,  -8.5902
1957.0000,  12.0000,  56.5106, -23.2688, 127.0064
1958.0000,   1.0000,-249.7850,-316.0048,-192.8719
1958.0000,   2.0000, 133.3283,  72.2825, 188.1375
1958.0000,   3.0000,   5.4907, -82.3997,  71.5597
1958.0000,   4.0000,  92.0968,   6.1285, 181.7195
1958.0000,   5.0000,  41.2370, -35.4227, 136.1203
1958.0000,   6.0000, -10.4499, -64.9517,  61.5422
1958.0000,   7.0000,   5.4952, -55.3544,  75.9711
1958.0000,   8.0000,  -2.8128, -78.5279,  76.9631
1958.0000,   9.0000, -20.5748,-105.5171,  58.5569
1958.0000,  10.0000, -46.3499,-139.4438,  22.0858
1958.0000,  11.0000,-100.6904,-166.4172, -40.1833
1958.0000,  12.0000, -17.4675, -96.9625,  52.5230
1959.0000,   1.0000, -29.8228, -95.5415,  26.1368
1959.0000,   2.0000,  50.9324, -10.1680, 105.6339
1959.0000,   3.0000, 137.9117,  50.4246, 202.7762
1959.0000,   4.0000,  40.4696, -45.3278, 130.7122
1959.0000,   5.0000,  62.7661, -15.6383, 156.3369
1959.0000,   6.0000, -35.4403, -90.3531,  36.7639
1959.0000,   7.0000, -32.4012, -92.2045,  38.1867
1959.0000,   8.0000,  21.9280, -53.7629, 100.8191
1959.0000,   9.0000, -33.1730,-118.7169,  46.9032
1959.0000,  10.0000, -37.3876,-130.4784,  30.3964
1959.0000,  11.0000, -36.6493,-101.3648,  24.3228
1959.0000,  12.0000,  65.9152, -12.6287, 135.3912
1960.0000,   1.0000,-117.1388,-182.9645, -60.9692
1960.0000,   2.0000, 124.5722,  64.2936, 178.9446
1960.0000,   3.0000,  83.9089,  -4.6472, 148.4071
1960.0000,   4.0000,  23.3723, -60.8124, 112.4304
1960.0000,   5.0000,  96.0420,  18.3227, 189.1370
1960.0000,   6.0000,  15.6525, -39.2645,  87.6182
1960.0000,   7.0000,  -7.0201, -67.5112,  63.4004
1960.0000,   8.0000,  18.1892, -57.0528,  96.5323
1960.0000,   9.0000, -28.8411,-114.5336,  50.0288
1960.0000,  10.0000, -79.5772,-171.7464, -11.5371
1960.0000,  11.0000, -96.8766,-160.5684, -35.2383
1960.0000,  12.0000,  24.2730, -54.1984,  94.0022
1961.0000,   1.0000, -62.9052,-128.2935,  -6.4749
1961.0000,   2.0000, 123.6925,  64.8267, 178.2600
1961.0000,   3.0000, -15.8413,-104.2374,  49.4835
1961.0000,   4.0000, 118.3381,  35.7693, 206.0623
1961.0000,   5.0000,  13.3025, -65.2112, 106.6944
1961.0000,   6.0000, -22.6772, -77.5087,  48.5289
1961.0000,   7.0000, -11.6620, -71.1164,  58.7304
1961.0000,   8.0000,  -2.6512, -77.4065,  75.1981
1961.0000,   9.0000, -37.8515,-123.5458,  40.3222
1961.0000,  10.0000, -67.3092,-158.7583,   0.0517
1961.0000,  11.0000, -45.8248,-110.1863,  14.9928
1961.0000,  12.0000,  37.1388, -41.0759, 105.9449
1962.0000,   1.0000,-178.8364,-244.2455,-122.4527
1962.0000,   2.0000,  82.5839,  22.9013, 137.3576
1962.0000,   3.0000, 112.2570,  23.1492, 177.2496
1962.0000,   4.0000,  10.9375, -72.2961,  98.2614
1962.0000,   5.0000,  38.1818, -40.0315, 132.5474
1962.0000,   6.0000,  -5.7044, -59.2956,  65.4621
1962.0000,   7.0000, -32.8325, -91.4307,  37.6459
1962.0000,   8.0000,   5.5878, -69.6007,  83.8812
1962.0000,   9.0000, -20.3338,-106.1642,  56.9331
1962.0000,  10.0000, -58.9675,-149.9063,   9.0571
1962.0000,  11.0000, -41.3464,-105.9000,  20.5195
1962.0000,  12.0000,  49.2744, -28.4009, 117.8088
1963.0000,   1.0000,-120.6516,-185.3637, -64.9634
1963.0000,   2.0000,   4.9517, -53.1565,  58.9570
1963.0000,   3.0000, 120.6149,  33.1500, 185.8776
1963.0000,   4.0000,  -2.1283, -84.4682,  85.4034
1963.0000,   5.0000,  33.4216, -44.3814, 128.9276
1963.0000,   6.0000, -27.4587, -80.5363,  42.1268
1963.0000,   7.0000, -28.0781, -87.7522,  41.7421
1963.0000,   8.0000,  -3.4462, -77.4895,  75.3448
1963.0000,   9.0000, -32.9876,-119.0130,  45.4594
1963.0000,  10.0000, -51.1659,-141.8517,  17.0430
1963.0000,  11.0000, -54.7925,-118.8818,   6.0953
1963.0000,  12.0000,  24.8977, -53.2147,  93.5494
1964.0000,   1.0000,-116.5750,-181.3464, -60.3572
1964.0000,   2.0000,  -3.6884, -62.4704,  49.1643
1964.0000,   3.0000, 129.2331,  41.4582, 193.7991
1964.0000,   4.0000,  70.6150, -12.6306, 158.0601
1964.0000,   5.0000,  38.4565, -40.4479, 133.0328
1964.0000,   6.0000, -44.5771, -98.0926,  23.8709
