Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,5597,5422,5769
1950,   2,5726,5555,5892
1950,   3,5627,5452,5792
1950,   4,5994,5820,6186
1950,   5,6271,6088,6456
1950,   6,6194,6011,6381
1950,   7,5934,5741,6117
1950,   8,5772,5582,5952
1950,   9,5655,5474,5828
1950,  10,5570,5398,5742
1950,  11,5640,5454,5811
1950,  12,5878,5703,6059
1951,   1,5724,5557,5899
1951,   2,5656,5494,5827
1951,   3,5853,5689,6019
1951,   4,6478,6305,6649
1951,   5,6620,6440,6797
1951,   6,6550,6373,6735
1951,   7,6394,6220,6567
1951,   8,6199,6024,6372
1951,   9,6104,5932,6266
1951,  10,5980,5805,6150
1951,  11,6099,5934,6269
1951,  12,6266,6098,6428
1952,   1,6442,6274,6609
1952,   2,6569,6411,6741
1952,   3,6783,6615,6949
1952,   4,7029,6859,7204
1952,   5,7161,6976,7339
1952,   6,6914,6725,7098
1952,   7,6671,6487,6841
1952,   8,6507,6333,6672
1952,   9,6504,6339,6678
1952,  10,6256,6088,6424
1952,  11,6063,5897,6228
1952,  12,6005,5841,6179
1953,   1,6027,5865,6196
1953,   2,6273,6104,6427
1953,   3,6227,6065,6388
1953,   4,6310,6138,6480
1953,   5,6395,6220,6572
1953,   6,6332,6159,6514
1953,   7,6372,6203,6545
1953,   8,6273,6105,6442
1953,   9,6158,5994,6320
1953,  10,5832,5669,5998
1953,  11,5752,5589,5919
1953,  12,6130,5971,6296
1954,   1,5623,5456,5788
1954,   2,5527,5355,5687
1954,   3,5923,5764,6087
1954,   4,6226,6059,6400
1954,   5,6598,6424,6774
1954,   6,6405,6227,6581
1954,   7,6105,5933,6280
1954,   8,6134,5957,6304
1954,   9,5987,5816,6158
1954,  10,6245,6074,6411
1954,  11,6349,6184,6518
1954,  12,6217,6051,6387
1955,   1,6417,6250,6575
1955,   2,6104,5946,6267
1955,   3,6522,6359,6684
1955,   4,6689,6515,6858
1955,   5,6769,6592,6945
1955,   6,6536,6357,6708
1955,   7,6260,6092,6440
1955,   8,6161,5991,6334
1955,   9,5852,5681,6023
1955,  10,5916,5745,6085
1955,  11,6050,5870,6227
1955,  12,5771,5600,5927
1956,   1,5499,5345,5659
1956,   2,5166,5010,5329
1956,   3,5272,5106,5435
1956,   4,5750,5579,5916
1956,   5,6209,6027,6382
1956,   6,6154,5974,6341
1956,   7,6013,5844,6183
1956,   8,6048,5875,6222
1956,   9,6030,5863,6198
1956,  10,5667,5503,5829
1956,  11,5708,5544,5873
1956,  12,5555,5395,5724
1957,   1,5396,5234,5559
1957,   2,5208,5038,5373
1957,   3,5351,5181,5509
1957,   4,5662,5485,5834
1957,   5,5844,5666,6020
1957,   6,5854,5671,6029
1957,   7,5955,5770,6132
1957,   8,5790,5615,5960
1957,   9,5633,5468,5804
1957,  10,5320,5157,5489
1957,  11,5554,5379,5710
1957,  12,5366,5196,5530
1958,   1,5307,5147,5466
1958,   2,5005,4838,5164
1958,   3,4972,4808,5134
1958,   4,5116,4949,5290
1958,   5,5194,5027,5371
1958,   6,5197,5011,5372
1958,   7,5254,5076,5435
1958,   8,5250,5079,5423
1958,   9,5219,5053,5384
1958,  10,5036,4874,5201
1958,  11,5187,5019,5357
1958,  12,5053,4890,5220
1959,   1,4637,4469,4795
1959,   2,4875,4712,5039
1959,   3,5176,5010,5336
1959,   4,5355,5187,5526
1959,   5,5662,5489,5830
1959,   6,5681,5507,5860
1959,   7,5436,5266,5608
1959,   8,5208,5037,5386
1959,   9,5059,4893,5227
1959,  10,5051,4880,5215
1959,  11,5201,5033,5369
1959,  12,5119,4951,5294
1960,   1,5490,5333,5656
1960,   2,5398,5232,5562
1960,   3,5194,5031,5346
1960,   4,5556,5391,5725
1960,   5,5916,5732,6090
1960,   6,5964,5784,6146
1960,   7,5907,5729,6079
1960,   8,5738,5573,5912
1960,   9,5676,5516,5845
1960,  10,5622,5455,5792
1960,  11,5586,5419,5755
1960,  12,5526,5368,5687
1961,   1,5161,4998,5316
1961,   2,5188,5026,5349
1961,   3,5450,5286,5605
1961,   4,5724,5542,5893
1961,   5,6377,6199,6560
1961,   6,6250,6070,6433
1961,   7,6025,5845,6202
1961,   8,5899,5723,6070
1961,   9,5934,5766,6104
1961,  10,5610,5443,5777
1961,  11,5478,5314,5643
1961,  12,5504,5327,5667
1962,   1,5088,4930,5254
1962,   2,4958,4791,5119
1962,   3,5204,5043,5364
1962,   4,5438,5270,5611
1962,   5,5633,5459,5807
1962,   6,5343,5171,5523
1962,   7,5355,5173,5529
1962,   8,5299,5134,5472
1962,   9,5196,5019,5357
1962,  10,5121,4964,5289
1962,  11,5004,4843,5173
1962,  12,5247,5081,5414
1963,   1,4814,4653,4975
1963,   2,4595,4433,4757
1963,   3,4855,4688,5015
1963,   4,5066,4889,5243
1963,   5,5400,5216,5574
1963,   6,5487,5320,5657
1963,   7,5190,5017,5354
1963,   8,5086,4902,5259
1963,   9,4731,4564,4897
1963,  10,4627,4466,4793
1963,  11,4711,4544,4875
1963,  12,4795,4630,4961
1964,   1,4020,3855,4185
1964,   2,4007,3850,4167
1964,   3,4765,4603,4924
1964,   4,5064,4893,5233
1964,   5,5343,5166,5513
1964,   6,5208,5026,5383
1964,   7,4950,4778,5114
1964,   8,4865,4698,5043
1964,   9,4732,4565,4905
1964,  10,4641,4482,4800
1964,  11,4528,4362,4695
1964,  12,4400,4234,4569
1965,   1,4491,4333,4660
1965,   2,4606,4432,4775
1965,   3,4872,4718,5039
1965,   4,4955,4785,5128
1965,   5,5249,5068,5422
1965,   6,5376,5208,5551
1965,   7,5150,4975,5332
1965,   8,5047,4879,5215
1965,   9,4998,4831,5167
1965,  10,5074,4905,5247
1965,  11,5158,4987,5324
1965,  12,5053,4882,5219
1966,   1,5124,4965,5275
1966,   2,5099,4943,5268
1966,   3,5280,5116,5443
1966,   4,5266,5090,5434
1966,   5,5745,5565,5920
1966,   6,5657,5481,5835
1966,   7,5567,5392,5747
1966,   8,5489,5318,5655
1966,   9,5290,5127,5461
1966,  10,5234,5067,5392
1966,  11,5125,4962,5289
1966,  12,5420,5252,5589
1967,   1,5430,5268,5595
1967,   2,5400,5242,5560
1967,   3,5218,5062,5375
1967,   4,5698,5522,5864
1967,   5,5872,5679,6045
1967,   6,5710,5532,5893
1967,   7,5741,5565,5914
1967,   8,5612,5443,5783
1967,   9,5433,5252,5600
1967,  10,5585,5408,5749
1967,  11,5778,5608,5957
1967,  12,5752,5581,5924
1968,   1,5442,5278,5602
1968,   2,6079,5915,6247
1968,   3,5844,5682,6008
1968,   4,5991,5822,6164
1968,   5,6027,5851,6203
1968,   6,6157,5979,6337
1968,   7,6158,5990,6331
1968,   8,5954,5785,6129
1968,   9,5957,5782,6124
1968,  10,5729,5567,5889
1968,  11,5745,5576,5913
1968,  12,5991,5821,6157
1969,   1,5723,5560,5889
1969,   2,5917,5754,6082
1969,   3,5963,5797,6121
1969,   4,6031,5860,6198
1969,   5,6654,6470,6825
1969,   6,6694,6515,6880
1969,   7,6521,6349,6701
1969,   8,6577,6416,6745
1969,   9,6392,6219,6557
1969,  10,6295,6121,6462
1969,  11,6106,5938,6277
1969,  12,6004,5833,6173
1970,   1,5687,5522,5847
1970,   2,5747,5583,5906
1970,   3,5746,5588,5911
1970,   4,5960,5799,6130
1970,   5,6304,6128,6478
1970,   6,6167,5977,6343
1970,   7,6226,6047,6405
1970,   8,6061,5901,6227
1970,   9,6045,5868,6215
1970,  10,5861,5687,6032
1970,  11,6039,5876,6213
1970,  12,6118,5946,6290
1971,   1,6117,5958,6270
1971,   2,5887,5732,6055
1971,   3,6137,5973,6297
1971,   4,6169,6000,6344
1971,   5,6190,6004,6366
1971,   6,6499,6326,6669
1971,   7,6152,5975,6318
1971,   8,6071,5895,6246
1971,   9,6044,5869,6219
1971,  10,6107,5942,6270
1971,  11,5956,5782,6120
1971,  12,6006,5839,6180
1972,   1,6233,6071,6392
1972,   2,5850,5689,6011
1972,   3,6226,6063,6392
1972,   4,6400,6228,6574
1972,   5,6679,6505,6864
1972,   6,6637,6454,6808
1972,   7,6773,6593,6952
1972,   8,6639,6465,6811
1972,   9,6514,6344,6689
1972,  10,6480,6308,6642
1972,  11,6649,6480,6810
1972,  12,7002,6833,7166
1973,   1,6895,6734,7057
1973,   2,6824,6666,6979
1973,   3,7041,6873,7206
1973,   4,7413,7236,7582
1973,   5,7476,7302,7656
1973,   6,7445,7265,7626
1973,   7,7339,7161,7506
1973,   8,7095,6930,7264
1973,   9,6836,6671,7005
1973,  10,6641,6473,6816
1973,  11,6652,6482,6820
1973,  12,6576,6410,6743
1974,   1,6631,6463,6796
1974,   2,6708,6538,6867
1974,   3,6991,6817,7153
1974,   4,7502,7334,7677
1974,   5,7513,7334,7688
1974,   6,7329,7145,7499
1974,   7,7126,6957,7305
1974,   8,6875,6709,7049
1974,   9,6627,6465,6794
1974,  10,6487,6326,6656
1974,  11,6407,6240,6571
1974,  12,6469,6302,6641
1975,   1,6754,6590,6917
1975,   2,6648,6484,6807
1975,   3,6706,6550,6875
1975,   4,7054,6879,7214
1975,   5,6992,6808,7172
1975,   6,7022,6841,7209
1975,   7,6798,6620,6971
1975,   8,6559,6387,6730
1975,   9,6785,6609,6954
1975,  10,6529,6361,6697
1975,  11,6570,6406,6736
1975,  12,6407,6237,6578
1976,   1,6347,6178,6508
1976,   2,6471,6306,6626
1976,   3,7114,6955,7272
1976,   4,7234,7062,7400
1976,   5,7322,7150,7513
1976,   6,7112,6933,7292
1976,   7,7095,6917,7264
1976,   8,6803,6633,6974
1976,   9,6706,6534,6881
1976,  10,6460,6293,6630
1976,  11,6489,6324,6653
1976,  12,6014,5857,6187
1977,   1,5445,5288,5605
1977,   2,5473,5306,5638
1977,   3,5821,5659,5989
1977,   4,6017,5836,6180
1977,   5,6508,6336,6686
1977,   6,6389,6213,6557
1977,   7,6293,6109,6470
1977,   8,6228,6054,6399
1977,   9,6177,6003,6347
1977,  10,6228,6059,6399
1977,  11,6141,5971,6307
1977,  12,6477,6310,6646
1978,   1,6106,5939,6266
1978,   2,6066,5904,6231
1978,   3,6063,5898,6226
1978,   4,6556,6376,6731
1978,   5,6571,6386,6750
1978,   6,6725,6547,6899
1978,   7,6342,6173,6512
1978,   8,6327,6158,6498
1978,   9,6030,5871,6203
1978,  10,5945,5765,6113
1978,  11,5910,5739,6077
1978,  12,6056,5889,6222
1979,   1,5736,5576,5893
1979,   2,5602,5434,5763
1979,   3,5898,5733,6064
1979,   4,6298,6122,6469
1979,   5,6656,6484,6838
1979,   6,6620,6442,6806
1979,   7,6483,6306,6665
1979,   8,6569,6402,6747
1979,   9,6427,6251,6597
1979,  10,6491,6320,6659
1979,  11,6351,6181,6515
1979,  12,6407,6239,6572
1980,   1,6584,6422,6747
1980,   2,6203,6040,6360
1980,   3,6335,6162,6498
1980,   4,6868,6697,7033
1980,   5,6895,6719,7065
1980,   6,6880,6697,7068
1980,   7,6717,6539,6896
1980,   8,6722,6541,6898
1980,   9,6720,6561,6881
1980,  10,6529,6362,6704
1980,  11,6174,6002,6339
1980,  12,6077,5911,6245
1981,   1,5801,5638,5959
1981,   2,5885,5722,6052
1981,   3,6044,5877,6207
1981,   4,6012,5837,6175
1981,   5,6429,6250,6611
1981,   6,6577,6402,6757
1981,   7,6429,6259,6603
1981,   8,6478,6310,6650
1981,   9,6529,6354,6705
1981,  10,6410,6247,6578
1981,  11,6403,6242,6569
1981,  12,6255,6091,6424
1982,   1,6130,5968,6288
1982,   2,5873,5714,6034
1982,   3,6317,6151,6481
1982,   4,6504,6329,6681
1982,   5,6640,6461,6812
1982,   6,6850,6672,7024
1982,   7,6390,6209,6568
1982,   8,6367,6198,6535
1982,   9,6082,5910,6250
1982,  10,5962,5794,6128
1982,  11,6134,5963,6300
1982,  12,6243,6082,6405
1983,   1,6305,6151,6472
1983,   2,6144,5978,6304
1983,   3,6167,6010,6335
1983,   4,6394,6222,6570
1983,   5,6865,6692,7045
1983,   6,6497,6307,6669
1983,   7,6543,6359,6716
1983,   8,6698,6532,6870
1983,   9,6552,6399,6721
1983,  10,6300,6129,6468
1983,  11,6336,6176,6507
1983,  12,6672,6501,6843
1984,   1,5939,5776,6097
1984,   2,6179,6013,6338
1984,   3,6421,6257,6596
1984,   4,6810,6640,6981
1984,   5,6579,6406,6760
1984,   6,6699,6521,6879
1984,   7,6664,6483,6835
1984,   8,6495,6320,6673
1984,   9,6451,6276,6620
1984,  10,6357,6187,6519
1984,  11,6375,6202,6539
1984,  12,6274,6112,6433
1985,   1,6279,6124,6440
1985,   2,5648,5479,5806
1985,   3,6713,6550,6871
1985,   4,7343,7174,7512
1985,   5,7471,7294,7636
1985,   6,7364,7179,7539
1985,   7,7012,6838,7176
1985,   8,6856,6687,7026
1985,   9,6749,6578,6921
1985,  10,6506,6339,6665
1985,  11,6713,6538,6886
1985,  12,7492,7322,7651
1986,   1,6362,6202,6520
1986,   2,6634,6473,6795
1986,   3,7280,7118,7437
1986,   4,7252,7082,7420
1986,   5,7480,7306,7656
1986,   6,7556,7377,7735
1986,   7,7626,7449,7800
1986,   8,7332,7159,7499
1986,   9,7076,6895,7246
1986,  10,7279,7112,7449
1986,  11,7122,6959,7285
1986,  12,7379,7214,7541
1987,   1,7309,7149,7465
1987,   2,7010,6861,7170
1987,   3,6903,6737,7064
1987,   4,7146,6979,7314
1987,   5,7099,6923,7278
1987,   6,6931,6756,7102
1987,   7,6939,6767,7115
1987,   8,6639,6466,6814
1987,   9,6566,6398,6738
1987,  10,6367,6201,6535
1987,  11,6221,6042,6387
1987,  12,6364,6203,6533
1988,   1,6158,6003,6323
1988,   2,6133,5973,6294
1988,   3,6113,5956,6274
1988,   4,6208,6039,6382
1988,   5,6398,6213,6569
1988,   6,6283,6105,6451
1988,   7,5883,5712,6064
1988,   8,6063,5890,6227
1988,   9,5771,5600,5933
1988,  10,5743,5567,5910
1988,  11,5723,5563,5888
1988,  12,5718,5553,5893
1989,   1,5737,5580,5900
1989,   2,5551,5399,5717
1989,   3,5325,5159,5486
1989,   4,5941,5767,6109
1989,   5,6061,5881,6236
1989,   6,6362,6182,6538
1989,   7,6116,5939,6296
1989,   8,6212,6041,6381
1989,   9,5941,5770,6112
1989,  10,5765,5598,5941
1989,  11,5919,5756,6100
1989,  12,5484,5315,5653
1990,   1,5428,5263,5591
1990,   2,5731,5559,5893
1990,   3,6042,5883,6208
1990,   4,6281,6106,6457
1990,   5,6369,6193,6548
1990,   6,6255,6074,6435
1990,   7,6031,5855,6206
1990,   8,6003,5836,6186
