Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0,  71.8,  59.9,  82.9
1950.0,   2.0,  72.7,  60.8,  83.8
1950.0,   3.0,  74.5,  62.8,  86.1
1950.0,   4.0,  84.8,  72.8,  96.6
1950.0,   5.0,  74.8,  62.6,  86.9
1950.0,   6.0, 111.3,  98.4, 123.6
1950.0,   7.0, 115.6, 102.7, 128.6
1950.0,   8.0, 113.4, 100.3, 126.3
1950.0,   9.0, 106.2,  93.5, 119.0
1950.0,  10.0,  84.8,  73.3,  96.7
1950.0,  11.0,  68.5,  56.8,  80.2
1950.0,  12.0,  87.4,  75.6,  99.5
1951.0,   1.0,  75.3,  63.6,  87.3
1951.0,   2.0,  76.9,  65.9,  89.0
1951.0,   3.0,  76.3,  65.1,  88.2
1951.0,   4.0,  84.3,  72.4,  96.6
1951.0,   5.0,  90.4,  78.5, 102.5
1951.0,   6.0, 107.9,  94.7, 120.3
1951.0,   7.0, 107.3,  94.2, 119.7
1951.0,   8.0, 109.3,  96.2, 123.4
1951.0,   9.0, 111.3,  98.7, 123.9
1951.0,  10.0,  90.4,  78.1, 102.5
1951.0,  11.0,  69.3,  57.8,  81.8
1951.0,  12.0,  59.9,  47.3,  71.7
1952.0,   1.0,  67.4,  56.4,  78.9
1952.0,   2.0,  62.4,  50.9,  74.5
1952.0,   3.0,  76.5,  64.8,  88.2
1952.0,   4.0,  77.4,  65.6,  89.6
1952.0,   5.0,  89.6,  77.3, 101.3
1952.0,   6.0, 111.2,  98.4, 124.3
1952.0,   7.0, 115.4, 102.7, 128.2
1952.0,   8.0, 114.6, 100.8, 127.8
1952.0,   9.0,  96.6,  84.0, 109.7
1952.0,  10.0,  78.8,  66.6,  90.8
1952.0,  11.0,  81.4,  69.3,  93.4
1952.0,  12.0,  96.3,  84.3, 109.0
1953.0,   1.0,  70.7,  59.1,  82.2
1953.0,   2.0,  68.6,  57.0,  80.1
1953.0,   3.0,  79.7,  68.2,  91.0
1953.0,   4.0,  78.8,  66.6,  90.3
1953.0,   5.0,  89.5,  77.5, 102.2
1953.0,   6.0, 100.4,  87.4, 113.2
1953.0,   7.0, 101.7,  88.8, 114.9
1953.0,   8.0, 119.5, 106.9, 132.9
1953.0,   9.0, 126.5, 114.0, 139.6
1953.0,  10.0,  78.6,  66.9,  91.2
1953.0,  11.0,  86.7,  74.7,  98.7
1953.0,  12.0,  90.6,  78.6, 102.5
1954.0,   1.0,  81.6,  70.1,  92.8
1954.0,   2.0,  74.6,  63.2,  86.1
1954.0,   3.0,  82.3,  71.4,  93.9
1954.0,   4.0,  94.8,  82.9, 106.9
1954.0,   5.0,  89.7,  77.3, 102.2
1954.0,   6.0,  95.0,  81.8, 107.4
1954.0,   7.0, 112.3,  99.5, 125.5
1954.0,   8.0, 113.6, 100.6, 127.0
1954.0,   9.0,  90.8,  77.9, 103.7
1954.0,  10.0, 120.3, 108.3, 132.5
1954.0,  11.0,  60.7,  48.4,  72.3
1954.0,  12.0,  78.7,  66.3,  90.8
1955.0,   1.0,  77.5,  65.3,  88.9
1955.0,   2.0,  80.6,  69.0,  91.6
1955.0,   3.0,  74.5,  62.5,  86.0
1955.0,   4.0, 100.5,  88.2, 112.6
1955.0,   5.0, 105.5,  92.9, 117.9
1955.0,   6.0, 105.6,  92.9, 118.1
1955.0,   7.0, 105.2,  91.8, 117.8
1955.0,   8.0, 109.0,  95.9, 122.6
1955.0,   9.0,  91.8,  79.4, 105.1
1955.0,  10.0,  80.6,  68.1,  92.4
1955.0,  11.0,  80.4,  68.0,  92.2
1955.0,  12.0,  98.6,  86.5, 110.7
1956.0,   1.0,  80.5,  68.3,  91.5
1956.0,   2.0,  79.5,  67.4,  90.5
1956.0,   3.0,  77.3,  66.0,  88.3
1956.0,   4.0, 102.5,  90.8, 114.7
1956.0,   5.0,  97.5,  85.0, 110.0
1956.0,   6.0, 102.5,  89.9, 115.7
1956.0,   7.0, 109.8,  96.7, 122.4
1956.0,   8.0, 115.4, 102.4, 128.5
1956.0,   9.0,  92.6,  80.0, 105.6
1956.0,  10.0,  92.4,  80.2, 104.5
1956.0,  11.0,  82.2,  70.2,  94.1
1956.0,  12.0, 164.9, 152.6, 176.8
1957.0,   1.0, 257.3, 245.8, 268.6
1957.0,   2.0, 226.4, 215.3, 237.7
1957.0,   3.0,  81.3,  69.8,  93.3
1957.0,   4.0,  95.7,  83.2, 107.5
1957.0,   5.0,  95.4,  83.2, 107.5
1957.0,   6.0,  95.2,  82.7, 108.5
1957.0,   7.0, 114.2, 101.9, 126.8
1957.0,   8.0,  97.7,  84.0, 111.4
1957.0,   9.0,  85.6,  72.8,  98.7
1957.0,  10.0,  89.5,  77.3, 101.9
