Year,Month,Median,2.5 Percentile,97.5 Percentile
 1.9500e+03, 1.0000e+00, 7.4980e+01, 6.1844e+01, 8.7848e+01
 1.9500e+03, 2.0000e+00, 4.7214e+01, 3.5071e+01, 5.8941e+01
 1.9500e+03, 3.0000e+00, 3.4285e+01, 2.1917e+01, 4.6732e+01
 1.9500e+03, 4.0000e+00, 1.3079e+01, 4.9639e+00, 2.1075e+01
 1.9500e+03, 5.0000e+00,-1.3051e+00,-7.6169e+00, 5.3237e+00
 1.9500e+03, 6.0000e+00,-4.1120e+00,-9.7187e+00, 1.4344e+00
 1.9500e+03, 7.0000e+00, 3.3229e+00,-6.7108e+00, 1.3686e+01
 1.9500e+03, 8.0000e+00, 3.5102e+01, 2.2511e+01, 4.8410e+01
 1.9500e+03, 9.0000e+00, 4.4013e+01, 2.9998e+01, 5.7034e+01
 1.9500e+03, 1.0000e+01, 4.3903e+01, 2.9646e+01, 5.8000e+01
 1.9500e+03, 1.1000e+01, 1.1370e+02, 1.0019e+02, 1.2680e+02
 1.9500e+03, 1.2000e+01, 1.0335e+02, 8.9159e+01, 1.1800e+02
 1.9510e+03, 1.0000e+00, 5.3031e+01, 4.0979e+01, 6.5119e+01
 1.9510e+03, 2.0000e+00, 2.5805e+01, 1.4497e+01, 3.7113e+01
 1.9510e+03, 3.0000e+00, 2.5089e+01, 1.3305e+01, 3.7587e+01
 1.9510e+03, 4.0000e+00,-8.2716e-02,-7.7700e+00, 7.6837e+00
 1.9510e+03, 5.0000e+00,-2.0485e+00,-8.5351e+00, 4.2729e+00
 1.9510e+03, 6.0000e+00,-2.1555e+00,-7.3735e+00, 3.3131e+00
 1.9510e+03, 7.0000e+00,-2.3082e+00,-1.1546e+01, 6.6525e+00
 1.9510e+03, 8.0000e+00, 2.4243e+01, 1.2681e+01, 3.6310e+01
 1.9510e+03, 9.0000e+00, 6.7989e+01, 5.6178e+01, 8.0645e+01
 1.9510e+03, 1.0000e+01, 5.3590e+01, 4.0324e+01, 6.7177e+01
 1.9510e+03, 1.1000e+01, 1.0611e+02, 9.2650e+01, 1.1936e+02
 1.9510e+03, 1.2000e+01, 9.7545e+01, 8.3846e+01, 1.1061e+02
 1.9520e+03, 1.0000e+00, 4.4597e+01, 3.2349e+01, 5.6945e+01
 1.9520e+03, 2.0000e+00, 3.3176e+01, 2.1436e+01, 4.3842e+01
 1.9520e+03, 3.0000e+00, 2.8640e+01, 1.7206e+01, 4.0837e+01
 1.9520e+03, 4.0000e+00,-4.2676e-01,-8.2250e+00, 7.8032e+00
 1.9520e+03, 5.0000e+00,-1.6559e+00,-8.3072e+00, 4.7635e+00
 1.9520e+03, 6.0000e+00,-3.5657e+00,-8.9951e+00, 1.9752e+00
 1.9520e+03, 7.0000e+00, 7.9453e+00,-1.4446e+00, 1.7774e+01
 1.9520e+03, 8.0000e+00, 3.5836e+01, 2.4127e+01, 4.7782e+01
 1.9520e+03, 9.0000e+00, 6.9444e+01, 5.7128e+01, 8.1433e+01
 1.9520e+03, 1.0000e+01, 1.2655e+02, 1.1364e+02, 1.3994e+02
 1.9520e+03, 1.1000e+01, 8.8049e+01, 7.5199e+01, 1.0120e+02
 1.9520e+03, 1.2000e+01, 8.3817e+01, 7.0941e+01, 9.7147e+01
 1.9530e+03, 1.0000e+00, 7.5161e+01, 6.3081e+01, 8.7334e+01
 1.9530e+03, 2.0000e+00, 4.7683e+01, 3.6396e+01, 5.8778e+01
 1.9530e+03, 3.0000e+00, 2.8726e+01, 1.6807e+01, 4.0021e+01
 1.9530e+03, 4.0000e+00, 1.4746e+01, 6.4056e+00, 2.2015e+01
 1.9530e+03, 5.0000e+00, 5.6074e-01,-5.8534e+00, 6.6611e+00
 1.9530e+03, 6.0000e+00,-3.8827e+00,-9.3081e+00, 1.5472e+00
 1.9530e+03, 7.0000e+00, 1.6277e+01, 7.1971e+00, 2.5557e+01
 1.9530e+03, 8.0000e+00, 3.3291e+01, 2.1639e+01, 4.5642e+01
 1.9530e+03, 9.0000e+00, 8.9778e+01, 7.7923e+01, 1.0141e+02
 1.9530e+03, 1.0000e+01, 6.1833e+01, 4.9287e+01, 7.5193e+01
 1.9530e+03, 1.1000e+01, 1.0229e+02, 8.9657e+01, 1.1463e+02
 1.9530e+03, 1.2000e+01, 1.2682e+02, 1.1431e+02, 1.4017e+02
 1.9540e+03, 1.0000e+00, 9.9345e+01, 8.6960e+01, 1.1135e+02
 1.9540e+03, 2.0000e+00, 3.3137e+01, 2.1587e+01, 4.4517e+01
 1.9540e+03, 3.0000e+00, 5.6596e+01, 4.5361e+01, 6.8382e+01
 1.9540e+03, 4.0000e+00, 1.2082e+01, 4.3219e+00, 2.0021e+01
 1.9540e+03, 5.0000e+00, 7.8629e-01,-5.3626e+00, 7.1184e+00
 1.9540e+03, 6.0000e+00,-2.4465e+00,-7.8261e+00, 3.0064e+00
 1.9540e+03, 7.0000e+00, 7.2183e+00,-2.0818e+00, 1.6849e+01
 1.9540e+03, 8.0000e+00, 4.3651e+01, 3.1908e+01, 5.5321e+01
 1.9540e+03, 9.0000e+00, 5.4450e+01, 4.2289e+01, 6.6338e+01
 1.9540e+03, 1.0000e+01, 6.1292e+01, 4.8132e+01, 7.4545e+01
 1.9540e+03, 1.1000e+01, 8.2936e+01, 7.0325e+01, 9.5784e+01
 1.9540e+03, 1.2000e+01, 1.0562e+02, 9.2922e+01, 1.1848e+02
 1.9550e+03, 1.0000e+00, 7.8738e+01, 6.6332e+01, 9.0712e+01
 1.9550e+03, 2.0000e+00, 4.2372e+01, 3.1186e+01, 5.3977e+01
 1.9550e+03, 3.0000e+00, 4.3438e+01, 3.2035e+01, 5.4942e+01
 1.9550e+03, 4.0000e+00, 1.5981e+00,-5.8424e+00, 9.3112e+00
 1.9550e+03, 5.0000e+00, 2.0357e+00,-4.2357e+00, 8.5436e+00
 1.9550e+03, 6.0000e+00, 3.2286e-01,-5.0273e+00, 5.7690e+00
 1.9550e+03, 7.0000e+00, 1.8843e+01, 9.5194e+00, 2.7971e+01
 1.9550e+03, 8.0000e+00, 6.8278e+01, 5.6685e+01, 8.0390e+01
 1.9550e+03, 9.0000e+00, 8.5623e+01, 7.3546e+01, 9.7264e+01
 1.9550e+03, 1.0000e+01, 7.1626e+01, 5.8365e+01, 8.4250e+01
 1.9550e+03, 1.1000e+01, 1.2556e+02, 1.1203e+02, 1.3826e+02
 1.9550e+03, 1.2000e+01, 1.2390e+02, 1.1156e+02, 1.3663e+02
 1.9560e+03, 1.0000e+00, 5.6014e+01, 4.4246e+01, 6.7502e+01
 1.9560e+03, 2.0000e+00, 3.6494e+01, 2.5617e+01, 4.7312e+01
 1.9560e+03, 3.0000e+00, 2.9916e+01, 1.8778e+01, 4.1536e+01
 1.9560e+03, 4.0000e+00, 9.1226e+00, 1.0971e+00, 1.6977e+01
 1.9560e+03, 5.0000e+00,-1.4484e+00,-7.7723e+00, 4.8771e+00
 1.9560e+03, 6.0000e+00,-2.5083e+00,-8.0074e+00, 2.9806e+00
 1.9560e+03, 7.0000e+00, 8.0280e+00,-1.1926e+00, 1.7358e+01
 1.9560e+03, 8.0000e+00, 2.3051e+01, 1.0983e+01, 3.4375e+01
 1.9560e+03, 9.0000e+00, 7.2115e+01, 6.0026e+01, 8.4207e+01
 1.9560e+03, 1.0000e+01, 4.1538e+01, 2.9198e+01, 5.4215e+01
 1.9560e+03, 1.1000e+01, 1.0666e+02, 9.4214e+01, 1.1988e+02
