Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000,  87.4256,  72.6016, 102.6434
1950.0000,   2.0000,  61.6488,  48.5058,  75.5027
1950.0000,   3.0000, 116.4358, 101.2903, 130.7939
1950.0000,   4.0000, 201.1344, 188.3264, 214.6471
1950.0000,   5.0000, 145.8829, 133.9545, 158.0693
1950.0000,   6.0000, 143.2000, 131.4047, 155.1463
1950.0000,   7.0000, 127.4793, 114.5031, 140.5576
1950.0000,   8.0000,  57.4324,  42.7808,  71.4540
1950.0000,   9.0000,  56.4540,  42.1274,  71.7284
1950.0000,  10.0000,  19.8935,   4.3351,  36.2989
1950.0000,  11.0000,  -3.9381, -19.1946,  11.8852
1950.0000,  12.0000,   6.5105,  -8.3049,  22.4667
1951.0000,   1.0000,  55.7306,  42.4256,  68.4699
1951.0000,   2.0000,  83.0856,  70.6921,  95.6054
1951.0000,   3.0000, 140.4827, 126.7275, 153.9612
1951.0000,   4.0000, 272.4751, 260.2345, 285.0602
1951.0000,   5.0000, 145.2572, 133.2827, 157.1977
1951.0000,   6.0000, 117.9187, 106.6618, 128.8996
1951.0000,   7.0000, 155.4044, 143.8528, 167.0919
1951.0000,   8.0000,  85.0643,  72.3316,  98.3676
1951.0000,   9.0000,  51.3359,  38.0468,  64.3969
1951.0000,  10.0000, 125.5763, 110.2529, 139.4317
1951.0000,  11.0000,  53.8858,  39.5436,  67.9026
1951.0000,  12.0000,  36.7535,  22.4176,  50.4756
1952.0000,   1.0000,  95.7400,  82.5081, 108.7719
1952.0000,   2.0000,  54.9903,  42.6708,  67.6118
1952.0000,   3.0000, 112.1102,  99.2240, 125.1792
1952.0000,   4.0000, 209.1047, 196.7267, 221.9505
1952.0000,   5.0000, 152.7219, 140.8214, 164.0780
1952.0000,   6.0000, 113.5857, 103.2151, 124.2432
1952.0000,   7.0000, 163.4486, 151.3953, 175.1764
1952.0000,   8.0000,  74.9264,  61.8945,  88.1362
1952.0000,   9.0000,   6.5441,  -6.3682,  19.7025
1952.0000,  10.0000, -95.9655,-109.4765, -83.0702
1952.0000,  11.0000,  26.2222,  12.5609,  40.2300
1952.0000,  12.0000,  17.8009,   4.4642,  31.1741
1953.0000,   1.0000,  19.0328,   5.8009,  31.9397
1953.0000,   2.0000,  58.8229,  46.3703,  71.4549
1953.0000,   3.0000, 125.5702, 112.5662, 139.0064
1953.0000,   4.0000, 155.9672, 143.9528, 168.3259
1953.0000,   5.0000, 164.1155, 152.7182, 176.0848
1953.0000,   6.0000, 137.2938, 126.6015, 148.4545
1953.0000,   7.0000,  95.8582,  84.1725, 107.9732
1953.0000,   8.0000,  51.5431,  38.5698,  64.5846
1953.0000,   9.0000,   7.1880,  -5.8598,  20.3911
1953.0000,  10.0000, -13.0729, -27.3629,   0.6337
1953.0000,  11.0000, -41.2558, -55.2942, -27.4679
1953.0000,  12.0000, -35.7860, -50.3330, -22.3256
1954.0000,   1.0000, -23.3926, -36.9271, -10.7624
1954.0000,   2.0000,  77.8224,  65.2349,  90.4702
1954.0000,   3.0000,  90.0576,  76.6264, 102.9045
1954.0000,   4.0000, 207.6047, 195.4966, 220.0762
1954.0000,   5.0000, 150.8744, 139.5136, 162.4685
1954.0000,   6.0000, 198.6227, 188.3440, 209.5133
1954.0000,   7.0000,  94.6498,  82.7701, 106.6624
1954.0000,   8.0000,  35.9292,  23.5934,  49.1862
1954.0000,   9.0000,  94.6010,  80.9654, 107.5480
1954.0000,  10.0000, 183.8610, 170.2315, 197.7214
1954.0000,  11.0000,  20.6156,   6.0288,  34.0674
1954.0000,  12.0000, -10.2656, -24.4272,   3.0183
1955.0000,   1.0000,  17.8944,   4.8981,  31.1877
1955.0000,   2.0000,  34.8396,  22.7817,  47.0858
1955.0000,   3.0000,  80.4375,  67.3750,  93.6013
1955.0000,   4.0000, 179.9947, 168.0204, 192.6347
