Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,4389,4197,4568
1950,   2,3792,3611,3977
1950,   3,4088,3908,4266
1950,   4,4606,4405,4815
1950,   5,4757,4555,4963
1950,   6,4917,4714,5155
1950,   7,5129,4924,5335
1950,   8,5268,5083,5479
1950,   9,5194,4980,5396
1950,  10,5268,5073,5450
1950,  11,5280,5082,5459
1950,  12,5093,4888,5307
1951,   1,4397,4224,4568
1951,   2,4440,4289,4591
1951,   3,5032,4829,5228
1951,   4,5203,5008,5383
1951,   5,5562,5324,5798
1951,   6,5616,5432,5825
1951,   7,5726,5532,5906
1951,   8,5812,5624,5994
1951,   9,5873,5657,6054
1951,  10,5945,5760,6112
1951,  11,5920,5723,6110
1951,  12,5853,5633,6052
1952,   1,5708,5520,5894
1952,   2,5643,5425,5834
1952,   3,5611,5417,5802
1952,   4,5851,5653,6015
1952,   5,6033,5848,6269
1952,   6,6129,5922,6313
1952,   7,6123,5928,6307
1952,   8,6355,6157,6538
1952,   9,6294,6098,6478
1952,  10,6089,5872,6272
1952,  11,5891,5695,6119
1952,  12,5896,5728,6072
1953,   1,5825,5652,6008
1953,   2,5579,5404,5752
1953,   3,5634,5444,5828
1953,   4,5682,5467,5907
1953,   5,6002,5778,6194
1953,   6,5993,5831,6186
1953,   7,6115,5877,6298
1953,   8,6098,5888,6318
1953,   9,6013,5815,6198
1953,  10,5882,5708,6079
1953,  11,5898,5695,6107
1953,  12,5604,5440,5795
1954,   1,4714,4550,4893
1954,   2,4482,4319,4643
1954,   3,5473,5306,5688
1954,   4,5605,5429,5781
1954,   5,5634,5414,5857
1954,   6,5782,5574,5975
1954,   7,5862,5619,6050
1954,   8,5891,5697,6087
1954,   9,5896,5680,6081
1954,  10,6028,5835,6217
1954,  11,5986,5796,6181
1954,  12,5868,5677,6057
1955,   1,5491,5302,5663
1955,   2,5200,5033,5388
1955,   3,5504,5323,5702
1955,   4,5576,5380,5743
1955,   5,5690,5482,5898
1955,   6,5784,5604,5959
1955,   7,5780,5604,5973
1955,   8,5767,5574,5942
1955,   9,5539,5292,5748
1955,  10,5333,5124,5533
1955,  11,5208,4993,5437
1955,  12,5118,4957,5313
1956,   1,3875,3662,4078
1956,   2,3954,3783,4143
1956,   3,4760,4582,4943
1956,   4,5155,4938,5337
1956,   5,5267,5101,5453
1956,   6,5372,5209,5557
1956,   7,5417,5199,5621
1956,   8,5459,5222,5674
1956,   9,5338,5157,5546
1956,  10,5294,5131,5455
1956,  11,5083,4873,5266
1956,  12,5075,4914,5263
1957,   1,4181,4006,4377
1957,   2,4446,4272,4657
1957,   3,4847,4668,5019
1957,   4,4972,4761,5149
1957,   5,4956,4784,5185
1957,   6,5051,4877,5263
1957,   7,5291,5058,5488
1957,   8,5107,4906,5268
1957,   9,5188,5015,5369
1957,  10,4925,4728,5137
1957,  11,4991,4816,5159
1957,  12,4942,4724,5118
1958,   1,3952,3769,4104
1958,   2,3722,3559,3891
1958,   3,4597,4409,4812
1958,   4,4664,4468,4857
1958,   5,5028,4837,5206
1958,   6,4905,4700,5115
1958,   7,4893,4713,5107
1958,   8,4908,4707,5097
1958,   9,4923,4740,5093
1958,  10,4781,4597,4948
1958,  11,4653,4459,4846
1958,  12,4403,4205,4561
1959,   1,3430,3250,3600
1959,   2,3677,3509,3840
1959,   3,4337,4161,4567
1959,   4,4397,4201,4612
1959,   5,4756,4566,4943
1959,   6,4792,4617,5003
1959,   7,4853,4674,5027
1959,   8,4871,4686,5057
