Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0,  74.2,  65.5,  82.8
1950.0,   2.0,  46.3,  38.4,  54.9
1950.0,   3.0,  81.9,  73.1,  91.0
1950.0,   4.0, 139.0, 129.2, 148.8
1950.0,   5.0, 106.9,  98.1, 116.1
1950.0,   6.0,  56.1,  47.2,  64.7
1950.0,   7.0,  40.0,  32.2,  47.9
1950.0,   8.0,  28.6,  21.8,  36.0
1950.0,   9.0,  32.2,  25.1,  39.9
1950.0,  10.0,  24.1,  16.7,  32.0
1950.0,  11.0,  31.5,  23.7,  39.4
1950.0,  12.0,  46.1,  37.8,  54.5
1951.0,   1.0,  51.4,  43.3,  60.0
1951.0,   2.0,  50.1,  41.9,  58.2
1951.0,   3.0,  85.8,  76.7,  94.7
1951.0,   4.0, 178.0, 168.5, 188.4
1951.0,   5.0,  94.4,  85.4, 103.9
1951.0,   6.0,  49.6,  41.0,  57.9
1951.0,   7.0,  50.0,  41.9,  58.2
1951.0,   8.0,  32.8,  25.5,  40.4
1951.0,   9.0,  32.4,  25.3,  39.8
1951.0,  10.0,  60.8,  52.5,  69.2
1951.0,  11.0,  80.8,  72.2,  89.8
1951.0,  12.0,  58.8,  50.6,  67.1
1952.0,   1.0,  73.9,  65.7,  82.5
1952.0,   2.0,  56.5,  48.2,  64.7
1952.0,   3.0,  73.9,  65.3,  83.0
1952.0,   4.0, 146.1, 136.2, 156.3
1952.0,   5.0,  76.2,  66.8,  84.7
1952.0,   6.0,  46.8,  38.6,  55.3
1952.0,   7.0,  42.9,  35.0,  50.9
1952.0,   8.0,  32.3,  25.2,  39.9
1952.0,   9.0,  25.5,  19.0,  32.5
1952.0,  10.0,  18.0,  12.0,  24.8
1952.0,  11.0,  30.8,  23.0,  38.8
1952.0,  12.0,  50.7,  42.8,  59.0
1953.0,   1.0,  41.5,  33.6,  49.8
1953.0,   2.0,  41.0,  32.8,  48.6
1953.0,   3.0,  88.9,  79.8,  98.3
1953.0,   4.0, 104.4,  94.9, 114.0
1953.0,   5.0,  86.2,  77.6,  95.1
1953.0,   6.0,  55.7,  47.3,  64.2
1953.0,   7.0,  39.2,  31.3,  47.3
1953.0,   8.0,  29.5,  22.7,  36.7
1953.0,   9.0,  24.2,  17.6,  31.0
1953.0,  10.0,  20.8,  13.9,  28.3
1953.0,  11.0,  19.0,  12.4,  26.5
1953.0,  12.0,  31.8,  24.1,  39.7
1954.0,   1.0,  33.9,  25.9,  42.1
1954.0,   2.0,  54.8,  46.7,  62.9
1954.0,   3.0,  80.8,  71.6,  89.7
1954.0,   4.0, 119.2, 110.3, 128.9
1954.0,   5.0,  93.0,  84.5, 102.4
1954.0,   6.0,  68.6,  60.7,  77.0
1954.0,   7.0,  41.5,  33.5,  49.5
1954.0,   8.0,  27.6,  21.1,  34.3
1954.0,   9.0,  33.4,  26.2,  41.1
1954.0,  10.0, 103.0,  94.3, 111.5
1954.0,  11.0,  55.5,  47.4,  64.2
1954.0,  12.0,  46.6,  38.5,  54.7
1955.0,   1.0,  45.6,  37.3,  53.8
1955.0,   2.0,  35.0,  27.3,  43.0
1955.0,   3.0,  71.3,  62.7,  80.1
1955.0,   4.0, 118.0, 108.6, 128.2
1955.0,   5.0,  57.9,  49.2,  66.8
1955.0,   6.0,  36.1,  28.5,  44.5
1955.0,   7.0,  22.4,  15.9,  29.7
1955.0,   8.0,  19.9,  14.5,  26.2
1955.0,   9.0,  20.8,  14.6,  27.3
1955.0,  10.0,  28.6,  20.7,  36.3
1955.0,  11.0,  41.9,  33.5,  50.5
1955.0,  12.0,  33.7,  26.0,  41.9
1956.0,   1.0,  29.0,  21.9,  36.5
1956.0,   2.0,  26.8,  20.2,  34.3
1956.0,   3.0,  53.3,  44.5,  62.2
1956.0,   4.0, 110.6, 100.9, 120.0
1956.0,   5.0, 119.6, 110.7, 128.8
1956.0,   6.0,  49.6,  41.6,  57.8
1956.0,   7.0,  43.6,  35.8,  51.9
1956.0,   8.0,  34.7,  27.6,  42.4
1956.0,   9.0,  28.7,  21.9,  36.4
1956.0,  10.0,  24.9,  17.5,  32.4
1956.0,  11.0,  27.2,  19.4,  35.3
1956.0,  12.0,  35.0,  27.1,  42.9
1957.0,   1.0,  29.8,  22.5,  37.7
1957.0,   2.0,  33.8,  26.5,  41.5
1957.0,   3.0,  54.3,  45.5,  63.3
1957.0,   4.0,  86.8,  77.6,  96.7
1957.0,   5.0,  78.3,  69.5,  87.2
1957.0,   6.0,  49.3,  41.1,  57.4
1957.0,   7.0,  60.0,  51.8,  68.1
1957.0,   8.0,  24.2,  18.1,  31.1
1957.0,   9.0,  28.4,  21.3,  35.6
1957.0,  10.0,  30.1,  22.7,  38.0
1957.0,  11.0,  60.3,  51.9,  68.8
1957.0,  12.0,  60.5,  51.9,  69.1
1958.0,   1.0,  44.4,  36.5,  52.5
1958.0,   2.0,  30.8,  23.4,  38.4
1958.0,   3.0,  56.1,  47.4,  64.5
1958.0,   4.0,  63.5,  53.7,  72.8
1958.0,   5.0,  35.8,  27.7,  44.1
1958.0,   6.0,  30.3,  22.6,  38.1
1958.0,   7.0,  35.0,  26.9,  43.0
1958.0,   8.0,  23.3,  17.3,  30.2
1958.0,   9.0,  26.7,  19.8,  34.2
1958.0,  10.0,  24.4,  17.2,  32.1
1958.0,  11.0,  29.1,  21.3,  37.2
1958.0,  12.0,  26.4,  19.4,  34.1
1959.0,   1.0,  24.5,  17.8,  32.1
1959.0,   2.0,  26.4,  19.5,  33.6
1959.0,   3.0,  65.2,  56.3,  73.6
1959.0,   4.0, 154.4, 144.9, 164.3
1959.0,   5.0,  96.9,  87.9, 105.7
1959.0,   6.0,  37.6,  29.8,  45.6
1959.0,   7.0,  26.9,  19.4,  34.5
1959.0,   8.0,  26.5,  19.9,  33.9
1959.0,   9.0,  28.0,  21.3,  35.3
1959.0,  10.0,  51.6,  43.3,  60.0
1959.0,  11.0,  68.1,  59.8,  77.0
1959.0,  12.0,  61.1,  52.7,  69.3
1960.0,   1.0,  55.6,  47.3,  63.9
1960.0,   2.0,  43.4,  35.5,  51.2
1960.0,   3.0,  47.5,  39.2,  56.0
1960.0,   4.0, 166.7, 157.4, 176.8
1960.0,   5.0, 171.1, 162.0, 180.1
1960.0,   6.0,  75.0,  66.5,  83.4
1960.0,   7.0,  53.8,  45.3,  62.0
1960.0,   8.0,  33.1,  25.5,  40.4
1960.0,   9.0,  29.1,  21.8,  36.5
1960.0,  10.0,  23.4,  16.2,  30.8
1960.0,  11.0,  44.6,  36.1,  53.3
1960.0,  12.0,  33.4,  25.6,  41.3
1961.0,   1.0,  25.8,  19.0,  33.0
1961.0,   2.0,  30.1,  22.6,  37.6
1961.0,   3.0,  64.3,  55.4,  73.1
1961.0,   4.0,  82.8,  73.3,  92.2
1961.0,   5.0,  65.3,  56.7,  74.1
1961.0,   6.0,  44.4,  36.1,  52.5
1961.0,   7.0,  35.0,  27.5,  42.9
1961.0,   8.0,  26.9,  20.1,  33.9
1961.0,   9.0,  37.5,  29.9,  45.1
1961.0,  10.0,  38.7,  30.6,  47.0
1961.0,  11.0,  46.7,  38.4,  55.4
1961.0,  12.0,  42.3,  34.2,  50.3
