Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0000,   1.0000, 254.7757, 228.2038, 280.5858
1950.0000,   2.0000, 151.4917, 126.9451, 177.3705
1950.0000,   3.0000, 265.0133, 239.6043, 290.3650
1950.0000,   4.0000, 374.8327, 349.0377, 401.0175
1950.0000,   5.0000, 161.2973, 135.8322, 186.0656
1950.0000,   6.0000, 123.0714,  98.1315, 148.3710
1950.0000,   7.0000,  85.3448,  62.5086, 110.1026
1950.0000,   8.0000,  69.8682,  49.3458,  91.0423
1950.0000,   9.0000,   1.4572, -19.6376,  24.8952
1950.0000,  10.0000,  91.6012,  67.3067, 116.3914
1950.0000,  11.0000, 150.1078, 123.5228, 175.8360
1950.0000,  12.0000, 148.2580, 121.2952, 173.5377
1951.0000,   1.0000, 191.1364, 165.0947, 215.9295
1951.0000,   2.0000, 239.2992, 215.7385, 264.5150
1951.0000,   3.0000, 376.7044, 351.2967, 403.1116
1951.0000,   4.0000, 467.7888, 441.6710, 493.8199
1951.0000,   5.0000, 194.0583, 168.2372, 219.9946
1951.0000,   6.0000, 162.8874, 138.0656, 187.4039
1951.0000,   7.0000, 150.0768, 124.9822, 174.8177
1951.0000,   8.0000,  23.4288,   2.5538,  45.9815
1951.0000,   9.0000,  14.9718,  -6.3057,  36.9995
1951.0000,  10.0000,  17.7701,  -3.4672,  42.1494
1951.0000,  11.0000,  91.3505,  65.7538, 116.1394
1951.0000,  12.0000, 114.2483,  88.5732, 140.2011
1952.0000,   1.0000, 192.8214, 167.3359, 218.6965
1952.0000,   2.0000, 186.4959, 160.0049, 211.9758
1952.0000,   3.0000, 270.4350, 244.9313, 296.5102
1952.0000,   4.0000, 351.9969, 327.5797, 376.4324
1952.0000,   5.0000, 266.3237, 240.9599, 291.5172
1952.0000,   6.0000,  89.9298,  65.6116, 114.9205
1952.0000,   7.0000,  64.7137,  41.8401,  88.6262
1952.0000,   8.0000,  32.8029,  12.1286,  53.9865
1952.0000,   9.0000,  21.4751,   0.9562,  43.3085
1952.0000,  10.0000, -29.2626, -52.2292,  -5.8452
1952.0000,  11.0000,  51.9703,  28.2415,  76.0346
1952.0000,  12.0000, 124.9251,  98.9933, 149.8208
1953.0000,   1.0000, 107.1024,  81.5475, 130.5120
1953.0000,   2.0000, 104.6590,  81.1798, 128.4823
1953.0000,   3.0000, 292.9568, 267.9321, 318.0570
1953.0000,   4.0000, 211.1940, 186.7097, 235.1823
1953.0000,   5.0000, 339.1423, 313.5605, 364.3116
1953.0000,   6.0000, 108.9819,  83.6142, 134.0011
1953.0000,   7.0000,  45.0152,  23.2691,  68.4219
1953.0000,   8.0000,  52.2047,  29.5192,  75.7024
1953.0000,   9.0000,  25.1217,   3.7499,  46.8859
1953.0000,  10.0000,  -8.9311, -28.2246,  12.4776
1953.0000,  11.0000,  16.0211,  -4.1980,  39.7934
1953.0000,  12.0000,  62.1580,  37.9690,  87.1406
1954.0000,   1.0000,  39.6393,  15.6428,  63.3530
1954.0000,   2.0000, 277.7866, 253.0698, 302.2557
1954.0000,   3.0000, 306.1512, 281.3214, 331.1330
1954.0000,   4.0000, 422.8116, 397.5876, 447.9772
1954.0000,   5.0000, 228.7101, 202.6047, 253.7628
1954.0000,   6.0000, 134.5671, 110.2997, 159.4780
1954.0000,   7.0000,   9.7861, -11.1509,  32.8973
1954.0000,   8.0000,  47.1783,  27.5706,  68.0142
1954.0000,   9.0000,  69.7049,  46.7874,  94.4299
1954.0000,  10.0000, 132.9428, 108.3836, 157.5585
