Year,Month,Median,2.5 Percentile,97.5 Percentile
 1950,    1, 6118, 5922, 6311
 1950,    2, 6348, 6154, 6555
 1950,    3, 6526, 6338, 6712
 1950,    4, 7272, 7064, 7483
 1950,    5, 7476, 7252, 7690
 1950,    6, 7430, 7218, 7646
 1950,    7, 7226, 7004, 7448
 1950,    8, 7009, 6805, 7221
 1950,    9, 6828, 6623, 7038
 1950,   10, 6593, 6393, 6797
 1950,   11, 6607, 6409, 6802
 1950,   12, 6655, 6449, 6850
 1951,    1, 6892, 6709, 7092
 1951,    2, 6408, 6214, 6596
 1951,    3, 7319, 7122, 7513
 1951,    4, 7825, 7615, 8024
 1951,    5, 8223, 8017, 8433
 1951,    6, 8218, 7998, 8431
 1951,    7, 8145, 7927, 8362
 1951,    8, 7815, 7613, 8015
 1951,    9, 7473, 7273, 7670
 1951,   10, 7140, 6946, 7336
 1951,   11, 7032, 6836, 7230
 1951,   12, 6986, 6802, 7183
 1952,    1, 7146, 6954, 7327
 1952,    2, 7441, 7258, 7628
 1952,    3, 7697, 7507, 7885
 1952,    4, 8207, 8004, 8408
 1952,    5, 8461, 8259, 8668
 1952,    6, 8572, 8362, 8785
 1952,    7, 8421, 8217, 8628
 1952,    8, 7981, 7780, 8177
 1952,    9, 7653, 7447, 7849
 1952,   10, 7559, 7364, 7749
 1952,   11, 7122, 6926, 7317
 1952,   12, 7271, 7083, 7470
 1953,    1, 7206, 7016, 7393
 1953,    2, 7265, 7072, 7452
 1953,    3, 7315, 7122, 7511
 1953,    4, 7888, 7682, 8097
 1953,    5, 7759, 7554, 7970
 1953,    6, 7922, 7708, 8126
 1953,    7, 7724, 7522, 7935
 1953,    8, 7542, 7339, 7743
 1953,    9, 7377, 7182, 7564
 1953,   10, 6935, 6750, 7117
 1953,   11, 6695, 6506, 6892
 1953,   12, 6793, 6601, 6984
 1954,    1, 6517, 6327, 6702
 1954,    2, 6474, 6273, 6660
 1954,    3, 7235, 7048, 7426
 1954,    4, 7534, 7337, 7731
 1954,    5, 7956, 7752, 8162
 1954,    6, 7830, 7611, 8039
 1954,    7, 7697, 7497, 7905
 1954,    8, 7383, 7184, 7578
 1954,    9, 7150, 6952, 7355
