Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00, 102.55,  93.84, 111.21
1950.00,   2.00,  86.51,  77.93,  95.13
1950.00,   3.00,  73.81,  64.88,  82.90
1950.00,   4.00,  51.55,  42.90,  59.98
1950.00,   5.00,  44.85,  35.58,  54.03
1950.00,   6.00,  59.93,  51.10,  68.87
1950.00,   7.00,  72.51,  63.75,  81.78
1950.00,   8.00,  87.47,  78.07,  96.26
1950.00,   9.00,  38.70,  30.10,  47.50
1950.00,  10.00,  79.59,  70.20,  88.52
1950.00,  11.00, 108.62,  99.68, 118.14
1950.00,  12.00,  56.30,  48.05,  65.11
1951.00,   1.00,  68.41,  59.82,  76.72
1951.00,   2.00,  78.37,  70.01,  86.58
1951.00,   3.00, 102.73,  93.56, 111.35
1951.00,   4.00, 106.46,  97.98, 115.13
1951.00,   5.00,  40.10,  31.19,  49.57
1951.00,   6.00,  89.37,  80.54,  98.26
1951.00,   7.00, 103.71,  94.89, 112.63
1951.00,   8.00,  53.52,  45.10,  62.19
1951.00,   9.00,  65.42,  56.11,  74.30
1951.00,  10.00,  41.39,  32.19,  50.78
1951.00,  11.00,  82.73,  73.58,  91.75
1951.00,  12.00,  87.61,  78.77,  96.48
1952.00,   1.00,  63.64,  55.25,  72.61
1952.00,   2.00,  57.05,  48.56,  65.78
1952.00,   3.00,  69.84,  61.09,  78.61
1952.00,   4.00,  62.78,  54.19,  71.42
1952.00,   5.00, 101.22,  91.99, 110.53
1952.00,   6.00,  28.15,  19.44,  36.72
1952.00,   7.00,  64.44,  55.59,  73.45
1952.00,   8.00,  67.67,  58.75,  76.81
1952.00,   9.00,  67.20,  58.02,  76.51
1952.00,  10.00,  42.22,  33.12,  51.36
1952.00,  11.00,  62.58,  53.84,  71.36
1952.00,  12.00,  61.03,  52.63,  69.65
1953.00,   1.00,  61.36,  52.52,  70.03
1953.00,   2.00,  37.32,  29.26,  45.78
1953.00,   3.00,  88.41,  79.70,  97.10
1953.00,   4.00,  51.31,  42.76,  59.96
1953.00,   5.00, 120.59, 111.32, 129.94
1953.00,   6.00,  43.74,  34.63,  52.40
1953.00,   7.00,  57.21,  48.15,  66.13
1953.00,   8.00,  66.63,  57.50,  75.83
1953.00,   9.00,  84.08,  74.94,  93.58
1953.00,  10.00,  21.94,  13.63,  30.70
1953.00,  11.00,  45.68,  37.38,  54.01
1953.00,  12.00,  55.93,  47.28,  64.46
1954.00,   1.00,  58.57,  50.31,  66.87
1954.00,   2.00,  82.73,  74.18,  91.55
1954.00,   3.00,  88.62,  79.82,  97.10
1954.00,   4.00,  98.21,  89.35, 106.89
1954.00,   5.00,  41.09,  32.53,  50.17
1954.00,   6.00,  69.61,  60.56,  78.89
1954.00,   7.00,  27.12,  19.41,  35.89
1954.00,   8.00,  87.25,  78.01,  95.86
1954.00,   9.00,  76.34,  67.32,  85.50
1954.00,  10.00,  97.07,  87.69, 106.25
1954.00,  11.00,  79.67,  70.72,  88.66
1954.00,  12.00,  87.01,  78.22,  95.44
1955.00,   1.00,  41.04,  32.98,  49.58
1955.00,   2.00,  53.01,  44.71,  61.19
1955.00,   3.00,  97.90,  89.25, 106.89
1955.00,   4.00,  59.62,  51.03,  68.23
1955.00,   5.00,  61.17,  51.67,  70.58
1955.00,   6.00,  24.27,  16.19,  32.83
1955.00,   7.00,  48.86,  39.96,  57.82
