Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.0,   1.0, 142.0, 138.2, 145.8
1950.0,   2.0, 124.9, 121.6, 128.1
1950.0,   3.0, 109.9, 107.1, 112.9
1950.0,   4.0,  98.0,  95.1, 100.8
1950.0,   5.0, 253.0, 246.8, 259.3
1950.0,   6.0,  65.3,  56.9,  73.3
1950.0,   7.0,  66.1,  59.6,  72.5
1950.0,   8.0,  60.0,  55.0,  64.9
1950.0,   9.0, 197.9, 193.5, 202.4
1950.0,  10.0, 101.0,  96.6, 105.3
1950.0,  11.0, 194.0, 189.1, 198.7
1950.0,  12.0, 187.8, 183.4, 192.4
1951.0,   1.0, 134.9, 131.1, 138.9
1951.0,   2.0, 105.0, 101.7, 108.3
1951.0,   3.0,  85.9,  83.1,  88.7
1951.0,   4.0,  72.0,  69.1,  74.8
1951.0,   5.0, 132.0, 125.9, 138.2
1951.0,   6.0,  84.0,  75.7,  92.5
1951.0,   7.0, 101.0,  94.7, 107.0
1951.0,   8.0, 132.9, 128.1, 137.8
1951.0,   9.0, 113.0, 108.3, 117.6
1951.0,  10.0, 214.9, 210.6, 219.2
1951.0,  11.0, 212.9, 208.2, 217.6
1951.0,  12.0, 266.9, 262.1, 271.1
1952.0,   1.0, 178.9, 174.8, 182.7
1952.0,   2.0, 137.9, 134.4, 141.2
1952.0,   3.0, 106.9, 104.1, 109.7
1952.0,   4.0,  54.9,  52.1,  57.8
1952.0,   5.0,  27.0,  20.8,  32.9
1952.0,   6.0,  59.2,  50.6,  67.8
1952.0,   7.0,  58.2,  52.1,  64.2
1952.0,   8.0,  44.1,  39.0,  49.2
1952.0,   9.0,  36.0,  31.3,  40.5
1952.0,  10.0,  35.0,  30.7,  39.3
1952.0,  11.0,  25.1,  20.3,  29.8
1952.0,  12.0,  95.9,  91.1, 100.6
1953.0,   1.0, 172.9, 169.1, 176.9
1953.0,   2.0, 108.9, 105.7, 112.2
1953.0,   3.0,  90.0,  87.1,  92.8
1953.0,   4.0,  91.0,  88.1,  93.8
1953.0,   5.0, 151.0, 145.1, 157.1
1953.0,   6.0, 264.1, 255.6, 272.8
1953.0,   7.0, 263.9, 257.6, 270.1
1953.0,   8.0,  36.0,  31.1,  41.0
1953.0,   9.0,  39.0,  34.3,  43.5
1953.0,  10.0,  91.0,  86.8,  95.4
1953.0,  11.0, 223.9, 219.1, 228.8
1953.0,  12.0, 148.9, 144.4, 153.4
1954.0,   1.0, 211.8, 207.9, 215.7
1954.0,   2.0, 158.0, 154.6, 161.4
1954.0,   3.0, 124.9, 122.0, 127.7
1954.0,   4.0, 109.9, 107.0, 112.9
1954.0,   5.0, 210.8, 205.0, 216.9
1954.0,   6.0,  73.1,  64.5,  82.0
1954.0,   7.0,  36.1,  29.7,  42.2
1954.0,   8.0, 168.8, 164.0, 173.9
1954.0,   9.0, 167.9, 163.5, 172.6
1954.0,  10.0, 168.9, 164.6, 173.3
1954.0,  11.0, 180.9, 176.0, 185.9
1954.0,  12.0, 213.8, 209.4, 218.2
1955.0,   1.0, 143.9, 140.1, 147.9
1955.0,   2.0, 127.0, 123.6, 130.2
1955.0,   3.0, 112.9, 110.1, 115.8
1955.0,   4.0, 115.0, 112.1, 117.9
1955.0,   5.0, 275.9, 269.8, 281.8
1955.0,   6.0, 307.8, 299.2, 316.5
1955.0,   7.0, 275.8, 269.6, 281.8
1955.0,   8.0, 159.0, 153.8, 163.9
1955.0,   9.0, 120.9, 116.3, 125.3
1955.0,  10.0, 108.0, 103.5, 112.3
1955.0,  11.0, 125.0, 120.3, 129.9
1955.0,  12.0, 133.0, 128.4, 137.5
1956.0,   1.0, 123.0, 119.1, 126.9
1956.0,   2.0, 110.9, 107.5, 114.5
1956.0,   3.0,  97.9,  95.2, 100.7
1956.0,   4.0,  93.0,  90.1,  95.8
1956.0,   5.0, 135.0, 129.0, 141.5
1956.0,   6.0, 412.5, 404.0, 421.4
1956.0,   7.0, 320.9, 314.9, 327.1
1956.0,   8.0, 196.0, 191.0, 200.7
1956.0,   9.0, 135.9, 131.4, 140.3
1956.0,  10.0, 125.0, 120.8, 129.1
1956.0,  11.0, 122.9, 118.0, 127.8
1956.0,  12.0, 131.0, 126.4, 135.3
1957.0,   1.0, 106.9, 103.1, 110.7
1957.0,   2.0,  88.9,  85.7,  92.2
1957.0,   3.0,  82.0,  79.0,  84.8
1957.0,   4.0,  92.0,  89.1,  94.9
1957.0,   5.0, 266.6, 260.2, 272.9
1957.0,   6.0, 308.9, 300.3, 317.3
1957.0,   7.0,  74.9,  68.6,  81.4
1957.0,   8.0, 187.8, 182.9, 192.8
1957.0,   9.0, 124.9, 120.4, 129.3
1957.0,  10.0, 119.9, 115.6, 124.4
1957.0,  11.0, 155.9, 151.1, 160.6
1957.0,  12.0, 128.8, 124.5, 133.4
1958.0,   1.0, 109.9, 106.1, 113.7
1958.0,   2.0, 108.0, 104.6, 111.2
1958.0,   3.0, 101.0,  98.1, 103.9
1958.0,   4.0, 107.9, 104.9, 110.9
1958.0,   5.0, 250.8, 244.8, 257.0
1958.0,   6.0, 321.7, 312.7, 330.3
1958.0,   7.0, 233.9, 227.4, 240.0
1958.0,   8.0, 166.8, 161.7, 171.8
1958.0,   9.0, 151.9, 147.5, 156.4
1958.0,  10.0, 203.8, 199.5, 208.2
1958.0,  11.0, 245.8, 241.1, 250.6
1958.0,  12.0, 193.9, 189.4, 198.4
1959.0,   1.0, 157.9, 154.1, 161.9
1959.0,   2.0, 139.9, 136.6, 143.2
