Year,Month,Median,2.5 Percentile,97.5 Percentile
1950,   1,1783,1710,1859
1950,   2,1873,1801,1944
1950,   3,1868,1795,1936
1950,   4,1864,1790,1934
1950,   5,1910,1831,1990
1950,   6,2952,2871,3037
1950,   7,3485,3397,3574
1950,   8,3578,3491,3668
1950,   9,3557,3466,3645
1950,  10,3497,3408,3588
1950,  11,3420,3336,3507
1950,  12,3168,3094,3245
1951,   1,2317,2245,2397
1951,   2,2262,2190,2335
1951,   3,2266,2192,2336
1951,   4,2932,2859,3004
1951,   5,3441,3361,3519
1951,   6,3470,3391,3556
1951,   7,3516,3432,3602
1951,   8,3445,3352,3532
1951,   9,3502,3410,3594
1951,  10,3500,3408,3589
1951,  11,3427,3343,3515
1951,  12,2908,2832,2983
1952,   1,2379,2304,2450
1952,   2,2320,2244,2391
1952,   3,2286,2214,2356
1952,   4,2326,2251,2405
1952,   5,3043,2964,3122
1952,   6,2214,2132,2297
1952,   7,1888,1804,1972
1952,   8,3306,3218,3393
1952,   9,3305,3214,3395
1952,  10,3235,3147,3323
1952,  11,3026,2936,3111
1952,  12,2120,2043,2198
1953,   1,2091,2019,2166
1953,   2,2032,1959,2104
1953,   3,1975,1907,2047
1953,   4,2200,2124,2269
1953,   5,2614,2533,2687
1953,   6,2773,2692,2855
1953,   7,3030,2945,3117
1953,   8,3391,3304,3482
1953,   9,3371,3274,3459
1953,  10,3224,3135,3314
1953,  11,2856,2767,2940
1953,  12,2262,2186,2338
1954,   1,2095,2020,2166
1954,   2,2038,1967,2113
1954,   3,2035,1964,2105
1954,   4,2004,1934,2077
1954,   5,2146,2062,2225
1954,   6,2176,2095,2260
1954,   7,2838,2753,2926
1954,   8,3295,3208,3384
1954,   9,3200,3108,3295
1954,  10,2729,2637,2817
1954,  11,2155,2065,2246
1954,  12,1848,1772,1929
1955,   1,1764,1690,1841
1955,   2,1757,1689,1826
1955,   3,1730,1657,1801
1955,   4,1703,1630,1774
1955,   5,2046,1968,2125
1955,   6,2123,2041,2207
1955,   7,1980,1893,2065
1955,   8,1856,1768,1948
1955,   9,1168,1077,1261
1955,  10,1428,1335,1514
1955,  11,2375,2288,2462
1955,  12,2176,2097,2254
1956,   1,2091,2019,2166
1956,   2,2100,2028,2174
1956,   3,2073,2000,2143
1956,   4,2158,2086,2233
1956,   5,1944,1869,2026
1956,   6,1741,1661,1827
1956,   7,1756,1672,1842
1956,   8,2053,1964,2144
1956,   9,2039,1947,2132
1956,  10,2075,1984,2164
1956,  11,1990,1900,2072
1956,  12,1949,1874,2029
1957,   1,1903,1830,1979
1957,   2,1870,1797,1940
1957,   3,1610,1536,1678
1957,   4,1604,1531,1679
1957,   5,1495,1413,1571
1957,   6,1544,1462,1625
1957,   7,1552,1467,1641
1957,   8,1817,1727,1909
1957,   9,1913,1822,2010
1957,  10,1906,1817,1996
1957,  11,1875,1786,1960
1957,  12,1844,1769,1924
1958,   1,2008,1934,2081
1958,   2,2006,1932,2077
1958,   3,1949,1877,2018
1958,   4,1738,1667,1810
1958,   5,1763,1683,1839
1958,   6,1760,1677,1845
1958,   7,1615,1528,1700
1958,   8,1606,1512,1695
1958,   9,1613,1522,1704
1958,  10,1872,1780,1957
1958,  11,1944,1861,2029
1958,  12,1874,1799,1952
1959,   1,1876,1805,1949
1959,   2,1903,1831,1977
1959,   3,1844,1773,1916
1959,   4,1983,1910,2055
1959,   5,1971,1893,2050
1959,   6,1939,1856,2025
1959,   7,1893,1808,1979
1959,   8,1935,1847,2026
1959,   9,2113,2026,2202
1959,  10,3166,3081,3257
1959,  11,3350,3264,3439
1959,  12,2517,2440,2595
1960,   1,2097,2026,2169
1960,   2,2048,1975,2123
1960,   3,1955,1886,2030
1960,   4,1875,1801,1946
1960,   5,1943,1868,2023
1960,   6,3151,3070,3232
1960,   7,3268,3185,3350
1960,   8,2973,2883,3062
1960,   9,2923,2832,3013
1960,  10,2609,2514,2696
1960,  11,2065,1976,2151
1960,  12,1937,1859,2014
1961,   1,1900,1823,1971
1961,   2,1897,1825,1968
1961,   3,1867,1797,1937
1961,   4,1875,1801,1949
1961,   5,1936,1858,2017
1961,   6,1963,1879,2043
1961,   7,1852,1765,1937
1961,   8,1629,1540,1720
1961,   9,1624,1534,1713
1961,  10,1646,1559,1733
1961,  11,1847,1760,1937
1961,  12,1839,1760,1915
1962,   1,1823,1751,1896
1962,   2,1841,1770,1910
1962,   3,1816,1746,1881
1962,   4,1790,1715,1862
1962,   5,1700,1620,1777
1962,   6,1711,1628,1794
1962,   7,1784,1697,1874
1962,   8,1706,1614,1798
1962,   9,1597,1504,1687
1962,  10,1814,1726,1905
1962,  11,1933,1842,2022
1962,  12,1839,1761,1919
1963,   1,1757,1684,1830
1963,   2,1846,1772,1916
1963,   3,1707,1635,1777
1963,   4,1608,1532,1685
1963,   5,1732,1652,1810
1963,   6,1711,1631,1794
1963,   7,1782,1695,1870
1963,   8,1772,1681,1860
1963,   9,2043,1950,2130
1963,  10,1812,1727,1898
1963,  11,1867,1781,1952
1963,  12,1593,1518,1673
1964,   1,1670,1595,1742
1964,   2,1924,1855,1996
1964,   3,1920,1848,1991
1964,   4,1919,1843,1990
1964,   5,1972,1894,2050
1964,   6,2046,1961,2128
1964,   7,2287,2201,2373
1964,   8,2814,2727,2903
1964,   9,3008,2922,3101
1964,  10,3134,3046,3223
1964,  11,3263,3177,3350
1964,  12,2620,2544,2700
1965,   1,2426,2351,2496
1965,   2,2367,2297,2439
1965,   3,2336,2264,2407
1965,   4,2325,2249,2400
1965,   5,2659,2583,2736
1965,   6,2789,2707,2870
1965,   7,3182,3094,3269
1965,   8,3212,3123,3304
1965,   9,3062,2967,3155
1965,  10,2879,2792,2968
1965,  11,2881,2794,2967
1965,  12,2399,2321,2478
1966,   1,2168,2093,2242
1966,   2,2171,2100,2243
1966,   3,2172,2103,2243
1966,   4,2275,2204,2351
1966,   5,2248,2168,2326
1966,   6,2237,2156,2322
1966,   7,2709,2619,2797
1966,   8,2712,2620,2799
1966,   9,2924,2832,3011
1966,  10,2541,2452,2633
1966,  11,2272,2179,2358
1966,  12,2116,2036,2197
1967,   1,2004,1932,2076
1967,   2,2032,1958,2102
1967,   3,2003,1931,2076
1967,   4,2008,1932,2077
1967,   5,2413,2332,2492
1967,   6,2547,2466,2630
1967,   7,2556,2468,2640
1967,   8,2610,2520,2706
1967,   9,2464,2374,2554
1967,  10,2009,1916,2098
1967,  11,2037,1951,2122
1967,  12,1982,1903,2059
1968,   1,1951,1876,2024
1968,   2,1942,1868,2013
1968,   3,1897,1826,1968
1968,   4,1942,1866,2014
1968,   5,1971,1894,2053
1968,   6,1960,1879,2045
1968,   7,2800,2710,2887
1968,   8,3427,3337,3513
1968,   9,3459,3368,3549
1968,  10,3496,3408,3586
1968,  11,3475,3385,3564
1968,  12,2953,2873,3032
1969,   1,2334,2263,2409
1969,   2,2599,2528,2669
1969,   3,2669,2598,2738
1969,   4,2905,2830,2980
1969,   5,3257,3178,3337
1969,   6,3281,3200,3364
1969,   7,3286,3198,3371
1969,   8,3305,3212,3399
1969,   9,2958,2868,3052
1969,  10,1951,1864,2045
1969,  11,1898,1812,1984
1969,  12,1933,1857,2012
1970,   1,1928,1857,2000
1970,   2,2337,2265,2409
1970,   3,1974,1906,2045
1970,   4,1807,1736,1883
1970,   5,1811,1736,1891
1970,   6,1842,1762,1925
1970,   7,1835,1750,1925
1970,   8,2719,2631,2809
1970,   9,2255,2163,2345
1970,  10,1841,1756,1928
1970,  11,2433,2348,2517
1970,  12,2852,2773,2933
1971,   1,2620,2545,2693
1971,   2,2335,2265,2410
1971,   3,2373,2299,2443
1971,   4,2681,2607,2756
1971,   5,3045,2970,3122
1971,   6,3186,3103,3268
1971,   7,3234,3148,3321
1971,   8,2999,2909,3088
1971,   9,3059,2966,3148
1971,  10,3203,3115,3290
1971,  11,3168,3080,3254
1971,  12,2793,2715,2871
1972,   1,2275,2204,2348
1972,   2,2068,1996,2140
1972,   3,2109,2038,2178
1972,   4,2120,2046,2192
1972,   5,3132,3051,3210
1972,   6,3280,3199,3360
1972,   7,3235,3143,3322
1972,   8,3195,3103,3288
1972,   9,3246,3157,3337
1972,  10,3140,3048,3228
1972,  11,3272,3185,3360
1972,  12,2440,2361,2518
1973,   1,2125,2056,2196
1973,   2,1616,1543,1689
1973,   3,1510,1435,1579
1973,   4,1573,1500,1651
1973,   5,1568,1489,1641
1973,   6,1606,1521,1686
1973,   7,2266,2176,2353
1973,   8,2752,2662,2841
1973,   9,3334,3245,3425
1973,  10,2626,2538,2714
1973,  11,2384,2295,2472
1973,  12,2408,2332,2488
1974,   1,2150,2073,2222
1974,   2,2113,2041,2186
1974,   3,2114,2048,2185
1974,   4,2111,2037,2183
1974,   5,2070,1989,2144
1974,   6,2394,2311,2473
1974,   7,2137,2048,2224
1974,   8,2107,2017,2199
1974,   9,2103,2011,2194
1974,  10,2067,1977,2158
1974,  11,2377,2292,2464
1974,  12,2737,2660,2815
1975,   1,2444,2373,2519
1975,   2,2402,2328,2474
1975,   3,2433,2363,2505
1975,   4,2609,2534,2680
1975,   5,2774,2694,2852
1975,   6,2523,2443,2605
1975,   7,2377,2290,2462
1975,   8,2292,2200,2383
1975,   9,2100,2009,2192
1975,  10,1876,1791,1965
1975,  11,1925,1835,2013
1975,  12,1987,1911,2063
1976,   1,1985,1913,2057
1976,   2,1953,1880,2026
1976,   3,1951,1884,2021
1976,   4,2032,1961,2112
1976,   5,2388,2304,2464
1976,   6,2322,2242,2405
1976,   7,2284,2198,2370
1976,   8,2047,1956,2134
1976,   9,1944,1857,2034
1976,  10,1813,1725,1902
1976,  11,1626,1537,1716
1976,  12,1698,1621,1777
1977,   1,1717,1647,1792
1977,   2,1735,1662,1806
1977,   3,1734,1660,1804
1977,   4,1769,1696,1843
1977,   5,1735,1655,1814
1977,   6,1772,1692,1854
1977,   7,1524,1436,1612
1977,   8,1707,1620,1796
1977,   9,1859,1767,1948
1977,  10,2765,2674,2856
1977,  11,3126,3037,3210
1977,  12,2542,2464,2620
1978,   1,2211,2139,2284
1978,   2,2173,2100,2243
1978,   3,2146,2073,2214
1978,   4,2162,2087,2235
1978,   5,2325,2244,2404
1978,   6,2403,2318,2485
1978,   7,2443,2359,2525
1978,   8,2610,2519,2707
1978,   9,2741,2649,2837
1978,  10,2804,2710,2893
1978,  11,2756,2673,2843
1978,  12,2101,2021,2176
1979,   1,1900,1826,1976
1979,   2,1897,1825,1970
1979,   3,1897,1831,1967
1979,   4,1888,1813,1962
1979,   5,2304,2225,2381
1979,   6,2734,2650,2819
1979,   7,3162,3072,3250
1979,   8,3247,3161,3335
1979,   9,3203,3113,3294
1979,  10,2748,2657,2841
1979,  11,2603,2518,2689
1979,  12,2290,2213,2368
1980,   1,2116,2041,2191
1980,   2,2116,2041,2189
1980,   3,2096,2025,2164
1980,   4,2150,2078,2221
1980,   5,2415,2338,2494
1980,   6,2280,2200,2362
1980,   7,2183,2095,2271
1980,   8,2098,2007,2184
1980,   9,2038,1949,2129
1980,  10,2325,2234,2409
1980,  11,2355,2265,2441
1980,  12,1905,1828,1981
1981,   1,1901,1828,1972
1981,   2,1902,1829,1976
1981,   3,1893,1823,1966
1981,   4,2108,2037,2184
1981,   5,2483,2403,2562
1981,   6,2711,2630,2795
1981,   7,2929,2839,3018
1981,   8,2754,2664,2842
1981,   9,2297,2210,2390
1981,  10,1379,1288,1469
1981,  11,1264,1179,1353
1981,  12,1311,1234,1392
1982,   1,1295,1218,1370
1982,   2,1282,1212,1357
1982,   3,1282,1212,1352
1982,   4,1311,1235,1380
1982,   5,1723,1642,1799
1982,   6,2102,2022,2186
1982,   7,2203,2116,2292
1982,   8,2383,2291,2472
1982,   9,2407,2317,2498
1982,  10,2514,2427,2602
1982,  11,2828,2738,2913
1982,  12,2788,2709,2867
1983,   1,2281,2204,2353
1983,   2,2311,2240,2386
1983,   3,2450,2380,2519
1983,   4,2431,2356,2509
1983,   5,2911,2832,2992
1983,   6,2931,2850,3013
1983,   7,2911,2827,2998
1983,   8,2999,2909,3089
1983,   9,2382,2291,2478
1983,  10,1698,1608,1786
1983,  11,2406,2321,2491
1983,  12,2382,2303,2460
1984,   1,2287,2215,2360
1984,   2,2140,2069,2213
1984,   3,2279,2206,2349
1984,   4,2282,2208,2356
1984,   5,2802,2724,2879
1984,   6,2819,2734,2901
1984,   7,3025,2942,3110
1984,   8,3098,3007,3183
1984,   9,2914,2823,3007
1984,  10,2105,2017,2194
1984,  11,1617,1528,1705
1984,  12,1937,1860,2015
1985,   1,1977,1904,2051
1985,   2,1981,1909,2054
1985,   3,2013,1943,2084
1985,   4,1990,1915,2067
1985,   5,1975,1898,2051
1985,   6,1936,1855,2017
1985,   7,1895,1808,1982
1985,   8,2314,2221,2398
1985,   9,2884,2794,2972
1985,  10,3429,3340,3516
1985,  11,3720,3632,3808
1985,  12,2903,2828,2986
1986,   1,2402,2327,2472
1986,   2,2426,2357,2496
1986,   3,2400,2328,2469
1986,   4,2276,2202,2349
1986,   5,3006,2929,3087
1986,   6,3229,3147,3308
1986,   7,3142,3053,3227
1986,   8,3226,3139,3315
1986,   9,3053,2964,3147
