Year,Month,Median,2.5 Percentile,97.5 Percentile
1950.00,   1.00,  12.09,   6.08,  18.93
1950.00,   2.00,   8.51,   3.58,  14.76
1950.00,   3.00,  11.81,   5.88,  18.99
1950.00,   4.00,  47.40,  38.50,  56.36
1950.00,   5.00, 165.32, 155.48, 175.43
1950.00,   6.00,  79.95,  71.74,  88.31
1950.00,   7.00,  50.39,  42.94,  58.25
1950.00,   8.00,  34.23,  26.86,  42.25
1950.00,   9.00,  23.55,  16.20,  31.17
1950.00,  10.00,  35.79,  28.23,  43.71
1950.00,  11.00,  26.84,  19.56,  34.76
1950.00,  12.00,  15.61,   9.10,  22.82
1951.00,   1.00,  12.38,   6.07,  19.28
1951.00,   2.00,  15.46,   8.43,  22.88
1951.00,   3.00,  19.31,  11.98,  26.69
1951.00,   4.00, 101.71,  92.98, 110.52
1951.00,   5.00, 104.02,  95.32, 112.73
1951.00,   6.00,  60.58,  52.54,  69.01
1951.00,   7.00,  37.47,  30.20,  44.81
1951.00,   8.00,  28.65,  21.29,  36.04
1951.00,   9.00,  42.49,  35.04,  50.00
1951.00,  10.00,  43.49,  35.51,  51.41
1951.00,  11.00,  40.54,  33.20,  48.32
1951.00,  12.00,  29.24,  21.60,  36.99
1952.00,   1.00,  18.25,  10.93,  25.43
1952.00,   2.00,  13.76,   7.42,  20.79
1952.00,   3.00,  14.70,   8.13,  21.91
1952.00,   4.00,  81.03,  71.94,  89.79
1952.00,   5.00,  63.72,  54.69,  72.84
1952.00,   6.00,  49.23,  41.44,  57.70
1952.00,   7.00,  48.81,  40.98,  56.71
1952.00,   8.00,  32.43,  25.15,  40.42
1952.00,   9.00,  19.73,  12.92,  27.15
1952.00,  10.00,  12.03,   6.33,  18.08
1952.00,  11.00,  14.19,   7.99,  20.71
1952.00,  12.00,  15.33,   9.02,  22.38
1953.00,   1.00,  12.05,   5.91,  19.00
1953.00,   2.00,   9.51,   4.33,  15.70
1953.00,   3.00,  24.39,  17.15,  31.90
1953.00,   4.00,  68.19,  59.28,  77.22
1953.00,   5.00,  95.84,  86.78, 104.41
1953.00,   6.00,  80.55,  72.17,  88.85
1953.00,   7.00,  44.49,  36.72,  52.65
1953.00,   8.00,  35.18,  27.98,  42.83
1953.00,   9.00,  18.61,  11.87,  25.31
1953.00,  10.00,  17.05,  10.58,  23.81
1953.00,  11.00,  16.58,  10.27,  23.64
1953.00,  12.00,  21.05,  13.90,  28.61
1954.00,   1.00,  13.08,   6.73,  20.07
1954.00,   2.00,  14.50,   7.89,  21.57
1954.00,   3.00,  19.23,  11.89,  26.66
1954.00,   4.00,  85.98,  76.95,  95.25
1954.00,   5.00, 133.06, 123.95, 142.28
1954.00,   6.00,  75.49,  67.08,  83.63
1954.00,   7.00,  33.27,  25.73,  40.48
1954.00,   8.00,  22.41,  15.69,  29.73
1954.00,   9.00,  22.07,  15.11,  29.02
1954.00,  10.00,  29.72,  22.29,  37.50
1954.00,  11.00,  21.63,  14.62,  29.05
1954.00,  12.00,  14.76,   8.40,  21.84
1955.00,   1.00,  12.30,   6.07,  19.33
1955.00,   2.00,  12.18,   5.69,  19.21
1955.00,   3.00,  12.48,   6.20,  19.58
1955.00,   4.00,  93.03,  84.46, 102.17
1955.00,   5.00,  67.00,  57.90,  76.06
1955.00,   6.00,  38.67,  30.87,  46.24
1955.00,   7.00,  24.61,  17.54,  31.86
1955.00,   8.00,  23.62,  16.67,  30.79
1955.00,   9.00,  20.91,  13.98,  28.10
1955.00,  10.00,  27.91,  20.07,  35.54
1955.00,  11.00,  29.58,  22.23,  37.11
1955.00,  12.00,  16.59,   9.79,  23.98
1956.00,   1.00,  14.34,   7.49,  21.86
1956.00,   2.00,  10.57,   5.10,  17.35
1956.00,   3.00,   9.11,   4.15,  15.11
1956.00,   4.00,  56.94,  48.17,  65.74
1956.00,   5.00,  93.76,  84.78, 102.58
1956.00,   6.00,  56.32,  48.54,  64.71
1956.00,   7.00,  39.13,  31.48,  46.54
1956.00,   8.00,  23.56,  16.96,  30.75
1956.00,   9.00,  20.85,  13.86,  28.28
1956.00,  10.00,  16.14,   9.90,  23.27
1956.00,  11.00,  16.47,  10.06,  23.57
1956.00,  12.00,  11.88,   6.36,  18.43
1957.00,   1.00,   7.37,   3.12,  13.20
1957.00,   2.00,   8.19,   3.52,  14.21
1957.00,   3.00,  12.28,   6.41,  19.17
1957.00,   4.00,  72.84,  63.62,  81.92
1957.00,   5.00,  89.20,  80.41,  98.07
1957.00,   6.00,  57.18,  49.26,  65.23
1957.00,   7.00,  40.31,  32.80,  47.60
1957.00,   8.00,  21.49,  14.65,  28.35
