# LAKE ERIE MONTHLY NET BASIN SUPPLY (10m3s)
# FORTRAN FORMAT: I4 12F8.0
# 2021-2090
UNITS:m3s
INTERVAL:m
####     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
2021    1076    1075    2205    1703    2018     891     425      37    -589   -1040    -620    1706
2022     751    1578    1934     972    1742     698     314    -165    -702      16    -465     422
2023    -155     547    2079    1559    1299    1204     549    -651    -705     283     200    1708
2024    1077     231    1095    1388    1068      52    -541     177   -1679   -1157    -950    -636
2025    1201    1946    2096    1362    1260     422    -222     111    -729    -847    -407     621
2026    3075    2471    3557    1720    1353     581     394    -280    -339     325    -179     880
2027     -20     -49     922     879     768    1370     768      40    -308   -1242    -569     165
2028    1860     711    2172    1758     393    -168    -420    -798    -530    -593     135    1859
2029     144    1417    2725    1541     976    1358     473     121    -991   -1209    -767     -33
2030    3191     761    1841    1964     474      28     202    -409    -864   -1031     310    1014
2031     815    3197    1314    1309    1960     779     323    -710   -1761   -1358     296    -314
2032     376     676    1232     832     415     795    -324    -206    -958   -1356    -697     204
2033     555    1867    1033    1640    1870     808     226    -463    -800    -612     571    1220
2034     347    1531    2836    1349    1479     791     185    -110     291    -290     751    4704
2035    1294    1179    2629    1486    2572    1886     557     -19   -1273   -1740    -220    -383
2036    1466    1343    1545    1543    1392     759    -236    -248    -459    -860    -597    -304
2037     803    1179    2179    3472    1517     746     458    -176    -759    -623     -60     141
2038     914    1866    1990    2971     589     113     179    -435    -612   -1346    -375     533
2039    1061     877    2712    2418    2655    2290    1622     682    1090    -368    -551     375
2040     170     887    1253    1377    3012    1789     481     233    -253   -1007    -363       4
2041     142     210    1037    1369     229    -143    -184    -193    -778   -1126   -1275    -344
2042     491     797     790     798    1397     576    -226    -135   -1542    -581    -697     874
2043    2568    2606    2378    2564    1900    1288    1025    -648     198    -963    -530     681
2044     955    1062    1009    2919     855     769      73    -336    -347    -184     220     447
2045    2208    4214     773    1556    1536    1073     208    -618     286    -342    -630    1476
2046    1677    2154    1853    1903     535     737     183    -543    -811    -835    -368       9
2047     492    3229    1997    2524     871     462      32    -552   -1358    -334     595    -187
2048    2324    1198    1593    1477     671     756      75    -330    -864   -1448    -814      52
2049     209    2079     816    1122     751     346     242    -391       2    -517    -193     164
2050     847    2036    2159    1751     832     486    -215    -105    -865   -1024    -167    1055
2051     241    1405    1941    2799    1334     634    1302    -188      46    -438    -496    1385
2052    1395     306    1474    2451     282     705     -47    -451   -1033    -513    -176     -10
2053    1390    3229    1156    1807    2800    1541     367    -362    -107    -828    -578    -109
2054     837    2795    1476    2871     719     915     475      -4    -383    -863    -736     765
2055     620    1571    1472    1850    3323    5065     177      -1    1350     613    -403     358
2056     919     411    1463     942    1040    1977     634     247     184    -526    -187    1893
2057     685     742    2858    3081    1026     171    -138    -522    -329      15    -734     672
2058    -191     -15     534    1351     506     258    -179   -1094    -760   -1413    -894    -460
2059     579     980    2034    1996     988    1340     342     356    -176      10    -675     711
2060    1841     710     483    1608     335     270    -353    -255   -1341   -1359    -455    -284
2061    1230    1665    1525    2031    1625    1096     466      37    -573    -707    -192     600
2062      68     938    2302    1326     955    2114     878    -477       3   -1248    1002    -497
2063     117     659    2115    1363    2046     484     133    -964    -769   -1210     242     126
2064     185     115    1098    1001     408     -85     -64    -559   -1427    -893    -295    -500
2065     831    1980    1382    1969     914     795     436    -142    -414    -626    -642    1744
2066     136    3024     748     970     106     397    -542     -84   -1203    -958    -372     362
2067    3442      54     813     864    1095    2053     438     -56   -1131    -952    -811    -173
2068    1269     986    1623    3732    1290    1165     961    -203       9    -645    -201     184
2069     555    2272    1162    1103    1431     821     246    -439    -150    -755     302     398
2070    1399     281    1514    2532    1222    1609    1536     561     297   -1061    -251     646
2071      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2072      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2073      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2074      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2075      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2076      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2077      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2078      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2079      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2080      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2081      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2082      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2083      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2084      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2085      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2086      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2087      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2088      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2089      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2090      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
