# LAKE MICHIGAN-HURON MONTHLY NET BASIN SUPPLY (10m3s)
# FORTRAN FORMAT: I4 12F8.0
# 2021-2090
UNITS:m3s
INTERVAL:m
####     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
2021     765    2528    4823    7711    7542    7422    4764    3070    -510     675    -810     572
2022     897    3083    2912    5512    6277    5397    7363    2329    2111    3282    1294    -204
2023     141    1080    5660    7277    8411    4414    3694    -655    1226    2678    4271    5172
2024    1348    1789    2545    5952    8114    6384    3050    3755      49   -1441    -652   -2668
2025    1352    2257    6384    6004    6567    4961    4466    4170    2008     708     695     -95
2026    3052    3126    7141   10126   11046    6445    5144      46     609    4293   -1045    -809
2027    -289     -90    3265    6860    4300    3924    4000    1900    6580     215    -754    -876
2028     590     453    4106    8916    6795    3046    3607    3822    7688    9546     248    4809
2029   -1126    1506    8180    8070    5689    5391    5044    4776     602   -1028   -2125   -1305
2030    3855     670    4600    7118    4730    3425    4956     310   -1077     557    2081    1681
2031    2136    5089    3255    6172    8267    7924    5969    1486     151    -591    -866    1080
2032     733    2164    7526    4313    3694    7274    4435    1291     621   -1990     745    -485
2033    -179    2840    2945   10269    7554    8607    3339    3404   -2104    2447    3251    1029
2034     607    2324    8301   10509   12083    7826    4875    3262    3716    4168    2660    2073
2035    2246    2721    2745    6215    9612    6725    5768    4405    4336   -2019    -605   -2875
2036    1019    2069    2047    7249    5921    6129    4237    1700    4197    -521    1086    -859
2037    1405    2523    4464   13889   14103    9503    8091    3741    3253    1771    1597     437
2038    -989    2973    2923    7861    5228    3014    3637    6358    4673     871    2276    -471
2039    -213    1868    5574   10891    8612   10255    4760    1926    1428    1649   -2041    -485
2040    -360    3469    5401    9574    9666    9685    5221    2812     708   -1285   -1001    1004
2041     490    1149    2572    7100    5438    3368    4913    3432    8054     288    -696   -1119
2042     423    3849    4514    3612    5797    6795    3894    4460    1119     750    2350    3015
2043    2078    2335    9042    5347    6667    4568    4133     725     417   -1051    -251    -353
2044    2046    2276    3264    9179    4841    4622    3582    3107    2957    5977    3043    1630
2045    3822    4054    2698    8125    8635    5728    5180    1979   10063    2547    4718     116
2046    2397    3483    5592    5838    6369    5435    2368    1776     526    1507   -2143    -960
2047    -748    4083    3179    7415    6300    4778    2728     993   -1228    -288    -671    -359
2048    2709    2506    2383    9354    5587    5344    4717     720    1390   -1334     399   -2004
2049    -927    4677    2680    4218    5352    3724    3672    2507    2499    1393    1034    -688
2050     382    3610    3153    9938    5823    4706    3688    4015    1241    -550    1765    3115
2051    1310    2584    7014   10460    5651    5388    4531    1654    2099    4931    -369     154
2052    1383    1584    3133    7444    6491    3960    3027    2800    4373    2941     209     148
2053    2629    5745    3079   10192   12302   12349    7856    2384    5644     669   -1644   -1344
2054    1989    4195    3466    9781    5973    4510    3104    2479    3850      65    -135     957
2055     183    2789     920   10289    6877    6702    2133    3391    5292    4964   -1706   -2058
2056    1255     875    6417    5106    4494    6053    3475    2982    2911    2896     625    1567
2057     -93    2884   10270   10904    6883    5091    3205    3490    1066    5330     565   -1584
2058   -1156    -937    1181    4955    5682    6617    4525    2226    3635     191   -1299   -2067
2059     420    1077    5540   11057    4556    5104    2862    3015    3798    3476   -1002    -307
2060    4055    1690    1448    8541    5131    3651    1808    1441   -1652    -226    -447    -457
2061    3511    4713    4732    9567    7673    6221    3546    4241     945    1763    1798    1072
2062    1568    1518    4587    8473    5373    9320    4099     629    2595    -720     -18   -1909
2063   -1686     858    3042    9340    7330    7076    4060    2059     576     569     686      79
2064    -622    -624    3966    8282    7227    2857    3570    1752    1360    1084    -254   -2026
2065     506    3530    2723    9873    8175    5706    4889    3250    2062    2841    2574    1471
2066     820    7312    1530    3579    3576    5314    1587    1928    3160     443    4405    1707
2067    2941    -755    3627    6199    6217    7077    3945    2824    2439    -791    1281   -1165
2068     710    2659    3224    8094    9128    8053    5695    3837    6636    1320    -343    -165
2069     433    3917    2277    7730    5494    7146    5509     922    3274    2476    2097     356
2070     477     720    2788    7292    6396    5476    5524    4353    3551   -3425     293    -306
2071      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2072      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2073      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2074      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2075      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2076      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2077      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2078      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2079      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2080      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2081      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2082      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2083      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2084      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2085      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2086      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2087      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2088      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2089      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2090      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
