# LAKE ST. CLAIR MONTHLY NET BASIN SUPPLY (10m3s)
# FORTRAN FORMAT: I4 12F8.0
# 2021-2090
UNITS:m3s
INTERVAL:m
####     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
2021      93     211     398     256     123      36       5      -2     -32       5      70     104
2022      87     149     277     103     202     -19     -20     -43       9      97      36     146
2023      14      63     399     256      48      64     -13     -40      -8     158     161     445
2024     161      83     226     135      27       1     -29     -18     -32      -6      46      51
2025     116     123     457     165      56      11     -44     -11     -21     -13      81     160
2026     250     152     380     494     102     -18     -32     -39     -23      50      59     109
2027       9       3     247     296      51     123     -16       5      23     -11      14      57
2028     259      60     469     203      70     -12     -42       3       7      55      55     291
2029      55      94     432     233      79      61      -5      -3     -34      -7      44     109
2030     378      43     319     105     -20     -36     -13     -28     -37      18     182     229
2031      70     532     148     129     314      62      12     -39     -42       5      97     140
2032     110     148     296     142      86      52     -15     -31      -3      -6      57      73
2033      56     244     226     370     208     125      21     -23     -24     342     345     400
2034      76     215     677     490     186      34     -12     -15      -4      53     164     565
2035     154      75     504     146     334      87     -22      11     -35     -16      53      33
2036     120     345     258     376     170      66     -24     -35      37       9      44      52
2037      41     109     192     781     264     -19     -39     -34     -34       7      66      32
2038     144     135     494     221      31      -8     -37      -2       6      31      84     350
2039      92     130     320     470     140      33     -13      20      -6      10      16      58
2040      44     456     190     426     328      44     -25     -14      -4      16      20      54
2041      31      61     168     291      64      34     -44     -17      22      53       7      41
2042      70     230     171     152      23      39     -33      -4     -14      38      32     383
2043      78     134     298     126      42       8      -9     -36      -6      35      44     100
2044     103     152     260     453      98      -3     -48      10      -5     166      79      92
2045     276     301     226     170     238      91       8      -5     170     110     133     125
2046      79     189     235     142      82      35     -26      -3     -10      27      59      46
2047      29     237     203     112     112       0     -61     -26     -28     206      66      45
2048     212     112     240     242      58       2     -35     -20     -27       9      29      54
2049      32     220     154     138      65     -13     -46     -40      48      49      85     112
2050      67     167     292     313      57      10     -44     -19     -29      22      67     205
2051      45     107     382     514      43      32     -11      24       0      46      17     178
2052      85      61     351     208      76      27       0      -2       0      42     327     123
2053     387     481     237     289     337      29      -1     -11      50      72      57      55
2054     212     225     273     245      96      -7     -20       3       6       1      97     131
2055      36     143      92     399      47     149     -28       0      91      66       0      58
2056      92      54     262     219      29      48     -22     -16      19      17      41     299
2057      62      70     410     502     105       0     -29     -34       1     126      64     185
2058      16      24     177     345      54     -11     -25     -51      16      20      54      75
2059      44      23     483     325      19       7     -33     -27      -2      34      36      64
2060     154     211     113     250       6       7     -55      40     -28      39      95      99
2061     233     305     315     178     116      44       2     -18     -21     102     131     155
2062      57      77     329     353      87     152      15     -38      44     -23     195      21
2063      18      69     242     363     184     120      16     -40      -1      37     156     267
2064      23      13     244     172      83     -22     -23     -13     -11       8     177      37
2065     105     267     226     581      65      17     -26     -28      -4      33      66     156
2066      65    1147     162      84      14      81     -10      46       9     120     308     241
2067     309       1     171     206      83      92      -6     -17      21       2     135      37
2068     128      86     252     378      99      33      -1     -17       7      27      60      74
2069      64     273     240      73      21     -17     -36     -16      12      36      54      90
2070     108      16     233     153     146       2       1     -17       7     -10      64     101
2071      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2072      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2073      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2074      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2075      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2076      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2077      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2078      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2079      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2080      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2081      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2082      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2083      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2084      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2085      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2086      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2087      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2088      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2089      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2090      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
