# LAKE SUPERIOR MONTHLY NET BASIN SUPPLY (10m3s)
# FORTRAN FORMAT: I4 12F8.0
# 2021-2090
UNITS:m3s
INTERVAL:m
####     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
2021   -1182    -691     931    3050    3589    4907    3902    1948    2190    1115    -313    -851
2022   -1278     173      56    3222    3224    3467    6910    2644    3320     800    1206   -1014
2023    -483    1105    2611    4271    5623    3710    2770     354    2437    3131     830     528
2024     346    -447    -344    3267    5384    5890    2978    2675     471    -534     568   -2057
2025    -859    1379    1448    3088    4561    4670    2332    2845    3514    3863    1230    -840
2026    -459     306    1342    4292    5988    6904    3731    1415    1898    1646     -67   -1258
2027     -46     910    1101    2376    2249    2689    3215    2078    3871    1828    -765   -1153
2028    -622    -820     197    4017    4766    4050    2917    2194    6081    5294     893     851
2029   -1998   -1238    1852    3809    3781    3914    3433    2640    3553      22   -1478   -1654
2030    -502    -380    1255    3813    2952    2292    3989    1509    1815    1159     610    -932
2031    -148     755    1126    2885    5874    4183    4057    2389     258   -1288   -2319   -1124
2032   -1182    -295    2133    2702    9481    4846    3050     889     533    -572   -2015   -1580
2033   -1035     122     108    4554    4873    4824    2759    4038   -1001    1536    -193   -1727
2034   -1319    -690    2576    4778    6183    3467    4121    2541    2962    1909     595   -1471
2035     211    1021      92    1807    6199    2481    4259    4911    3880    -346     889   -2211
2036    -507     274      59    3683    8894    3569    2127    3676    2069    1271    1608    -685
2037    -195      23     155    5722    6079    4089    5101    6096    4518    3514    1582     206
2038    -236     716     193    2299    3846    3417    3547    5764    3995     263     396    -903
2039   -2121    -445    1352    4226    3360    6245    5985    1119    1734    1803    -623   -1696
2040   -1494     381     819    5278    6843    3524    4062    3115    2005    -237   -1417    -693
2041    -646    -900    1088    4661    4167    3496    3340    2367    2735    -453    -915    -638
2042    -506    1474    1298    1757    4074    4044    2991    3958    1883     370    1407   -1552
2043    -655   -1047    2464    2698    4451    3916    2754    1875     851     112    -536   -1530
2044    -738     -81     632    3609    3705    3139    2966    2778    3146    4201    -859    -822
2045     -78     756    -522    5560    3710    3742    2844    1230    3623     991    1013   -1610
2046    -239    1341      59    3104    4091    5261    2267    2277    -834     125   -1457   -1881
2047   -1598    -718     140    1619    4605    6254    2649    2179   -1843     438   -2714   -1711
2048     174   -1178    -125    2868    3215    3564    3139     756     244   -1530    -890   -1711
2049   -1870    2096    1784    1516    2529    4227    4177    2488    5434    2737    1789   -1483
2050   -1512     330     622    3278    5083    4942    2719    4989    2483     338    1396     -19
2051    -445     407    2880    2520    5324    6197    3204    2328    3676    3489      28   -1597
2052    -156     245     482    2990    5709    3322    3018    2752    1709     358    -677    -604
2053    -692    -917     175    5889    4944    5902    7216    2766    3827     538    -946   -1349
2054   -1368    1273     224    4507    4297    4869    2894    2348    1600     557    -908    -792
2055   -1495    -320    -498    3965    4019    4970    3857    4475     962    3217    -523   -1716
2056    -473    -564    3067    1869    2835    5213    3314    3299    3720    2966     841   -1173
2057   -1975     266    1604    3454    4087    5659    2322    3604    1187    3375    2035   -2677
2058   -1916   -1626    -857    1741    3805    3066    3671    2727     696     506    -594   -2195
2059   -1554     396    2411    5538    2849    4180    2999    2580    1795     735    -907    -401
2060    -574    -780     -36    3177    3699    3584    3285    2967    -548      61    -724   -1664
2061    -521     342    1399    4837    3738    3182    2789    2758    2683     649     317    -607
2062    -841    -444     513    3991    4657    6479    3104    1167    -213      45   -1462   -1092
2063    -514   -1670      44    2987    6089    4882    2524    5917     558     741   -2048     233
2064    -283   -1150     879    3147    3806    2240    3076    2994    3847    7189     188    -683
2065    -869     217      12    2861    6383    5465    4912    4172    1428    2716     299     439
2066   -1001     -28     343    1610    2637    7431    1934     325     414     506     630    -446
2067    -652   -1697     765    3054    5693    4572    3071    2762    1280     894    -853      15
2068    -720      87     787    3419    3183    3610    3639    3194    4480     850    -638    -313
2069   -1069     129    -630    4350    3905    6106    4198    2274    2837    2239    1153    -925
2070   -1218   -1278     566    3079    2797    2934    3217    4169    1423   -1512    -360   -1333
2071      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2072      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2073      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2074      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2075      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2076      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2077      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2078      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2079      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2080      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2081      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2082      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2083      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2084      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2085      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2086      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2087      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2088      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2089      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
2090      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA      NA
